company,headline,sentiment
3M Corporation,"MedTech Dive
3M on track to complete healthcare spinoff in first half of 2024
3M remains on track to spin out its healthcare unit in the first half of the year, the company said as part of its fourth-quarter results.
.
24 Jan 2024",0.0
3M Corporation,"Manufacturing Dive
3M pours nearly $150M into its biopharma filtration capabilities
Minnesota-based conglomerate 3M plans to spend $146 million on improving its filtration technology to support biopharmaceutical drug production,...
.
9 Jun 2023",0.6705
3M Corporation,"Manufacturing Dive
3M puts R&D at the forefront in new budget priorities
The chemical-making titan wants to accelerate the development and manufacturing of new products in 2025.
.
29 Oct 2024",0.0
3M Corporation,"Nasdaq
3M Completes Spin-off Of Healthcare Business Solventum
(RTTNews) - 3M Company (MMM) Monday said it has completed the spin-off of its health care business named Solventum Corporation, which is listed on the New...
.
1 Apr 2024",0.4939
3M Corporation,"MedTech Dive
3M reaches $6B settlement to resolve combat earplug lawsuits
The settlement would resolve allegations that 3M hid design flaws, fudged test results and failed to provide instructions for proper use.
.
29 Aug 2023",-0.3182
3M Corporation,"The Motley Fool
3M Stock: Buy, Sell, or Hold?
3M isn't a bad company. But it is still a company dealing with material change that has been driven by big legal and regulatory headwinds.
.
31 Aug 2024",0.184
3M Corporation,"WaterWorld
3M announces $10.3B agreement for PFAS remediation
Water systems suing 3M have reached a $10.3 billion settlement over per- and polyfluoroalkyl substances pollution in U.S. drinking water systems.
.
22 Jun 2023",0.3612
3M Corporation,"Nasdaq
3M Company Produces a Huge Free Cash Flow Quarter - MMM Stock Looks Cheap Here
Setting a Price Target for MMM Stock. Keep in mind that the dividend yield for MMM stock is 2.20%. So, if the market were to assume that 100% of its FCF was...
.
29 Jul 2024",0.6808
3M Corporation,"Investopedia
3M Stock Price Jumps 20% to Two-Year High on Strong Earnings, Guidance
3M shares soared as the conglomerate beat profit and sales estimates under new CEO William Brown. The company also raised its full-year earnings guidance.
.
26 Jul 2024",0.8126
3M Corporation,"Yahoo Finance
3M Cut Its Dividend: It's Time to Buy the Stock
In its first quarter earnings announcement last week, 3M (NYSE: MMM) revealed that it will be cutting its dividend -- and that's actually good news.
.
7 May 2024",0.0772
3M Corporation,"MarketWatch
3M CEO in line for $26 million pension — as company freezes the plan for workers
Company accounts reveal that Roman, 63, has received a staggering $19.3 million boost to his company pension (and other nonqualified deferred compensation plans)...
.
9 Jan 2024",0.3818
3M Corporation,"The Motley Fool
3M's Healthcare Spinoff Is Set for April 1. Should You Buy the New Stock?
Healthcare investors will soon get a new stock they can invest in. 3M (MMM -0.44%) is in the midst of spinning off its healthcare business, and the stock is...
.
19 Mar 2024",-0.4404
3M Corporation,"Innovation in Textiles
3M leads new funding for CNT pioneer
Canatu, the manufacturer of advanced carbon nanotubes (CNTs) based in Vantaa, Finland, has closed an €18 million funding round led by long-standing investors.
.
1 Nov 2022",0.5574
3M Corporation,"The Motley Fool
Why 3M Stock Is Crashing Today
3M delivered a bottom-line beat in the fourth quarter despite top-line weakness. The company's 2024 guidance implies some downside risk.
.
23 Jan 2024",-0.5673
3M Corporation,"SHINE - BEYOND A SINGLE STORY
3M accelerates sustainable development in China
American company 3M has been accelerating sustainable development through Green Process & Produc.
.
11 Oct 2023",0.0
3M Corporation,"The Business Times
3M forecast falls short of estimates as consumers stay wary
3M forecast 2024 profits and sales growth below Wall Street expectations as it continues to contend with sluggish consumer demand that has weighed on growth.
.
23 Jan 2024",0.6249
3M Corporation,"PR Newswire
3M invests in green hydrogen leader Ohmium in continuing effort to advance breakthrough climate technologies
3M (NYSE: MMM) has completed a strategic investment in Ohmium International, a developer of electrolyzer systems for green hydrogen production.
.
16 Jul 2024",0.0
