company,headline,sentiment
Apple Inc,"Reuters
Apple retreats again, after valuation tops $3 trillion again
Apple Inc'sstock market value peaked on Tuesday for a second day above a $3 trillion, but the iPhone maker's shares again failed hold that gain by the...
.
4 Jan 2022",0.7003
Apple Inc,"Macworld
Why iMac G4 is still the greatest Mac ever made 20 years later
Two decades ago, Apple introduced the iMac G4, and the company again turned the market on its head. And in doing so, it created the greatest Mac it has ever...
.
7 Jan 2022",0.8928
Apple Inc,"CBS News
Apple becomes first U.S. company worth $3 trillion
Apple becomes first U.S. company worth $3 trillion ... On the first trading day of 2022, Apple marked a new milestone: it became the first U.S. company to reach a...
.
4 Jan 2022",0.4404
Apple Inc,"Reuters
Is Apple worth $3 trillion? Bulls, bears examine the case
Is Apple Inc really worth $3 trillion 16 months after becoming the first company valued at $2 trillion?
.
3 Jan 2022",0.7236
Apple Inc,"Deccan Herald
Hosur being positioned as a hub for electronics manufacturing
The industrial town of Hosur, located just outside Bengaluru, is likely to grab a substantial share of fresh investments that are expected to come into Tamil...
.
7 Jan 2022",0.6486
Apple Inc,"Deccan Herald
Apple CEO earned $98.7 mn in stock, salary in 2021: Report
Apple Inc boss Tim Cook's pay in 2021 was 1,447 times that of the average employee at the tech giant, a filing on Thursday showed, fueled by stock awards...
.
7 Jan 2022",-0.1027
Apple Inc,"CNBC Indonesia
Gokil! Warren Buffett Cuan Gede Rp 1.720 T dari Apple
Warren Buffett ikut ketiban berkah dari melonjaknya kapitalisasi pasar saham Apple Inc yang sempat menyentuh rekor US$ 3 triliun pada Senin (3/1).
.
5 Jan 2022",0.0
Apple Inc,"Al Jazeera
India competition watchdog orders probe into Apple’s business
The order comes in response to allegations that Apple was abusing its dominant position in the apps market.
.
3 Jan 2022",-0.4588
Apple Inc,"The Week
EXCLUSIVE: Intelligence note claims Chinese hand in Tamil Nadu Foxconn labour strike
(File) Private security guards stand at the entrance of a closed plant of Foxconn India, which makes iPhones for Apple Inc, near Chennai | Reuters.
.
4 Jan 2022",0.8567
Apple Inc,"TechCrunch
Chipolo takes on Tile with a new ‘lost wallet’ tracker that works with Apple’s Find My
An AirTag and Tile competitor called Chipolo has today launched a new product that allows consumers to locate their missing wallet through Apple's Find My.
.
4 Jan 2022",-0.1779
Apple Inc,"Computerworld
Apple is sneaking around its own privacy policy — and will regret it
Apple has a complicated relationship with privacy. It loves to tout its efforts, especially as a differentiator with Google. But actually delivering privacy...
.
7 Jan 2022",0.0516
Apple Inc,"CNBC
Apple becomes first U.S. company to reach $3 trillion market cap
Apple becomes first U.S. company to reach $3 trillion market cap ... Apple briefly hit a market cap of $3 trillion during intraday trading on Monday, before...
.
3 Jan 2022",0.0516
Apple Inc,"Cyprus Mail
Apple becomes first US company to hit $3 trillion market value
Apple Inc (AAPL.O) on Monday became the first US company to hit $3 trillion in market capitalization, thanks to investor confidence that the iPhone maker...
.
4 Jan 2022",0.8225
Apple Inc,"Business Standard
Foxconn crisis shows one of the many challenges Apple faces in India
Can India build mini-cities to support a large workforce dominated by young women who work in. massive factories that are being built to churn out mobile...
.
6 Jan 2022",-0.2732
Apple Inc,"Forbes
Apple Becomes 1st Company Worth $3 Trillion—Greater Than The GDP Of The UK
Apple Becomes 1st Company Worth $3 Trillion—Greater Than The GDP Of The UK ... I cover breaking news for Forbes. ... This article is more than 3 years old.
.
3 Jan 2022",0.4215
Apple Inc,"The Economic Times
Apple's m-cap at $3 trillion less than just 4 nations' GDP
Apple became the first company to scale a market cap of $3 trillion on Monday. The iphone maker broke the barrier when its share price hit $182.86 briefly.
.
4 Jan 2022",-0.2732
Apple Inc,"Fox Business
Apple CEO Tim Cook received nearly $100 million in compensation in 2021
Apple Inc. Chief Executive Officer Tim Cook received almost $100 million in compensation in 2021, a year in which he completed 10 years as the company's CEO...
.
7 Jan 2022",0.0
Apple Inc,"People Matters Global
Apple becomes world's first US$3 trillion company, worth more than some countries
Apple s share value rose for a brief period on Monday bringing its market capitalisation above US 3 trillion at one point - more than the annual GDP of most...
.
4 Jan 2022",0.6808
Apple Inc,"WSJ
Apple CEO Tim Cook Received Nearly $100 Million in Compensation in 2021
Chief Executive Officer Tim Cook received almost $100 million in compensation in 2021, a year in which he completed 10 years as the company's CEO.
.
6 Jan 2022",0.0
Apple Inc,"Business Plus
The Top 10 Female CEOs in Ireland
Research by headhunters Heidrick & Struggles showed 14% of publicly-listed Irish companies had female CEOs, compared to the European average of 6%.
.
1 Jan 2022",-0.1779
Apple Inc,"9to5Mac
AAPL hits $3 trillion market cap, Apple now first company to reach milestone valuation
The value of a single AAPL share hit around $182.90 during intraday trading, making Apple the first company in the world to be worth $3 trillion.
.
3 Jan 2022",0.6808
Apple Inc,"Al Jazeera
Apple becomes first company to reach $3 trillion market value
Apple becomes first company to reach $3 trillion market value. Shares of Apple rose as much as 3 percent on Monday – enough to vault it over the $3 trillion...
.
3 Jan 2022",0.7351
Apple Inc,"Holopis
Cetak Rekor, Kapitalisasi Pasar Apple Capai USD 3 Triliun
JAKARTA, HOLOPIS.COM - Perusahaan Teknologi Asal Amerika Serikat (AS) Apple Inc, berhasil menjadi perusahaan dengan nilai kapitakisasi pasar mencapai USD 3.
.
4 Jan 2022",0.0
Apple Inc,"AlphaStreet
AAPL Stock: What does the $3-trillion valuation mean for Apple?
Apple Inc. (NASDAQ: AAPL) has probably more achievements to its credit than any other company, and the gadget giant added one more feather in its cap this...
.
5 Jan 2022",0.3818
Apple Inc,"Communications Today
Apple set to step up product launches in 2022
After a modest set of device launches in 2021, Apple Inc. is set for a stronger 2022—with new iPhones, AirPods and potentially a VR headset...
.
4 Jan 2022",0.3818
Apple Inc,"Bloomberg Law News
Apple Legal Chief Adams Saw Pay Near $27 Million in 2021 (1)
Apple Inc. paid general counsel Katherine Adams $26.9 million in 2021, a slight increase in her total compensation from the previous year.
.
7 Jan 2022",0.34
Apple Inc,"News18
Apple Becomes World's First $3-Trillion Company, iPhone Maker Now Bigger than Indian Economy
Apple Inc on Monday became the first company with a $3 trillion stock market value, lifted by investor confidence that the iPhone maker will keep launching...
.
4 Jan 2022",0.6908
Apple Inc,"The New York Times
Apple Becomes First Company to Hit $3 Trillion Market Value (Published 2022)
Apple, the computer company that started in a California garage in 1976, is now worth $3 trillion. It became the first publicly traded company to ever reach the...
.
3 Jan 2022",0.5267
Apple Inc,"Berita Harian
Apple syarikat paling bernilai di dunia
NEW YORK: Saham pengeluar telefon pintar iPhone dan gergasi teknologi pengguna, Apple mencecah rekod tertinggi apabila permodalan pasarannya melepasi AS$3...
.
3 Jan 2022",0.0
Apple Inc,"Reuters
Apple becomes first company to hit $3 trillion market value, then slips
Apple Inc (AAPL.O) on Monday became the first company to hit a $3 trillion stock market value, before ending the day a hair below that milestone.
.
3 Jan 2022",0.5859
Apple Inc,"PressReader.com
Apple first to hit $3t
Apple Inc on Monday became the first company to hit a $3 trillion stock market value, before ending the day a hair below that milestone.
.
5 Jan 2022",0.34
Apple Inc,"Yahoo Finance
Apple hits $3 trillion market cap, becoming first company to hit the mark
Apple (AAPL) officially has a market capitalization of $3 trillion. The tech giant passed the $182.86 mark Monday, making it the first publicly traded...
.
3 Jan 2022",0.0
Apple Inc,"NDTV
Apple Value Tops $3 Trillion, A First In Corporate History
Apple Inc.'s stock-market value briefly rose above $3 trillion on Monday, shattering yet another record and underscoring how the pandemic has turbocharged...
.
4 Jan 2022",0.7964
Apple Inc,"Passionate In Marketing
Apple achieves a historic $3 trillion market cap
Apple Inc.'s stock market temporarily surpassed $3 trillion, shattering yet another record and demonstrating how the epidemic has accelerated Big Tech's...
.
5 Jan 2022",0.5267
Apple Inc,"ABC7 Los Angeles
Apple AirTags: Reports claim electronic tracking device used in stalking, theft
Apple AirTags have quickly become a popular item from the technology giant since they were released this year.
.
7 Jan 2022",0.4215
Apple Inc,"Reuters
Tim Cook earned over 1,400 times the average Apple worker in 2021
Apple Inc boss Tim Cook's pay in 2021 was 1447 times that of the average employee at the tech giant, a filing on Thursday showed, fueled by stock awards...
.
7 Jan 2022",-0.1027
Apple Inc,"The Peninsula Qatar
Apple becomes first company to hit $3 trillion market value
Apple Inc on Monday became the first company in the world to hit $3 trillion in market capitalization, thanks to investor confidence that the iPhone m...
.
3 Jan 2022",0.8225
Apple Inc,"CNN Indonesia
Apple Jadi Perusahaan Bernilai Rp40 Ribu Triliun Pertama di Dunia
Apple Inc, raksasa teknologi asal AS, menjadi perusahaan pertama di dunia mencapai valuasi US$3 triliun atau Rp40.083 triliun.
.
4 Jan 2022",0.0
Apple Inc,"Financial Times
Apple at $3tn: the enigma of Tim Cook
Apple's market value has grown by more than $700ma day from when Cook took over in August 2011 to this week when it struck $3tn, before falling back.
.
7 Jan 2022",-0.0516
Apple Inc,"Patently Apple
Apple won 43 Patents today covering an HMD with a Direct Retinal Projector System and Reflective Holographic Combiner & more
The U.S. Patent and Trademark Office officially published a series of 43 newly granted patents for Apple Inc. today. In this particular report we briefly...
.
4 Jan 2022",0.6908
Apple Inc,"Digital Trends
How to Use Sign in With Apple on Mac and PC
For a faster, more private way to create accounts and log into third-party apps and websites, you can use Sign in with Apple.
.
6 Jan 2022",0.2732
Apple Inc,"New York Post
Here’s what Steve Jobs might have been worth with Apple valued at $3 trillion
Apple on Monday became the first company to hit a market capitalization of $3 trillion — more than nine times what the company was worth when founder...
.
3 Jan 2022",0.6908
Apple Inc,"BBC
Apple becomes first firm to hit $3tn market value
US technology giant Apple has become the first company to hit a stock market valuation of $3tn (£2.2tn).
.
3 Jan 2022",0.34
Apple Inc,"The Business Journals
Stock awards launch Apple CEO Tim Cook's 2021 pay into the stratosphere
Apple CEO Tim Cook at the 77th Annual Golden Globe Awards in 2020. Apple's new SEC filing shows just how much the company appreciates having him at the helm.
.
7 Jan 2022",0.836
Apple Inc,"Man's World India
Apple’s Suspenseful New Apple Watch Ad Draws On Real Life-Death Situations
In a new '911' video, Apple highlighted deadly memories from Apple Watch owners, as they managed to survive using the help of the nifty wearable device.
.
3 Jan 2022",0.6597
Apple Inc,"The Guardian
Apple boss Tim Cook was paid nearly $100m last year, filings show
Figure represents a 570% increase on previous year, and was 1447 times the average Apple employee's pay.
.
7 Jan 2022",0.2263
Apple Inc,"Financial Times
Apple is vulnerable to a new breed of activist
In 2013, Carl Icahn took on the biggest company in the world. The activist built a 1 per cent stake in Apple, slammed its “ridiculous” cash hoarding,...
.
7 Jan 2022",-0.2263
Apple Inc,"WSJ
Apple Briefly Tops $3 Trillion Market Cap
Apple Inc. AAPL 1.91%increase; green up pointing triangle briefly touched $3 trillion in market value, making it the first U.S. company to do so.
.
3 Jan 2022",0.6908
Apple Inc,"Inc.com
Apple Just Became the World's First $3 Trillion Company Because of a 4-Word Quote From Steve Jobs 15 Years Ago
Apple Just Became the World's First $3 Trillion Company Because of a 4-Word Quote From Steve Jobs 15 Years Ago. The iPhone changed everything. ... On Monday,...
.
4 Jan 2022",0.0
Apple Inc,"Al Jazeera
Visualising Apple’s $3 trillion market valuation
It took just 17 months for Apple Inc's stock market valuation to surge from $2 trillion to $3 trillion. Shares of the iPhone maker briefly hit $182.88.
.
6 Jan 2022",0.296
Apple Inc,"Investopedia
Apple (AAPL) Becomes World's First $3 Trillion Company
Apple Inc. (AAPL) briefly became the world's first $3 trillion company on Jan. 3, 2022. 1 The tech giant crossed the mark during intraday trading.
.
3 Jan 2022",0.0
Apple Inc,"AppleInsider
Apple becomes the world's first company with a $3 trillion market cap
Apple becomes the world's first company with a $3 trillion market cap ... Apple has eclipsed $3 trillion in market capitalization, becoming the very first...
.
3 Jan 2022",0.0
Apple Inc,"Seeking Alpha
Apple Stock: Strongest Competitive Advantage (NASDAQ:AAPL)
Apple's Ecosystem is the company's strongest competitive advantage, giving it unprecedented strength in withstanding disruption and competitive threats in...
.
3 Jan 2022",0.9042
Apple Inc,"The Malaysian Reserve
Taiwan’s giants are being hit by India culture shock
A YEAR after Apple Inc supplier Wistron Corp faced an uprising in India, its larger rival Foxconn Technology Group is encountering a similar rebuke.
.
5 Jan 2022",-0.3818
Apple Inc,"PM News Nigeria
Apple Inc market value eight times Nigeria’s GDP
Apple Inc market value eight times Nigeria's GDP ... Nigeria with $400 billion GDP is Africa's biggest economy. But its economic value is dwarfed eight times by...
.
4 Jan 2022",0.6705
Apple Inc,"Adda247
Apple becomes world’s first company to hit $3 trillion M-Cap
hit $3 trillion and became the world's first company to do so. The market cap of Apple hit $182.86 per share, which made it the world's first company to touch...
.
5 Jan 2022",0.296
Apple Inc,"Reuters
Apple's top lawyer made $27 million in 2021
Apple Inc general counsel Kate Adams' total compensation rose again in fiscal 2021, reaching almost $27 million, a regulatory filing shows.
.
7 Jan 2022",0.3818
Apple Inc,"SCC Online
Apple charging a commission of up to 30% on all payments made through its in-app purchase system, is a violation of its dominant position? CCI orders investigation
Competition Commission of India (CCI): Coram of Ashok Kumar Gupta (Chairperson) and Sangeeta Verma, Bhagwant Singh Bishnoi (Members) directs the...
.
3 Jan 2022",-0.4939
Apple Inc,"New York Post
Apple CEO Tim Cook made nearly $100M in 2021
2021 marked a decade of service for Cook as Apple's CEO, as the tech giant reported annual sales of nearly $366 billion despite the ongoing impact of the...
.
7 Jan 2022",0.0
