Date,Actual_Close,Predicted_Close
2024-01-02,243.91,246.35483
2024-01-03,244.94,241.77618
2024-01-04,249.0,244.87427
2024-01-05,229.0,245.2754
2024-01-08,225.76,224.01393
2024-01-09,227.84,224.19223
2024-01-10,222.66,226.87497
2024-01-11,217.7,220.99176
2024-01-12,200.52,217.71481
2024-01-16,203.06,203.36879
2024-01-17,211.61,206.7138
2024-01-18,215.02,210.55762
2024-01-19,214.93,209.56422
2024-01-22,211.5,210.48634
2024-01-23,214.13,207.80629
2024-01-24,201.88,217.2073
2024-01-25,205.47,201.00949
2024-01-26,205.19,207.4817
2024-01-29,200.44,205.26497
2024-01-30,211.04,198.17998
2024-01-31,209.81,209.58685
2024-02-01,209.38,209.52861
2024-02-02,206.63,206.20103
2024-02-05,208.58,204.74118
2024-02-06,211.92,206.48288
2024-02-07,209.22,209.21713
2024-02-08,209.2,205.74857
2024-02-09,209.33,208.93483
2024-02-12,204.46,209.2716
2024-02-13,203.38,203.05725
2024-02-14,205.33,202.11057
2024-02-15,203.89,203.3494
2024-02-16,203.37,204.08717
2024-02-20,201.57,203.2461
2024-02-21,201.5,200.47194
2024-02-22,200.83,201.272
2024-02-23,200.54,200.66573
2024-02-26,201.4,199.73967
2024-02-27,207.0,200.51698
2024-02-28,203.72,203.98938
2024-02-29,200.0,203.75128
2024-03-01,200.54,200.40372
2024-03-04,201.14,202.29907
2024-03-05,201.0,202.24638
2024-03-06,203.03,203.5277
2024-03-07,198.49,204.75195
2024-03-08,192.49,198.42976
2024-03-11,184.24,197.46136
2024-03-12,182.35,182.21915
2024-03-13,181.15,180.84122
2024-03-14,182.53,183.56126
2024-03-15,179.84,182.23915
2024-03-18,181.14,182.00224
2024-03-19,187.78,181.4056
2024-03-20,187.7,186.84534
2024-03-21,188.85,186.55667
2024-03-22,191.41,186.25041
2024-03-25,187.5,187.71051
2024-03-26,191.95,187.95786
2024-03-27,192.99,188.18332
2024-03-28,189.5,190.00708
2024-04-01,188.04,190.64165
2024-04-02,184.92,188.78015
2024-04-03,183.29,185.93216
2024-04-04,183.14,180.39894
2024-04-05,181.56,182.626
2024-04-08,178.12,181.42593
2024-04-09,174.63,182.50809
2024-04-10,173.36,183.39738
2024-04-11,169.55,175.76778
2024-04-12,167.82,172.06851
2024-04-15,170.55,173.8612
2024-04-16,170.21,173.74403
2024-04-17,170.23,172.73581
2024-04-18,169.82,173.30913
2024-04-19,170.48,171.6451
2024-04-22,169.18,170.00575
2024-04-23,164.33,169.65416
2024-04-24,166.81,167.459
2024-04-25,167.22,167.14685
2024-04-26,173.49,166.31953
2024-04-29,167.84,171.8149
2024-04-30,171.46,170.41145
2024-05-01,178.85,169.10426
2024-05-02,179.79,178.66463
2024-05-03,178.35,180.39491
2024-05-06,176.71,177.36145
2024-05-07,180.35,175.02856
2024-05-08,181.25,178.39665
2024-05-09,178.51,181.48468
2024-05-10,178.44,178.99533
2024-05-13,180.76,178.08305
2024-05-14,176.99,181.7775
2024-05-15,182.96,177.9942
2024-05-16,184.95,182.31773
2024-05-17,186.61,188.7234
2024-05-20,184.78,190.96112
2024-05-21,186.28,185.4482
2024-05-22,172.21,188.43797
2024-05-23,174.52,175.12155
2024-05-24,175.08,174.27591
2024-05-28,171.65,174.43971
2024-05-29,172.75,171.04144
2024-05-30,177.61,171.00052
2024-05-31,184.57,179.9113
2024-06-03,188.62,179.7529
2024-06-04,189.85,191.20749
2024-06-05,191.42,188.04257
2024-06-06,190.24,188.63995
2024-06-07,190.12,191.23463
2024-06-10,185.5,189.88873
2024-06-11,182.67,183.25461
2024-06-12,180.7,182.8158
2024-06-13,177.27,180.80417
2024-06-14,178.39,178.04048
2024-06-17,174.99,179.8576
2024-06-18,176.3,175.02734
2024-06-20,176.56,175.72945
2024-06-21,179.1,177.22731
2024-06-24,175.1,179.3869
2024-06-25,178.5,177.07468
2024-06-26,182.51,177.26018
2024-06-27,182.01,179.43472
2024-06-28,186.7,180.83636
2024-07-01,185.42,185.67784
2024-07-02,184.31,182.8481
2024-07-03,184.83,182.54922
2024-07-05,185.84,186.2335
2024-07-08,183.24,181.33263
2024-07-09,183.73,180.38637
2024-07-10,183.91,184.1233
2024-07-11,182.31,183.1774
2024-07-12,179.11,181.4822
2024-07-15,186.05,180.08553
2024-07-16,184.84,183.31258
2024-07-17,180.23,183.43369
2024-07-18,179.67,187.21976
2024-07-19,178.9,178.02283
2024-07-22,186.48,182.31567
2024-07-23,180.07,187.13663
2024-07-24,184.35,179.72029
2024-07-25,186.89,184.63774
2024-07-26,185.43,186.90775
2024-07-29,186.86,183.33824
2024-07-30,190.6,185.35017
2024-07-31,178.31,189.99728
2024-08-01,169.95,177.06007
2024-08-02,167.03,173.52072
2024-08-05,165.04,174.62672
2024-08-06,163.24,169.16974
2024-08-07,168.87,168.1043
2024-08-08,167.91,171.21237
2024-08-09,164.13,168.68687
2024-08-12,168.76,166.86568
2024-08-13,168.5,167.54219
2024-08-14,176.41,167.72636
2024-08-15,179.99,173.15768
2024-08-16,179.64,177.98141
2024-08-19,172.1,178.8051
2024-08-20,173.43,171.10625
2024-08-21,172.76,174.17683
2024-08-22,174.96,175.95645
2024-08-23,173.48,175.931
2024-08-26,173.05,178.30675
2024-08-27,170.71,173.94443
2024-08-28,172.26,176.59644
2024-08-29,173.74,174.64642
2024-08-30,161.02,174.40135
2024-09-03,163.22,168.90778
2024-09-04,162.15,167.07736
2024-09-05,157.62,164.63551
2024-09-06,162.91,161.66586
2024-09-09,160.07,166.0487
2024-09-10,161.33,162.54115
2024-09-11,162.77,163.07123
2024-09-12,156.77,161.35252
2024-09-13,155.55,161.82463
2024-09-16,156.39,159.2004
2024-09-17,155.11,156.85071
2024-09-18,154.59,158.96834
2024-09-19,153.29,154.83801
2024-09-20,156.3,155.74997
2024-09-23,155.81,156.14397
2024-09-24,152.22,157.40788
2024-09-25,154.58,155.25763
2024-09-26,156.32,155.01521
2024-09-27,152.04,154.88023
2024-09-30,154.22,154.71179
2024-10-01,152.89,154.31836
2024-10-02,150.52,154.52798
2024-10-03,155.0,152.45619
2024-10-04,155.91,155.22458
2024-10-07,154.65,156.06511
2024-10-08,149.37,154.95584
2024-10-09,146.62,153.08234
2024-10-10,151.02,150.4979
2024-10-11,148.99,150.40593
2024-10-14,152.35,150.76897
2024-10-15,154.9,150.88956
2024-10-16,155.31,153.4041
2024-10-17,155.0,155.30153
2024-10-18,159.82,154.72678
2024-10-21,159.88,157.40254
2024-10-22,157.06,158.26663
2024-10-23,155.2,155.6138
2024-10-24,155.01,153.71425
2024-10-25,150.69,153.94937
2024-10-28,152.98,151.11122
2024-10-29,154.29,153.18498
2024-10-30,149.31,152.81096
2024-10-31,154.59,151.85715
2024-11-01,155.07,154.07881
2024-11-04,151.0,155.3776
2024-11-05,147.16,154.19011
2024-11-06,150.98,152.72044
2024-11-07,151.68,153.0162
2024-11-08,148.96,150.70468
2024-11-11,145.17,151.71355
2024-11-12,139.97,151.40712
2024-11-13,138.14,143.4089
2024-11-14,140.19,140.83293
2024-11-15,143.87,142.14072
2024-11-18,145.6,145.62386
2024-11-19,146.08,143.9389
2024-11-20,143.41,146.71196
2024-11-21,149.29,141.70633
2024-11-22,153.1,150.66336
2024-11-25,150.76,155.63866
2024-11-26,152.4,151.00832
2024-11-27,155.44,152.39647
2024-11-29,156.54,154.56511
2024-12-02,155.0,154.68771
2024-12-03,158.28,152.9256
2024-12-04,156.67,157.03241
2024-12-05,153.93,155.46146
2024-12-06,157.04,154.71259
2024-12-09,164.1,156.41835
2024-12-10,165.96,163.17282
2024-12-11,167.75,164.90422
2024-12-12,169.65,167.96371
2024-12-13,173.17,168.615
2024-12-16,173.03,174.21632
2024-12-17,172.62,173.27335
2024-12-18,177.04,173.12022
2024-12-19,177.35,180.40746
2024-12-20,177.69,178.74472
2024-12-23,179.34,176.79181
2024-12-24,180.38,179.8288
2024-12-26,180.72,180.11891
2024-12-27,176.55,180.43489
