Date,Actual_Close,Predicted_Close
2024-01-02,284.3,289.80115
2024-01-03,286.1,281.1191
2024-01-04,288.93,281.481
2024-01-05,292.25,283.24866
2024-01-08,292.29,287.03055
2024-01-09,293.35,289.0819
2024-01-10,292.06,291.08292
2024-01-11,290.41,292.18015
2024-01-12,287.23,288.7735
2024-01-16,278.63,286.428
2024-01-17,281.9,278.70557
2024-01-18,285.28,281.06827
2024-01-19,288.67,282.77728
2024-01-22,288.83,288.6411
2024-01-23,290.68,288.46387
2024-01-24,300.77,292.68906
2024-01-25,299.43,288.38492
2024-01-26,303.25,297.27768
2024-01-29,304.76,294.34845
2024-01-30,300.31,299.44208
2024-01-31,307.69,296.98776
2024-02-01,315.09,303.28494
2024-02-02,321.4,306.76898
2024-02-05,322.72,315.47867
2024-02-06,323.59,319.33105
2024-02-07,322.0,321.19193
2024-02-08,317.16,319.80527
2024-02-09,321.63,316.1523
2024-02-12,312.84,316.20523
2024-02-13,316.71,316.8024
2024-02-14,323.07,318.89026
2024-02-15,321.91,321.94867
2024-02-16,313.74,322.29977
2024-02-20,317.14,314.43198
2024-02-21,322.09,317.55057
2024-02-22,323.88,320.4657
2024-02-23,325.38,321.73337
2024-02-26,327.63,322.96442
2024-02-27,329.56,323.02185
2024-02-28,333.96,326.18848
2024-02-29,336.7,332.02747
2024-03-01,338.65,333.4241
2024-03-04,333.53,336.79584
2024-03-05,335.63,335.09933
2024-03-06,340.22,335.79868
2024-03-07,339.19,335.49756
2024-03-08,334.97,338.06622
2024-03-11,337.24,338.22006
2024-03-12,341.52,335.9998
2024-03-13,341.92,340.25006
2024-03-14,346.97,340.65628
2024-03-15,351.9,345.5142
2024-03-18,353.9,349.18942
2024-03-19,356.45,351.24008
2024-03-20,364.56,355.20706
2024-03-21,358.11,361.12216
2024-03-22,355.95,357.3793
2024-03-25,356.39,355.25305
2024-03-26,364.65,356.02173
2024-03-27,366.43,358.95142
2024-03-28,363.74,363.0605
2024-04-01,364.83,360.9972
2024-04-02,375.79,363.15976
2024-04-03,369.79,371.3797
2024-04-04,379.3,369.4864
2024-04-05,373.47,375.11688
2024-04-08,371.9,375.0467
2024-04-09,372.07,374.61572
2024-04-10,371.98,372.1453
2024-04-11,365.63,372.32883
2024-04-12,363.91,369.94867
2024-04-15,359.88,365.9929
2024-04-16,358.32,359.0895
2024-04-17,357.93,357.26657
2024-04-18,354.66,357.59958
2024-04-19,357.61,354.33466
2024-04-22,363.25,357.37646
2024-04-23,363.52,359.52997
2024-04-24,338.0,359.50803
2024-04-25,343.38,347.0749
2024-04-26,349.8,346.9981
2024-04-29,334.57,353.5163
2024-04-30,331.07,334.19016
2024-05-01,335.44,332.35364
2024-05-02,336.75,334.44424
2024-05-03,342.1,336.79636
2024-05-06,345.0,342.05566
2024-05-07,344.5,343.06805
2024-05-08,351.78,343.9684
2024-05-09,354.79,342.15344
2024-05-10,356.68,355.62177
2024-05-13,358.18,357.24722
2024-05-14,360.04,359.67447
2024-05-15,350.72,359.36395
2024-05-16,356.27,346.7219
2024-05-17,362.75,358.24243
2024-05-20,359.07,359.55264
2024-05-21,355.94,358.8022
2024-05-22,350.7,357.22632
2024-05-23,348.9,345.06396
2024-05-24,346.47,351.2097
2024-05-28,338.11,349.23428
