Date,Actual_Close,Predicted_Close
2024-01-02,152.33,149.67635
2024-01-03,150.66,152.23613
2024-01-04,150.4,151.30592
2024-01-05,149.5,151.03432
2024-01-08,145.7,150.69794
2024-01-09,144.5,146.46799
2024-01-10,145.28,145.73962
2024-01-11,147.27,145.5188
2024-01-12,143.69,145.85658
2024-01-16,143.12,145.23189
2024-01-17,141.82,144.2071
2024-01-18,142.24,143.4834
2024-01-19,142.49,143.58733
2024-01-22,142.09,143.38284
2024-01-23,144.92,143.1697
2024-01-24,148.57,144.06349
2024-01-25,149.14,146.96768
2024-01-26,149.08,147.85725
2024-01-29,150.12,148.57674
2024-01-30,147.43,150.58488
2024-01-31,147.89,147.30971
2024-02-01,152.24,147.89973
2024-02-02,152.33,151.51689
2024-02-05,152.35,151.5288
2024-02-06,152.13,151.78418
2024-02-07,154.06,150.73657
2024-02-08,151.04,153.54248
2024-02-09,152.08,150.21616
2024-02-12,150.6,151.337
2024-02-13,151.01,150.62415
2024-02-14,154.46,149.72021
2024-02-15,154.63,152.32616
2024-02-16,154.0,154.14201
2024-02-20,155.44,154.83815
2024-02-21,155.43,156.45428
2024-02-22,154.66,156.30397
2024-02-23,154.45,156.32501
2024-02-26,152.16,154.32918
2024-02-27,152.34,153.79395
2024-02-28,152.01,153.26753
2024-02-29,152.81,152.93942
2024-03-01,148.88,153.53854
2024-03-04,149.59,149.19157
2024-03-05,148.33,148.19077
2024-03-06,149.37,148.0555
2024-03-07,149.88,148.15468
2024-03-08,152.0,148.47464
2024-03-11,151.89,150.7955
2024-03-12,153.89,150.87325
2024-03-13,155.7,152.60883
2024-03-14,155.55,154.75697
2024-03-15,155.41,155.4605
2024-03-18,156.62,154.89233
2024-03-19,154.55,156.00946
2024-03-20,154.86,153.62091
2024-03-21,154.66,152.87935
2024-03-22,156.47,153.76024
2024-03-25,155.27,155.85226
2024-03-26,156.35,155.34933
2024-03-27,157.74,155.5416
2024-03-28,159.08,155.70975
2024-04-01,159.78,158.46144
2024-04-02,160.44,159.43709
2024-04-03,160.69,158.30006
2024-04-04,161.6,160.78682
2024-04-05,161.27,161.88698
2024-04-08,162.0,161.06068
2024-04-09,162.67,162.8076
2024-04-10,161.89,162.69417
2024-04-11,158.96,162.84714
2024-04-12,157.59,158.78932
2024-04-15,156.28,157.26266
2024-04-16,156.4,156.29147
2024-04-17,157.57,158.23259
2024-04-18,160.0,156.75876
2024-04-19,161.92,160.05759
2024-04-22,162.85,162.1076
2024-04-23,163.57,162.80081
2024-04-24,165.28,163.70499
2024-04-25,165.89,165.23807
2024-04-26,166.33,165.67862
2024-04-29,161.27,167.28024
2024-04-30,159.63,163.50467
2024-05-01,160.73,158.73032
2024-05-02,160.25,162.48381
2024-05-03,162.3,159.74586
2024-05-06,162.67,163.18457
2024-05-07,162.54,163.28491
2024-05-08,165.45,162.81973
2024-05-09,165.82,166.69905
2024-05-10,164.53,166.34427
2024-05-13,163.61,165.2759
2024-05-14,163.05,162.6355
2024-05-15,161.09,162.97845
2024-05-16,162.67,162.02249
2024-05-17,161.14,162.99304
2024-05-20,159.97,161.52927
2024-05-21,157.57,160.55573
2024-05-22,156.94,157.56479
2024-05-23,157.75,156.28511
2024-05-24,159.04,158.40738
2024-05-28,156.9,160.09062
2024-05-29,158.26,154.96138
2024-05-30,162.3,159.00981
2024-05-31,157.46,161.47728
2024-06-03,156.13,156.67574
2024-06-04,154.98,155.02734
2024-06-05,155.93,155.62413
2024-06-06,156.08,155.62303
2024-06-07,156.74,154.90115
2024-06-10,156.49,157.01588
2024-06-11,154.22,155.97054
2024-06-12,152.84,154.02603
2024-06-13,152.57,151.75806
2024-06-14,153.19,151.52017
2024-06-17,153.33,152.5024
2024-06-18,156.64,152.90073
2024-06-20,155.28,156.3692
2024-06-21,159.31,156.17105
2024-06-24,158.46,157.65323
2024-06-25,155.95,159.26831
2024-06-26,156.32,155.38326
2024-06-27,156.42,155.88347
2024-06-28,156.52,156.42557
2024-07-01,156.75,155.75197
2024-07-02,156.71,156.28204
2024-07-03,154.31,155.83534
2024-07-05,154.33,154.83871
2024-07-08,152.98,154.37192
2024-07-09,155.13,154.61299
2024-07-10,155.26,156.86122
2024-07-11,155.59,156.79189
2024-07-12,158.04,155.88129
2024-07-15,157.77,158.27017
2024-07-16,161.23,158.36714
2024-07-17,161.97,160.60428
2024-07-18,159.15,161.36174
2024-07-19,156.99,160.4409
2024-07-22,154.09,157.3109
2024-07-23,155.07,153.0182
2024-07-24,157.54,156.36487
2024-07-25,157.84,157.3005
2024-07-26,156.6,158.71886
2024-07-29,159.57,155.75702
2024-07-30,160.47,159.27737
2024-07-31,152.62,159.56015
2024-08-01,148.55,154.3097
2024-08-02,144.66,152.71046
2024-08-05,143.23,146.21501
2024-08-06,142.41,143.9733
2024-08-07,144.49,142.47975
2024-08-08,144.99,144.08582
2024-08-09,145.02,144.34406
2024-08-12,144.15,144.61331
2024-08-13,144.67,144.98695
2024-08-14,146.8,144.36882
2024-08-15,147.27,145.2519
2024-08-16,146.83,144.48865
2024-08-19,144.69,146.38243
2024-08-20,145.32,144.70067
2024-08-21,145.73,145.03339
2024-08-22,147.62,145.28438
2024-08-23,148.5,149.2605
2024-08-26,146.95,148.4462
2024-08-27,146.0,148.36101
2024-08-28,147.42,146.46301
2024-08-29,147.95,148.63097
2024-08-30,144.66,149.50146
2024-09-03,142.07,144.98091
2024-09-04,140.93,143.95358
2024-09-05,138.56,142.01166
2024-09-06,140.3,143.23048
2024-09-09,138.23,141.99321
2024-09-10,137.88,142.19041
2024-09-11,139.21,139.09546
2024-09-12,140.61,138.64394
2024-09-13,142.09,140.96832
2024-09-16,143.41,143.15456
2024-09-17,143.96,144.14882
2024-09-18,144.99,145.04303
2024-09-19,145.68,148.21587
2024-09-20,147.54,145.54422
2024-09-23,147.45,148.5677
2024-09-24,143.97,149.57138
