Date,Actual_Close,Predicted_Close
2024-01-02,381.79,379.7674
2024-01-03,382.95,380.49298
2024-01-04,386.44,377.49524
2024-01-05,388.86,383.37344
2024-01-08,383.74,383.71332
2024-01-09,381.96,385.20996
2024-01-10,379.75,380.81424
2024-01-11,377.75,376.45145
2024-01-12,380.45,376.1979
2024-01-16,377.18,378.95734
2024-01-17,376.91,375.0765
2024-01-18,382.2,370.889
2024-01-19,385.96,373.1714
2024-01-22,380.77,379.30203
2024-01-23,379.4,367.66125
2024-01-24,382.7,374.42368
2024-01-25,377.79,378.42575
2024-01-26,380.56,377.51276
2024-01-29,386.87,378.85126
2024-01-30,384.01,368.8431
2024-01-31,383.85,374.81757
2024-02-01,387.86,370.64273
2024-02-02,383.02,378.82596
2024-02-05,384.99,384.09958
2024-02-06,386.66,386.07953
2024-02-07,385.04,384.88666
2024-02-08,384.26,385.01303
2024-02-09,392.64,382.99548
2024-02-12,378.75,379.65564
2024-02-13,378.04,379.127
2024-02-14,385.42,376.42838
2024-02-15,384.44,378.22995
2024-02-16,384.52,382.93726
2024-02-20,388.27,385.1884
2024-02-21,390.47,385.73975
2024-02-22,391.05,385.59464
2024-02-23,390.22,389.29187
2024-02-26,390.81,388.80057
2024-02-27,393.18,389.6895
2024-02-28,389.05,381.6571
2024-02-29,388.1,392.2754
2024-03-01,392.25,385.80972
2024-03-04,390.91,387.6696
2024-03-05,389.57,388.63156
2024-03-06,388.43,389.19965
2024-03-07,386.99,390.32352
2024-03-08,386.16,386.8961
2024-03-11,388.18,386.7245
2024-03-12,392.31,387.45117
2024-03-13,388.61,387.434
2024-03-14,387.21,389.85007
2024-03-15,384.37,388.4268
2024-03-18,388.66,386.53348
2024-03-19,396.47,386.13208
2024-03-20,413.71,389.4416
2024-03-21,406.82,407.29343
2024-03-22,404.94,407.33
2024-03-25,406.18,406.67075
2024-03-26,415.25,404.10696
2024-03-27,417.69,407.64618
2024-03-28,413.51,412.61716
2024-04-01,410.15,413.23364
2024-04-02,414.0,409.08734
2024-04-03,406.25,411.5283
2024-04-04,408.07,411.8424
2024-04-05,410.54,409.04828
2024-04-08,410.71,410.8702
2024-04-09,400.76,409.5844
