Date,Actual_Close,Predicted_Close
2024-01-02,160.97,157.71642
2024-01-03,160.63,160.5926
2024-01-04,161.13,160.53589
2024-01-05,161.53,162.31723
2024-01-08,161.63,162.65504
2024-01-09,161.87,161.66013
2024-01-10,161.15,162.0648
2024-01-11,162.39,162.33682
2024-01-12,160.52,163.12718
2024-01-16,160.43,161.1877
2024-01-17,161.21,160.47266
2024-01-18,161.68,161.42432
2024-01-19,162.47,161.64278
2024-01-22,159.81,161.94844
2024-01-23,158.96,160.3181
2024-01-24,159.56,159.0894
2024-01-25,159.5,159.9022
2024-01-26,159.36,159.99304
2024-01-29,158.77,159.46478
2024-01-30,158.9,162.16342
2024-01-31,158.36,160.5059
2024-02-01,156.61,158.89728
2024-02-02,155.8,155.71968
2024-02-05,158.06,155.50922
2024-02-06,157.98,158.2777
2024-02-07,156.4,157.62654
2024-02-08,156.76,156.01756
2024-02-09,157.85,158.06728
2024-02-12,156.47,157.29851
2024-02-13,155.74,156.3672
2024-02-14,157.92,156.2154
2024-02-15,156.55,158.03511
2024-02-16,157.86,156.27417
2024-02-20,158.68,157.11964
2024-02-21,160.45,159.67102
2024-02-22,161.84,160.40504
2024-02-23,160.79,161.58548
2024-02-26,160.98,161.05074
2024-02-27,161.55,161.84682
2024-02-28,161.38,161.99255
2024-02-29,162.12,161.83134
2024-03-01,159.84,162.11258
2024-03-04,159.97,159.8635
2024-03-05,159.34,160.99294
2024-03-06,158.87,159.9532
2024-03-07,159.52,159.17989
2024-03-08,161.23,159.5403
2024-03-11,162.74,161.23105
2024-03-12,161.1,162.2572
2024-03-13,159.21,160.45021
2024-03-14,158.18,159.16739
2024-03-15,156.76,157.87958
2024-03-18,156.21,157.0868
2024-03-19,155.76,156.8349
2024-03-20,155.75,156.48894
2024-03-21,155.23,156.35187
2024-03-22,155.22,155.66228
2024-03-25,155.77,155.7979
2024-03-26,157.96,156.00569
2024-03-27,158.19,157.89188
2024-03-28,157.78,157.79756
2024-04-01,157.73,158.50398
2024-04-02,154.26,157.40222
2024-04-03,152.5,154.17375
2024-04-04,152.39,151.61986
2024-04-05,151.59,152.8595
2024-04-08,152.29,152.23628
2024-04-09,150.2,152.22266
2024-04-10,148.79,149.03783
2024-04-11,147.52,147.5602
2024-04-12,147.59,147.22879
2024-04-15,144.45,147.74706
2024-04-16,144.77,149.12122
2024-04-17,145.74,147.43471
2024-04-18,147.91,147.8153
2024-04-19,149.12,148.27286
2024-04-22,149.56,149.38908
2024-04-23,148.53,149.7028
2024-04-24,146.82,148.6016
2024-04-25,146.14,148.00423
2024-04-26,146.82,147.70949
2024-04-29,144.59,147.53629
2024-04-30,151.18,146.1431
2024-05-01,149.92,151.13115
2024-05-02,149.27,150.1656
2024-05-03,148.58,150.40504
2024-05-06,148.72,149.49925
2024-05-07,148.95,149.64877
2024-05-08,149.85,150.21025
2024-05-09,149.91,150.77763
2024-05-10,151.22,150.50764
2024-05-13,151.38,151.94836
2024-05-14,152.67,153.46379
2024-05-15,154.28,153.86623
2024-05-16,154.64,155.9795
2024-05-17,151.27,155.86412
2024-05-20,151.24,153.4597
2024-05-21,153.5,151.81256
2024-05-22,149.7,152.92741
2024-05-23,146.97,152.62239
2024-05-24,144.38,148.8977
2024-05-28,144.44,146.05963
2024-05-29,145.28,146.5549
2024-05-30,146.67,147.48943
2024-05-31,147.74,147.01547
2024-06-03,147.8,148.59024
2024-06-04,145.97,148.02806
2024-06-05,146.42,145.77818
2024-06-06,147.08,146.23969
2024-06-07,147.13,147.75322
2024-06-10,146.76,147.27672
2024-06-11,145.41,147.82175
2024-06-12,145.45,147.53885
2024-06-13,145.54,147.19624
2024-06-14,145.95,146.58804
2024-06-17,145.65,148.4303
2024-06-18,147.78,147.09207
2024-06-20,148.75,147.45662
2024-06-21,149.12,148.77638
2024-06-24,147.19,149.88081
2024-06-25,146.82,146.2191
2024-06-26,145.8,146.87704
2024-06-27,146.16,145.17824
2024-06-28,146.44,146.055
2024-07-01,146.03,146.56763
2024-07-02,145.69,146.0975
2024-07-03,146.48,146.70905
2024-07-05,145.48,146.54611
2024-07-08,147.05,146.56145
2024-07-09,149.43,146.66031
2024-07-10,149.7,148.8764
2024-07-11,149.88,149.3639
2024-07-12,149.24,150.00508
2024-07-15,151.01,148.64203
2024-07-16,156.58,151.51324
2024-07-17,155.42,155.42079
2024-07-18,154.69,155.40355
2024-07-19,154.24,154.98088
2024-07-22,152.35,153.74059
2024-07-23,156.28,152.18549
2024-07-24,159.64,154.02957
2024-07-25,160.64,160.29651
2024-07-26,158.56,159.59265
2024-07-29,161.33,157.1752
2024-07-30,157.85,162.4096
2024-07-31,160.76,158.25279
2024-08-01,164.14,160.25606
2024-08-02,161.25,165.42484
2024-08-05,158.97,162.55818
2024-08-06,158.9,160.74748
2024-08-07,160.22,160.62814
2024-08-08,160.62,160.26321
2024-08-09,159.88,160.39035
2024-08-12,158.39,161.26584
2024-08-13,158.48,159.53165
2024-08-14,159.09,159.15556
2024-08-15,159.39,159.72253
2024-08-16,159.63,159.5209
2024-08-19,160.16,159.12927
2024-08-20,161.43,159.6086
2024-08-21,162.35,160.85222
2024-08-22,164.13,161.46776
2024-08-23,164.61,162.44046
2024-08-26,162.95,162.83891
2024-08-27,163.92,162.72905
2024-08-28,164.23,163.67194
2024-08-29,165.86,163.90894
2024-08-30,167.16,163.62419
2024-09-03,167.36,165.42194
2024-09-04,164.99,167.054
2024-09-05,164.38,166.02126
2024-09-06,166.61,164.4823
2024-09-09,167.38,166.06883
2024-09-10,164.82,166.67729
2024-09-11,164.64,165.94717
2024-09-12,165.52,165.10992
2024-09-13,166.99,165.12305
2024-09-16,167.07,166.26651
2024-09-17,166.15,166.83264
2024-09-18,164.82,165.68149
2024-09-19,164.16,164.93935
2024-09-20,163.22,163.31108
2024-09-23,162.78,163.40384
2024-09-24,160.6,162.29315
2024-09-25,161.39,161.08253
2024-09-26,161.4,160.58174
2024-09-27,162.06,160.6484
2024-09-30,161.99,161.64323
2024-10-01,161.17,161.47258
2024-10-02,160.5,161.11497
2024-10-03,160.29,160.55516
2024-10-04,159.53,159.85892
2024-10-07,159.69,158.50175
2024-10-08,160.65,159.3989
2024-10-09,160.51,160.60336
2024-10-10,161.46,160.30365
2024-10-11,161.6,161.68944
2024-10-14,164.1,161.36154
2024-10-15,164.28,163.89482
2024-10-16,164.47,164.97984
2024-10-17,165.12,163.5138
2024-10-18,162.83,164.56932
2024-10-21,163.45,162.3323
2024-10-22,165.86,163.40546
2024-10-23,163.67,165.3775
2024-10-24,160.88,164.90936
2024-10-25,161.6,162.03601
2024-10-28,160.09,162.14911
2024-10-29,160.61,160.87354
2024-10-30,159.86,161.18526
2024-10-31,160.13,160.38708
2024-11-01,158.24,160.68109
2024-11-04,158.35,158.34534
2024-11-05,157.88,157.92647
2024-11-06,156.73,157.02528
2024-11-07,155.47,155.19403
2024-11-08,155.04,155.56052
2024-11-11,152.64,154.57451
2024-11-12,153.24,151.68373
2024-11-13,151.87,152.45905
2024-11-14,154.0,152.18867
2024-11-15,154.77,150.9298
2024-11-18,153.0,152.81392
2024-11-19,153.11,152.64345
2024-11-20,155.5,152.91895
2024-11-21,155.17,155.86559
2024-11-22,155.78,154.37941
2024-11-25,154.52,156.94002
2024-11-26,155.4,153.67938
2024-11-27,155.01,154.84236
2024-11-29,154.8,155.06293
2024-12-02,152.36,154.8585
2024-12-03,150.47,152.41898
2024-12-04,149.52,150.40442
2024-12-05,149.31,148.538
2024-12-06,149.6,148.73302
2024-12-09,149.23,149.81981
2024-12-10,146.64,148.10191
2024-12-11,146.24,145.55229
2024-12-12,146.62,145.69571
2024-12-13,143.85,146.05785
2024-12-16,146.41,147.88042
2024-12-17,144.75,147.33258
2024-12-18,143.58,147.8503
2024-12-19,144.47,146.54092
2024-12-20,145.27,147.4947
2024-12-23,145.85,146.55768
2024-12-24,145.58,145.97224
2024-12-26,145.05,146.09111
2024-12-27,143.34,145.71387
