Date,Actual_Close,Predicted_Close
2024-01-02,171.33,170.90425
2024-01-03,171.41,171.09666
2024-01-04,172.27,171.10991
2024-01-05,172.02,171.35352
2024-01-08,170.66,171.8182
2024-01-09,171.02,171.35054
2024-01-10,170.3,171.04971
2024-01-11,169.05,170.44318
2024-01-12,167.99,168.43082
2024-01-16,167.09,167.79425
2024-01-17,167.42,167.10211
2024-01-18,170.31,165.42067
2024-01-19,170.11,169.23615
2024-01-22,168.99,169.41252
2024-01-23,170.5,167.60725
2024-01-24,172.94,168.51906
2024-01-25,172.28,171.35219
2024-01-26,172.73,172.16405
2024-01-29,176.27,171.26707
2024-01-30,174.36,174.51266
2024-01-31,173.73,174.26399
2024-02-01,174.73,173.70941
2024-02-02,174.5,174.2141
2024-02-05,175.1,174.13976
2024-02-06,175.43,174.63763
2024-02-07,174.8,174.93036
2024-02-08,175.01,174.76123
2024-02-09,175.79,174.71233
2024-02-12,174.26,175.31572
2024-02-13,176.03,175.32864
2024-02-14,179.87,174.56618
2024-02-15,179.03,177.76231
2024-02-16,179.73,178.16713
2024-02-20,180.9,178.38397
2024-02-21,183.07,178.27673
2024-02-22,183.99,182.04381
2024-02-23,183.36,182.24493
2024-02-26,183.45,182.34378
2024-02-27,184.38,183.216
2024-02-28,186.06,183.6553
2024-02-29,185.29,185.42334
2024-03-01,186.68,185.2032
2024-03-04,188.55,185.43202
2024-03-05,189.53,187.71269
2024-03-06,187.87,188.54898
2024-03-07,188.22,187.59016
2024-03-08,188.29,188.24265
2024-03-11,189.84,188.32599
2024-03-12,191.38,188.3034
2024-03-13,187.97,189.76213
2024-03-14,190.3,188.75232
2024-03-15,192.66,190.05605
2024-03-18,193.79,190.46207
2024-03-19,196.33,192.87471
2024-03-20,199.06,194.2757
2024-03-21,196.62,198.32526
2024-03-22,194.82,197.51102
2024-03-25,195.73,195.18622
2024-03-26,199.52,195.63127
2024-03-27,200.3,197.06137
2024-03-28,198.94,197.95744
2024-04-01,198.86,198.11847
2024-04-02,198.3,198.72743
2024-04-03,195.65,198.74316
2024-04-04,197.45,196.86603
2024-04-05,198.48,197.57709
2024-04-08,197.15,198.0508
2024-04-09,195.47,197.164
2024-04-10,195.43,195.96288
2024-04-11,182.79,195.66518
2024-04-12,182.89,187.9027
2024-04-15,180.8,183.02673
2024-04-16,180.08,180.70331
2024-04-17,181.25,180.50731
2024-04-18,185.8,182.7939
2024-04-19,189.41,186.95296
2024-04-22,192.14,190.27794
2024-04-23,193.08,190.49081
2024-04-24,193.37,192.83502
2024-04-25,193.49,193.17096
2024-04-26,193.28,193.63148
2024-04-29,191.74,194.27509
2024-04-30,191.86,191.26535
2024-05-01,191.66,192.79208
2024-05-02,190.51,190.93108
2024-05-03,192.0,191.43268
2024-05-06,191.75,191.49019
2024-05-07,195.65,191.92188
2024-05-08,197.5,195.25555
2024-05-09,198.77,196.23576
2024-05-10,198.73,197.71037
2024-05-13,201.51,198.39516
