Date,Actual_Close,Predicted_Close
2024-01-02,59.96,59.322342
2024-01-03,59.76,59.51024
2024-01-04,59.67,59.71046
2024-01-05,60.11,59.978466
2024-01-08,60.0,59.79709
2024-01-09,60.2,60.093357
2024-01-10,59.81,60.45369
2024-01-11,60.39,59.829662
2024-01-12,59.99,60.49229
2024-01-16,59.99,60.16534
2024-01-17,60.16,60.06796
2024-01-18,59.83,60.144592
2024-01-19,59.57,60.012325
2024-01-22,59.85,59.477776
2024-01-23,58.91,60.05456
2024-01-24,59.16,59.572815
2024-01-25,59.37,59.296425
2024-01-26,59.73,59.52063
2024-01-29,59.9,59.818085
2024-01-30,59.49,59.94993
2024-01-31,60.98,59.923916
2024-02-01,60.54,60.015713
2024-02-02,60.04,60.12871
2024-02-05,59.94,60.230938
2024-02-06,59.99,60.079113
2024-02-07,59.83,60.20723
2024-02-08,59.56,59.942997
2024-02-09,59.7,59.494778
2024-02-12,59.35,60.014896
2024-02-13,59.29,59.982
2024-02-14,59.4,59.641396
2024-02-15,59.39,59.594227
2024-02-16,60.7,59.58348
2024-02-20,61.24,60.411613
2024-02-21,61.15,60.94356
2024-02-22,61.2,60.73184
2024-02-23,60.71,61.552174
2024-02-26,60.34,61.111324
2024-02-27,60.4,60.01505
2024-02-28,60.02,60.469242
2024-02-29,59.53,60.185127
2024-03-01,59.81,59.787914
2024-03-04,59.52,59.967133
2024-03-05,59.55,59.70705
2024-03-06,59.44,59.98535
2024-03-07,59.52,59.935204
2024-03-08,60.24,59.773506
2024-03-11,60.5,60.54549
2024-03-12,61.12,60.244576
2024-03-13,60.5,60.755157
2024-03-14,59.88,60.702396
2024-03-15,60.13,59.77153
2024-03-18,60.23,59.902554
2024-03-19,60.75,60.196426
2024-03-20,60.47,60.66961
2024-03-21,60.49,60.226994
2024-03-22,60.4,60.10456
2024-03-25,60.54,60.319195
2024-03-26,61.03,60.309097
2024-03-27,61.18,60.996334
2024-03-28,60.68,61.467808
2024-04-01,60.15,60.9379
2024-04-02,59.83,60.233784
2024-04-03,59.3,59.81184
2024-04-04,59.51,59.290333
2024-04-05,59.27,60.19241
2024-04-08,59.72,59.412834
2024-04-09,58.92,60.010494
2024-04-10,59.05,58.863667
2024-04-11,58.28,59.180813
2024-04-12,58.14,58.26657
2024-04-15,58.06,58.341263
2024-04-16,58.51,58.1593
2024-04-17,58.91,58.119495
2024-04-18,60.17,58.802326
2024-04-19,60.55,60.243843
2024-04-22,60.64,60.477318
2024-04-23,61.55,60.807194
2024-04-24,61.74,61.798607
2024-04-25,61.74,61.430218
2024-04-26,62.04,61.53045
2024-04-29,61.77,61.81123
2024-04-30,61.93,61.66819
2024-05-01,61.99,61.735332
2024-05-02,62.17,61.759644
2024-05-03,62.35,61.61002
2024-05-06,62.62,62.467323
2024-05-07,62.85,62.55731
2024-05-08,62.88,62.841087
2024-05-09,63.26,62.79652
2024-05-10,63.58,63.152523
2024-05-13,63.1,63.54389
2024-05-14,63.13,63.16273
2024-05-15,63.32,63.18309
2024-05-16,63.03,63.19084
2024-05-17,62.57,63.182888
2024-05-20,62.91,62.93134
2024-05-21,63.0,62.629765
2024-05-22,62.09,62.915382
2024-05-23,62.0,60.687122
2024-05-24,61.82,61.21434
2024-05-28,61.7,61.387516
2024-05-29,61.97,61.451805
2024-05-30,62.93,61.698643
2024-05-31,62.93,62.02439
2024-06-03,63.94,62.72482
2024-06-04,63.92,62.749043
2024-06-05,64.15,63.57778
2024-06-06,63.91,63.789467
2024-06-07,63.59,63.84035
2024-06-10,63.55,63.343437
2024-06-11,62.88,63.40609
2024-06-12,62.99,63.35249
2024-06-13,62.55,63.36718
2024-06-14,62.62,63.230236
2024-06-17,62.63,63.209812
2024-06-18,62.18,62.696976
2024-06-20,62.77,61.76431
