Date,Actual_Close,Predicted_Close
2024-01-02,294.39,295.7596
2024-01-03,291.74,294.83673
2024-01-04,288.99,291.68506
2024-01-05,291.9,289.31943
2024-01-08,290.87,294.05115
2024-01-09,294.09,291.92957
2024-01-10,294.15,295.54288
2024-01-11,293.47,293.83865
2024-01-12,291.09,293.2309
2024-01-16,291.16,291.37332
2024-01-17,294.36,291.0326
2024-01-18,300.53,294.04575
2024-01-19,298.41,295.05563
2024-01-22,300.05,295.66104
2024-01-23,300.44,297.72812
2024-01-24,297.21,297.5674
2024-01-25,292.26,296.45856
2024-01-26,292.31,293.32083
2024-01-29,294.65,294.74365
2024-01-30,292.72,293.79648
2024-01-31,298.08,294.15958
2024-02-01,297.05,295.77307
2024-02-02,285.97,294.2747
2024-02-05,284.65,288.26843
2024-02-06,287.33,284.62158
2024-02-07,291.93,290.32266
2024-02-08,289.47,291.6294
2024-02-09,289.44,289.12164
2024-02-12,287.11,289.45615
2024-02-13,288.17,288.913
2024-02-14,291.86,288.48132
2024-02-15,292.02,290.9842
2024-02-16,292.65,291.85513
2024-02-20,293.91,292.96368
2024-02-21,295.92,293.14465
2024-02-22,297.75,293.99457
2024-02-23,297.12,295.58698
2024-02-26,293.76,294.12076
2024-02-27,295.19,292.59167
2024-02-28,292.28,294.94638
2024-02-29,290.73,293.72238
2024-03-01,290.94,291.8319
2024-03-04,292.54,290.37473
2024-03-05,292.93,292.7711
2024-03-06,291.11,293.30927
2024-03-07,292.55,291.5324
2024-03-08,294.82,292.57816
2024-03-11,294.31,295.04343
2024-03-12,282.86,295.39462
2024-03-13,281.73,285.4229
2024-03-14,279.14,282.45984
2024-03-15,278.58,280.23724
2024-03-18,282.87,278.6492
2024-03-19,284.45,281.80835
2024-03-20,283.53,283.6666
2024-03-21,282.63,283.23685
2024-03-22,278.62,283.72296
2024-03-25,278.62,279.646
2024-03-26,282.02,278.15222
2024-03-27,281.95,282.11862
2024-03-28,280.22,282.18167
2024-04-01,277.74,278.94235
2024-04-02,275.54,278.73752
2024-04-03,270.09,272.87234
2024-04-04,266.69,269.8419
2024-04-05,267.56,262.12598
2024-04-08,269.44,257.91354
2024-04-09,268.67,264.51566
2024-04-10,268.62,263.22656
2024-04-11,267.39,265.9408
2024-04-12,266.23,262.64767
2024-04-15,265.43,264.79193
2024-04-16,269.95,261.28513
2024-04-17,270.98,264.7334
2024-04-18,271.99,268.25662
2024-04-19,275.58,270.93417
2024-04-22,276.88,270.46844
2024-04-23,276.75,272.7553
2024-04-24,275.6,274.97626
2024-04-25,273.09,274.82788
2024-04-26,273.55,272.14862
2024-04-29,273.04,272.94513
2024-04-30,274.43,271.90567
2024-05-01,273.28,273.71823
2024-05-02,270.32,273.33078
2024-05-03,269.3,269.65738
2024-05-06,267.5,269.21152
2024-05-07,268.49,267.53558
2024-05-08,267.95,268.8206
2024-05-09,275.0,268.07864
2024-05-10,271.32,271.52924
2024-05-13,270.66,272.17563
2024-05-14,273.87,271.07632
2024-05-15,273.51,272.14743
2024-05-16,272.38,272.83997
2024-05-17,267.87,271.62808
2024-05-20,265.87,269.97333
2024-05-21,265.77,267.72885
2024-05-22,257.93,267.69724
2024-05-23,258.11,259.3764
2024-05-24,253.54,256.32666
2024-05-28,249.37,253.04886
2024-05-29,252.07,249.81357
2024-05-30,258.89,251.70447
2024-05-31,259.75,254.38574
2024-06-03,262.72,259.37433
2024-06-04,259.99,261.9623
2024-06-05,260.72,259.46634
2024-06-06,256.21,260.055
2024-06-07,253.81,255.68861
2024-06-10,254.28,255.26225
2024-06-11,254.48,254.72621
2024-06-12,253.7,255.57922
2024-06-13,253.58,254.40161
2024-06-14,253.51,255.63947
2024-06-17,250.79,254.57135
2024-06-18,253.8,253.47887
2024-06-20,259.39,254.5389
2024-06-21,260.38,259.3302
2024-06-24,257.38,260.1132
2024-06-25,257.83,256.55392
2024-06-26,258.17,256.9793
2024-06-27,254.84,256.72797
2024-06-28,249.99,256.0133
2024-07-01,247.79,255.34988
2024-07-02,250.0,254.08632
2024-07-03,251.09,250.35516
2024-07-05,247.85,253.27136
2024-07-08,245.82,251.57631
2024-07-09,250.49,250.05095
2024-07-10,254.8,250.83543
2024-07-11,253.9,258.4415
2024-07-12,251.53,254.04504
2024-07-15,257.27,250.34894
2024-07-16,261.0,255.06784
2024-07-17,259.52,260.9113
2024-07-18,257.28,259.69604
2024-07-19,259.54,257.52313
2024-07-22,254.05,259.6253
2024-07-23,253.37,255.70818
2024-07-24,251.46,253.88109
2024-07-25,252.0,252.84769
2024-07-26,261.42,256.55157
2024-07-29,266.44,263.56036
2024-07-30,265.4,265.1177
2024-07-31,268.75,260.70175
2024-08-01,276.69,269.62067
2024-08-02,268.45,275.3638
2024-08-05,270.06,271.83704
2024-08-06,269.37,271.86652
2024-08-07,271.19,270.528
2024-08-08,267.91,272.2001
2024-08-09,269.46,268.4566
2024-08-12,270.31,270.7607
2024-08-13,271.15,269.88135
2024-08-14,274.87,270.63092
2024-08-15,278.49,273.26764
2024-08-16,287.55,277.8666
2024-08-19,285.63,286.965
2024-08-20,289.71,284.351
2024-08-21,289.21,288.54166
2024-08-22,289.52,288.3197
2024-08-23,288.68,288.2778
2024-08-26,289.64,289.37814
2024-08-27,287.05,288.22635
2024-08-28,287.86,288.59152
2024-08-29,288.66,288.9116
2024-08-30,285.52,288.4461
2024-09-03,288.03,285.7977
2024-09-04,287.97,289.1803
2024-09-05,289.51,288.84613
2024-09-06,291.29,289.3912
2024-09-09,291.27,290.3151
2024-09-10,290.23,290.48712
2024-09-11,292.35,290.52808
2024-09-12,296.53,292.9215
2024-09-13,296.69,294.219
2024-09-16,293.75,295.34515
2024-09-17,292.03,295.69305
2024-09-18,293.85,292.5601
2024-09-19,296.83,293.2187
2024-09-20,299.06,294.81082
2024-09-23,300.27,296.72598
2024-09-24,300.47,298.9394
2024-09-25,303.65,299.28787
2024-09-26,303.69,300.19772
2024-09-27,304.51,298.95728
2024-09-30,302.98,297.4372
2024-10-01,303.76,300.43762
2024-10-02,303.45,302.90475
2024-10-03,303.76,301.3249
2024-10-04,300.85,303.98862
2024-10-07,301.9,301.9895
2024-10-08,303.83,301.42035
2024-10-09,304.04,301.9984
2024-10-10,305.04,303.26096
2024-10-11,309.84,303.81445
2024-10-14,313.34,305.7188
2024-10-15,312.92,312.00262
2024-10-16,314.7,312.13318
2024-10-17,316.56,312.70047
2024-10-18,314.89,314.07242
2024-10-21,314.69,313.58078
2024-10-22,298.57,314.34595
2024-10-23,301.58,305.19574
2024-10-24,292.61,303.65265
2024-10-25,296.79,290.77997
2024-10-28,295.0,294.72772
2024-10-29,291.52,294.07803
2024-10-30,292.11,290.32944
2024-10-31,295.21,289.9929
2024-11-01,292.85,290.42554
2024-11-04,297.32,288.95734
2024-11-05,294.0,298.2079
2024-11-06,294.66,293.1443
2024-11-07,298.97,294.5303
2024-11-08,301.53,297.3171
2024-11-11,298.65,300.368
2024-11-12,297.35,299.69037
2024-11-13,298.56,296.1684
2024-11-14,292.63,297.75305
2024-11-15,291.1,294.90536
2024-11-18,290.73,292.37115
2024-11-19,290.91,290.49573
2024-11-20,288.47,291.12283
2024-11-21,290.28,289.62054
2024-11-22,296.19,289.54163
2024-11-25,296.33,295.69165
2024-11-26,295.08,294.00992
2024-11-27,296.01,293.82184
2024-11-29,292.44,293.81116
2024-12-02,294.5,292.82553
2024-12-03,295.09,292.9721
2024-12-04,299.47,295.09286
2024-12-05,298.98,297.50024
2024-12-06,301.37,299.6819
2024-12-09,300.71,296.51962
2024-12-10,296.1,299.72043
2024-12-11,296.63,293.34238
2024-12-12,296.6,294.84796
2024-12-13,297.71,295.7986
2024-12-16,296.08,296.78186
2024-12-17,290.88,296.6532
2024-12-18,290.23,290.52615
2024-12-19,292.68,290.9047
2024-12-20,291.29,293.22067
2024-12-23,293.99,290.90472
2024-12-24,294.8,294.2854
2024-12-26,293.62,294.56525
2024-12-27,289.6,294.0748
