Date,Actual_Close,Predicted_Close
2024-01-02,370.6,372.2471
2024-01-03,367.94,371.29416
2024-01-04,367.75,368.1308
2024-01-05,374.69,367.48184
2024-01-08,375.79,372.22122
2024-01-09,382.77,373.92596
2024-01-10,384.63,376.54016
2024-01-11,388.47,380.5352
2024-01-12,390.27,379.40698
2024-01-16,389.47,381.36188
2024-01-17,393.87,387.16946
2024-01-18,398.67,390.1004
2024-01-19,396.51,395.3585
2024-01-22,398.9,395.1247
2024-01-23,402.56,396.389
2024-01-24,404.87,400.91345
2024-01-25,403.93,399.93802
2024-01-26,409.72,403.22397
2024-01-29,408.59,406.78632
2024-01-30,397.58,407.61652
2024-01-31,403.78,396.69608
2024-02-01,411.22,404.27985
2024-02-02,405.65,401.9734
2024-02-05,405.49,406.0126
2024-02-06,414.05,408.2962
2024-02-07,414.11,405.416
2024-02-08,420.55,411.54462
2024-02-09,415.26,416.466
2024-02-12,406.32,416.6121
2024-02-13,409.49,404.312
2024-02-14,406.56,411.68338
2024-02-15,404.06,409.43665
2024-02-16,402.79,403.50626
2024-02-20,402.18,402.5013
2024-02-21,411.65,401.92526
2024-02-22,410.34,410.51367
2024-02-23,407.54,404.64624
2024-02-26,407.48,406.8121
2024-02-27,407.72,406.7078
2024-02-28,413.64,401.30548
2024-02-29,415.5,412.16772
2024-03-01,414.92,410.7702
2024-03-04,402.65,413.98853
2024-03-05,402.09,408.5132
2024-03-06,409.14,406.66348
2024-03-07,406.22,408.75665
2024-03-08,404.52,406.92538
2024-03-11,415.28,405.71005
2024-03-12,415.1,411.566
2024-03-13,425.22,415.31503
2024-03-14,416.42,411.2
2024-03-15,417.32,404.75858
2024-03-18,421.41,412.6182
2024-03-19,425.23,412.6773
2024-03-20,429.37,421.6719
2024-03-21,428.74,423.97183
2024-03-22,422.86,417.7172
2024-03-25,421.65,420.8122
2024-03-26,421.43,421.5663
2024-03-27,420.72,422.2101
2024-03-28,424.57,424.24127
2024-04-01,421.44,422.8612
2024-04-02,420.45,420.57397
2024-04-03,417.88,421.4122
2024-04-04,425.52,412.6543
2024-04-05,424.59,426.64664
2024-04-08,426.28,422.13513
2024-04-09,423.26,425.6309
2024-04-10,427.93,423.54044
2024-04-11,421.9,420.22122
2024-04-12,413.64,424.30814
2024-04-15,414.58,415.9555
2024-04-16,411.84,416.40207
2024-04-17,404.27,411.28506
2024-04-18,399.12,403.7262
2024-04-19,400.96,399.30325
2024-04-22,407.57,399.3559
2024-04-23,409.06,408.87274
2024-04-24,399.04,409.3009
2024-04-25,406.32,400.3459
2024-04-26,402.25,403.22708
2024-04-29,389.33,406.46756
2024-04-30,394.94,388.34982
2024-05-01,397.84,396.06558
2024-05-02,406.66,394.66086
2024-05-03,413.54,399.65842
2024-05-06,409.34,407.3121
2024-05-07,410.54,408.50894
2024-05-08,412.32,408.21814
2024-05-09,414.74,409.14743
2024-05-10,413.72,410.96838
2024-05-13,416.56,414.33887
2024-05-14,423.08,415.63678
2024-05-15,420.99,422.51065
2024-05-16,420.21,420.0145
2024-05-17,425.34,419.8204
2024-05-20,429.04,423.1725
2024-05-21,430.52,424.6406
2024-05-22,427.0,429.037
2024-05-23,430.16,427.42065
2024-05-24,430.32,425.46045
2024-05-28,429.17,427.0694
2024-05-29,414.67,428.5607
2024-05-30,415.13,415.49323
2024-05-31,413.52,418.05606
2024-06-03,416.07,414.29422
2024-06-04,424.01,414.09747
2024-06-05,424.52,423.6424
2024-06-06,423.85,424.137
2024-06-07,427.87,424.726
2024-06-10,432.68,424.22034
2024-06-11,441.06,428.6966
2024-06-12,441.58,427.35257
2024-06-13,442.57,437.14
2024-06-14,448.37,434.25287
2024-06-17,446.34,444.99405
2024-06-18,445.7,446.19604
2024-06-20,449.78,445.6466
2024-06-21,447.67,447.42413
2024-06-24,450.95,447.4304
2024-06-25,452.16,449.68692
2024-06-26,452.85,450.55478
2024-06-27,446.95,451.05972
2024-06-28,456.73,448.53745
2024-07-01,459.28,451.87772
2024-07-02,460.77,454.29703
2024-07-03,467.56,457.58383
2024-07-05,466.24,465.1579
2024-07-08,459.54,465.8609
2024-07-09,466.25,456.29944
2024-07-10,454.7,461.0073
2024-07-11,453.55,457.74188
2024-07-12,453.96,456.07394
2024-07-15,449.52,454.47388
2024-07-16,443.52,450.3724
2024-07-17,440.37,446.9515
2024-07-18,437.11,444.28687
2024-07-19,442.94,437.26035
2024-07-22,444.85,440.88147
2024-07-23,428.9,445.11725
2024-07-24,418.4,422.12646
2024-07-25,425.27,414.69977
2024-07-26,426.73,421.93256
2024-07-29,422.92,423.32904
2024-07-30,418.35,418.36224
2024-07-31,417.11,423.78128
2024-08-01,408.49,418.81192
2024-08-02,395.15,403.05383
2024-08-05,399.61,396.29196
2024-08-06,398.43,400.81467
2024-08-07,402.69,398.98026
2024-08-08,406.02,401.084
2024-08-09,406.81,403.1434
2024-08-12,414.01,405.10016
2024-08-13,416.86,409.82632
2024-08-14,421.03,417.06836
2024-08-15,418.47,419.39117
2024-08-16,421.53,417.5967
2024-08-19,424.8,420.48312
2024-08-20,424.14,424.13925
2024-08-21,415.55,423.06467
2024-08-22,416.79,421.80792
2024-08-23,413.49,420.12476
2024-08-26,413.84,413.3926
2024-08-27,410.6,414.29178
2024-08-28,413.12,407.76727
2024-08-29,417.14,415.4972
2024-08-30,409.44,417.00204
2024-09-03,408.9,403.6478
2024-09-04,408.39,404.71106
2024-09-05,401.7,401.10312
2024-09-06,405.72,403.04327
2024-09-09,414.2,402.45227
2024-09-10,423.04,411.1809
2024-09-11,427.0,418.80087
2024-09-12,430.59,422.61194
2024-09-13,431.34,428.8161
2024-09-16,435.15,432.12244
2024-09-17,430.81,435.52982
2024-09-18,438.69,434.75894
2024-09-19,435.27,440.85397
2024-09-20,433.51,438.8004
2024-09-23,429.17,436.89706
2024-09-24,432.11,427.76935
2024-09-25,431.31,437.27505
2024-09-26,428.02,435.81558
2024-09-27,430.3,428.19247
2024-09-30,420.69,434.9331
2024-10-01,417.13,422.98007
2024-10-02,416.54,417.94257
2024-10-03,416.06,415.10916
2024-10-04,409.54,415.81775
2024-10-07,414.71,400.81055
2024-10-08,417.46,413.73886
2024-10-09,415.84,419.6308
2024-10-10,416.32,413.65543
2024-10-11,419.14,416.77356
2024-10-14,418.74,418.17047
2024-10-15,416.12,419.5276
2024-10-16,416.72,416.27103
2024-10-17,418.16,416.63892
2024-10-18,418.78,418.8573
2024-10-21,427.51,422.5447
2024-10-22,424.6,426.23328
2024-10-23,424.73,426.12283
2024-10-24,428.15,425.7636
2024-10-25,426.59,428.46167
2024-10-28,431.95,428.23022
2024-10-29,432.53,432.75418
2024-10-30,406.35,432.26917
2024-10-31,410.37,410.23004
2024-11-01,408.46,411.29956
2024-11-04,411.46,407.24423
2024-11-05,420.18,409.8885
2024-11-06,425.43,421.34778
2024-11-07,422.54,427.62756
2024-11-08,418.01,422.76138
2024-11-11,423.03,419.93277
2024-11-12,425.2,424.4406
2024-11-13,426.89,425.87048
2024-11-14,415.0,428.408
2024-11-15,415.76,417.7527
2024-11-18,417.79,413.44644
2024-11-19,415.49,415.661
2024-11-20,412.87,418.90323
2024-11-21,417.0,415.1085
2024-11-22,418.79,421.5376
2024-11-25,427.99,422.97028
2024-11-26,422.99,425.6085
2024-11-27,423.46,423.73428
2024-11-29,430.98,425.87802
2024-12-02,431.2,429.61823
2024-12-03,437.42,429.1903
2024-12-04,442.62,436.1501
2024-12-05,443.57,440.14813
2024-12-06,446.02,434.74396
2024-12-09,443.33,445.75452
2024-12-10,448.99,444.05362
2024-12-11,449.56,447.48886
2024-12-12,447.27,446.41464
2024-12-13,451.59,449.81046
2024-12-16,454.46,450.87894
2024-12-17,437.39,453.98456
2024-12-18,437.03,447.43558
2024-12-19,436.6,436.80215
2024-12-20,435.25,434.02017
2024-12-23,439.33,435.76062
2024-12-24,438.11,439.34283
2024-12-26,430.53,436.59375
2024-12-27,424.83,427.45657
