Date,Actual_Close,Predicted_Close
2024-01-02,191.3,190.40979
2024-01-03,192.54,190.5831
2024-01-04,193.07,190.93454
2024-01-05,192.31,190.50262
2024-01-08,192.2,190.46484
2024-01-09,193.09,192.36348
2024-01-10,194.87,192.40184
2024-01-11,195.56,187.34541
2024-01-12,196.71,190.24489
2024-01-16,197.5,195.7407
2024-01-17,198.35,196.74718
2024-01-18,211.67,197.69023
2024-01-19,213.86,210.8048
2024-01-22,210.98,212.23795
2024-01-23,210.98,211.19247
2024-01-24,211.52,211.05736
2024-01-25,211.43,211.11218
2024-01-26,211.12,211.08646
2024-01-29,213.54,211.21576
2024-01-30,211.36,213.12057
2024-01-31,212.02,211.48756
2024-02-01,214.82,211.88722
2024-02-02,213.08,212.53441
2024-02-05,213.01,214.2326
2024-02-06,214.22,213.66875
2024-02-07,213.81,212.9911
2024-02-08,214.5,213.4132
2024-02-09,214.69,213.746
2024-02-12,215.95,213.90796
2024-02-13,216.62,214.57217
2024-02-14,219.02,215.68437
2024-02-15,217.53,218.27536
2024-02-16,220.1,218.1527
2024-02-20,219.48,218.59665
2024-02-21,222.3,218.75328
2024-02-22,220.96,220.25711
2024-02-23,220.08,221.01242
2024-02-26,221.88,220.59492
2024-02-27,220.42,221.27316
2024-02-28,220.96,220.17375
2024-02-29,218.82,220.40677
2024-03-01,219.07,219.74733
2024-03-04,219.13,219.29451
2024-03-05,220.62,219.2596
2024-03-06,219.4,220.03589
2024-03-07,218.45,219.77083
2024-03-08,219.02,218.3482
2024-03-11,220.46,218.04797
2024-03-12,223.49,219.52603
2024-03-13,221.42,221.22307
2024-03-14,220.93,221.36687
2024-03-15,221.92,221.56868
2024-03-18,223.63,221.36798
2024-03-19,224.99,222.51855
2024-03-20,226.13,223.03775
2024-03-21,224.45,224.3131
2024-03-22,225.53,224.5252
2024-03-25,225.33,224.75233
2024-03-26,228.83,225.25235
2024-03-27,230.14,227.04324
2024-03-28,228.16,228.93655
2024-04-01,227.85,228.35063
2024-04-02,229.06,227.62355
2024-04-03,228.5,228.40024
2024-04-04,230.89,228.83841
2024-04-05,230.59,228.69061
2024-04-08,223.84,229.29349
2024-04-09,224.38,227.51044
2024-04-10,220.4,224.56065
2024-04-11,221.1,222.34013
2024-04-12,221.06,221.8443
2024-04-15,223.12,221.14752
2024-04-16,206.58,220.94463
2024-04-17,210.42,211.24529
2024-04-18,214.07,211.701
2024-04-19,214.27,214.27048
2024-04-22,214.32,214.14241
2024-04-23,213.43,213.6345
2024-04-24,213.99,214.01547
2024-04-25,213.45,214.25638
2024-04-26,212.9,213.64406
2024-04-29,212.16,213.73138
2024-04-30,213.15,212.31004
2024-05-01,214.37,212.90175
2024-05-02,213.85,214.32938
2024-05-03,215.91,213.93391
2024-05-06,216.97,215.73232
2024-05-07,217.34,216.27908
2024-05-08,219.42,217.2135
2024-05-09,218.5,219.03343
2024-05-10,216.58,218.00061
2024-05-13,217.59,216.93256
2024-05-14,214.35,218.20256
2024-05-15,219.22,213.7946
2024-05-16,219.71,218.38182
2024-05-17,215.6,217.82245
2024-05-20,216.25,217.24524
2024-05-21,216.54,217.49084
2024-05-22,212.24,217.11526
2024-05-23,213.33,215.80753
2024-05-24,210.37,214.15355
2024-05-28,210.07,211.77415
2024-05-29,212.49,210.73932
2024-05-30,215.7,213.95282
2024-05-31,210.34,215.58308
2024-06-03,209.64,212.46735
2024-06-04,208.41,212.90785
2024-06-05,209.71,210.06851
2024-06-06,212.95,209.52899
2024-06-07,213.0,213.71605
2024-06-10,209.41,212.87413
2024-06-11,207.26,210.10794
2024-06-12,207.07,208.52643
2024-06-13,205.85,207.8651
2024-06-14,208.13,206.65833
2024-06-17,208.51,206.82716
2024-06-18,211.97,208.28812
2024-06-20,209.8,213.65614
2024-06-21,211.09,209.74963
2024-06-24,208.72,211.11568
2024-06-25,205.74,208.398
2024-06-26,206.95,207.15265
2024-06-27,203.34,207.47597
2024-06-28,202.97,206.97336
2024-07-01,203.66,204.04083
2024-07-02,203.69,206.48842
2024-07-03,201.87,204.33838
2024-07-05,204.23,202.59424
2024-07-08,203.14,203.54129
2024-07-09,207.19,203.25241
2024-07-10,208.95,206.21153
2024-07-11,211.6,207.89287
2024-07-12,213.4,211.2696
2024-07-15,217.79,210.91225
2024-07-16,220.8,214.47658
2024-07-17,220.6,218.86034
2024-07-18,203.48,220.93661
2024-07-19,205.42,209.737
2024-07-22,208.53,207.42245
2024-07-23,207.73,210.19165
2024-07-24,209.23,206.59248
2024-07-25,213.85,208.53098
2024-07-26,213.93,212.75972
2024-07-29,220.42,212.82668
2024-07-30,216.44,216.48709
2024-07-31,212.05,216.2435
2024-08-01,214.53,213.71968
2024-08-02,208.61,215.08395
2024-08-05,208.28,208.82594
2024-08-06,209.37,209.75052
2024-08-07,211.68,209.39738
2024-08-08,212.48,213.96458
2024-08-09,209.73,214.01707
2024-08-12,210.88,210.60767
2024-08-13,214.09,211.39488
2024-08-14,216.43,214.83894
2024-08-15,216.57,215.13
2024-08-16,218.95,215.39279
2024-08-19,217.02,213.9395
2024-08-20,216.92,215.60008
2024-08-21,217.86,216.08997
2024-08-22,221.82,215.5357
2024-08-23,222.78,217.93289
2024-08-26,223.64,222.09865
2024-08-27,224.4,224.21188
2024-08-28,226.33,224.5058
2024-08-29,228.07,225.07974
2024-08-30,227.87,227.42502
2024-09-03,231.42,227.60786
2024-09-04,231.85,228.91132
2024-09-05,234.46,229.68823
2024-09-06,241.1,229.32594
2024-09-09,238.85,239.87302
2024-09-10,231.3,238.8053
2024-09-11,234.11,231.15646
2024-09-12,237.83,228.65814
2024-09-13,242.26,237.1007
2024-09-16,241.54,234.2762
2024-09-17,239.75,236.87544
2024-09-18,237.58,237.83376
2024-09-19,238.53,238.4899
2024-09-20,239.35,238.7299
2024-09-23,237.98,239.18767
2024-09-24,236.32,238.64275
2024-09-25,236.05,237.53227
2024-09-26,236.11,236.45346
2024-09-27,234.12,234.00124
2024-09-30,235.12,233.05228
2024-10-01,235.06,232.2622
2024-10-02,233.3,235.15828
2024-10-03,236.21,233.30162
2024-10-04,225.97,234.57338
2024-10-07,230.34,226.23032
2024-10-08,231.47,228.46745
2024-10-09,233.2,232.51537
2024-10-10,236.58,232.28712
2024-10-11,240.12,232.71135
2024-10-14,240.88,238.17418
