Date,Actual_Close,Predicted_Close
2024-01-02,542.03,538.0532
2024-01-03,545.42,537.6709
2024-01-04,537.38,543.3693
2024-01-05,536.52,536.99945
2024-01-08,538.37,537.85095
2024-01-09,537.64,537.5877
2024-01-10,539.68,538.10474
2024-01-11,521.51,537.7051
2024-01-12,519.15,525.6445
2024-01-16,524.94,522.4783
2024-01-17,516.34,528.2015
2024-01-18,503.56,525.30896
2024-01-19,512.99,506.40253
2024-01-22,515.52,512.11005
2024-01-23,513.23,513.8125
2024-01-24,493.4,511.12842
2024-01-25,503.2,491.19897
2024-01-26,504.54,504.29672
2024-01-29,503.61,503.04623
2024-01-30,511.74,501.94943
2024-01-31,507.14,504.9873
2024-02-01,510.23,505.67685
2024-02-02,502.96,506.81924
2024-02-05,510.67,505.13455
2024-02-06,519.39,505.37512
2024-02-07,520.09,517.5693
2024-02-08,518.22,517.07526
2024-02-09,517.64,511.99686
2024-02-12,516.85,516.7884
2024-02-13,516.94,515.9489
2024-02-14,520.88,518.7934
2024-02-15,521.55,519.5999
2024-02-16,521.06,519.8867
2024-02-20,521.97,521.81683
2024-02-21,526.5,522.82245
2024-02-22,527.24,528.18713
2024-02-23,525.32,527.79675
2024-02-26,513.42,518.56055
2024-02-27,498.28,512.28015
2024-02-28,493.6,500.0883
2024-02-29,489.53,499.519
2024-03-01,481.87,491.2642
2024-03-04,473.15,482.87448
2024-03-05,472.6,479.6351
2024-03-06,478.78,473.34756
2024-03-07,476.57,482.22955
2024-03-08,489.15,477.2888
2024-03-11,489.35,487.63342
2024-03-12,488.0,490.26764
2024-03-13,489.0,488.28806
2024-03-14,490.82,488.94397
2024-03-15,487.05,491.2922
2024-03-18,493.32,486.41724
2024-03-19,494.23,495.3925
2024-03-20,491.69,494.3853
2024-03-21,490.07,479.80148
2024-03-22,485.88,487.86758
2024-03-25,492.31,488.35626
2024-03-26,493.1,500.94623
2024-03-27,494.7,496.3837
2024-03-28,489.7,497.2723
2024-04-01,458.14,486.3015
2024-04-02,459.74,468.3877
2024-04-03,455.38,462.7334
2024-04-04,455.74,460.3055
2024-04-05,456.0,466.43854
2024-04-08,459.72,457.82346
2024-04-09,450.05,463.4153
2024-04-10,441.72,476.01865
2024-04-11,439.2,467.11618
2024-04-12,445.63,445.7001
2024-04-15,468.89,446.45877
2024-04-16,478.99,464.8322
2024-04-17,493.18,483.78848
2024-04-18,501.13,496.99527
2024-04-19,491.23,506.26028
2024-04-22,486.18,494.38855
2024-04-23,487.3,489.78632
2024-04-24,493.86,492.53568
2024-04-25,495.35,496.54865
2024-04-26,489.03,496.75427
2024-04-29,483.7,482.5166
2024-04-30,484.11,486.7475
2024-05-01,492.97,484.33185
2024-05-02,492.45,495.6409
2024-05-03,494.38,497.5816
2024-05-06,500.96,492.05228
2024-05-07,503.21,502.2479
2024-05-08,507.03,504.16278
2024-05-09,512.81,504.85693
2024-05-10,511.74,508.22656
2024-05-13,513.88,508.8028
2024-05-14,517.55,510.5578
2024-05-15,521.27,519.06604
2024-05-16,524.63,522.219
2024-05-17,517.23,520.68256
2024-05-20,523.55,516.1288
2024-05-21,521.35,522.1656
2024-05-22,516.83,523.02496
2024-05-23,508.17,517.4419
2024-05-24,503.68,510.48608
2024-05-28,484.72,506.56256
2024-05-29,481.65,490.66403
2024-05-30,495.37,483.77707
2024-05-31,497.44,490.95184
2024-06-03,505.49,494.1224
2024-06-04,503.12,503.32718
2024-06-05,501.92,502.31006
2024-06-06,490.69,500.16415
2024-06-07,495.0,483.41583
2024-06-10,496.22,493.34244
2024-06-11,493.07,496.09604
2024-06-12,497.3,491.18982
2024-06-13,497.12,495.37677
2024-06-14,489.23,494.52658
2024-06-17,481.05,479.0269
2024-06-18,484.52,483.2977
2024-06-20,482.59,483.65915
2024-06-21,489.98,480.0512
2024-06-24,484.5,481.60422
2024-06-25,484.04,484.94174
2024-06-26,486.44,484.21512
2024-06-27,509.26,487.6077
2024-06-28,494.65,503.71725
2024-07-01,498.24,492.42896
2024-07-02,489.89,493.92783
2024-07-03,488.01,484.8071
2024-07-05,489.34,483.65793
2024-07-08,492.11,488.65036
2024-07-09,500.93,486.8532
2024-07-10,504.36,503.70798
2024-07-11,511.53,505.28278
2024-07-12,515.37,508.5076
2024-07-15,548.87,510.4145
2024-07-16,573.28,524.3855
2024-07-17,564.34,543.32245
2024-07-18,565.33,544.94934
2024-07-19,558.53,551.55676
2024-07-22,554.7,544.63525
2024-07-23,559.75,550.48474
2024-07-24,559.68,553.65314
2024-07-25,569.72,556.8638
2024-07-26,566.75,560.70844
2024-07-29,576.33,558.67804
2024-07-30,576.16,565.67975
2024-07-31,572.77,571.1666
2024-08-01,589.83,561.5353
2024-08-02,569.96,579.53436
2024-08-05,568.35,562.25806
2024-08-06,566.08,564.0484
2024-08-07,566.24,561.7475
2024-08-08,558.76,565.64594
2024-08-09,565.29,558.3709
2024-08-12,574.24,563.9994
2024-08-13,579.67,566.7336
2024-08-14,579.61,576.0356
2024-08-15,577.68,577.1371
2024-08-16,578.78,576.01935
2024-08-19,580.65,569.33997
2024-08-20,578.07,575.39355
2024-08-21,578.72,568.65045
2024-08-22,584.51,560.3307
2024-08-23,587.13,574.06805
2024-08-26,587.35,582.5625
2024-08-27,588.54,585.06525
2024-08-28,591.57,585.4751
2024-08-29,590.2,578.0605
2024-08-30,598.68,579.56323
2024-09-03,604.18,586.20483
2024-09-04,595.49,597.65497
2024-09-05,596.88,591.45636
2024-09-06,594.1,596.3071
2024-09-09,599.03,586.22876
2024-09-10,589.75,593.8405
2024-09-11,588.42,583.6424
2024-09-12,594.32,580.7938
2024-09-13,589.14,586.51697
2024-09-16,577.96,589.85913
2024-09-17,580.65,583.15283
2024-09-18,577.07,578.61554
2024-09-19,575.0,578.2988
2024-09-20,573.41,575.9005
2024-09-23,575.19,574.8984
2024-09-24,576.31,571.8008
2024-09-25,574.81,574.8055
2024-09-26,581.85,575.00183
2024-09-27,584.68,577.4591
2024-09-30,583.3,584.04987
2024-10-01,592.31,583.37384
2024-10-02,592.75,590.4577
2024-10-03,591.2,592.4045
2024-10-04,583.56,591.93384
2024-10-07,581.58,588.4738
2024-10-08,591.22,578.5764
2024-10-09,597.7,589.1408
2024-10-10,598.05,597.99133
2024-10-11,605.4,596.6526
2024-10-14,556.29,596.99506
2024-10-15,571.34,568.62616
2024-10-16,566.03,579.6778
2024-10-17,569.61,567.3016
2024-10-18,571.47,571.27795
2024-10-21,569.86,573.1732
2024-10-22,564.64,568.0755
2024-10-23,560.81,565.5784
2024-10-24,564.56,562.2803
2024-10-25,565.24,564.6754
2024-10-28,562.13,566.1045
2024-10-29,562.96,563.6671
2024-10-30,564.5,562.78815
2024-10-31,567.56,562.2089
2024-11-01,557.77,567.0716
2024-11-04,567.03,557.35187
2024-11-05,596.69,562.3747
2024-11-06,605.45,587.79944
2024-11-07,615.81,564.9614
2024-11-08,625.25,593.98865
2024-11-11,614.67,603.95056
2024-11-12,605.87,599.13983
2024-11-13,593.15,600.45544
2024-11-14,592.23,596.77875
2024-11-15,589.65,591.0739
2024-11-18,577.0,587.60474
2024-11-19,600.5,580.1554
2024-11-20,597.49,592.325
2024-11-21,590.87,591.5417
2024-11-22,605.83,591.2462
2024-11-25,606.79,599.51306
2024-11-26,608.38,596.9922
2024-11-27,610.2,599.5719
2024-11-29,608.52,604.9097
2024-12-02,605.23,601.6369
2024-12-03,610.79,587.70416
2024-12-04,578.97,604.0201
2024-12-05,549.62,591.94055
2024-12-06,560.62,563.0234
2024-12-09,565.19,564.87976
2024-12-10,533.53,567.71124
2024-12-11,515.76,533.0624
2024-12-12,520.48,517.9621
2024-12-13,498.5,526.5299
2024-12-16,485.52,502.5647
2024-12-17,499.72,487.2818
2024-12-18,489.25,488.44666
2024-12-19,500.13,487.4001
2024-12-20,506.34,492.48557
2024-12-23,506.1,504.32797
2024-12-24,511.15,507.35077
2024-12-26,509.99,506.1735
2024-12-27,507.8,509.83737
