Date,Actual_Close,Predicted_Close
2024-01-02,257.98,257.2573
2024-01-03,259.61,258.77103
2024-01-04,259.69,259.0331
2024-01-05,262.54,259.82748
2024-01-08,263.33,258.41727
2024-01-09,264.56,262.5525
2024-01-10,264.03,263.26056
2024-01-11,264.17,263.81726
2024-01-12,265.24,263.98254
2024-01-16,266.63,263.3811
2024-01-17,268.14,263.30484
2024-01-18,270.9,266.53253
2024-01-19,271.2,270.24823
2024-01-22,271.26,270.589
2024-01-23,271.65,270.14267
2024-01-24,272.61,269.96735
2024-01-25,267.94,271.71024
2024-01-26,273.66,269.12744
2024-01-29,277.15,270.28894
2024-01-30,273.26,273.2392
2024-01-31,277.05,272.56122
2024-02-01,277.18,275.69153
2024-02-02,275.58,274.9967
2024-02-05,276.76,276.31662
2024-02-06,279.39,276.6424
2024-02-07,275.78,277.2081
2024-02-08,276.43,277.194
2024-02-09,275.07,276.10342
2024-02-12,275.81,276.09067
2024-02-13,277.56,275.85468
2024-02-14,280.98,276.18304
2024-02-15,278.56,277.88602
2024-02-16,275.15,278.76337
2024-02-20,276.76,275.61978
2024-02-21,283.75,277.13483
2024-02-22,283.6,281.02774
2024-02-23,284.15,282.75162
2024-02-26,283.17,282.87943
2024-02-27,285.63,282.87643
2024-02-28,282.64,284.0441
2024-02-29,283.16,284.01578
2024-03-01,280.53,283.56055
2024-03-04,279.38,281.50946
2024-03-05,280.43,280.24033
2024-03-06,278.26,279.68152
2024-03-07,280.04,278.40204
2024-03-08,280.56,278.6008
2024-03-11,283.92,280.35828
2024-03-12,285.14,282.81564
2024-03-13,286.41,280.63617
2024-03-14,283.04,284.5111
2024-03-15,285.05,281.09088
2024-03-18,287.35,284.76654
2024-03-19,289.28,284.1908
2024-03-20,290.37,287.51108
2024-03-21,283.26,289.38858
2024-03-22,281.21,285.2136
2024-03-25,280.6,284.79047
2024-03-26,279.02,285.1895
2024-03-27,279.08,280.5388
2024-03-28,278.28,280.14417
2024-04-01,278.44,279.22696
2024-04-02,276.96,278.46237
2024-04-03,274.0,278.42172
2024-04-04,277.14,274.6983
2024-04-05,277.76,276.4233
2024-04-08,276.72,277.58453
2024-04-09,274.48,276.2545
2024-04-10,275.68,275.0801
2024-04-11,275.96,275.62885
2024-04-12,271.28,275.42734
2024-04-15,271.35,271.95993
2024-04-16,272.69,271.5166
2024-04-17,271.37,271.75232
2024-04-18,269.78,271.51865
2024-04-19,272.33,269.9484
2024-04-22,274.11,271.78558
2024-04-23,275.02,274.11093
2024-04-24,275.16,275.255
2024-04-25,274.52,274.61038
2024-04-26,271.84,274.9172
2024-04-29,268.61,271.78952
2024-04-30,267.32,270.89807
2024-05-01,267.61,267.2787
2024-05-02,268.49,267.0984
2024-05-03,272.67,270.09204
2024-05-06,276.46,273.22162
2024-05-07,277.19,275.174
2024-05-08,278.54,276.2507
2024-05-09,280.74,276.57288
2024-05-10,279.39,279.83517
2024-05-13,277.74,280.6558
2024-05-14,281.5,279.80267
2024-05-15,279.84,281.4941
2024-05-16,280.1,279.9788
2024-05-17,278.54,279.62543
2024-05-20,275.95,280.34735
2024-05-21,275.58,277.18558
2024-05-22,274.23,277.19543
2024-05-23,274.49,275.0852
2024-05-24,270.98,274.84326
2024-05-28,268.86,269.23987
2024-05-29,271.3,268.0762
2024-05-30,272.46,271.15756
2024-05-31,270.38,272.16016
2024-06-03,272.42,271.50516
2024-06-04,274.5,272.81573
2024-06-05,277.04,274.96097
2024-06-06,278.67,278.03003
2024-06-07,275.04,278.51904
2024-06-10,274.67,274.48373
2024-06-11,270.32,274.3623
2024-06-12,271.19,270.65005
2024-06-13,270.66,271.26144
2024-06-14,271.17,271.42853
2024-06-17,273.62,272.31033
2024-06-18,276.82,277.28033
2024-06-20,275.22,278.90564
2024-06-21,276.3,272.8447
2024-06-24,273.53,274.82126
2024-06-25,273.6,273.76126
2024-06-26,266.59,271.01483
2024-06-27,262.47,268.35464
2024-06-28,263.24,265.22668
2024-07-01,268.23,264.6265
2024-07-02,268.99,272.57443
2024-07-03,270.36,271.20303
2024-07-05,266.4,271.44977
2024-07-08,265.44,266.19052
2024-07-09,263.0,266.90833
2024-07-10,262.55,262.6892
2024-07-11,265.74,263.8754
2024-07-12,268.45,265.06232
2024-07-15,269.25,269.58975
2024-07-16,272.7,269.91772
2024-07-17,269.15,269.3405
2024-07-18,265.46,273.4013
2024-07-19,267.71,264.88336
2024-07-22,264.79,269.043
2024-07-23,254.17,265.40366
2024-07-24,253.74,257.56342
2024-07-25,259.46,254.22467
2024-07-26,261.6,260.11246
2024-07-29,263.1,262.0852
2024-07-30,265.67,263.1175
2024-07-31,265.93,266.46576
2024-08-01,266.58,266.16083
2024-08-02,256.44,267.34335
2024-08-05,258.26,257.396
2024-08-06,256.52,260.29276
2024-08-07,259.83,260.00043
2024-08-08,259.76,261.27014
2024-08-09,259.89,261.4027
2024-08-12,260.13,260.41364
2024-08-13,261.14,261.0762
2024-08-14,266.8,261.51047
2024-08-15,267.38,263.97775
2024-08-16,266.47,264.83734
2024-08-19,268.04,263.11566
2024-08-20,268.2,269.0298
2024-08-21,267.94,268.3884
2024-08-22,267.44,268.11832
2024-08-23,268.21,267.8985
2024-08-26,270.72,267.70395
2024-08-27,269.19,270.30167
2024-08-28,274.32,269.00662
2024-08-29,276.37,274.69055
2024-08-30,278.54,275.77603
2024-09-03,280.49,276.52628
2024-09-04,278.62,278.42917
2024-09-05,279.37,277.90057
2024-09-06,285.61,279.1001
2024-09-09,285.34,282.81735
2024-09-10,283.96,283.82297
2024-09-11,285.37,283.3903
2024-09-12,287.35,283.29538
2024-09-13,290.48,286.24454
2024-09-16,291.56,286.10852
2024-09-17,288.48,288.37988
2024-09-18,285.24,288.2859
2024-09-19,284.77,284.65787
2024-09-20,288.63,284.76926
2024-09-23,272.78,288.9062
2024-09-24,269.63,277.31107
2024-09-25,271.69,270.7403
2024-09-26,275.17,273.14294
2024-09-27,274.95,273.6263
2024-09-30,277.6,274.8127
2024-10-01,277.0,277.41656
2024-10-02,276.86,276.40244
2024-10-03,277.93,276.75504
2024-10-04,273.79,276.4556
2024-10-07,274.96,274.56525
2024-10-08,276.93,274.79523
2024-10-09,277.47,276.40088
2024-10-10,277.84,275.96518
2024-10-11,280.68,276.86133
2024-10-14,279.29,278.41235
2024-10-15,287.52,278.70956
2024-10-16,290.39,287.89352
2024-10-17,290.62,287.64514
2024-10-18,286.85,291.12894
2024-10-21,284.79,283.11423
2024-10-22,283.76,285.57687
2024-10-23,283.22,284.14108
2024-10-24,281.73,283.02393
2024-10-25,284.19,282.0709
2024-10-28,281.88,284.12875
2024-10-29,290.16,281.15543
2024-10-30,289.85,287.4453
2024-10-31,290.74,288.44498
2024-11-01,291.85,283.26276
2024-11-04,293.29,282.79495
2024-11-05,307.4,288.2781
2024-11-06,305.8,305.1331
2024-11-07,307.87,304.61005
2024-11-08,310.92,304.24142
2024-11-11,309.85,306.94772
2024-11-12,309.48,307.91266
2024-11-13,308.25,308.4932
2024-11-14,309.64,307.911
2024-11-15,312.16,309.20752
2024-11-18,311.85,309.68497
2024-11-19,307.39,311.7802
2024-11-20,309.9,310.21158
2024-11-21,309.92,309.7854
2024-11-22,313.19,310.03113
2024-11-25,311.82,308.57907
2024-11-26,314.7,309.49484
2024-11-27,315.08,312.78094
2024-11-29,316.65,314.3885
2024-12-02,313.01,316.0865
2024-12-03,309.9,315.88663
2024-12-04,309.08,310.60248
2024-12-05,311.01,305.7166
2024-12-06,308.3,309.0187
2024-12-09,312.38,308.37112
2024-12-10,313.79,310.72653
2024-12-11,314.23,313.0465
2024-12-12,314.74,314.13617
2024-12-13,315.89,314.29156
2024-12-16,318.3,311.57642
2024-12-17,309.78,314.12677
2024-12-18,314.88,310.57938
2024-12-19,317.71,315.25812
2024-12-20,317.22,314.63907
2024-12-23,320.65,315.5132
2024-12-24,320.91,314.86694
2024-12-26,318.66,318.1729
2024-12-27,315.31,319.57123
