Date,Actual_Close,Predicted_Close
2024-01-02,103.22,101.46145
2024-01-03,102.32,103.00756
2024-01-04,102.63,102.66993
2024-01-05,100.92,103.657135
2024-01-08,99.67,100.382645
2024-01-09,98.69,101.26892
2024-01-10,98.67,99.32512
2024-01-11,99.95,99.86557
2024-01-12,97.69,100.31515
2024-01-16,96.98,100.07094
2024-01-17,96.8,100.07632
2024-01-18,96.95,98.516556
2024-01-19,96.82,97.61579
2024-01-22,97.91,98.107895
2024-01-23,99.6,97.11624
2024-01-24,102.13,98.32638
2024-01-25,103.0,102.05271
2024-01-26,103.13,102.280525
2024-01-29,104.85,103.55636
2024-01-30,102.81,104.82868
2024-01-31,102.39,103.47145
2024-02-01,101.97,102.8285
2024-02-02,101.55,102.722946
2024-02-05,102.25,100.94572
2024-02-06,102.22,102.78823
2024-02-07,103.97,103.41196
2024-02-08,101.77,104.28922
2024-02-09,103.17,102.34383
2024-02-12,101.34,101.91618
2024-02-13,100.84,100.497536
2024-02-14,103.73,100.74887
2024-02-15,103.73,102.57856
2024-02-16,102.75,102.816895
2024-02-20,104.85,103.5762
2024-02-21,104.76,104.20263
2024-02-22,103.84,105.07138
2024-02-23,104.25,103.54751
2024-02-26,104.03,103.74315
2024-02-27,104.32,104.721664
2024-02-28,104.52,103.75591
2024-02-29,105.84,104.90691
2024-03-01,104.36,106.6803
2024-03-04,105.64,104.797
2024-03-05,106.77,106.18046
2024-03-06,107.37,106.6195
2024-03-07,108.38,107.46816
2024-03-08,109.02,108.7071
2024-03-11,108.32,108.79764
2024-03-12,109.53,108.05217
2024-03-13,111.47,109.62522
2024-03-14,111.27,112.022736
2024-03-15,112.3,111.87038
2024-03-18,113.09,111.35842
2024-03-19,112.99,113.68818
2024-03-20,113.49,112.97028
2024-03-21,113.49,114.12274
2024-03-22,114.65,113.78363
2024-03-25,113.79,114.59494
2024-03-26,114.97,114.07388
2024-03-27,116.24,114.61528
2024-03-28,116.99,116.1436
2024-04-01,119.28,116.8287
2024-04-02,119.3,117.486626
2024-04-03,119.72,117.747116
2024-04-04,121.37,118.955475
2024-04-05,120.55,120.15166
2024-04-08,121.18,120.30303
2024-04-09,122.2,120.897064
2024-04-10,121.79,119.09948
2024-04-11,120.37,119.29528
2024-04-12,119.68,120.540344
2024-04-15,118.69,119.72772
2024-04-16,118.63,117.96706
2024-04-17,118.52,116.560074
2024-04-18,119.88,117.36615
2024-04-19,120.56,120.17112
2024-04-22,121.03,120.8107
2024-04-23,121.05,120.26102
2024-04-24,121.33,119.63779
2024-04-25,117.96,118.64534
2024-04-26,119.64,116.325775
2024-04-29,118.27,116.25525
2024-04-30,116.03,116.10143
2024-05-01,116.24,112.44914
2024-05-02,116.0,113.05467
2024-05-03,116.75,114.422485
2024-05-06,116.17,116.30488
2024-05-07,116.15,115.606804
2024-05-08,118.44,115.75807
2024-05-09,117.96,117.032715
2024-05-10,117.91,117.839165
2024-05-13,117.67,116.830635
2024-05-14,118.58,116.87996
2024-05-15,117.87,117.54
2024-05-16,119.64,117.37454
2024-05-17,118.67,118.521095
2024-05-20,117.85,118.379166
2024-05-21,115.48,117.78312
2024-05-22,113.51,115.02538
2024-05-23,113.42,113.40885
2024-05-24,114.86,113.16009
2024-05-28,113.63,114.3768
2024-05-29,113.99,112.95538
2024-05-30,117.26,113.19392
2024-05-31,114.45,115.37818
2024-06-03,112.67,114.66077
2024-06-04,113.12,113.263695
2024-06-05,113.97,113.423134
2024-06-06,112.75,115.836464
2024-06-07,113.08,111.599884
2024-06-10,112.17,112.97537
2024-06-11,110.93,110.88177
2024-06-12,110.04,109.87091
2024-06-13,109.11,109.65441
2024-06-14,108.36,108.401566
2024-06-17,109.38,108.61431
2024-06-18,111.74,108.09699
2024-06-20,110.76,110.80658
2024-06-21,114.05,110.22076
2024-06-24,114.37,112.23397
2024-06-25,114.41,113.4707
2024-06-26,114.9,113.17487
2024-06-27,115.12,114.107
2024-06-28,114.96,114.056076
2024-07-01,114.18,114.73255
2024-07-02,114.76,114.755104
2024-07-03,113.37,114.42074
2024-07-05,112.18,114.09712
2024-07-08,110.94,111.61977
2024-07-09,111.92,110.897385
2024-07-10,113.25,111.89478
2024-07-11,113.27,113.329346
2024-07-12,115.21,113.070076
2024-07-15,116.04,114.85229
2024-07-16,117.64,116.18366
2024-07-17,118.8,116.01183
2024-07-18,116.07,117.25165
2024-07-19,115.27,116.67593
2024-07-22,113.41,114.61243
2024-07-23,115.01,114.04651
2024-07-24,117.43,115.22157
2024-07-25,117.33,117.78571
2024-07-26,116.1,117.33995
2024-07-29,118.17,115.92881
2024-07-30,118.59,117.58916
2024-07-31,116.95,117.98787
2024-08-01,116.88,116.51683
2024-08-02,114.77,117.152664
2024-08-05,114.16,114.1307
2024-08-06,115.68,115.676865
2024-08-07,117.89,115.67431
2024-08-08,118.85,118.29037
2024-08-09,119.0,117.779976
2024-08-12,117.86,117.33194
2024-08-13,118.95,117.42487
2024-08-14,118.73,118.436195
2024-08-15,118.17,118.180176
2024-08-16,118.53,117.87972
2024-08-19,114.58,117.90985
2024-08-20,113.85,114.33864
2024-08-21,114.73,114.641495
2024-08-22,116.32,115.24731
2024-08-23,118.81,117.71489
2024-08-26,117.68,117.86029
2024-08-27,116.52,118.08358
2024-08-28,118.13,116.37836
2024-08-29,117.94,117.33167
2024-08-30,115.47,117.55581
2024-09-03,114.06,115.280075
2024-09-04,113.17,114.96641
2024-09-05,112.64,114.22581
2024-09-06,115.01,112.88937
2024-09-09,110.82,115.29791
2024-09-10,109.72,110.02625
2024-09-11,111.23,109.561
2024-09-12,111.15,109.99963
2024-09-13,112.71,110.091835
2024-09-16,114.18,112.04132
2024-09-17,114.58,112.58419
2024-09-18,116.0,114.42825
2024-09-19,115.27,114.457855
2024-09-20,117.36,114.640335
2024-09-23,117.05,116.94605
2024-09-24,114.77,117.20955
2024-09-25,112.8,114.159546
2024-09-26,115.82,113.65927
2024-09-27,117.22,115.274925
2024-09-30,119.93,117.24518
2024-10-01,121.52,117.928635
2024-10-02,122.58,119.92229
2024-10-03,124.83,121.64975
2024-10-04,125.37,122.3047
2024-10-07,122.04,122.633644
2024-10-08,122.09,121.34839
2024-10-09,123.14,120.9736
2024-10-10,123.61,123.02268
2024-10-11,124.08,122.64313
2024-10-14,120.35,122.29947
2024-10-15,120.66,120.53721
2024-10-16,120.35,119.9751
2024-10-17,120.01,119.41252
2024-10-18,120.08,119.77844
2024-10-21,120.7,119.73462
2024-10-22,120.27,118.88102
2024-10-23,119.59,118.8719
2024-10-24,119.49,117.96175
2024-10-25,118.9,119.00644
2024-10-28,117.28,118.211296
2024-10-29,116.69,117.67844
2024-10-30,116.78,116.08914
2024-10-31,114.95,116.57858
2024-11-01,118.61,113.22558
2024-11-04,118.96,117.20727
2024-11-05,121.0,117.639
