Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,177.83,182.88,177.71,182.01,104701220.0,182.01,182.01,50.0,0.0,0.0,0.28,179.7
2022-01-04,182.63,182.94,179.12,179.7,99310438.0,180.86,180.86,0.0,-0.18,-0.04,0.49,174.92
2022-01-05,179.61,180.17,174.64,174.92,94537602.0,178.88,178.88,0.0,-0.71,-0.17,0.11,172.0
2022-01-06,172.7,175.3,171.64,172.0,96903955.0,177.16,177.16,0.0,-1.34,-0.4,0.01,172.17
2022-01-07,172.89,174.14,171.03,172.17,86709147.0,176.16,176.16,1.67,-1.81,-0.69,0.27,172.19
2022-01-10,169.08,172.5,168.17,172.19,106765552.0,174.2,175.5,1.86,-2.16,-0.98,0.15,175.08
2022-01-11,172.32,175.18,170.82,175.08,75937685.0,173.27,175.44,23.53,-2.17,-1.22,0.18,175.53
2022-01-12,176.12,177.18,174.82,175.53,74805173.0,173.39,175.45,26.07,-2.12,-1.4,0.42,172.19
2022-01-13,175.78,176.62,171.79,172.19,84505760.0,173.43,175.09,20.91,-2.33,-1.59,0.1,173.07
2022-01-14,171.34,173.78,171.09,173.07,80440780.0,173.61,174.89,24.83,-2.39,-1.75,0.0,169.8
2022-01-18,171.51,172.54,169.4,169.8,90500236.0,173.13,174.42,20.97,-2.67,-1.93,-0.1,166.23
2022-01-19,170.0,171.08,165.94,166.23,92914792.0,171.36,173.74,17.93,-3.15,-2.17,0.19,164.51
2022-01-20,166.98,169.68,164.18,164.51,91420515.0,169.16,173.03,16.76,-3.62,-2.46,-0.3,162.41
2022-01-21,164.42,166.33,162.3,162.41,122848858.0,167.2,172.27,15.52,-4.12,-2.79,0.29,161.62
2022-01-24,160.02,162.3,154.7,161.62,162706686.0,164.91,171.56,15.1,-4.53,-3.14,0.26,159.78
2022-01-25,158.98,162.76,157.02,159.78,115798367.0,162.91,170.83,15.34,-4.94,-3.5,0.15,159.69
2022-01-26,163.5,164.39,157.82,159.69,108275308.0,161.6,170.17,18.34,-5.22,-3.85,0.11,159.22
2022-01-27,162.45,163.84,158.28,159.22,121954638.0,160.54,169.56,20.42,-5.41,-4.16,0.2,170.33
2022-01-28,165.71,170.35,162.8,170.33,179935660.0,162.13,169.6,47.17,-4.61,-4.25,0.24,174.78
2022-01-31,170.16,175.0,169.51,174.78,115541590.0,164.76,169.86,53.5,-3.58,-4.11,0.84,174.61
2022-02-01,174.01,174.84,172.31,174.61,86213911.0,167.73,169.49,49.31,-2.75,-3.84,0.0,175.84
2022-02-02,174.74,175.88,173.33,175.84,84914256.0,170.96,169.3,50.44,-1.96,-3.47,0.0,172.9
2022-02-03,174.48,176.24,172.12,172.9,89418074.0,173.69,169.2,51.03,-1.56,-3.08,0.15,172.39
2022-02-04,171.68,174.1,170.68,172.39,82465400.0,174.1,169.22,49.01,-1.27,-2.72,0.0,171.66
2022-02-07,172.86,173.95,170.95,171.66,77251204.0,173.48,169.19,52.93,-1.08,-2.39,0.52,174.83
2022-02-08,171.73,175.35,171.43,174.83,74829217.0,173.52,169.32,63.73,-0.67,-2.05,0.55,176.28
2022-02-09,176.05,176.65,174.9,176.28,71285038.0,173.61,169.38,68.95,-0.23,-1.68,0.06,172.12
2022-02-10,174.14,175.48,171.55,172.12,90865899.0,173.46,169.21,64.66,-0.21,-1.39,-0.25,168.64
2022-02-11,172.33,173.08,168.04,168.64,98670687.0,172.71,169.04,59.8,-0.47,-1.21,0.43,168.88
2022-02-14,167.37,169.58,166.56,168.88,86185530.0,172.15,168.83,63.3,-0.65,-1.09,-0.18,172.79
2022-02-15,170.97,172.95,170.25,172.79,64286320.0,171.74,168.98,67.23,-0.47,-0.97,0.63,172.55
2022-02-16,171.85,173.34,170.05,172.55,61177398.0,171.0,169.29,67.64,-0.34,-0.84,0.48,168.88
2022-02-17,171.03,171.91,168.47,168.88,69589344.0,170.35,169.51,47.61,-0.53,-0.78,0.35,167.3
2022-02-18,169.82,170.54,166.19,167.3,82772674.0,170.08,169.75,36.39,-0.8,-0.78,0.56,164.32
