Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,62.9,63.35,62.5,63.16,17189201.0,63.16,63.16,50.0,0.0,0.0,0.0,61.25
2022-01-04,62.44,62.81,61.11,61.25,29682496.0,62.2,62.2,0.0,-0.15,-0.03,0.0,60.28
2022-01-05,61.19,61.64,60.25,60.28,30317894.0,61.56,61.56,0.0,-0.35,-0.09,0.18,60.92
2022-01-06,60.0,61.13,59.91,60.92,19616649.0,61.4,61.4,18.18,-0.45,-0.17,0.0,61.13
2022-01-07,60.87,61.5,60.67,61.13,20152411.0,61.35,61.35,22.79,-0.5,-0.23,0.76,61.82
2022-01-10,60.86,61.9,60.52,61.82,24715338.0,61.08,61.43,34.84,-0.48,-0.28,-0.27,62.37
2022-01-11,61.6,62.43,61.44,62.37,22633648.0,61.3,61.56,42.05,-0.42,-0.31,0.0,62.12
2022-01-12,62.4,62.82,61.92,62.12,13405377.0,61.67,61.63,40.04,-0.38,-0.32,0.0,61.5
2022-01-13,62.08,62.15,61.21,61.5,14871644.0,61.79,61.62,35.79,-0.4,-0.34,0.0,61.36
2022-01-14,61.47,61.5,60.94,61.36,18832053.0,61.83,61.59,34.95,-0.42,-0.36,0.73,59.73
2022-01-18,59.98,60.22,59.49,59.73,26384707.0,61.42,61.42,27.46,-0.56,-0.4,0.61,58.9
2022-01-19,58.0,59.49,57.78,58.9,24099057.0,60.72,61.21,24.76,-0.74,-0.46,0.61,58.08
2022-01-20,58.99,59.34,58.02,58.08,17726476.0,59.91,60.97,22.57,-0.93,-0.56,0.11,56.68
2022-01-21,58.07,58.34,56.61,56.68,25913972.0,58.95,60.66,19.61,-1.18,-0.68,-0.52,56.9
2022-01-24,56.16,57.0,54.87,56.9,34191535.0,58.06,60.41,21.23,-1.34,-0.81,0.0,56.11
2022-01-25,56.09,56.69,55.07,56.11,25156433.0,57.33,60.14,23.67,-1.52,-0.96,0.0,55.33
2022-01-26,56.11,56.45,54.86,55.33,28632685.0,56.62,59.86,24.14,-1.7,-1.1,0.0,54.62
2022-01-27,55.51,56.53,54.4,54.62,25967391.0,55.93,59.57,17.32,-1.88,-1.26,0.0,55.61
2022-01-28,54.5,55.66,53.44,55.61,30976580.0,55.71,59.36,23.51,-1.93,-1.39,0.0,55.67
2022-01-31,55.43,55.86,54.87,55.67,29925295.0,55.47,59.18,18.59,-1.93,-1.5,0.0,55.37
2022-02-01,55.45,55.5,54.74,55.37,22438472.0,55.32,58.79,13.31,-1.94,-1.59,0.0,56.17
2022-02-02,55.22,56.32,55.17,56.17,23316715.0,55.49,58.53,20.52,-1.86,-1.64,0.0,55.2
2022-02-03,55.87,56.15,55.06,55.2,19260467.0,55.6,58.28,19.83,-1.85,-1.68,0.56,55.15
2022-02-04,54.89,55.62,54.39,55.15,19675873.0,55.51,57.99,20.0,-1.83,-1.71,0.9,55.17
2022-02-07,55.33,55.53,54.7,55.17,14450184.0,55.41,57.69,23.91,-1.79,-1.73,0.0,55.34
2022-02-08,55.06,55.49,54.71,55.34,15219936.0,55.41,57.37,27.97,-1.72,-1.73,0.0,56.29
2022-02-09,55.82,56.38,55.48,56.29,19136723.0,55.43,57.06,39.1,-1.58,-1.7,0.0,54.87
2022-02-10,55.24,56.02,54.74,54.87,19730640.0,55.36,56.7,39.0,-1.56,-1.67,0.0,53.9
2022-02-11,54.87,55.09,53.77,53.9,20132500.0,55.11,56.32,33.3,-1.6,-1.66,0.11,53.18
2022-02-14,53.41,53.65,52.7,53.18,21868416.0,54.72,55.91,33.56,-1.67,-1.66,0.43,54.27
2022-02-15,53.72,54.3,53.64,54.27,17680363.0,54.5,55.64,44.25,-1.63,-1.65,0.0,54.25
2022-02-16,54.13,54.44,53.38,54.25,20388673.0,54.09,55.41,47.83,-1.57,-1.64,-0.03,55.77
2022-02-17,55.5,57.06,55.4,55.77,32884672.0,54.27,55.29,50.88,-1.39,-1.59,0.56,57.21
2022-02-18,55.46,57.69,55.38,57.21,35626154.0,54.94,55.32,57.38,-1.12,-1.49,0.0,56.3
2022-02-22,56.93,57.14,55.74,56.3,24867461.0,55.56,55.29,54.21,-0.96,-1.39,0.0,54.44
2022-02-23,56.61,56.99,54.37,54.44,22033657.0,55.59,55.21,42.86,-0.98,-1.31,0.34,54.73
2022-02-24,54.07,54.83,53.21,54.73,27739339.0,55.69,55.18,47.94,-0.96,-1.24,0.0,56.04
2022-02-25,54.98,56.22,54.49,56.04,18963683.0,55.74,55.25,53.51,-0.82,-1.15,-0.38,55.77
2022-02-28,55.41,56.0,54.75,55.77,23868699.0,55.46,55.25,52.32,-0.73,-1.07,0.0,54.62
2022-03-01,55.53,55.85,54.26,54.62,17799613.0,55.12,55.2,47.41,-0.75,-1.0,0.36,56.15
2022-03-02,54.77,56.38,54.71,56.15,18660045.0,55.46,55.24,49.52,-0.62,-0.93,0.01,56.07
2022-03-03,56.74,57.0,55.84,56.07,16794589.0,55.73,55.24,54.56,-0.53,-0.85,-0.3,56.51
2022-03-04,55.67,56.9,55.25,56.51,16731553.0,55.82,55.3,60.33,-0.41,-0.76,0.0,55.59
2022-03-07,56.31,56.44,55.52,55.59,21350920.0,55.79,55.32,59.39,-0.39,-0.69,0.0,54.4
2022-03-08,55.7,55.86,54.07,54.4,23642377.0,55.74,55.28,50.5,-0.46,-0.64,0.0,55.92
2022-03-09,55.64,56.24,55.25,55.92,19150856.0,55.7,55.31,55.79,-0.39,-0.59,0.0,54.71
2022-03-10,54.4,55.16,53.97,54.71,18550934.0,55.43,55.24,46.25,-0.43,-0.56,0.23,54.69
2022-03-11,55.29,56.21,54.6,54.69,20330307.0,55.06,55.23,40.08,-0.46,-0.54,0.0,54.3
2022-03-14,54.73,55.4,54.0,54.3,17977522.0,54.8,55.25,41.79,-0.5,-0.53,0.18,55.6
2022-03-15,54.42,55.72,54.42,55.6,18829100.0,55.04,55.37,54.99,-0.43,-0.51,0.0,55.81
2022-03-16,55.93,56.0,54.6,55.81,21821806.0,55.02,55.44,54.68,-0.35,-0.48,0.0,56.17
2022-03-17,55.49,56.3,55.35,56.17,18830686.0,55.31,55.54,50.61,-0.26,-0.44,0.0,55.97
2022-03-18,56.03,56.42,55.54,55.97,50865596.0,55.57,55.55,50.95,-0.2,-0.39,0.0,56.0
2022-03-21,56.06,56.54,55.52,56.0,28848196.0,55.91,55.49,57.34,-0.14,-0.34,0.0,56.17
2022-03-22,56.36,56.72,56.09,56.17,29263224.0,56.02,55.48,50.12,-0.09,-0.29,0.0,54.48
2022-03-23,55.9,56.09,54.45,54.48,19742131.0,55.76,55.48,41.76,-0.18,-0.27,0.09,54.5
2022-03-24,54.67,54.69,53.68,54.5,20551509.0,55.42,55.47,39.11,-0.24,-0.26,0.03,54.97
2022-03-25,54.6,55.18,54.4,54.97,17929329.0,55.22,55.42,46.47,-0.26,-0.26,0.0,55.14
2022-03-28,54.8,55.16,54.42,55.14,17164623.0,55.05,55.39,54.77,-0.25,-0.26,0.0,55.67
2022-03-29,55.67,56.31,55.04,55.67,20036473.0,54.95,55.44,48.15,-0.2,-0.25,-0.1,56.05
2022-03-30,55.75,56.94,55.59,56.05,16125420.0,55.27,55.44,61.28,-0.13,-0.22,-0.27,55.76
2022-03-31,56.04,56.88,55.72,55.76,27587690.0,55.52,55.42,58.62,-0.09,-0.2,0.0,55.66
2022-04-01,56.17,56.19,54.88,55.66,17465147.0,55.66,55.38,61.49,-0.07,-0.17,0.42,55.87
2022-04-04,55.46,56.12,54.99,55.87,19645622.0,55.8,55.39,52.8,-0.04,-0.15,0.22,54.92
2022-04-05,55.2,55.59,54.66,54.92,15537661.0,55.65,55.42,42.01,-0.09,-0.13,0.0,54.37
2022-04-06,54.69,54.76,53.84,54.37,19644092.0,55.32,55.34,34.38,-0.17,-0.14,0.0,54.63
2022-04-07,54.43,54.85,53.74,54.63,15738986.0,55.09,55.34,38.49,-0.21,-0.16,0.0,54.28
2022-04-08,54.84,54.91,54.01,54.28,18148381.0,54.81,55.32,35.99,-0.27,-0.18,0.0,52.88
2022-04-11,53.92,53.95,52.78,52.88,20992057.0,54.22,55.24,27.68,-0.42,-0.23,0.0,51.82
2022-04-12,51.7,52.95,51.48,51.82,25254235.0,53.6,55.06,30.27,-0.62,-0.31,0.0,52.15
2022-04-13,51.84,52.36,51.4,52.15,17004593.0,53.15,54.87,33.33,-0.74,-0.39,0.0,51.17
2022-04-14,52.08,52.38,51.12,51.17,18024830.0,52.46,54.62,24.87,-0.91,-0.5,0.13,51.11
2022-04-18,50.88,51.56,50.8,51.11,13990703.0,51.83,54.38,22.95,-1.04,-0.6,0.75,51.83
2022-04-19,51.0,51.94,50.92,51.83,15490875.0,51.62,54.17,24.87,-1.06,-0.7,0.0,53.02
2022-04-20,52.22,53.67,52.15,53.02,19417823.0,51.86,54.01,32.07,-0.98,-0.75,0.0,52.78
2022-04-21,53.34,53.83,52.73,52.78,17147255.0,51.98,53.93,32.26,-0.92,-0.79,0.48,51.36
2022-04-22,52.92,52.96,51.29,51.36,17692980.0,52.02,53.77,27.88,-0.98,-0.82,0.0,51.94
2022-04-25,51.45,51.98,50.54,51.94,18677038.0,52.19,53.62,30.53,-0.97,-0.85,0.0,50.9
2022-04-26,51.88,51.94,50.87,50.9,19090996.0,52.0,53.41,30.26,-1.03,-0.89,-0.03,49.31
2022-04-27,50.91,51.11,49.24,49.31,33668555.0,51.26,53.09,27.45,-1.19,-0.95,0.0,50.63
2022-04-28,49.53,50.78,49.2,50.63,20170660.0,50.83,52.82,33.71,-1.2,-1.0,0.0,48.98
2022-04-29,50.51,50.64,48.87,48.98,20281439.0,50.35,52.48,30.49,-1.33,-1.07,0.0,49.86
2022-05-02,49.34,49.91,48.93,49.86,22499245.0,49.94,52.19,38.44,-1.34,-1.12,0.42,49.92
2022-05-03,49.77,50.36,49.53,49.92,15828221.0,49.74,51.89,42.12,-1.33,-1.16,0.0,51.58
2022-05-04,50.03,51.66,49.67,51.58,23906203.0,50.19,51.73,47.87,-1.17,-1.16,0.03,49.61
2022-05-05,51.15,51.21,49.16,49.61,24846479.0,49.99,51.49,44.58,-1.2,-1.17,0.7,49.33
2022-05-06,49.15,49.84,48.85,49.33,21743857.0,50.06,51.22,43.9,-1.22,-1.18,0.0,48.96
2022-05-09,49.0,49.42,48.67,48.96,22421198.0,49.88,50.96,39.93,-1.26,-1.2,-0.9,49.55
2022-05-10,49.7,50.24,49.15,49.55,21741122.0,49.81,50.79,37.29,-1.22,-1.2,0.78,48.65
2022-05-11,49.09,49.64,48.58,48.65,23872138.0,49.22,50.63,35.57,-1.26,-1.21,0.73,48.29
2022-05-12,48.63,48.78,47.47,48.29,25950955.0,48.96,50.44,38.42,-1.3,-1.23,0.0,49.56
2022-05-13,48.71,49.63,48.53,49.56,18954482.0,49.0,50.36,41.46,-1.21,-1.23,0.0,49.0
2022-05-16,49.66,49.66,48.88,49.0,20254526.0,49.01,50.25,42.94,-1.17,-1.22,0.0,50.6
2022-05-17,49.68,50.72,49.51,50.6,18780579.0,49.22,50.19,54.79,-1.0,-1.17,0.0,48.36
2022-05-18,50.47,50.47,48.21,48.36,40672704.0,49.16,49.96,42.11,-1.04,-1.15,-0.47,41.72
2022-05-19,43.06,43.93,41.02,41.72,97674605.0,47.85,49.41,31.27,-1.58,-1.23,0.42,42.94
2022-05-20,41.86,43.0,41.52,42.94,46148684.0,46.52,48.98,32.45,-1.9,-1.37,0.0,43.35
2022-05-23,43.34,43.82,42.94,43.35,27366597.0,45.39,48.56,33.63,-2.09,-1.51,-0.06,43.77
2022-05-24,43.4,44.06,42.5,43.77,30053852.0,44.03,48.2,29.26,-2.18,-1.64,0.36,44.0
2022-05-25,43.75,44.42,43.19,44.0,25504571.0,43.16,47.93,33.59,-2.21,-1.76,0.34,44.99
2022-05-26,44.05,45.53,44.05,44.99,28294660.0,43.81,47.65,37.81,-2.12,-1.83,0.0,45.62
2022-05-27,45.12,45.64,44.95,45.62,23882056.0,44.35,47.48,40.75,-1.99,-1.86,0.27,45.05
2022-05-31,45.27,45.6,44.74,45.05,64821191.0,44.69,47.24,37.53,-1.9,-1.87,0.0,45.23
2022-06-01,45.55,45.8,44.76,45.23,20665971.0,44.98,47.01,40.13,-1.8,-1.86,0.86,45.79
2022-06-02,45.18,45.8,44.9,45.79,20546752.0,45.34,46.72,42.87,-1.65,-1.81,0.38,45.25
2022-06-03,45.55,45.74,45.12,45.25,17946966.0,45.39,46.5,37.16,-1.56,-1.76,0.0,45.33
2022-06-06,45.6,46.09,45.12,45.33,12641918.0,45.33,46.3,38.75,-1.47,-1.7,0.73,45.57
2022-06-07,44.82,45.65,44.72,45.57,14667229.0,45.43,46.13,33.18,-1.36,-1.64,0.0,44.92
2022-06-08,45.45,45.63,44.88,44.92,16263801.0,45.37,45.9,37.13,-1.31,-1.57,0.0,44.26
2022-06-09,44.83,45.27,44.24,44.26,18417690.0,45.07,45.68,67.21,-1.3,-1.52,0.0,43.49
2022-06-10,43.8,43.99,43.29,43.49,20267053.0,44.71,45.44,53.97,-1.35,-1.48,0.0,43.24
2022-06-13,43.06,43.84,42.89,43.24,29050816.0,44.3,45.12,49.19,-1.39,-1.46,0.0,42.91
2022-06-14,43.63,43.7,42.57,42.91,22499137.0,43.76,44.82,43.56,-1.43,-1.46,0.0,43.8
2022-06-15,43.37,44.42,43.1,43.8,22525083.0,43.54,44.48,48.64,-1.38,-1.44,0.61,43.32
2022-06-16,42.81,43.41,42.81,43.32,27049015.0,43.35,44.23,37.77,-1.36,-1.43,0.0,43.39
2022-06-17,43.36,44.0,43.24,43.39,59678621.0,43.33,44.31,32.22,-1.32,-1.4,0.3,44.14
