Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,81.04,82.25,80.56,80.66,2420427.0,80.66,80.66,50.0,0.0,0.0,0.0,82.54
2022-01-04,81.07,82.88,80.93,82.54,2702920.0,81.6,81.6,100.0,0.15,0.03,0.22,81.79
2022-01-05,82.59,83.71,81.73,81.79,2346481.0,81.66,81.66,71.48,0.21,0.07,0.0,81.99
2022-01-06,82.76,82.97,81.24,81.99,1666872.0,81.74,81.74,73.5,0.26,0.1,0.0,83.19
2022-01-07,82.41,83.63,81.98,83.19,3086079.0,82.03,82.03,81.39,0.4,0.16,0.0,81.97
2022-01-10,82.19,83.46,81.13,81.97,2269311.0,82.3,82.02,62.48,0.41,0.21,0.0,83.03
2022-01-11,82.06,83.09,81.5,83.03,1976793.0,82.39,82.17,68.78,0.49,0.27,0.0,83.72
2022-01-12,83.16,83.86,82.67,83.72,2137743.0,82.78,82.36,71.86,0.61,0.34,0.0,84.01
2022-01-13,83.8,84.96,83.7,84.01,1898153.0,83.18,82.54,72.98,0.71,0.41,0.0,84.97
2022-01-14,82.9,85.16,82.29,84.97,2544307.0,83.54,82.79,76.12,0.87,0.5,0.0,83.77
2022-01-18,84.46,84.46,83.25,83.77,4316940.0,83.9,82.88,66.46,0.88,0.58,0.0,81.58
2022-01-19,83.91,83.91,81.48,81.58,3341674.0,83.61,82.77,53.95,0.71,0.6,0.0,79.18
2022-01-20,81.77,81.84,79.02,79.18,3676812.0,82.7,82.49,44.73,0.37,0.56,0.0,77.47
2022-01-21,78.43,78.9,76.92,77.47,3068352.0,81.39,82.13,39.87,-0.03,0.44,0.0,77.15
2022-01-24,76.03,77.46,74.19,77.15,3807785.0,79.83,81.8,39.08,-0.37,0.28,0.0,76.83
2022-01-25,76.0,77.48,74.4,76.83,2628976.0,78.44,81.49,30.32,-0.66,0.09,0.4,76.74
2022-01-26,77.23,78.32,75.8,76.74,2384183.0,77.47,81.21,31.77,-0.89,-0.11,0.0,76.49
