Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,58.82,59.31,58.38,59.3,20188377.0,59.3,59.3,50.0,0.0,0.0,0.38,60.29
2022-01-04,59.73,60.54,59.59,60.29,26141584.0,59.8,59.8,100.0,0.08,0.02,0.16,60.79
2022-01-05,60.09,61.2,60.05,60.79,22507262.0,60.13,60.13,100.0,0.18,0.05,0.07,60.47
2022-01-06,60.46,61.12,60.44,60.47,17902345.0,60.21,60.21,82.32,0.23,0.09,0.21,60.33
2022-01-07,60.28,60.72,60.06,60.33,12307896.0,60.24,60.24,76.41,0.26,0.12,0.3,60.43
2022-01-10,60.55,60.82,60.18,60.43,20954345.0,60.46,60.27,77.56,0.28,0.15,0.17,60.45
2022-01-11,60.43,60.49,59.84,60.45,17591613.0,60.49,60.29,77.78,0.3,0.18,0.06,60.54
2022-01-12,60.53,60.68,60.19,60.54,15753809.0,60.44,60.32,78.7,0.32,0.21,-0.13,60.9
2022-01-13,60.54,61.04,60.38,60.9,14317992.0,60.53,60.39,81.75,0.36,0.24,0.21,61.39
2022-01-14,60.94,61.45,60.36,61.39,19729632.0,60.74,60.49,84.72,0.43,0.28,0.26,60.9
2022-01-18,61.06,61.19,60.45,60.9,20616874.0,60.84,60.53,72.86,0.43,0.31,0.0,61.0
2022-01-19,60.66,61.18,60.56,61.0,18072085.0,60.95,60.57,73.61,0.44,0.33,0.0,60.75
2022-01-20,61.0,61.44,60.72,60.75,23002353.0,60.99,60.58,68.83,0.42,0.35,0.0,60.45
2022-01-21,61.08,61.3,60.4,60.45,26643161.0,60.9,60.57,63.86,0.38,0.36,0.0,59.96
2022-01-24,59.9,60.35,58.57,59.96,30207455.0,60.61,60.53,57.11,0.3,0.35,0.0,59.82
2022-01-25,59.36,60.04,58.69,59.82,19027109.0,60.4,60.49,43.8,0.23,0.32,0.0,59.6
2022-01-26,59.79,60.34,59.21,59.6,19190239.0,60.12,60.43,33.05,0.15,0.29,0.0,59.65
2022-01-27,59.88,60.92,59.5,59.65,18898682.0,59.9,60.39,37.35,0.09,0.25,0.0,60.84
2022-01-28,59.39,60.89,58.94,60.84,19101494.0,59.97,60.41,55.94,0.14,0.23,0.27,61.01
2022-01-31,60.3,61.14,60.15,61.01,22045321.0,60.18,60.44,56.65,0.19,0.22,0.19,60.56
2022-02-01,60.91,61.14,60.16,60.56,20841657.0,60.33,60.51,51.15,0.19,0.21,-0.22,61.18
2022-02-02,60.62,61.27,60.56,61.18,20225579.0,60.65,60.55,56.02,0.24,0.22,0.64,61.61
2022-02-03,60.94,61.78,60.58,61.61,19440490.0,61.04,60.59,56.59,0.3,0.24,-0.32,60.96
2022-02-04,61.49,61.68,60.57,60.96,17403729.0,61.06,60.62,46.13,0.3,0.25,0.08,61.6
2022-02-07,61.38,61.72,60.86,61.6,17846411.0,61.18,60.68,56.14,0.35,0.27,0.54,62.0
2022-02-08,61.83,62.32,61.74,62.0,18771748.0,61.47,60.76,58.33,0.41,0.3,0.44,61.04
2022-02-09,62.17,62.32,60.9,61.04,23595558.0,61.44,60.79,52.16,0.38,0.31,0.59,61.38
2022-02-10,60.36,62.3,60.2,61.38,23561530.0,61.4,60.83,56.89,0.38,0.33,0.28,60.29
2022-02-11,61.77,61.98,60.15,60.29,22781387.0,61.26,60.8,52.24,0.29,0.32,0.15,60.68
2022-02-14,60.16,60.79,59.28,60.68,23641310.0,61.08,60.76,55.66,0.24,0.3,0.17,60.91
2022-02-15,60.96,61.78,60.63,60.91,13409343.0,60.86,60.76,58.61,0.23,0.29,0.44,60.9
2022-02-16,60.86,61.4,60.56,60.9,15484660.0,60.83,60.76,58.26,0.21,0.27,0.55,62.12
2022-02-17,60.55,62.28,60.4,62.12,21468724.0,60.98,60.83,58.42,0.29,0.28,0.49,62.54
2022-02-18,62.12,62.82,61.99,62.54,21975023.0,61.43,60.93,59.75,0.38,0.3,0.38,62.28
2022-02-22,62.43,62.64,61.72,62.28,21521498.0,61.75,61.05,61.23,0.43,0.32,0.28,61.59
2022-02-23,62.24,62.33,61.34,61.59,19248474.0,61.89,61.14,52.65,0.41,0.34,0.51,60.51
2022-02-24,59.97,60.62,59.22,60.51,27207444.0,61.81,61.18,43.44,0.3,0.33,0.14,62.85
2022-02-25,60.94,62.9,60.92,62.85,21487796.0,61.95,61.34,59.38,0.4,0.35,0.3,62.24
2022-02-28,61.65,62.34,61.41,62.24,25879116.0,61.89,61.41,53.19,0.42,0.36,0.36,61.97
2022-03-01,62.14,62.75,61.51,61.97,15871088.0,61.83,61.46,49.85,0.41,0.37,0.24,62.43
2022-03-02,62.23,62.88,61.78,62.43,17319120.0,62.0,61.55,57.39,0.44,0.38,0.12,62.47
2022-03-03,62.61,63.02,62.28,62.47,21262797.0,62.39,61.62,55.98,0.46,0.4,-0.0,62.57
2022-03-04,61.46,62.59,61.2,62.57,17164633.0,62.34,61.67,64.04,0.47,0.41,0.47,61.08
2022-03-07,62.01,62.07,60.72,61.08,29151418.0,62.1,61.67,52.17,0.36,0.4,-0.3,58.66
2022-03-08,61.45,61.54,58.59,58.66,30242133.0,61.44,61.53,40.14,0.08,0.34,-0.33,58.96
2022-03-09,59.82,59.84,58.66,58.96,23022696.0,60.75,61.37,41.71,-0.12,0.25,-0.18,57.88
2022-03-10,58.48,58.66,57.5,57.88,20887284.0,59.83,61.22,31.66,-0.36,0.13,0.21,57.92
2022-03-11,57.96,58.85,57.86,57.92,19855646.0,58.9,61.04,29.34,-0.54,-0.01,0.31,58.54
2022-03-14,57.97,59.04,57.97,58.54,17799380.0,58.39,60.96,33.8,-0.63,-0.13,0.36,59.62
2022-03-15,59.08,59.89,58.98,59.62,18607191.0,58.58,60.9,41.74,-0.6,-0.23,0.0,59.46
2022-03-16,59.78,59.94,58.6,59.46,17347253.0,58.68,60.83,45.23,-0.59,-0.3,-0.43,60.09
2022-03-17,59.46,60.14,59.23,60.09,15586228.0,59.13,60.79,35.16,-0.52,-0.34,0.49,60.1
2022-03-18,60.3,60.3,59.7,60.1,29304511.0,59.56,60.69,37.7,-0.46,-0.37,0.0,60.58
2022-03-21,60.5,61.1,60.24,60.58,17430567.0,59.97,60.59,42.2,-0.37,-0.37,0.34,60.8
2022-03-22,60.93,60.95,60.06,60.8,17306023.0,60.21,60.52,40.6,-0.28,-0.35,0.26,60.4
2022-03-23,60.75,60.98,60.0,60.4,15529244.0,60.39,60.46,38.54,-0.23,-0.33,0.41,60.98
2022-03-24,60.64,61.02,60.46,60.98,13151348.0,60.57,60.48,41.64,-0.15,-0.29,0.52,61.53
2022-03-25,61.12,61.61,61.05,61.53,12064706.0,60.86,60.41,52.63,-0.04,-0.24,0.87,61.92
2022-03-28,61.53,61.94,61.21,61.92,11485219.0,61.13,60.4,74.92,0.08,-0.18,0.46,62.16
2022-03-29,62.21,62.53,61.74,62.16,14720572.0,61.4,60.41,74.69,0.19,-0.1,0.26,62.21
2022-03-30,62.01,62.21,61.56,62.21,13641002.0,61.76,60.4,89.72,0.28,-0.03,0.09,62.0
2022-03-31,62.22,62.64,62.0,62.0,16822902.0,61.96,60.37,86.3,0.33,0.04,0.44,62.87
2022-04-01,62.33,62.95,62.08,62.87,12644879.0,62.23,60.39,86.88,0.43,0.12,0.44,62.54
2022-04-04,62.6,62.78,61.72,62.54,11506554.0,62.36,60.46,78.52,0.48,0.19,0.23,62.47
2022-04-05,62.4,63.24,62.37,62.47,15596185.0,62.42,60.65,79.92,0.51,0.26,0.22,63.1
2022-04-06,62.77,63.26,62.3,63.1,19267420.0,62.6,60.86,79.92,0.58,0.32,0.2,63.44
2022-04-07,63.13,63.67,62.71,63.44,13960823.0,62.88,61.14,81.16,0.65,0.39,0.25,63.83
2022-04-08,63.48,64.04,63.16,63.83,12703466.0,63.08,61.43,80.83,0.73,0.46,0.37,63.81
2022-04-11,63.9,64.3,63.64,63.81,12720105.0,63.33,61.7,79.68,0.79,0.52,-0.12,64.56
2022-04-12,64.38,64.81,63.89,64.56,18089907.0,63.75,61.94,88.38,0.88,0.59,0.27,64.73
2022-04-13,64.44,64.87,64.23,64.73,11882991.0,64.07,62.21,87.43,0.95,0.67,0.57,65.02
2022-04-14,64.96,65.57,64.82,65.02,16388429.0,64.39,62.45,86.74,1.03,0.74,0.34,64.44
2022-04-18,64.77,65.18,64.18,64.44,11679372.0,64.51,62.67,75.51,1.03,0.8,0.81,65.07
2022-04-19,64.5,65.25,64.44,65.07,11993775.0,64.76,62.89,77.3,1.06,0.85,0.2,65.96
2022-04-20,65.44,66.24,65.4,65.96,14682923.0,65.04,63.15,80.39,1.15,0.91,0.01,66.21
2022-04-21,65.98,67.0,65.72,66.21,15120412.0,65.34,63.44,83.9,1.23,0.97,0.4,65.25
2022-04-22,66.08,66.34,65.18,65.25,14902199.0,65.39,63.66,68.89,1.2,1.02,0.18,65.94
2022-04-25,67.0,67.2,64.78,65.94,25082000.0,65.69,63.88,75.53,1.21,1.06,0.35,65.05
2022-04-26,65.52,66.37,65.04,65.05,21736142.0,65.68,64.03,67.25,1.14,1.07,0.2,65.56
2022-04-27,65.0,66.28,65.0,65.56,16971010.0,65.6,64.2,66.71,1.11,1.08,0.28,66.19
2022-04-28,64.66,66.28,64.5,66.19,22020524.0,65.6,64.4,67.97,1.13,1.09,0.16,64.61
2022-04-29,65.87,66.03,64.49,64.61,20137147.0,65.47,64.53,54.41,1.0,1.07,0.25,63.44
2022-05-02,65.28,65.31,62.58,63.44,24970311.0,64.97,64.56,48.15,0.8,1.02,0.23,63.08
2022-05-03,63.72,63.94,62.67,63.08,21686339.0,64.58,64.59,42.29,0.6,0.93,0.17,65.03
2022-05-04,63.0,65.12,62.94,65.03,19654974.0,64.47,64.72,51.32,0.59,0.87,0.17,64.51
2022-05-05,64.69,65.03,64.01,64.51,20155236.0,64.13,64.79,47.8,0.54,0.8,0.14,64.74
2022-05-06,64.2,65.31,64.07,64.74,18984019.0,64.16,64.85,51.33,0.51,0.74,0.09,64.61
2022-05-09,64.47,65.36,64.04,64.61,20055332.0,64.39,64.89,47.86,0.47,0.69,-0.19,64.01
2022-05-10,64.5,65.32,63.85,64.01,21322216.0,64.58,64.9,40.69,0.39,0.63,-0.02,64.31
2022-05-11,64.33,65.2,63.96,64.31,19648404.0,64.44,64.89,40.97,0.34,0.57,0.26,64.51
2022-05-12,64.16,64.53,63.2,64.51,22574724.0,64.44,64.88,46.21,0.32,0.52,0.16,65.72
2022-05-13,64.81,65.8,64.12,65.72,16166956.0,64.63,64.91,48.93,0.39,0.49,0.33,65.96
2022-05-16,65.44,66.38,65.44,65.96,13223177.0,64.9,64.99,54.72,0.46,0.49,-0.04,65.78
2022-05-17,66.1,66.1,65.01,65.78,21300589.0,65.26,65.02,51.18,0.5,0.49,0.25,61.2
2022-05-18,65.42,65.52,60.96,61.2,31437307.0,64.63,64.79,31.17,0.16,0.42,0.36,60.0
2022-05-19,60.96,60.96,59.66,60.0,31493882.0,63.73,64.47,32.09,-0.21,0.3,0.38,60.98
2022-05-20,60.49,61.24,59.66,60.98,29133763.0,62.78,64.26,40.3,-0.41,0.16,0.39,62.86
2022-05-23,61.65,63.1,61.59,62.86,19406880.0,62.16,64.11,49.23,-0.42,0.04,0.22,64.02
2022-05-24,62.88,64.19,62.75,64.02,16154240.0,61.81,64.06,46.23,-0.33,-0.03,0.11,64.07
2022-05-25,64.0,64.47,63.6,64.07,15360489.0,62.39,63.98,48.3,-0.25,-0.08,0.35,64.3
2022-05-26,64.07,65.1,63.96,64.3,16159829.0,63.25,63.89,48.3,-0.16,-0.09,0.25,64.68
2022-05-27,64.26,64.83,64.14,64.68,17708983.0,63.99,63.89,50.27,-0.06,-0.09,0.27,63.38
2022-05-31,64.08,64.32,63.05,63.38,43159048.0,64.09,63.89,47.73,-0.09,-0.09,0.28,63.07
2022-06-01,63.42,63.68,62.13,63.07,15408313.0,63.9,63.89,45.54,-0.14,-0.1,0.51,63.73
2022-06-02,63.18,63.74,62.11,63.73,14585979.0,63.83,63.82,47.28,-0.12,-0.1,0.49,62.97
2022-06-03,63.57,63.62,62.81,62.97,13539857.0,63.57,63.74,40.12,-0.16,-0.11,0.26,62.87
2022-06-06,63.33,63.77,62.66,62.87,15112806.0,63.2,63.65,38.78,-0.2,-0.13,0.5,63.25
2022-06-07,62.38,63.36,62.22,63.25,17886319.0,63.18,63.58,40.94,-0.2,-0.14,0.21,62.89
2022-06-08,62.99,63.21,62.56,62.89,10211450.0,63.14,63.53,58.67,-0.23,-0.16,0.23,61.8
2022-06-09,62.87,63.35,61.78,61.8,13391880.0,62.76,63.4,59.34,-0.33,-0.2,0.26,61.41
2022-06-10,61.01,61.88,60.46,61.41,14973493.0,62.44,63.25,52.38,-0.44,-0.24,0.36,61.34
2022-06-13,60.75,62.29,60.67,61.34,23064194.0,62.14,63.03,39.5,-0.53,-0.3,0.15,59.23
2022-06-14,60.73,60.89,58.66,59.23,24620023.0,61.33,62.69,20.76,-0.76,-0.39,0.33,59.67
2022-06-15,60.0,60.64,58.97,59.67,19684697.0,60.69,62.39,24.36,-0.89,-0.49,-0.12,59.07
2022-06-16,58.64,59.52,58.25,59.07,15053843.0,60.14,62.28,20.78,-1.04,-0.6,0.13,59.43
2022-06-17,59.7,60.12,59.13,59.43,34781917.0,59.75,62.25,20.6,-1.11,-0.7,0.35,60.7
2022-06-21,59.49,60.88,59.01,60.7,17705019.0,59.62,62.24,34.94,-1.05,-0.77,0.28,61.15
2022-06-22,60.6,61.44,60.32,61.15,15209869.0,60.0,62.15,39.38,-0.96,-0.81,0.22,61.88
2022-06-23,61.3,61.91,61.23,61.88,17190869.0,60.45,62.04,39.85,-0.82,-0.81,0.21,63.04
2022-06-24,62.11,63.06,62.11,63.04,18147070.0,61.24,61.99,50.37,-0.61,-0.77,0.31,62.91
2022-06-27,62.98,63.29,62.63,62.91,12142112.0,61.94,61.92,50.21,-0.44,-0.71,0.18,62.28
2022-06-28,63.08,63.76,62.1,62.28,13181559.0,62.25,61.8,45.05,-0.36,-0.64,0.17,62.73
2022-06-29,62.54,63.11,62.43,62.73,11795511.0,62.57,61.77,49.19,-0.25,-0.56,0.13,62.91
2022-06-30,62.32,63.11,62.16,62.91,15514153.0,62.77,61.76,56.19,-0.16,-0.48,0.13,64.38
2022-07-01,63.12,64.45,62.82,64.38,15143204.0,63.04,61.8,64.78,0.04,-0.38,0.13,63.28
2022-07-05,64.18,64.18,62.42,63.28,15925029.0,63.12,61.81,58.75,0.11,-0.28,0.31,63.41
2022-07-06,63.6,64.09,63.19,63.41,13450506.0,63.34,61.84,72.97,0.17,-0.19,0.37,62.91
2022-07-07,63.26,63.58,62.7,62.91,14828434.0,63.38,61.82,67.69,0.17,-0.12,0.1,63.14
2022-07-08,63.03,63.42,62.88,63.14,11311461.0,63.42,61.83,73.15,0.2,-0.05,0.13,62.94
