Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,76.58,76.94,75.35,76.87,9443499.0,76.87,76.87,50.0,0.0,0.0,0.57,77.01
2022-01-04,76.4,77.27,75.89,77.01,11981656.0,76.94,76.94,100.0,0.01,0.0,0.0,78.88
2022-01-05,77.26,79.81,77.26,78.88,17447911.0,77.59,77.59,100.0,0.17,0.04,0.07,78.83
2022-01-06,78.79,79.58,77.95,78.83,11359161.0,77.9,77.9,97.57,0.29,0.09,0.21,80.3
2022-01-07,78.86,80.53,78.46,80.3,15211967.0,78.38,78.38,98.58,0.49,0.17,0.35,82.37
2022-01-10,80.54,82.45,79.67,82.37,19636814.0,79.48,79.04,99.11,0.81,0.3,0.22,81.67
2022-01-11,82.42,82.56,80.65,81.67,10206282.0,80.41,79.42,88.1,1.0,0.44,0.61,81.2
2022-01-12,81.08,81.42,80.67,81.2,13056970.0,80.87,79.64,81.98,1.1,0.57,0.9,81.32
2022-01-13,80.93,81.72,80.33,81.32,9678145.0,81.37,79.83,82.29,1.17,0.69,0.0,81.38
2022-01-14,81.6,81.85,80.76,81.38,9478020.0,81.59,79.98,82.45,1.22,0.8,0.85,81.54
2022-01-18,81.1,82.16,80.81,81.54,14162529.0,81.42,80.12,82.84,1.26,0.89,0.0,81.29
2022-01-19,80.98,81.98,80.48,81.29,10545712.0,81.35,80.22,80.03,1.25,0.96,0.45,80.75
2022-01-20,80.73,81.86,80.52,80.75,12069577.0,81.26,80.26,74.56,1.19,1.01,-0.09,79.98
2022-01-21,81.27,81.52,79.24,79.98,18461735.0,80.99,80.24,67.94,1.07,1.02,0.12,78.83
2022-01-24,79.77,80.11,76.65,78.83,17293349.0,80.48,80.15,59.98,0.87,0.99,-0.65,79.46
2022-01-25,78.42,79.78,77.78,79.46,13662385.0,80.06,80.1,61.88,0.75,0.94,0.0,79.14
2022-01-26,79.39,80.34,78.73,79.14,13046599.0,79.63,80.05,51.48,0.62,0.88,0.13,80.58
2022-01-27,78.42,81.6,78.42,80.58,20189659.0,79.6,80.08,58.62,0.63,0.83,-0.3,80.9
2022-01-28,79.54,80.99,79.18,80.9,13915287.0,79.78,80.12,53.33,0.66,0.79,0.29,81.48
2022-01-31,81.02,81.72,80.8,81.48,13034987.0,80.31,80.19,44.07,0.72,0.78,-0.03,81.92
2022-02-01,81.96,82.12,81.08,81.92,10803331.0,80.8,80.44,51.72,0.79,0.78,0.23,82.01
2022-02-02,81.8,82.3,81.26,82.01,13988212.0,81.38,80.69,55.9,0.85,0.8,0.0,79.01
2022-02-03,81.65,81.8,78.4,79.01,19181351.0,81.06,80.7,38.15,0.64,0.76,0.04,78.56
2022-02-04,78.51,79.55,78.2,78.56,10716242.0,80.6,80.68,36.09,0.44,0.7,-0.61,77.58
2022-02-07,78.79,78.92,77.44,77.58,23615276.0,79.82,80.55,31.93,0.19,0.6,0.1,76.91
2022-02-08,77.1,77.33,75.82,76.91,17486482.0,78.81,80.28,30.76,-0.05,0.47,0.37,76.53
2022-02-09,77.17,77.33,76.41,76.53,15183105.0,77.72,80.02,31.19,-0.27,0.32,-0.48,76.56
2022-02-10,76.36,76.77,75.93,76.56,12437552.0,77.23,79.79,33.68,-0.44,0.17,0.68,76.64
2022-02-11,76.4,77.9,76.17,76.64,9342303.0,76.84,79.55,38.36,-0.56,0.02,0.0,76.47
2022-02-14,76.63,76.7,75.11,76.47,9881111.0,76.62,79.31,33.3,-0.67,-0.12,0.0,77.81
2022-02-15,77.51,78.19,77.32,77.81,11426143.0,76.8,79.12,43.33,-0.63,-0.22,0.35,77.22
2022-02-16,77.2,77.8,76.93,77.22,9981458.0,76.94,78.92,31.58,-0.64,-0.3,0.1,76.36
2022-02-17,76.85,76.93,76.0,76.36,8889342.0,76.9,78.7,26.5,-0.72,-0.39,0.23,76.37
2022-02-18,76.32,76.86,75.89,76.37,8780451.0,76.85,78.52,21.89,-0.76,-0.46,0.78,75.95
