Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,58.5,58.55,56.34,56.65,57253148.0,56.65,56.65,50.0,0.0,0.0,0.09,54.53
2022-01-04,56.22,56.43,53.94,54.53,66993082.0,55.59,55.59,0.0,-0.17,-0.03,0.15,55.63
2022-01-05,55.84,56.44,55.37,55.63,52956422.0,55.6,55.6,34.16,-0.21,-0.07,0.06,54.84
2022-01-06,55.16,55.63,54.49,54.84,37000392.0,55.41,55.41,27.43,-0.31,-0.12,0.13,55.72
2022-01-07,55.36,55.77,54.63,55.72,27703374.0,55.47,55.47,40.49,-0.31,-0.16,0.07,56.24
2022-01-10,55.71,56.26,54.74,56.24,34044653.0,55.39,55.6,46.21,-0.26,-0.18,0.05,56.69
2022-01-11,56.75,57.43,55.81,56.69,33373300.0,55.82,55.76,50.34,-0.19,-0.18,0.13,56.65
2022-01-12,56.34,57.16,55.9,56.65,27608533.0,56.03,55.87,50.0,-0.13,-0.17,0.39,55.54
2022-01-13,56.53,56.75,55.22,55.54,28117937.0,56.17,55.83,42.08,-0.17,-0.17,0.19,54.95
2022-01-14,54.98,55.38,54.51,54.95,27072545.0,56.01,55.74,38.82,-0.25,-0.19,0.23,54.11
2022-01-18,54.5,54.55,53.43,54.11,31884262.0,55.59,55.6,34.95,-0.38,-0.22,0.0,53.54
2022-01-19,53.65,54.49,53.45,53.54,27197945.0,54.96,55.42,32.74,-0.52,-0.28,0.0,54.05
2022-01-20,53.96,54.52,53.07,54.05,35105321.0,54.44,55.32,36.34,-0.58,-0.34,0.0,52.79
2022-01-21,54.42,54.86,52.46,52.79,41058973.0,53.89,55.14,32.1,-0.72,-0.42,0.0,51.54
2022-01-24,51.75,52.06,49.82,51.54,59080740.0,53.21,54.9,28.76,-0.93,-0.52,0.37,52.54
2022-01-25,51.36,52.84,51.24,52.54,43983174.0,52.89,54.75,40.88,-0.99,-0.61,0.02,53.01
2022-01-26,52.57,53.62,52.46,53.01,39644846.0,52.79,54.65,37.26,-1.0,-0.69,0.33,53.37
2022-01-27,53.02,54.58,53.0,53.37,36957197.0,52.65,54.58,42.54,-0.96,-0.75,-0.03,54.33
2022-01-28,53.77,54.67,53.1,54.33,28590397.0,52.96,54.56,43.0,-0.85,-0.77,0.42,52.69
2022-01-31,54.0,54.14,52.38,52.69,38644575.0,53.19,54.47,33.94,-0.88,-0.79,0.19,53.07
2022-02-01,52.74,53.16,52.39,53.07,27883325.0,53.29,54.29,33.52,-0.86,-0.8,0.12,53.86
2022-02-02,52.84,54.13,52.45,53.86,32039345.0,53.46,54.26,38.11,-0.78,-0.8,-0.01,53.38
2022-02-03,53.32,53.89,53.09,53.38,22635803.0,53.47,54.15,40.27,-0.74,-0.79,0.29,53.0
2022-02-04,53.02,53.43,52.63,53.0,24932162.0,53.2,54.05,41.05,-0.73,-0.78,0.13,53.21
2022-02-07,53.3,53.58,52.24,53.21,32358536.0,53.3,53.93,45.61,-0.7,-0.76,0.25,51.7
2022-02-08,50.64,51.8,49.69,51.7,67921966.0,53.03,53.7,41.79,-0.79,-0.77,0.28,51.47
2022-02-09,51.64,51.72,50.9,51.47,38522207.0,52.55,53.44,38.19,-0.87,-0.79,0.43,50.6
2022-02-10,51.04,51.37,50.39,50.6,34200602.0,52.0,53.14,39.6,-0.99,-0.83,-0.03,50.78
2022-02-11,50.33,51.24,50.08,50.78,34997790.0,51.55,52.9,45.98,-1.06,-0.87,-0.07,49.8
2022-02-14,49.82,50.5,48.48,49.8,42973119.0,50.87,52.64,35.49,-1.18,-0.94,-0.15,49.79
2022-02-15,49.8,50.04,49.21,49.79,29161056.0,50.49,52.43,32.07,-1.26,-1.0,0.64,49.68
2022-02-16,49.59,50.78,49.43,49.68,27672592.0,50.13,52.23,28.87,-1.32,-1.06,0.22,48.9
2022-02-17,49.81,49.96,48.75,48.9,21231671.0,49.79,51.98,18.25,-1.41,-1.13,0.0,48.53
2022-02-18,48.78,49.52,48.2,48.53,26955313.0,49.34,51.76,21.43,-1.5,-1.21,0.26,47.53
2022-02-22,47.54,48.31,47.34,47.53,34314535.0,48.89,51.56,14.94,-1.63,-1.29,0.18,46.87
2022-02-23,47.59,48.16,46.78,46.87,25792980.0,48.3,51.28,5.02,-1.76,-1.39,0.61,45.96
2022-02-24,45.86,46.76,45.4,45.96,44227348.0,47.56,50.93,4.76,-1.92,-1.49,0.93,47.72
2022-02-25,45.81,48.03,45.74,47.72,31199192.0,47.32,50.64,22.44,-1.88,-1.57,0.14,46.94
2022-02-28,46.82,47.17,46.34,46.94,35296050.0,47.0,50.27,19.11,-1.9,-1.64,0.33,45.75
2022-03-01,46.69,47.14,45.44,45.75,29854506.0,46.65,49.93,19.74,-1.98,-1.7,0.15,47.7
2022-03-02,46.11,47.93,46.0,47.7,36516150.0,46.81,49.66,33.68,-1.86,-1.74,0.1,47.83
2022-03-03,47.68,48.58,47.48,47.83,30553340.0,47.19,49.36,37.19,-1.74,-1.74,0.42,48.65
2022-03-04,47.5,48.77,47.41,48.65,33222898.0,47.37,49.12,40.7,-1.56,-1.7,0.21,47.98
2022-03-07,48.25,48.84,47.52,47.98,33171300.0,47.58,48.87,41.83,-1.46,-1.65,0.12,47.44
2022-03-08,47.58,48.42,46.46,47.44,32913298.0,47.92,48.58,39.93,-1.4,-1.6,0.17,48.75
2022-03-09,48.13,49.22,48.0,48.75,24718917.0,48.13,48.43,46.39,-1.24,-1.53,0.02,49.2
2022-03-10,48.3,49.29,48.05,49.2,24542343.0,48.4,48.32,51.2,-1.06,-1.44,0.05,50.27
2022-03-11,49.14,50.9,48.94,50.27,33701925.0,48.73,48.3,56.57,-0.82,-1.31,-0.12,52.25
2022-03-14,50.72,52.91,50.39,52.25,42314540.0,49.58,48.38,66.6,-0.47,-1.14,0.29,52.21
2022-03-15,52.62,52.92,51.18,52.21,30172127.0,50.54,48.5,69.63,-0.19,-0.95,-0.21,52.92
