Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,217.52,222.06,217.01,221.43,7696504.0,221.43,221.43,50.0,0.0,0.0,0.0,222.46
2022-01-04,222.0,226.79,221.81,222.46,10629274.0,221.94,221.94,100.0,0.08,0.02,0.0,220.0
2022-01-05,222.64,225.27,219.92,220.0,9594587.0,221.3,221.3,29.51,-0.05,0.0,0.0,219.75
2022-01-06,217.8,221.91,217.55,219.75,7877498.0,220.91,220.91,27.54,-0.17,-0.03,0.0,216.96
2022-01-07,217.31,220.2,215.64,216.96,10702084.0,220.12,220.12,15.77,-0.49,-0.12,0.0,211.97
2022-01-10,213.98,214.2,206.5,211.97,11978564.0,218.23,218.76,8.94,-1.13,-0.32,0.0,214.38
2022-01-11,211.42,214.94,208.74,214.38,8797140.0,216.61,218.14,24.69,-1.43,-0.55,0.0,215.71
2022-01-12,214.48,217.58,213.81,215.71,6923316.0,215.75,217.83,31.26,-1.54,-0.74,0.0,215.0
2022-01-13,216.85,220.48,214.66,215.0,8867716.0,214.8,217.52,29.87,-1.67,-0.93,0.0,214.67
2022-01-14,214.17,218.24,213.71,214.67,8838059.0,214.35,217.23,29.26,-1.77,-1.1,0.0,215.71
2022-01-18,215.88,216.9,214.33,215.71,9066661.0,215.09,217.09,33.51,-1.75,-1.23,0.0,214.68
2022-01-19,213.0,218.23,212.1,214.68,9105809.0,215.15,216.89,31.63,-1.8,-1.34,0.0,214.35
2022-01-20,214.72,219.6,213.94,214.35,8532719.0,214.88,216.7,31.07,-1.84,-1.44,0.0,205.93
2022-01-21,215.46,215.6,205.82,205.93,16200186.0,213.07,215.93,21.42,-2.52,-1.66,0.0,201.85
2022-01-24,202.18,202.72,195.65,201.85,16071162.0,210.5,214.99,18.62,-3.36,-2.0,0.0,202.0
2022-01-25,199.62,205.38,196.99,202.0,12125533.0,207.76,214.18,16.26,-3.96,-2.39,0.0,205.87
2022-01-26,204.28,210.86,203.67,205.87,10817631.0,206.0,213.69,27.73,-4.08,-2.73,0.0,206.15
