Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,61.24,63.6,61.21,63.54,24290187.0,63.54,63.54,50.0,0.0,0.0,0.0,65.93
2022-01-04,64.13,66.18,64.1,65.93,38584046.0,64.74,64.74,100.0,0.19,0.04,0.43,66.75
2022-01-05,66.5,67.61,66.48,66.75,34033275.0,65.41,65.41,100.0,0.4,0.11,0.25,68.32
2022-01-06,68.0,68.48,67.07,68.32,30668514.0,66.13,66.13,100.0,0.69,0.23,0.01,68.88
2022-01-07,68.52,69.18,67.98,68.88,23985401.0,66.68,66.68,100.0,0.95,0.37,0.0,68.47
2022-01-10,68.97,69.17,67.95,68.47,22760316.0,67.67,66.98,92.87,1.11,0.52,0.34,71.35
2022-01-11,68.89,71.4,68.58,71.35,31908074.0,68.75,67.61,95.25,1.46,0.71,0.69,71.14
2022-01-12,71.14,71.81,70.64,71.14,23045051.0,69.63,68.05,92.99,1.69,0.9,0.25,70.63
2022-01-13,71.12,71.58,70.31,70.63,21043176.0,70.09,68.33,87.91,1.82,1.09,0.33,71.87
2022-01-14,70.65,72.14,70.6,71.87,23012866.0,70.69,68.69,89.33,1.99,1.27,0.26,73.08
2022-01-18,72.82,73.88,72.01,73.08,31605833.0,71.61,69.09,90.42,2.21,1.46,-0.15,73.11
2022-01-19,73.75,73.86,72.55,73.11,26301952.0,71.97,69.42,90.45,2.35,1.63,-0.35,73.27
2022-01-20,72.5,74.37,72.26,73.27,26774550.0,72.39,69.72,90.58,2.45,1.8,-0.01,72.17
2022-01-21,73.18,73.18,71.04,72.17,35120462.0,72.7,69.89,82.96,2.41,1.92,0.46,72.79
2022-01-24,70.88,73.08,69.81,72.79,41576131.0,72.88,70.09,83.73,2.4,2.02,0.36,74.93
2022-01-25,72.59,75.24,71.39,74.93,39278417.0,73.25,70.39,83.43,2.54,2.12,0.18,74.17
2022-01-26,75.43,76.0,73.49,74.17,35252385.0,73.47,70.61,77.69,2.55,2.21,0.17,75.12
2022-01-27,75.46,76.01,73.98,75.12,29174687.0,73.84,70.86,76.6,2.61,2.29,0.73,75.28
2022-01-28,74.97,75.62,73.95,75.28,30595660.0,74.46,71.09,75.85,2.65,2.36,0.33,75.96
2022-01-31,74.97,76.42,74.26,75.96,36085479.0,75.09,71.34,79.6,2.69,2.43,0.17,80.83
2022-02-01,76.45,81.51,76.27,80.83,61033081.0,76.27,72.2,82.38,3.09,2.56,0.52,80.62
2022-02-02,80.06,80.81,79.15,80.62,30299322.0,77.56,72.94,82.38,3.35,2.72,0.11,79.68
2022-02-03,80.09,80.31,79.02,79.68,28529399.0,78.47,73.58,80.03,3.44,2.86,0.9,81.41
