Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,204.0,210.55,203.34,207.86,9074592.0,207.86,207.86,50.0,0.0,0.0,0.47,213.63
2022-01-04,211.3,214.56,209.78,213.63,11414562.0,210.74,210.74,100.0,0.46,0.09,0.15,213.07
2022-01-05,216.64,218.93,211.81,213.07,11564732.0,211.52,211.52,91.15,0.77,0.23,0.11,211.34
2022-01-06,214.64,216.0,207.86,211.34,7142191.0,211.48,211.48,71.59,0.87,0.36,-0.01,215.5
2022-01-07,212.98,218.32,212.38,215.5,9526395.0,212.28,212.28,81.26,1.27,0.54,0.13,209.31
2022-01-10,214.26,215.28,207.13,209.31,8229019.0,212.57,211.78,53.94,1.07,0.65,0.01,216.02
2022-01-11,209.0,217.03,208.41,216.02,8052093.0,213.05,212.39,66.24,1.44,0.8,0.2,217.45
2022-01-12,217.09,221.24,216.3,217.45,9134501.0,213.92,213.02,68.06,1.82,1.01,0.32,223.9
2022-01-13,222.25,226.89,220.05,223.9,17628012.0,216.44,214.23,74.3,2.62,1.33,0.07,225.96
2022-01-14,222.16,226.2,220.25,225.96,8053460.0,218.53,215.4,75.81,3.38,1.74,0.14,225.01
2022-01-18,224.5,229.67,224.26,225.01,8883285.0,221.67,216.28,73.81,3.86,2.16,0.15,217.08
2022-01-19,225.1,225.42,216.94,217.08,9322104.0,221.88,216.34,60.49,3.56,2.44,-0.04,214.19
2022-01-20,217.38,221.95,213.42,214.19,7636803.0,221.23,216.18,56.76,3.05,2.56,0.1,205.44
2022-01-21,213.79,213.79,204.57,205.44,11548497.0,217.54,215.41,47.82,1.92,2.44,-0.05,204.2
2022-01-24,199.85,204.8,192.51,204.2,13810337.0,213.18,214.66,46.78,0.92,2.13,0.14,204.1
2022-01-25,200.1,205.63,197.55,204.1,8824460.0,209.0,214.0,40.68,0.11,1.73,0.28,194.27
2022-01-26,206.21,206.21,191.92,194.27,19974396.0,204.44,212.84,34.44,-1.31,1.12,-0.02,189.75
2022-01-27,196.38,199.71,188.64,189.75,12670070.0,199.55,211.56,32.92,-2.76,0.34,0.03,190.57
