Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,207.33,208.6,205.8,207.0,2056574.0,207.0,207.0,50.0,0.0,0.0,-0.19,218.08
2022-01-04,208.28,218.92,207.94,218.08,5242311.0,212.54,212.54,100.0,0.88,0.18,0.0,219.75
2022-01-05,218.18,223.36,218.18,219.75,5378170.0,214.94,214.94,100.0,1.7,0.48,0.69,221.99
2022-01-06,221.49,222.7,218.06,221.99,3913240.0,216.7,216.7,100.0,2.5,0.88,0.0,224.19
2022-01-07,222.5,225.97,222.23,224.19,3673408.0,218.2,218.2,100.0,3.27,1.36,0.32,221.64
2022-01-10,224.95,225.75,220.61,221.64,3734923.0,221.13,218.78,87.08,3.63,1.82,-0.25,219.95
2022-01-11,222.0,222.09,216.59,219.95,2773749.0,221.5,218.94,80.21,3.74,2.2,0.42,222.4
2022-01-12,222.12,223.69,220.07,222.4,2506917.0,222.03,219.38,82.24,3.98,2.56,0.33,227.0
2022-01-13,222.89,227.88,222.64,227.0,5002349.0,223.04,220.22,85.11,4.49,2.94,-0.69,228.94
2022-01-14,224.72,229.64,223.58,228.94,3970581.0,223.99,221.09,86.06,4.99,3.35,0.0,229.87
2022-01-18,227.71,230.43,226.86,229.87,5348814.0,225.63,221.89,86.48,5.4,3.76,-0.6,221.66
2022-01-19,229.66,229.81,220.93,221.66,4723980.0,225.97,221.87,68.53,5.01,4.01,-0.2,216.63
2022-01-20,221.08,221.87,216.04,216.63,3545647.0,224.82,221.47,60.8,4.24,4.06,0.0,214.09
2022-01-21,217.51,217.51,212.42,214.09,3754746.0,222.24,220.94,57.52,3.39,3.92,0.4,214.33
2022-01-24,211.16,214.97,206.66,214.33,5108332.0,219.32,220.5,57.74,2.7,3.68,0.0,214.31
2022-01-25,212.08,216.83,207.1,214.31,4554269.0,216.2,220.11,44.81,2.13,3.37,0.14,214.29
2022-01-26,215.0,218.88,212.24,214.29,3558514.0,214.73,219.77,42.12,1.66,3.03,0.14,212.17
2022-01-27,215.21,217.9,210.15,212.17,3683378.0,213.84,219.35,35.78,1.1,2.64,0.2,201.16
2022-01-28,205.59,208.0,196.8,201.16,10747251.0,211.25,218.39,23.44,-0.23,2.07,0.34,201.56
2022-01-31,199.45,201.6,194.68,201.56,6178996.0,208.7,217.55,25.63,-1.24,1.41,0.44,205.35
2022-02-01,200.8,205.79,200.54,205.35,4026634.0,206.91,217.47,33.14,-1.71,0.78,-0.26,204.94
2022-02-02,203.2,205.8,201.4,204.94,3492301.0,205.04,216.81,28.84,-2.09,0.21,-0.03,200.59
2022-02-03,205.0,205.87,200.09,200.59,2748216.0,202.72,215.85,17.8,-2.71,-0.38,0.07,198.41
2022-02-04,200.21,201.0,196.49,198.41,3930776.0,202.17,214.67,12.99,-3.35,-0.97,0.05,199.82
2022-02-07,198.84,201.53,198.03,199.82,2402040.0,201.82,213.46,13.99,-3.69,-1.51,0.27,201.5
2022-02-08,200.26,202.31,199.23,201.5,2407233.0,201.05,212.45,21.36,-3.78,-1.97,0.44,203.6
2022-02-09,202.64,204.1,202.09,203.6,2743749.0,200.78,211.63,29.81,-3.65,-2.3,0.55,203.07
2022-02-10,202.57,206.75,201.56,203.07,3538497.0,201.28,210.66,31.79,-3.54,-2.55,0.01,201.24
2022-02-11,203.42,204.65,200.13,201.24,3826746.0,201.85,209.38,29.45,-3.56,-2.75,0.09,199.89
2022-02-14,200.95,201.7,198.11,199.89,2730533.0,201.86,207.92,28.27,-3.65,-2.93,0.13,203.41
2022-02-15,200.7,204.45,200.01,203.41,2752883.0,202.24,206.6,35.17,-3.39,-3.02,0.43,203.64
2022-02-16,203.11,205.42,203.0,203.64,2254146.0,202.25,205.7,37.74,-3.13,-3.05,0.84,194.74
2022-02-17,201.0,201.76,194.44,194.74,4699629.0,200.58,204.61,40.18,-3.6,-3.16,0.0,191.95
2022-02-18,193.36,195.62,191.18,191.95,4385219.0,198.73,203.5,36.3,-4.15,-3.35,0.77,191.21
2022-02-22,191.95,194.9,190.55,191.21,3325219.0,196.99,202.34,27.92,-4.6,-3.6,0.52,186.67
2022-02-23,191.72,192.32,186.37,186.67,3550352.0,193.64,200.96,24.73,-5.26,-3.94,-0.12,184.69
2022-02-24,182.03,185.27,179.67,184.69,5919467.0,189.85,199.48,26.47,-5.87,-4.32,0.44,187.06
2022-02-25,184.94,187.92,184.12,187.06,3594597.0,188.32,198.22,33.29,-6.09,-4.68,0.23,187.58
2022-02-28,184.34,188.77,183.67,187.58,5168542.0,187.44,197.55,31.5,-6.16,-4.97,0.0,182.83
2022-03-01,187.77,188.22,180.64,182.83,5110599.0,185.77,196.61,24.18,-6.52,-5.28,0.64,192.61
2022-03-02,185.2,193.56,185.0,192.61,5849898.0,186.95,195.97,37.46,-5.95,-5.42,0.0,194.85
2022-03-03,193.32,196.58,192.34,194.85,4429733.0,188.99,195.47,40.97,-5.25,-5.38,0.19,195.66
2022-03-04,191.1,196.01,190.31,195.66,4334724.0,190.71,195.22,43.73,-4.58,-5.22,-0.08,196.7
2022-03-07,194.79,203.5,193.62,196.7,6912345.0,192.53,195.14,46.39,-3.92,-4.96,-0.16,210.0
2022-03-08,203.87,214.89,203.0,210.0,9318635.0,197.96,195.64,56.1,-2.3,-4.43,0.21,209.78
2022-03-09,212.57,213.6,207.45,209.78,4798346.0,201.4,196.06,55.69,-1.02,-3.75,0.02,211.79
2022-03-10,209.39,217.52,208.18,211.79,4886260.0,204.79,196.47,68.1,0.15,-2.97,0.06,214.83
2022-03-11,212.3,217.77,212.3,214.83,4045469.0,208.62,197.06,74.17,1.32,-2.11,0.23,215.44
2022-03-14,216.3,218.48,212.93,215.44,3530852.0,212.37,197.77,75.66,2.26,-1.24,0.74,216.46
2022-03-15,216.12,217.38,210.51,216.46,4364197.0,213.66,198.6,84.09,3.05,-0.38,-0.45,216.08
2022-03-16,217.5,219.49,212.32,216.08,4378696.0,214.92,199.23,87.29,3.61,0.42,0.0,221.7
2022-03-17,215.32,221.78,214.34,221.7,3600411.0,216.9,200.13,88.2,4.45,1.23,0.0,220.91
2022-03-18,219.48,221.7,218.0,220.91,4010016.0,218.12,201.44,86.54,5.0,1.98,-0.6,223.71
2022-03-21,221.0,227.05,220.99,223.71,2881949.0,219.77,203.03,96.82,5.6,2.7,0.0,222.71
2022-03-22,224.46,225.85,221.34,222.71,2458264.0,221.02,204.6,93.15,5.92,3.35,0.64,222.17
2022-03-23,221.69,224.78,221.69,222.17,2001683.0,222.24,206.38,91.17,6.06,3.89,-0.24,222.21
2022-03-24,222.54,225.0,221.51,222.21,2110867.0,222.34,208.25,90.96,6.11,4.33,0.85,223.36
2022-03-25,222.09,223.8,221.14,223.36,1573270.0,222.83,210.07,90.99,6.17,4.7,0.28,221.85
2022-03-28,222.34,222.68,219.04,221.85,3072496.0,222.46,211.78,78.58,6.02,4.96,0.0,221.04
2022-03-29,220.8,221.43,216.54,221.04,3667796.0,222.13,213.69,76.41,5.77,5.13,0.34,223.08
2022-03-30,222.0,225.88,220.7,223.08,2507574.0,222.31,215.22,76.44,5.68,5.24,-0.08,222.82
2022-03-31,223.21,225.19,222.43,222.82,3152202.0,222.43,216.61,71.51,5.52,5.29,-0.45,219.77
2022-04-01,224.35,225.52,218.16,219.77,2618304.0,221.71,217.82,60.3,5.08,5.25,0.12,220.81
2022-04-04,219.16,221.35,216.6,220.81,2181439.0,221.5,219.03,60.34,4.77,5.15,-0.46,216.02
2022-04-05,220.0,222.37,215.14,216.02,3553937.0,220.5,219.33,49.88,4.09,4.94,0.0,216.21
2022-04-06,215.12,217.13,213.54,216.21,2783265.0,219.13,219.65,36.28,3.52,4.66,0.0,215.9
