Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,155.83,157.56,155.36,156.76,10228257.0,156.76,156.76,50.0,0.0,0.0,0.43,155.73
2022-01-04,158.59,160.32,155.55,155.73,16582041.0,156.24,156.24,0.0,-0.08,-0.02,0.16,155.19
2022-01-05,156.52,159.38,155.1,155.19,12272097.0,155.89,155.89,0.0,-0.19,-0.05,0.17,156.9
2022-01-06,156.24,157.77,153.68,156.9,11095326.0,156.14,156.14,52.13,-0.13,-0.07,0.23,157.83
2022-01-07,156.9,159.3,156.29,157.83,9554622.0,156.48,156.48,62.71,-0.01,-0.06,0.39,156.6
2022-01-10,157.98,158.27,154.65,156.6,8672855.0,156.45,156.5,48.53,-0.02,-0.05,0.22,157.89
2022-01-11,156.62,158.22,155.95,157.89,8001932.0,156.88,156.7,58.4,0.08,-0.02,0.22,157.8
2022-01-12,158.5,158.99,156.33,157.8,6995649.0,157.4,156.84,57.62,0.15,0.01,0.26,155.44
2022-01-13,157.7,158.53,155.17,155.44,9680583.0,157.11,156.68,42.81,0.01,0.01,0.49,151.94
2022-01-14,152.35,152.62,148.42,151.94,16831957.0,155.93,156.21,30.99,-0.37,-0.06,0.52,152.27
2022-01-18,151.11,153.13,149.83,152.27,10020466.0,155.07,155.85,32.74,-0.64,-0.18,0.0,150.11
2022-01-19,150.84,152.86,149.96,150.11,10098063.0,153.51,155.37,28.08,-1.02,-0.35,0.0,147.62
2022-01-20,150.9,152.66,147.15,147.62,11760374.0,151.48,154.78,24.12,-1.5,-0.58,0.0,137.38
2022-01-21,141.23,141.87,136.63,137.38,34491847.0,147.86,153.53,15.27,-2.68,-1.0,0.0,137.46
2022-01-24,134.82,137.68,129.26,137.46,31523846.0,144.97,152.46,15.51,-3.57,-1.51,0.0,136.51
2022-01-25,135.29,137.75,132.38,136.51,14694413.0,141.82,151.46,15.56,-4.3,-2.07,0.0,133.6
2022-01-26,137.71,138.2,132.26,133.6,14569916.0,138.51,150.41,14.34,-5.05,-2.67,0.0,135.42
2022-01-27,135.07,137.91,134.02,135.42,11913900.0,136.07,149.58,14.65,-5.44,-3.22,0.0,138.63
2022-01-28,135.21,138.69,133.56,138.63,10011666.0,136.32,149.0,20.61,-5.43,-3.66,0.0,142.97
2022-01-31,138.86,143.15,138.47,142.97,10185499.0,137.43,148.7,30.95,-5.01,-3.93,0.63,144.49
2022-02-01,143.02,144.69,142.25,144.49,8573340.0,139.02,148.09,31.39,-4.5,-4.05,0.56,142.62
2022-02-02,144.19,144.59,141.38,142.62,9529884.0,140.83,147.43,29.91,-4.2,-4.08,0.79,140.03
2022-02-03,140.0,142.04,139.25,140.03,9820585.0,141.75,146.68,29.73,-4.13,-4.09,0.49,142.02
2022-02-04,140.04,143.19,139.53,142.02,8061075.0,142.43,145.93,36.41,-3.86,-4.04,0.23,142.51
2022-02-07,143.39,144.09,141.61,142.51,10937517.0,142.33,145.17,36.69,-3.57,-3.95,0.0,142.48
2022-02-08,141.79,142.89,140.74,142.48,9231697.0,141.93,144.46,38.95,-3.3,-3.82,0.42,147.23
2022-02-09,144.37,147.35,143.25,147.23,22877397.0,142.85,143.93,49.47,-2.68,-3.59,0.47,152.16
2022-02-10,156.02,157.5,151.11,152.16,42500322.0,145.28,143.64,73.48,-1.77,-3.23,0.35,149.47
2022-02-11,153.54,154.69,148.56,149.47,17975207.0,146.77,143.35,67.62,-1.24,-2.83,0.29,150.85
2022-02-14,149.37,153.73,149.21,150.85,14694683.0,148.44,143.29,70.77,-0.71,-2.41,0.36,154.72
2022-02-15,153.54,154.85,152.51,154.72,12730923.0,150.89,143.41,79.76,0.02,-1.92,0.33,156.35
2022-02-16,154.98,156.73,153.75,156.35,10656352.0,152.71,143.73,79.65,0.73,-1.39,0.21,152.95
2022-02-17,154.69,155.36,152.61,152.95,8110299.0,152.87,143.99,70.18,1.0,-0.91,0.62,151.36
2022-02-18,152.91,153.68,150.05,151.36,10785503.0,153.25,144.69,62.82,1.08,-0.51,0.31,148.09
2022-02-22,150.19,150.79,147.61,148.09,11623499.0,152.69,145.22,55.22,0.86,-0.24,0.44,145.87
2022-02-23,149.5,149.74,145.5,145.87,9300697.0,150.92,145.69,54.67,0.51,-0.09,0.35,149.4
2022-02-24,140.0,149.57,140.0,149.4,12475485.0,149.53,146.48,63.1,0.5,0.03,0.28,149.53
2022-02-25,149.56,150.28,147.22,149.53,10149515.0,148.85,147.19,61.07,0.51,0.12,-0.37,148.46
2022-02-28,147.83,149.48,146.46,148.46,10834719.0,148.27,147.68,58.63,0.42,0.18,0.31,145.7
2022-03-01,147.86,148.15,143.78,145.7,8943991.0,147.79,147.81,54.33,0.12,0.17,0.17,147.34
2022-03-02,146.31,148.46,145.92,147.34,7851027.0,148.09,147.96,50.16,0.02,0.14,0.21,145.57
2022-03-03,147.31,148.65,144.45,145.57,8048440.0,147.32,148.1,39.35,-0.2,0.07,0.47,140.72
2022-03-04,144.01,144.26,139.55,140.72,12925361.0,145.56,148.14,36.79,-0.76,-0.09,0.33,133.5
2022-03-07,140.28,140.89,133.44,133.5,14549670.0,142.57,147.71,27.73,-1.76,-0.43,0.32,131.75
2022-03-08,133.02,135.49,129.29,131.75,16552011.0,139.78,147.18,18.82,-2.67,-0.88,-0.06,133.65
2022-03-09,135.49,135.5,133.36,133.65,14673081.0,137.04,146.73,19.41,-3.19,-1.34,0.29,133.64
2022-03-10,132.36,134.2,131.62,133.64,8447238.0,134.65,146.05,21.36,-3.57,-1.78,0.2,131.75
2022-03-11,135.08,136.16,131.57,131.75,7058388.0,132.86,145.03,21.17,-3.98,-2.22,-0.08,129.03
2022-03-14,130.98,133.07,128.38,129.03,9971526.0,131.96,144.01,21.52,-4.47,-2.67,0.46,134.2
2022-03-15,129.74,134.56,129.51,134.2,9834809.0,132.45,143.18,33.97,-4.39,-3.02,0.16,138.14
2022-03-16,135.65,138.98,134.94,138.14,10638735.0,133.35,142.35,34.71,-3.96,-3.21,0.05,139.47
2022-03-17,137.44,139.47,136.56,139.47,6816024.0,134.52,141.51,36.77,-3.48,-3.26,0.14,140.3
2022-03-18,139.55,140.72,138.3,140.3,11006750.0,136.23,140.87,39.2,-2.99,-3.21,0.0,138.62
2022-03-21,138.9,139.3,136.88,138.62,8902219.0,138.15,140.24,40.35,-2.71,-3.11,0.0,140.11
2022-03-22,139.06,142.19,138.9,140.11,8255320.0,139.33,139.84,40.11,-2.34,-2.95,-0.36,137.64
2022-03-23,139.07,139.76,137.54,137.64,8761269.0,139.23,139.43,39.36,-2.22,-2.81,0.29,138.96
2022-03-24,138.58,139.27,137.41,138.96,5858789.0,139.13,138.9,47.39,-2.0,-2.65,0.44,139.14
2022-03-25,139.28,140.38,138.12,139.14,5865018.0,138.89,138.38,60.57,-1.78,-2.47,0.02,138.72
2022-03-28,138.88,139.63,136.28,138.72,8456087.0,138.91,137.9,63.75,-1.63,-2.3,0.58,142.38
2022-03-29,140.96,144.46,140.96,142.38,11280683.0,139.37,137.73,66.1,-1.2,-2.08,0.38,140.96
2022-03-30,141.31,143.27,140.08,140.96,7922426.0,140.03,137.41,62.83,-0.96,-1.86,0.08,137.16
2022-03-31,140.14,140.88,137.11,137.16,12306461.0,139.67,136.99,58.89,-1.07,-1.7,0.53,137.0
2022-04-01,137.34,138.1,135.53,137.0,10341044.0,139.24,136.81,64.3,-1.15,-1.59,0.2,138.58
2022-04-04,136.97,139.26,136.89,138.58,8182004.0,139.22,137.06,59.02,-1.08,-1.49,0.19,135.62
