Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,389.0,399.3,387.34,395.33,3338527.0,395.33,395.33,50.0,0.0,0.0,0.57,407.48
2022-01-04,402.23,410.28,401.18,407.48,3916412.0,401.4,401.4,100.0,0.97,0.19,0.0,398.63
2022-01-05,409.8,412.66,397.89,398.63,3469627.0,400.48,400.48,57.86,1.01,0.36,0.0,396.93
2022-01-06,401.0,401.2,386.43,396.93,2960923.0,399.59,399.59,53.52,0.9,0.47,0.38,397.51
2022-01-07,397.67,400.55,394.53,397.51,2360655.0,399.18,399.18,54.68,0.84,0.54,0.03,399.17
2022-01-10,401.32,404.37,394.22,399.17,3009436.0,399.94,399.18,57.7,0.93,0.62,0.0,403.05
2022-01-11,400.25,403.34,396.31,403.05,1737878.0,399.06,399.73,63.39,1.29,0.75,0.83,390.31
2022-01-12,403.24,404.12,388.56,390.31,4157980.0,397.39,398.55,43.96,0.54,0.71,0.0,390.8
2022-01-13,394.05,396.86,389.75,390.8,2497816.0,396.17,397.69,44.61,-0.01,0.57,0.15,380.94
2022-01-14,382.13,384.39,375.0,380.94,4685335.0,392.85,396.02,36.14,-1.23,0.21,0.81,354.4
2022-01-18,360.04,361.57,347.23,354.4,12902571.0,383.9,392.23,23.91,-4.29,-0.69,0.84,347.32
2022-01-19,358.34,359.71,346.39,347.32,7277110.0,372.75,388.49,21.93,-7.2,-1.99,0.0,348.1
2022-01-20,348.9,357.18,346.14,348.1,4599934.0,364.31,385.38,22.64,-9.34,-3.46,0.0,343.91
2022-01-21,345.54,348.99,340.72,343.91,4904089.0,354.93,382.42,21.59,-11.24,-5.02,0.0,343.39
2022-01-24,337.32,344.07,326.23,343.39,6573835.0,347.42,379.82,21.47,-12.64,-6.54,0.51,341.55
2022-01-25,337.86,342.93,330.91,341.55,3959335.0,344.85,377.43,9.16,-13.75,-7.98,0.38,342.68
2022-01-26,346.6,350.48,338.41,342.68,3745854.0,343.93,375.38,11.67,-14.36,-9.26,0.28,341.03
2022-01-27,345.67,348.77,337.72,341.03,2577150.0,342.51,373.47,11.68,-14.81,-10.37,0.0,347.01
2022-01-28,337.73,347.15,333.45,347.01,3714571.0,343.13,372.08,17.77,-14.52,-11.2,0.71,354.68
2022-01-31,344.6,355.21,343.44,354.68,3312350.0,345.39,371.21,23.63,-13.52,-11.66,0.36,364.06
2022-02-01,356.13,364.54,354.05,364.06,3303705.0,349.89,369.65,28.3,-11.83,-11.7,0.59,363.06
2022-02-02,363.5,368.53,357.83,363.06,2742362.0,353.97,367.43,32.56,-10.45,-11.45,0.3,358.88
2022-02-03,362.82,365.76,358.16,358.88,2372885.0,357.54,365.44,30.49,-9.58,-11.07,0.0,367.6
2022-02-04,362.17,370.95,361.02,367.6,3762311.0,361.66,363.97,41.73,-8.1,-10.48,0.0,368.15
2022-02-07,365.49,371.47,363.35,368.15,2635618.0,364.35,362.5,62.58,-6.8,-9.74,-0.4,370.1
2022-02-08,371.08,372.65,366.25,370.1,3422322.0,365.56,361.05,72.99,-5.55,-8.9,0.0,374.53
2022-02-09,373.0,376.28,370.9,374.53,2250563.0,367.85,359.62,74.84,-4.15,-7.95,0.0,370.57
2022-02-10,371.71,377.4,368.83,370.57,2406181.0,370.19,358.64,75.17,-3.33,-7.03,0.0,363.06
2022-02-11,368.55,374.9,360.77,363.06,3142097.0,369.28,357.25,66.41,-3.24,-6.27,0.2,360.24
2022-02-14,363.06,364.29,357.18,360.24,2585620.0,367.7,356.22,65.34,-3.36,-5.69,0.0,363.94
2022-02-15,364.09,365.89,361.36,363.94,1847145.0,366.47,356.69,66.74,-3.12,-5.18,-0.42,360.05
2022-02-16,361.35,363.02,356.53,360.05,2165268.0,363.57,357.33,64.47,-3.21,-4.78,0.09,349.06
2022-02-17,358.78,360.96,347.84,349.06,3102380.0,359.27,357.38,51.45,-4.12,-4.65,0.24,346.04
2022-02-18,345.57,350.0,343.37,346.04,2910900.0,355.87,357.48,43.46,-5.03,-4.73,0.36,344.27
2022-02-22,342.46,349.0,341.2,344.27,2449198.0,352.67,357.53,33.08,-5.82,-4.94,-0.01,341.19
2022-02-23,347.57,349.26,339.82,341.19,2217335.0,348.12,357.51,31.95,-6.62,-5.28,0.24,340.19
2022-02-24,328.57,341.0,326.95,340.19,4563974.0,344.15,357.39,33.72,-7.25,-5.67,0.4,350.12
2022-02-25,340.19,350.7,340.19,350.12,2980478.0,344.36,357.84,35.09,-6.87,-5.91,0.0,341.29
2022-02-28,340.25,343.84,337.55,341.29,4245655.0,343.41,357.55,29.92,-7.2,-6.17,0.38,328.2
2022-03-01,337.4,338.16,327.02,328.2,5631495.0,340.2,356.23,23.15,-8.42,-6.62,0.79,336.38
2022-03-02,331.6,338.0,327.4,336.38,3469857.0,339.24,354.85,26.67,-8.63,-7.02,0.0,333.42
2022-03-03,338.87,341.5,330.13,333.42,2393694.0,337.88,353.36,27.0,-8.93,-7.4,0.0,329.67
2022-03-04,327.0,330.66,324.0,329.67,3294826.0,333.79,351.9,28.32,-9.36,-7.8,0.0,321.89
