Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,416.57,417.84,403.26,408.64,3721342.0,408.64,408.64,50.0,0.0,0.0,0.74,412.84
2022-01-04,408.64,413.61,408.19,412.84,3266516.0,410.74,410.74,100.0,0.34,0.07,0.03,407.24
2022-01-05,414.0,414.22,406.81,407.24,4443198.0,409.57,409.57,42.86,0.15,0.08,-0.06,405.76
2022-01-06,408.56,409.07,403.02,405.76,3315099.0,408.62,408.62,37.23,-0.12,0.04,-0.11,393.61
2022-01-07,403.36,404.09,392.88,393.61,4520671.0,405.62,405.62,17.93,-1.3,-0.23,-0.57,387.46
2022-01-10,387.4,387.59,380.91,387.46,6439979.0,401.38,402.59,14.2,-2.7,-0.72,0.8,386.67
2022-01-11,388.07,391.84,384.32,386.67,4365770.0,396.15,400.32,13.83,-3.82,-1.34,0.54,389.4
2022-01-12,388.29,393.45,386.38,389.4,3623271.0,392.58,398.95,20.94,-4.44,-1.96,-0.77,386.98
2022-01-13,392.51,394.31,385.86,386.98,3466279.0,388.82,397.62,19.51,-5.07,-2.58,-0.37,372.0
2022-01-14,381.33,382.01,371.5,372.0,6336236.0,384.5,395.06,13.72,-6.71,-3.41,0.78,366.72
2022-01-18,366.1,368.09,360.03,366.72,6282705.0,380.35,392.48,12.42,-8.33,-4.39,-0.04,359.69
2022-01-19,367.18,368.7,359.41,359.69,5150345.0,374.96,389.75,11.03,-10.06,-5.53,-0.16,349.58
2022-01-20,361.33,361.85,349.02,349.58,5440597.0,366.99,386.66,9.5,-12.12,-6.84,0.33,349.1
2022-01-21,351.72,360.09,347.18,349.1,7718435.0,359.42,383.98,9.44,-13.63,-8.2,-0.21,363.81
2022-01-24,343.78,364.38,343.61,363.81,8595587.0,357.78,382.63,24.56,-13.48,-9.26,0.0,358.98
2022-01-25,358.14,361.52,352.19,358.98,5536718.0,356.23,381.16,19.65,-13.6,-10.13,0.34,357.28
2022-01-26,360.0,365.9,354.45,357.28,6103290.0,355.75,379.75,20.56,-13.67,-10.83,-0.13,356.43
2022-01-27,360.43,364.12,353.91,356.43,3944004.0,357.12,378.46,20.71,-13.64,-11.4,0.49,366.54
2022-01-28,360.17,366.72,352.84,366.54,4551332.0,360.61,377.83,33.53,-12.65,-11.65,0.33,366.98
2022-01-31,364.81,367.41,362.2,366.98,4084565.0,361.24,377.29,36.61,-11.7,-11.66,0.34,368.7
2022-02-01,369.47,370.69,362.37,368.7,3406831.0,363.19,375.29,38.39,-10.68,-11.46,0.0,373.73
2022-02-02,368.38,374.67,367.76,373.73,3839251.0,366.48,373.33,40.17,-9.36,-11.04,-0.33,364.81
2022-02-03,370.19,372.12,363.2,364.81,4009701.0,368.15,371.21,37.14,-8.93,-10.62,0.12,359.67
2022-02-04,363.5,364.67,354.25,359.67,3728123.0,366.78,368.91,41.93,-8.9,-10.28,-0.38,357.35
2022-02-07,360.26,361.8,355.44,357.35,2809304.0,364.85,367.09,43.62,-8.97,-10.01,0.01,361.44
2022-02-08,357.35,362.98,354.8,361.44,3225146.0,363.4,365.79,51.24,-8.59,-9.73,-0.01,364.37
2022-02-09,365.31,367.46,363.0,364.37,2777544.0,361.53,364.68,61.69,-7.96,-9.38,-0.2,355.09
2022-02-10,358.84,363.0,352.87,355.09,4291847.0,359.58,362.96,54.16,-8.11,-9.12,0.01,350.29
2022-02-11,354.69,357.34,348.56,350.29,3308671.0,357.71,361.13,39.12,-8.53,-9.0,0.48,351.56
2022-02-14,348.0,352.91,346.83,351.56,3654274.0,356.55,360.11,43.67,-8.65,-8.93,0.51,353.26
2022-02-15,355.56,357.42,351.38,353.26,3552864.0,354.91,359.43,46.57,-8.52,-8.85,0.0,350.09
2022-02-16,351.5,352.86,345.72,350.09,3594853.0,352.06,358.95,44.8,-8.56,-8.79,0.33,347.94
2022-02-17,348.99,352.31,347.39,347.94,3926974.0,350.63,358.87,32.44,-8.68,-8.77,0.15,346.87
2022-02-18,348.39,350.6,344.1,346.87,5526133.0,349.94,358.76,31.24,-8.75,-8.77,-0.45,316.17
2022-02-22,335.09,336.69,312.35,316.17,19659432.0,342.87,356.38,18.19,-11.16,-9.24,0.05,308.45
2022-02-23,319.32,320.4,307.1,308.45,11026044.0,333.9,353.85,11.72,-13.53,-10.1,-0.16,313.24
2022-02-24,300.0,313.44,299.29,313.24,8416724.0,326.53,351.65,18.22,-14.86,-11.05,0.01,316.65
2022-02-25,313.18,317.44,307.56,316.65,6510600.0,320.28,349.66,22.91,-15.46,-11.93,0.38,315.83
2022-02-28,312.97,316.08,310.48,315.83,5735147.0,314.07,347.12,23.35,-15.81,-12.71,0.48,320.25
2022-03-01,314.59,322.43,313.76,320.25,5640906.0,314.88,344.79,23.67,-15.56,-13.28,0.22,327.37
2022-03-02,321.06,331.19,319.68,327.37,5645611.0,318.67,342.72,27.55,-14.61,-13.55,-0.1,324.36
2022-03-03,329.19,330.68,322.83,324.36,3858439.0,320.89,340.25,29.82,-13.95,-13.63,-0.2,324.26
2022-03-04,322.21,326.66,319.51,324.26,3631653.0,322.41,338.23,31.78,-13.28,-13.56,0.83,322.77
2022-03-07,324.26,329.6,320.11,322.77,4669950.0,323.8,336.38,29.91,-12.72,-13.39,0.35,316.74
2022-03-08,319.75,328.49,315.95,316.74,5092527.0,323.1,334.35,25.97,-12.61,-13.23,-0.07,317.2
2022-03-09,320.0,322.46,316.92,317.2,4443609.0,321.07,332.14,27.56,-12.35,-13.06,0.38,317.94
2022-03-10,314.36,318.26,308.75,317.94,3895211.0,319.78,329.82,29.13,-11.95,-12.84,0.68,316.79
2022-03-11,319.28,321.79,316.23,316.79,2973298.0,318.29,327.9,29.1,-11.59,-12.59,0.38,318.36
2022-03-14,322.91,324.0,316.21,318.36,3604268.0,317.41,326.3,52.56,-11.05,-12.28,-0.4,328.54
2022-03-15,320.35,330.18,320.33,328.54,3775297.0,319.77,325.15,72.18,-9.69,-11.76,-0.93,330.91
2022-03-16,331.58,333.95,324.23,330.91,3942427.0,322.51,324.04,70.61,-8.32,-11.07,0.17,336.36
2022-03-17,329.14,336.36,327.84,336.36,3123210.0,326.19,323.35,71.94,-6.72,-10.2,0.18,340.74
2022-03-18,333.63,340.74,332.3,340.74,9304529.0,330.98,322.99,75.7,-5.04,-9.17,0.57,329.37
2022-03-21,338.04,340.69,327.08,329.37,4500736.0,333.18,322.12,58.23,-4.58,-8.25,-0.55,329.73
2022-03-22,329.32,331.3,324.01,329.73,4773833.0,333.42,322.79,52.42,-4.13,-7.43,0.6,317.05
2022-03-23,326.9,328.19,315.85,317.05,5207746.0,330.65,323.22,43.73,-4.75,-6.89,-0.09,315.78
2022-03-24,317.15,319.4,314.3,315.78,4599930.0,326.53,323.35,42.87,-5.27,-6.57,0.45,310.68
2022-03-25,318.48,318.8,308.3,310.68,5125131.0,320.52,323.05,40.42,-6.04,-6.46,0.1,314.28
2022-03-28,311.0,314.35,309.23,314.28,3936640.0,317.5,322.97,47.97,-6.28,-6.43,-0.47,317.71
2022-03-29,316.91,321.0,312.92,317.71,5306131.0,315.1,322.85,50.4,-6.12,-6.36,-0.62,308.46
2022-03-30,313.11,315.24,306.1,308.46,7223830.0,313.38,321.9,43.43,-6.66,-6.42,0.0,299.33
2022-03-31,306.21,307.96,298.89,299.33,11044642.0,310.09,320.65,39.11,-7.74,-6.69,0.32,301.89
2022-04-01,300.5,303.37,298.9,301.89,5554611.0,308.33,319.53,39.85,-8.3,-7.01,0.33,305.58
2022-04-04,301.49,306.48,299.57,305.58,4665847.0,306.59,318.67,34.62,-8.34,-7.28,0.5,304.86
2022-04-05,306.26,309.1,302.21,304.86,4342719.0,304.02,318.08,32.16,-8.34,-7.49,0.34,298.54
2022-04-06,298.09,300.66,294.99,298.54,6499947.0,302.04,317.14,24.4,-8.75,-7.74,0.0,302.75
