Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,51.65,53.23,51.6,53.21,33892932.0,53.21,53.21,50.0,0.0,0.0,0.0,53.14
2022-01-04,53.57,53.94,52.65,53.14,45681384.0,53.18,53.18,0.0,-0.01,-0.0,0.23,53.87
2022-01-05,54.19,56.17,53.83,53.87,59109324.0,53.41,53.41,91.25,0.05,0.01,0.32,54.01
2022-01-06,54.61,54.67,53.42,54.01,35757881.0,53.56,53.56,92.55,0.1,0.03,0.16,53.44
2022-01-07,54.19,54.39,53.15,53.44,30717218.0,53.53,53.53,57.62,0.1,0.04,0.1,55.21
2022-01-10,53.97,55.31,53.31,55.21,49260830.0,53.93,53.81,80.49,0.23,0.08,0.2,55.91
2022-01-11,55.5,56.08,54.73,55.91,39644337.0,54.49,54.11,83.92,0.39,0.14,0.06,55.74
2022-01-12,56.14,56.28,54.81,55.74,29136787.0,54.86,54.32,80.48,0.5,0.21,0.18,54.94
2022-01-13,56.0,56.21,54.77,54.94,29605351.0,55.05,54.39,67.47,0.51,0.27,0.41,55.7
2022-01-14,54.85,55.77,54.53,55.7,30151532.0,55.5,54.52,71.8,0.58,0.33,0.25,54.76
2022-01-18,55.31,55.65,54.68,54.76,35047550.0,55.41,54.54,61.65,0.55,0.38,0.19,53.62
2022-01-19,54.63,54.85,53.56,53.62,29298705.0,54.95,54.46,52.63,0.43,0.39,0.14,52.04
2022-01-20,53.86,54.08,51.94,52.04,28582607.0,54.21,54.28,43.76,0.2,0.35,0.26,52.04
2022-01-21,52.08,53.13,51.95,52.04,46372373.0,53.63,54.12,43.76,0.02,0.28,0.24,51.94
2022-01-24,51.48,52.13,49.88,51.94,64273633.0,52.88,53.97,43.29,-0.12,0.2,0.36,51.0
2022-01-25,51.01,51.62,50.25,51.0,44095360.0,52.13,53.79,39.65,-0.31,0.1,0.21,51.69
2022-01-26,51.13,52.72,50.75,51.69,54895393.0,51.74,53.66,39.42,-0.4,0.0,0.58,48.05
2022-01-27,49.98,50.06,47.78,48.05,89642770.0,50.94,53.35,28.41,-0.76,-0.15,0.29,47.73
2022-01-28,47.71,48.2,46.3,47.73,61945408.0,50.08,53.05,28.93,-1.06,-0.33,0.38,48.82
2022-01-31,47.68,48.87,47.3,48.82,51828446.0,49.46,52.84,25.17,-1.19,-0.5,0.31,48.95
2022-02-01,48.78,49.03,48.36,48.95,35386062.0,49.05,52.63,21.71,-1.27,-0.66,0.2,49.51
2022-02-02,48.24,49.58,48.09,49.51,37962659.0,48.61,52.45,25.45,-1.27,-0.78,0.0,48.28
2022-02-03,49.25,49.68,48.25,48.28,42145836.0,48.66,52.17,24.62,-1.36,-0.9,0.34,48.01
2022-02-04,47.86,48.24,47.13,48.01,32431494.0,48.71,51.87,19.56,-1.43,-1.0,0.0,48.18
2022-02-07,48.13,48.66,47.96,48.18,27558469.0,48.59,51.61,22.26,-1.46,-1.09,0.45,48.81
2022-02-08,47.98,48.94,47.9,48.81,28051185.0,48.56,51.29,28.81,-1.42,-1.16,-0.07,49.91
2022-02-09,49.33,49.97,48.82,49.91,35217300.0,48.64,50.99,40.2,-1.28,-1.18,0.4,48.86
2022-02-10,49.18,49.93,48.76,48.86,32762682.0,48.75,50.64,36.66,-1.24,-1.19,0.04,47.63
2022-02-11,48.95,49.11,47.5,47.63,37208227.0,48.68,50.28,33.49,-1.29,-1.21,0.29,47.58
2022-02-14,47.92,48.18,47.11,47.58,28456926.0,48.56,49.87,35.94,-1.32,-1.24,0.0,48.44
2022-02-15,47.7,48.46,47.19,48.44,35857524.0,48.48,49.55,36.82,-1.26,-1.24,0.2,48.23
2022-02-16,48.06,48.49,47.6,48.23,26022941.0,48.15,49.28,51.01,-1.22,-1.24,0.08,47.57
2022-02-17,47.86,48.26,47.38,47.57,32030624.0,47.89,49.06,49.13,-1.22,-1.23,0.26,45.04
2022-02-18,46.19,46.21,44.51,45.04,76520104.0,47.37,48.71,32.3,-1.41,-1.27,0.15,44.69
2022-02-22,44.69,45.4,43.85,44.69,56703180.0,46.79,48.35,30.46,-1.57,-1.33,-0.18,44.65
2022-02-23,45.17,45.71,44.55,44.65,38176736.0,46.04,48.03,26.59,-1.69,-1.4,0.78,46.72
2022-02-24,43.9,46.79,43.62,46.72,72740052.0,45.73,47.78,43.05,-1.59,-1.44,0.31,47.71
2022-02-25,46.93,47.79,46.25,47.71,39266331.0,45.76,47.77,48.74,-1.42,-1.43,-0.06,47.7
2022-02-28,47.0,47.82,46.85,47.7,41946114.0,46.29,47.76,47.96,-1.27,-1.4,0.21,46.82
2022-03-01,47.54,47.9,46.22,46.82,53852979.0,46.72,47.66,41.73,-1.2,-1.36,0.56,48.87
2022-03-02,47.52,48.99,47.48,48.87,46936509.0,47.56,47.66,45.99,-0.98,-1.29,0.43,47.93
2022-03-03,48.18,48.55,47.62,47.93,36389883.0,47.81,47.58,46.39,-0.86,-1.2,0.27,48.07
2022-03-04,47.37,48.26,47.37,48.07,38324991.0,47.88,47.57,51.87,-0.75,-1.11,0.0,47.68
2022-03-07,48.0,48.54,47.6,47.68,43813747.0,47.87,47.55,50.41,-0.69,-1.03,0.27,47.5
2022-03-08,47.69,48.72,46.89,47.5,44813947.0,48.01,47.52,45.89,-0.65,-0.95,0.25,47.63
2022-03-09,48.41,48.46,46.88,47.63,36076458.0,47.76,47.46,47.36,-0.6,-0.88,0.26,46.66
2022-03-10,47.29,47.31,46.16,46.66,36455953.0,47.51,47.3,46.1,-0.63,-0.83,-0.05,45.83
2022-03-11,47.15,47.28,45.76,45.83,27082085.0,47.06,47.15,53.96,-0.71,-0.81,0.0,44.4
2022-03-14,45.9,45.98,44.3,44.4,35993898.0,46.4,46.99,48.69,-0.88,-0.82,0.29,44.81
2022-03-15,44.5,44.9,44.07,44.81,34448890.0,45.87,46.85,50.7,-0.97,-0.85,0.2,46.63
2022-03-16,45.3,46.63,45.27,46.63,38885498.0,45.67,46.76,49.6,-0.89,-0.86,0.27,47.14
2022-03-17,46.32,47.29,45.73,47.14,28554988.0,45.76,46.7,47.33,-0.77,-0.84,0.06,47.45
2022-03-18,46.82,47.6,46.35,47.45,45188578.0,46.09,46.7,48.86,-0.64,-0.8,0.31,47.39
2022-03-21,47.46,47.89,47.06,47.39,32568644.0,46.68,46.81,52.8,-0.54,-0.75,0.0,48.39
2022-03-22,47.5,48.47,47.4,48.39,27802360.0,47.4,47.0,47.37,-0.38,-0.67,0.0,48.27
2022-03-23,48.46,49.58,48.06,48.27,37126378.0,47.73,47.18,52.05,-0.25,-0.59,0.17,51.62
2022-03-24,48.66,51.65,48.59,51.62,51677908.0,48.62,47.42,65.42,0.11,-0.45,0.36,51.83
2022-03-25,50.69,51.98,50.45,51.83,33212939.0,49.5,47.63,68.31,0.42,-0.28,0.0,51.51
2022-03-28,51.36,51.57,50.56,51.51,22932366.0,50.32,47.82,67.48,0.62,-0.1,0.0,52.25
2022-03-29,52.0,52.29,51.28,52.25,27303707.0,51.1,48.09,69.12,0.84,0.09,0.48,51.43
2022-03-30,52.25,52.51,51.22,51.43,24623262.0,51.73,48.22,69.99,0.93,0.26,0.49,49.56
2022-03-31,51.2,51.26,49.51,49.56,43698250.0,51.32,48.3,64.38,0.84,0.37,0.31,48.11
2022-04-01,49.83,49.9,47.32,48.11,46598563.0,50.57,48.3,64.28,0.65,0.43,0.0,49.2
2022-04-04,48.17,49.23,47.92,49.2,23811324.0,50.11,48.38,66.06,0.58,0.46,0.0,48.13
2022-04-05,48.83,48.98,48.02,48.13,25627985.0,49.29,48.41,55.8,0.43,0.45,0.0,47.54
2022-04-06,47.44,48.17,47.24,47.54,31518748.0,48.51,48.41,51.54,0.26,0.42,0.26,47.56
2022-04-07,47.42,47.91,46.77,47.56,24116972.0,48.11,48.45,50.43,0.13,0.36,0.27,47.02
2022-04-08,47.28,47.58,46.84,47.02,22167256.0,47.89,48.51,48.6,-0.02,0.28,0.37,46.57
2022-04-11,46.9,47.3,46.53,46.57,30352478.0,47.36,48.62,42.8,-0.17,0.19,0.11,46.5
2022-04-12,47.32,47.91,46.41,46.5,29861379.0,47.04,48.7,42.97,-0.29,0.1,0.25,47.01
2022-04-13,46.75,47.27,46.55,47.01,22171270.0,46.93,48.72,26.36,-0.35,0.01,0.12,45.67
2022-04-14,46.74,46.75,45.62,45.67,36181843.0,46.55,48.65,21.69,-0.49,-0.09,0.5,46.64
2022-04-18,45.53,46.89,45.52,46.64,25593058.0,46.48,48.61,28.88,-0.52,-0.18,0.18,47.93
2022-04-19,46.6,48.0,46.34,47.93,31483102.0,46.75,48.64,32.12,-0.44,-0.23,0.0,48.11
2022-04-20,48.36,48.75,47.98,48.11,22740139.0,47.07,48.62,35.49,-0.35,-0.25,0.0,47.5
