Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,170.21,171.6,169.1,171.54,6012777.0,171.54,171.54,50.0,0.0,0.0,0.0,171.08
2022-01-04,171.06,172.29,170.6,171.08,6748363.0,171.31,171.31,0.0,-0.04,-0.01,0.0,172.22
2022-01-05,172.0,173.47,171.62,172.22,7016099.0,171.61,171.61,71.25,0.03,-0.0,0.0,171.63
2022-01-06,172.15,172.5,170.8,171.63,7301633.0,171.62,171.62,52.05,0.03,0.01,0.0,173.95
2022-01-07,171.46,174.3,171.13,173.95,6986006.0,172.08,172.08,76.72,0.21,0.05,0.0,173.09
2022-01-10,173.69,173.69,172.16,173.09,7698444.0,172.39,172.25,64.43,0.29,0.1,0.0,171.25
2022-01-11,172.99,173.39,170.11,171.25,8126404.0,172.43,172.11,47.99,0.2,0.12,0.0,169.79
2022-01-12,169.61,170.08,168.34,169.79,8116205.0,171.94,171.82,39.91,0.01,0.09,0.0,168.76
2022-01-13,169.0,170.42,168.46,168.76,6159444.0,171.37,171.48,35.67,-0.22,0.03,0.0,167.84
2022-01-14,168.62,168.65,167.15,167.84,5847839.0,170.15,171.12,32.58,-0.48,-0.07,0.0,167.1
2022-01-18,167.1,167.72,166.01,167.1,7329346.0,168.95,170.75,30.46,-0.73,-0.2,0.0,166.58
2022-01-19,167.2,168.72,166.32,166.58,5921517.0,168.01,170.4,29.12,-0.96,-0.35,0.0,165.25
2022-01-20,167.29,167.86,164.93,165.25,6011300.0,167.11,170.01,26.19,-1.23,-0.53,0.0,164.87
2022-01-21,166.19,167.99,164.47,164.87,10550302.0,166.33,169.64,25.46,-1.47,-0.72,0.0,162.97
2022-01-24,164.0,164.17,158.26,162.97,14087602.0,165.35,169.19,22.34,-1.78,-0.93,0.0,167.63
2022-01-25,162.36,168.41,161.58,167.63,14081247.0,165.46,169.1,41.24,-1.64,-1.07,0.0,168.38
2022-01-26,167.54,169.22,166.23,168.38,9963229.0,165.82,169.05,40.05,-1.45,-1.15,0.0,170.59
2022-01-27,169.39,171.91,169.0,170.59,9068738.0,166.89,169.14,47.51,-1.1,-1.14,0.0,171.79
2022-01-28,170.86,171.84,169.3,171.79,9783217.0,168.27,169.28,44.55,-0.73,-1.06,0.0,172.29
2022-01-31,171.5,172.62,170.82,172.29,8054895.0,170.14,169.43,47.94,-0.38,-0.92,0.0,170.88
2022-02-01,171.74,171.98,169.43,170.88,8154721.0,170.79,169.4,49.03,-0.22,-0.78,0.0,172.77
2022-02-02,169.65,172.99,169.65,172.77,7382821.0,171.66,169.48,57.66,0.06,-0.61,0.0,172.76
2022-02-03,172.26,173.62,171.04,172.76,6240613.0,172.1,169.51,60.86,0.27,-0.44,0.0,171.63
2022-02-04,171.0,172.98,170.12,171.63,6392155.0,172.07,169.51,60.17,0.35,-0.28,0.0,171.06
2022-02-07,171.41,171.74,170.01,171.06,6065670.0,171.82,169.36,60.73,0.36,-0.15,0.0,171.51
2022-02-08,171.02,172.05,170.48,171.51,6296300.0,171.95,169.28,63.4,0.4,-0.04,0.0,171.49
2022-02-09,172.07,172.24,171.25,171.49,5387540.0,171.69,169.3,68.27,0.43,0.05,0.0,169.42
2022-02-10,171.21,171.22,169.3,169.42,10355349.0,171.02,169.28,62.12,0.28,0.1,0.0,167.71
2022-02-11,169.12,170.15,167.54,167.71,13125328.0,170.24,169.23,62.76,0.02,0.08,0.0,165.6
2022-02-14,167.71,167.97,163.81,165.6,8967638.0,169.15,169.11,43.67,-0.35,-0.0,0.0,167.31
2022-02-15,166.13,168.1,166.01,167.31,6632823.0,168.31,169.12,46.85,-0.5,-0.1,0.0,167.21
2022-02-16,166.49,167.84,165.71,167.21,8482618.0,167.45,169.16,38.64,-0.62,-0.21,0.0,166.19
2022-02-17,167.21,167.45,164.92,166.19,6227569.0,166.8,169.2,30.95,-0.79,-0.32,0.0,163.36
2022-02-18,164.98,165.36,162.94,163.36,6423165.0,165.93,169.13,23.78,-1.13,-0.48,0.0,161.14
2022-02-22,163.57,163.74,160.44,161.14,6773079.0,165.04,169.04,22.7,-1.57,-0.7,0.0,161.22
2022-02-23,161.51,162.64,160.85,161.22,8016903.0,163.82,168.72,13.97,-1.89,-0.94,0.0,158.14
2022-02-24,159.78,160.13,155.72,158.14,12883436.0,162.01,168.2,11.73,-2.36,-1.22,0.0,166.0
2022-02-25,160.0,166.98,159.7,166.0,11340354.0,161.97,167.97,39.1,-2.08,-1.39,-0.28,164.57
2022-02-28,162.87,165.18,162.38,164.57,9373511.0,162.21,167.61,37.84,-1.95,-1.51,0.0,164.0
2022-03-01,163.04,164.75,162.41,164.0,8737846.0,162.79,167.2,35.99,-1.87,-1.58,0.0,166.04
2022-03-02,164.41,167.63,164.04,166.04,6793377.0,163.75,166.96,40.55,-1.62,-1.59,0.0,168.48
2022-03-03,166.7,169.34,166.32,168.48,7333736.0,165.82,166.74,48.39,-1.22,-1.51,0.0,169.48
2022-03-04,167.64,169.86,166.85,169.48,6302672.0,166.51,166.58,53.11,-0.8,-1.37,0.0,172.21
2022-03-07,168.3,173.12,167.36,172.21,11663353.0,168.04,166.61,61.35,-0.26,-1.15,0.0,168.72
