Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,335.35,338.0,329.78,334.75,28918013.0,334.75,334.75,50.0,0.0,0.0,0.39,329.01
2022-01-04,334.83,335.2,326.12,329.01,32674306.0,331.88,331.88,0.0,-0.46,-0.09,0.47,316.38
2022-01-05,325.86,326.07,315.98,316.38,40054327.0,326.71,326.71,0.0,-1.82,-0.44,0.62,313.88
2022-01-06,313.15,318.7,311.49,313.88,39646148.0,323.5,323.5,0.0,-3.06,-0.96,0.65,314.04
2022-01-07,314.15,316.5,310.09,314.04,32720018.0,321.61,321.61,0.76,-3.99,-1.57,-0.2,314.27
2022-01-10,309.48,314.72,304.69,314.27,44289467.0,317.52,320.39,1.83,-4.65,-2.18,0.0,314.98
2022-01-11,313.38,316.61,309.89,314.98,29267314.0,314.71,319.62,5.01,-5.06,-2.76,0.0,318.27
2022-01-12,319.67,323.41,317.08,318.27,34372217.0,315.09,319.45,17.38,-5.07,-3.22,0.45,304.8
2022-01-13,320.47,320.88,304.0,304.8,45365979.0,313.27,317.82,11.33,-6.08,-3.79,-0.75,310.2
2022-01-14,304.25,310.82,303.75,310.2,39846414.0,312.5,317.06,22.18,-6.38,-4.31,0.2,302.65
2022-01-18,304.07,309.8,301.74,302.65,41717982.0,310.18,315.75,18.94,-7.14,-4.88,0.25,303.33
2022-01-19,306.29,313.91,302.7,303.33,45485618.0,307.85,314.71,20.0,-7.6,-5.42,0.25,301.6
2022-01-20,309.07,311.65,301.14,301.6,35380675.0,304.52,313.7,19.36,-8.02,-5.94,0.18,296.03
2022-01-21,302.68,304.11,295.61,296.03,57984403.0,302.76,312.44,17.55,-8.69,-6.49,0.0,296.37
2022-01-24,292.2,297.11,276.05,296.37,86035393.0,300.0,311.37,18.02,-9.1,-7.01,0.49,288.49
2022-01-25,291.52,294.99,285.17,288.49,72848638.0,297.16,309.94,17.4,-9.94,-7.6,0.43,296.71
2022-01-26,307.98,308.5,293.03,296.71,90428853.0,295.84,309.16,32.96,-9.83,-8.04,0.62,299.84
2022-01-27,302.66,307.3,297.93,299.84,53481317.0,295.49,308.64,37.97,-9.38,-8.31,0.57,308.26
2022-01-28,300.23,308.48,294.45,308.26,49743698.0,297.93,308.62,45.66,-8.25,-8.3,0.49,310.98
2022-01-31,308.95,312.38,306.37,310.98,46444536.0,300.86,308.74,47.62,-7.06,-8.05,-0.4,308.76
2022-02-01,310.41,310.63,305.13,308.76,40950396.0,304.91,307.44,45.6,-6.22,-7.69,0.31,313.46
2022-02-02,309.63,315.12,308.88,313.46,36635989.0,308.26,306.66,46.66,-5.11,-7.17,0.62,301.25
2022-02-03,309.49,311.23,299.96,301.25,43729972.0,308.54,305.91,47.49,-5.16,-6.77,0.78,305.94
2022-02-04,300.21,308.8,299.97,305.94,35096488.0,308.08,305.51,46.96,-4.77,-6.37,0.81,300.95
2022-02-07,306.17,307.84,299.9,300.95,28533286.0,306.07,304.86,48.74,-4.81,-6.06,0.43,304.56
2022-02-08,301.25,305.56,299.95,304.56,32421188.0,305.23,304.37,50.87,-4.49,-5.74,0.33,311.21
2022-02-09,309.86,311.93,307.39,311.21,31284671.0,304.78,304.18,56.38,-3.66,-5.33,0.24,302.38
2022-02-10,304.04,309.12,300.7,302.38,45386199.0,305.01,303.39,54.04,-3.68,-5.0,0.19,295.04
2022-02-11,303.19,304.29,294.22,295.04,39175620.0,302.83,302.9,49.22,-4.23,-4.84,0.42,295.0
2022-02-14,293.77,296.76,291.35,295.0,36359487.0,301.64,302.14,54.19,-4.62,-4.8,0.21,300.47
2022-02-15,300.01,300.8,297.02,300.47,27379488.0,300.82,302.03,52.51,-4.44,-4.73,0.0,299.5
2022-02-16,298.36,300.87,293.68,299.5,29982121.0,298.48,301.84,49.77,-4.32,-4.65,0.35,290.73
2022-02-17,296.36,296.8,290.0,290.73,32461580.0,296.15,301.3,38.03,-4.88,-4.69,0.29,287.93
2022-02-18,293.05,293.86,286.3,287.93,34264008.0,294.73,300.89,34.27,-5.48,-4.85,-0.13,287.72
2022-02-22,285.0,291.54,284.5,287.72,41569319.0,293.27,300.46,35.24,-5.91,-5.06,0.2,280.27
2022-02-23,290.18,291.7,280.1,280.27,37811167.0,289.23,300.05,27.58,-6.77,-5.4,0.0,294.59
2022-02-24,272.51,295.16,271.52,294.59,56989686.0,288.25,299.94,45.63,-6.23,-5.57,0.06,297.31
2022-02-25,295.14,297.63,291.65,297.31,32546721.0,289.56,299.82,44.18,-5.52,-5.56,0.0,298.79
2022-02-28,294.31,299.14,293.0,298.79,34627457.0,291.74,299.34,48.47,-4.78,-5.4,-0.19,294.95
2022-03-01,296.4,299.97,292.15,294.95,31217778.0,293.18,298.54,43.22,-4.45,-5.21,-0.3,300.19
2022-03-02,295.36,301.47,293.7,300.19,31873007.0,297.17,298.11,42.07,-3.72,-4.91,-0.11,295.92
2022-03-03,302.89,303.13,294.05,295.92,27314469.0,297.43,297.24,45.02,-3.45,-4.62,-0.16,289.86
2022-03-04,294.29,295.66,287.17,289.86,32369655.0,295.94,296.67,45.93,-3.68,-4.43,0.13,278.91
2022-03-07,288.53,289.69,278.53,278.91,43157178.0,291.97,295.31,39.21,-4.7,-4.49,0.25,275.85
2022-03-08,277.8,283.96,270.0,275.85,48159475.0,288.15,294.06,32.94,-5.68,-4.73,0.63,288.5
2022-03-09,283.44,289.6,280.78,288.5,35204480.0,285.81,293.26,43.44,-5.38,-4.86,0.15,285.59
2022-03-10,283.02,286.6,280.58,285.59,30628012.0,283.74,291.98,46.7,-5.31,-4.95,0.48,280.07
2022-03-11,287.96,289.51,279.43,280.07,27209330.0,281.78,290.86,45.13,-5.64,-5.09,0.0,276.44
2022-03-14,280.34,285.4,275.82,276.44,30660747.0,281.29,289.93,43.29,-6.12,-5.29,-0.02,287.15
2022-03-15,280.35,287.82,278.73,287.15,34245085.0,283.55,289.54,53.94,-5.58,-5.35,0.38,294.39
2022-03-16,289.11,294.57,283.2,294.39,37826329.0,284.73,289.23,49.88,-4.51,-5.18,0.76,295.22
2022-03-17,293.29,295.61,289.37,295.22,30816633.0,286.65,289.02,48.67,-3.55,-4.86,-0.42,300.43
2022-03-18,295.37,301.0,292.73,300.43,42195837.0,290.73,289.5,51.0,-2.35,-4.35,0.0,299.16
2022-03-21,298.89,300.14,294.9,299.16,28107855.0,295.27,290.07,52.65,-1.48,-3.78,0.45,304.06
2022-03-22,299.8,305.0,298.77,304.06,27441386.0,298.65,290.88,52.44,-0.39,-3.1,0.0,299.49
2022-03-23,300.51,303.23,297.72,299.49,25715377.0,299.67,291.84,52.25,0.1,-2.46,0.0,304.1
2022-03-24,299.14,304.2,298.32,304.1,24484456.0,301.45,292.32,59.12,0.86,-1.8,0.41,303.68
2022-03-25,305.23,305.5,299.29,303.68,22443541.0,302.1,292.64,68.34,1.4,-1.16,0.0,310.7
2022-03-28,304.33,310.8,304.33,310.7,29578188.0,304.41,293.23,74.37,2.37,-0.45,0.0,315.41
2022-03-29,313.91,315.82,309.05,315.41,30393403.0,306.68,294.26,71.17,3.48,0.33,0.0,313.86
2022-03-30,313.76,315.95,311.58,313.86,28163555.0,309.55,294.94,72.73,4.19,1.11,0.0,308.31
2022-03-31,313.9,315.14,307.89,308.31,33422070.0,310.39,295.56,72.69,4.25,1.73,0.0,309.42
2022-04-01,309.37,310.13,305.54,309.42,27110529.0,311.54,296.54,77.62,4.34,2.26,0.0,314.97
2022-04-04,310.09,315.11,309.71,314.97,24335868.0,312.39,298.34,75.5,4.81,2.77,0.51,310.88
2022-04-05,313.27,314.86,309.87,310.88,22984881.0,311.49,300.09,66.04,4.79,3.17,0.26,299.5
2022-04-06,305.19,307.0,296.71,299.5,40110372.0,308.62,300.64,53.45,3.81,3.3,0.71,301.37
2022-04-07,296.66,303.65,296.35,301.37,31411155.0,307.23,301.43,50.8,3.15,3.27,0.32,296.97
2022-04-08,300.44,301.12,296.28,296.97,24361917.0,304.74,302.28,48.23,2.25,3.07,0.0,285.26
2022-04-11,291.79,292.61,285.0,285.26,34569264.0,298.8,302.72,36.29,0.58,2.57,0.0,282.06
2022-04-12,289.24,290.74,280.49,282.06,30966721.0,293.03,302.46,37.03,-0.99,1.86,0.0,287.62
2022-04-13,282.73,288.58,281.3,287.62,21907176.0,290.66,302.12,37.9,-1.76,1.13,0.0,279.83
2022-04-14,288.09,288.3,279.32,279.83,28221607.0,286.35,301.35,34.2,-2.97,0.31,0.0,280.52
2022-04-18,278.91,282.46,278.34,280.52,20778000.0,283.06,300.36,28.18,-3.83,-0.52,0.0,285.3
2022-04-19,279.38,286.17,278.41,285.3,22297720.0,283.07,299.67,28.25,-4.07,-1.23,0.54,286.36
2022-04-20,289.4,289.7,285.37,286.36,22805341.0,283.93,298.78,30.0,-4.14,-1.81,0.0,280.81
2022-04-21,288.58,293.3,280.06,280.81,29454587.0,282.56,297.85,30.0,-4.58,-2.36,0.53,274.03
2022-04-22,281.68,283.2,273.38,274.03,29405798.0,281.4,296.34,26.22,-5.42,-2.97,0.0,280.72
2022-04-25,273.29,281.11,270.77,280.72,35678852.0,281.44,295.2,27.33,-5.48,-3.48,0.49,270.22
2022-04-26,277.5,278.36,270.0,270.22,42047008.0,278.43,293.17,25.2,-6.3,-4.04,0.69,283.22
2022-04-27,282.1,290.97,279.16,283.22,63477694.0,277.8,291.56,40.26,-5.84,-4.4,-0.03,289.63
2022-04-28,285.18,290.98,281.46,289.63,33646570.0,279.56,290.35,43.34,-4.89,-4.5,0.0,277.52
2022-04-29,288.61,289.88,276.5,277.52,37073923.0,280.26,288.81,39.85,-5.07,-4.61,0.0,284.47
2022-05-02,277.71,284.94,276.22,284.47,35151105.0,281.01,287.56,49.57,-4.59,-4.61,0.0,281.78
2022-05-03,283.96,284.13,280.15,281.78,25978605.0,283.32,285.9,49.85,-4.38,-4.56,0.0,289.98
2022-05-04,282.59,290.88,276.73,289.98,33463409.0,284.68,284.86,51.27,-3.51,-4.35,0.88,277.35
2022-05-05,285.54,286.35,274.34,277.35,43260386.0,282.22,283.75,48.74,-3.79,-4.24,0.0,274.73
2022-05-06,274.8,279.25,271.27,274.73,37780322.0,281.66,282.42,47.1,-4.18,-4.23,0.0,264.58
2022-05-09,270.06,272.36,263.32,264.58,47725952.0,277.68,280.8,40.17,-5.25,-4.43,0.0,269.5
2022-05-10,271.69,273.75,265.07,269.5,39336424.0,275.23,280.01,42.28,-5.64,-4.67,0.75,260.55
2022-05-11,265.68,271.36,259.3,260.55,48975898.0,269.34,278.94,41.0,-6.59,-5.06,0.0,255.35
2022-05-12,257.69,259.88,250.02,255.35,51033802.0,264.94,277.32,41.59,-7.67,-5.58,0.0,261.12
2022-05-13,257.35,263.04,255.35,261.12,34925093.0,262.22,276.39,41.1,-7.97,-6.06,0.0,261.5
2022-05-16,259.96,265.82,255.78,261.5,32550933.0,261.6,275.44,45.64,-8.09,-6.46,-0.1,266.82
2022-05-17,266.11,268.33,262.46,266.82,28828799.0,261.07,274.51,41.12,-7.66,-6.7,0.65,254.08
2022-05-18,263.0,263.6,252.77,254.08,31355985.0,259.77,272.9,31.98,-8.26,-7.01,0.24,253.14
2022-05-19,253.9,257.67,251.88,253.14,32692286.0,259.33,271.51,36.06,-8.7,-7.35,0.61,252.56
2022-05-20,257.24,258.54,246.44,252.56,39199279.0,257.62,270.44,30.32,-9.0,-7.68,0.0,260.65
2022-05-23,255.49,261.5,253.43,260.65,33175379.0,257.45,269.44,37.78,-8.49,-7.84,0.0,259.62
