Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,167.53,167.91,163.31,164.67,5671928.0,164.67,164.67,50.0,0.0,0.0,0.22,166.39
2022-01-04,165.88,167.18,165.0,166.39,6064160.0,165.53,165.53,100.0,0.14,0.03,-0.04,162.25
2022-01-05,166.49,167.01,162.1,162.25,5020982.0,164.44,164.44,29.35,-0.09,0.0,0.09,161.04
2022-01-06,162.09,163.19,159.06,161.04,4144691.0,163.59,163.59,24.33,-0.36,-0.07,0.02,156.97
2022-01-07,160.77,161.14,156.86,156.97,5107978.0,162.26,162.26,15.44,-0.89,-0.23,0.16,150.44
2022-01-10,150.52,151.33,148.78,150.44,10439022.0,159.42,160.29,9.73,-1.82,-0.55,-0.03,150.3
2022-01-11,150.48,150.84,147.6,150.3,8099230.0,156.2,158.87,9.66,-2.54,-0.95,-0.05,152.21
2022-01-12,152.13,153.46,150.74,152.21,6351196.0,154.19,158.03,18.41,-2.92,-1.34,0.13,149.59
2022-01-13,153.2,153.6,149.02,149.59,4990890.0,151.9,157.1,16.25,-3.39,-1.75,0.06,148.18
2022-01-14,148.39,148.84,146.85,148.18,6030546.0,150.14,156.2,15.28,-3.84,-2.17,0.2,146.95
2022-01-18,148.06,148.83,146.3,146.95,6644678.0,149.45,155.36,14.53,-4.24,-2.58,0.0,145.11
2022-01-19,147.76,149.1,145.02,145.11,4818253.0,148.41,154.51,13.53,-4.66,-3.0,0.0,142.73
2022-01-20,145.46,147.38,142.5,142.73,5366458.0,146.51,153.6,12.43,-5.12,-3.42,0.0,142.95
2022-01-21,144.32,146.36,142.85,142.95,7553373.0,145.18,152.84,13.09,-5.4,-3.82,0.0,146.0
2022-01-24,140.81,146.31,139.56,146.0,9757308.0,144.75,152.39,21.25,-5.32,-4.12,0.0,145.48
2022-01-25,144.97,147.96,142.51,145.48,8195354.0,144.45,151.95,16.57,-5.24,-4.34,0.0,143.99
2022-01-26,147.78,148.97,142.73,143.99,7444563.0,144.23,151.49,18.1,-5.23,-4.52,0.0,144.64
2022-01-27,144.99,147.35,143.58,144.64,6397336.0,144.61,151.1,20.78,-5.12,-4.64,0.0,145.91
2022-01-28,144.12,146.03,140.61,145.91,6130224.0,145.2,150.83,28.11,-4.87,-4.69,0.0,148.07
