Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,86.08,87.14,86.07,86.97,5169898.0,86.97,86.97,50.0,0.0,0.0,-0.05,90.02
2022-01-04,87.87,90.07,87.7,90.02,6044182.0,88.5,88.5,100.0,0.24,0.05,0.46,89.57
2022-01-05,90.2,91.53,89.4,89.57,6833572.0,88.85,88.85,87.14,0.4,0.12,0.36,90.06
2022-01-06,90.4,90.93,89.61,90.06,5559230.0,89.16,89.16,88.72,0.55,0.2,-0.08,90.44
2022-01-07,90.26,91.36,90.09,90.44,4835353.0,89.41,89.41,89.7,0.69,0.3,0.13,89.73
2022-01-10,90.68,90.79,89.24,89.73,4884232.0,89.96,89.46,77.17,0.74,0.39,0.49,90.72
2022-01-11,89.74,90.84,89.27,90.72,4489022.0,90.1,89.64,80.89,0.85,0.48,-0.48,91.07
2022-01-12,91.0,91.54,90.84,91.07,4613135.0,90.4,89.82,81.93,0.95,0.58,0.27,91.56
2022-01-13,91.38,92.46,90.96,91.56,5026361.0,90.7,90.02,83.21,1.06,0.67,-0.06,92.33
2022-01-14,91.05,92.48,90.72,92.33,4987361.0,91.08,90.25,84.9,1.2,0.78,0.44,90.75
2022-01-18,91.33,91.9,90.28,90.75,5650930.0,91.29,90.29,70.41,1.16,0.85,0.02,89.7
2022-01-19,90.73,91.34,89.58,89.7,4723982.0,91.08,90.24,63.24,1.04,0.89,-0.31,88.36
2022-01-20,89.96,90.83,88.25,88.36,5354651.0,90.54,90.1,55.97,0.82,0.88,-0.4,87.21
2022-01-21,88.52,88.81,86.82,87.21,5846460.0,89.67,89.89,50.94,0.55,0.81,-0.3,88.12
2022-01-24,85.77,88.3,84.8,88.12,8850470.0,88.83,89.77,54.19,0.41,0.73,0.77,90.31
2022-01-25,85.0,91.29,85.0,90.31,10377382.0,88.74,89.81,51.13,0.47,0.68,-0.18,88.98
2022-01-26,89.98,91.52,87.47,88.98,9829055.0,88.6,89.76,47.85,0.4,0.62,-0.01,89.28
2022-01-27,89.92,91.48,88.4,89.28,6998955.0,88.78,89.73,47.12,0.36,0.57,-0.56,90.33
2022-01-28,88.97,90.37,87.48,90.33,5877612.0,89.4,89.76,49.61,0.42,0.54,-0.51,90.19
2022-01-31,89.61,90.41,89.01,90.19,6419710.0,89.82,89.78,51.69,0.44,0.52,-0.15,90.73
2022-02-01,90.1,90.94,89.27,90.73,6558402.0,89.9,89.97,50.04,0.5,0.52,0.39,92.54
2022-02-02,90.3,92.69,90.25,92.54,5978631.0,90.61,90.1,55.02,0.69,0.55,0.02,92.81
2022-02-03,92.15,92.98,91.62,92.81,7171744.0,91.32,90.26,54.33,0.84,0.61,-0.09,93.01
2022-02-04,92.36,93.9,92.11,93.01,6321395.0,91.86,90.41,52.45,0.97,0.68,0.2,94.03
2022-02-07,93.46,94.73,93.01,94.03,4932676.0,92.62,90.59,62.33,1.15,0.77,-0.28,95.07
2022-02-08,93.83,95.32,92.87,95.07,8173420.0,93.49,90.86,70.2,1.35,0.89,0.41,96.0
2022-02-09,96.03,96.32,95.48,96.0,5394904.0,94.18,91.12,79.66,1.57,1.03,0.61,95.06
2022-02-10,95.32,96.96,94.55,95.06,6534377.0,94.63,91.32,80.98,1.65,1.15,0.14,95.27
2022-02-11,95.25,96.05,94.08,95.27,6532903.0,95.09,91.5,79.87,1.71,1.26,0.14,93.57
2022-02-14,95.51,95.6,92.89,93.57,6419230.0,94.99,91.57,64.2,1.6,1.33,-0.13,94.04
2022-02-15,93.59,94.9,93.57,94.04,4616345.0,94.79,91.73,73.82,1.54,1.37,0.63,94.75
2022-02-16,94.01,95.27,93.92,94.75,4560945.0,94.54,91.98,74.8,1.52,1.4,0.19,94.36
2022-02-17,93.97,95.17,93.44,94.36,5753359.0,94.4,92.28,69.43,1.47,1.42,0.0,93.37
2022-02-18,94.14,95.01,92.99,93.37,6544820.0,94.02,92.59,64.17,1.32,1.4,0.42,93.54
2022-02-22,93.62,94.74,92.79,93.54,5827115.0,94.01,92.86,62.95,1.21,1.36,-0.01,92.24
2022-02-23,94.3,94.53,92.05,92.24,6903341.0,93.65,92.96,48.55,1.01,1.29,-0.65,94.25
2022-02-24,93.0,94.65,89.31,94.25,9698541.0,93.55,93.22,55.96,1.0,1.23,0.0,98.12
2022-02-25,94.39,98.27,94.2,98.12,8692294.0,94.3,93.66,66.22,1.28,1.24,0.34,102.7
2022-02-28,99.02,102.96,98.4,102.7,16726086.0,96.17,94.28,72.45,1.86,1.36,0.0,102.73
2022-03-01,102.77,104.34,102.18,102.73,12340886.0,98.01,94.91,70.93,2.29,1.55,-0.65,100.74
2022-03-02,102.2,102.51,99.78,100.74,12834567.0,99.71,95.41,62.24,2.45,1.73,0.0,99.83
2022-03-03,101.06,101.35,98.63,99.83,8613520.0,100.82,95.77,62.34,2.47,1.88,0.51,99.59
2022-03-04,99.95,99.95,98.23,99.59,8716773.0,101.12,96.11,61.16,2.44,1.99,0.06,98.19
2022-03-07,101.29,103.1,98.12,98.19,12758958.0,100.22,96.37,62.12,2.27,2.05,0.66,94.85
2022-03-08,98.01,98.4,94.69,94.85,9410601.0,98.64,96.41,51.85,1.85,2.01,0.73,98.52
2022-03-09,95.25,99.08,95.25,98.52,7100516.0,98.2,96.59,57.57,1.79,1.96,0.59,98.51
2022-03-10,98.17,99.8,97.66,98.51,5118396.0,97.93,96.71,58.47,1.73,1.92,0.4,96.92
2022-03-11,98.78,99.75,96.8,96.92,4354304.0,97.4,96.8,57.07,1.53,1.84,-0.38,97.04
2022-03-14,97.17,97.66,95.41,97.04,5581735.0,97.17,96.89,56.98,1.36,1.74,0.0,97.62
2022-03-15,97.88,98.1,96.57,97.62,5417571.0,97.72,97.1,61.05,1.27,1.65,0.05,95.8
2022-03-16,97.04,97.64,94.07,95.8,8813039.0,97.18,97.18,53.21,1.03,1.53,0.58,97.75
2022-03-17,96.6,97.78,95.83,97.75,6537188.0,97.03,97.33,49.17,0.99,1.42,0.0,97.52
2022-03-18,98.0,98.28,96.33,97.52,10061121.0,97.15,97.49,35.51,0.93,1.32,-0.06,99.94
2022-03-21,97.84,100.82,97.8,99.94,6622974.0,97.73,97.82,43.12,1.06,1.27,-0.13,101.38
