Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,500.0,502.9,493.05,502.28,3034118.0,502.28,502.28,50.0,0.0,0.0,0.0,490.9
2022-01-04,503.2,503.75,490.88,490.9,3908144.0,496.59,496.59,0.0,-0.91,-0.18,0.0,489.69
2022-01-05,494.77,497.0,489.69,489.69,3921068.0,494.29,494.29,0.0,-1.71,-0.49,0.0,469.65
2022-01-06,480.0,484.14,463.12,469.65,6555181.0,488.13,488.13,0.0,-3.91,-1.17,0.9,458.6
2022-01-07,467.69,467.97,455.55,458.6,5494221.0,482.22,482.22,0.0,-6.47,-2.23,0.0,465.0
2022-01-10,456.0,465.86,454.44,465.0,5831782.0,474.77,479.35,12.78,-7.9,-3.37,0.87,469.0
2022-01-11,467.2,470.44,460.67,469.0,3330330.0,470.39,477.87,19.23,-8.6,-4.41,0.0,473.72
2022-01-12,468.97,475.32,466.34,473.72,3502254.0,467.19,477.36,25.71,-8.68,-5.27,0.0,467.43
2022-01-13,475.89,476.55,465.98,467.43,3005301.0,466.75,476.25,23.23,-9.15,-6.04,0.0,468.69
2022-01-14,469.89,473.17,465.08,468.69,3665568.0,468.77,475.5,24.69,-9.31,-6.7,-0.44,460.99
2022-01-18,465.17,465.71,458.35,460.99,3850100.0,467.97,474.18,22.12,-9.94,-7.34,0.56,462.52
2022-01-19,468.0,475.49,461.51,462.52,3961802.0,466.67,473.21,23.7,-10.2,-7.92,0.52,463.0
2022-01-20,464.38,471.63,462.0,463.0,3228619.0,464.53,472.42,24.18,-10.25,-8.38,0.49,461.17
2022-01-21,463.5,470.79,461.07,461.17,4273182.0,463.27,471.62,23.61,-10.32,-8.77,0.0,462.27
2022-01-24,458.07,464.14,448.13,462.27,4782531.0,461.99,470.99,24.67,-10.17,-9.05,0.0,456.84
2022-01-25,454.07,459.49,447.27,456.84,3428905.0,461.16,470.11,26.68,-10.37,-9.31,0.88,458.43
2022-01-26,458.45,463.88,453.45,458.43,4435865.0,460.34,469.42,28.71,-10.28,-9.51,0.86,461.6
2022-01-27,458.08,468.68,457.01,461.6,3508851.0,460.06,468.99,42.88,-9.84,-9.57,0.0,466.06
2022-01-28,461.4,466.28,455.08,466.06,3364353.0,461.04,468.83,57.47,-9.02,-9.46,0.69,472.57
2022-01-31,465.0,473.18,464.4,472.57,3500457.0,463.1,469.02,57.56,-7.76,-9.12,0.0,468.41
2022-02-01,475.0,475.0,462.75,468.41,3148584.0,465.41,467.33,49.41,-7.02,-8.7,0.85,479.78
2022-02-02,469.06,481.98,469.06,479.78,3026806.0,469.68,466.77,55.33,-5.45,-8.05,0.71,488.77
2022-02-03,498.65,500.18,483.57,488.77,4370853.0,475.12,466.72,67.91,-3.44,-7.13,-0.3,483.17
