Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,144.0,144.79,143.01,144.65,6903262.0,144.65,144.65,50.0,0.0,0.0,-0.26,142.0
2022-01-04,144.04,145.14,141.76,142.0,11310011.0,143.32,143.32,0.0,-0.21,-0.04,0.2,143.92
2022-01-05,142.85,145.95,142.74,143.92,11805971.0,143.52,143.52,42.01,-0.22,-0.08,0.16,143.52
2022-01-06,143.62,144.64,142.4,143.52,7276277.0,143.52,143.52,38.63,-0.26,-0.11,0.23,144.89
2022-01-07,143.5,145.36,142.96,144.89,6574530.0,143.8,143.8,51.89,-0.18,-0.13,0.14,144.61
2022-01-10,145.44,145.59,143.12,144.61,7577189.0,143.79,143.93,49.7,-0.13,-0.13,-0.03,144.2
2022-01-11,144.21,144.62,143.18,144.2,6665229.0,144.23,143.97,46.8,-0.13,-0.13,-0.17,143.44
2022-01-12,143.68,143.96,143.0,143.44,6315605.0,144.13,143.9,42.23,-0.18,-0.14,-0.27,145.47
2022-01-13,143.43,145.68,143.11,145.47,8084198.0,144.52,144.08,54.18,-0.06,-0.12,-0.4,145.06
2022-01-14,144.22,146.63,144.22,145.06,8955786.0,144.56,144.18,52.0,-0.0,-0.1,-0.31,142.52
2022-01-18,144.41,144.7,142.13,142.52,6297369.0,144.14,144.03,41.66,-0.16,-0.11,0.0,143.94
2022-01-19,142.54,144.99,141.92,143.94,7255876.0,144.09,144.02,47.5,-0.16,-0.12,0.0,141.22
2022-01-20,142.35,144.46,141.07,141.22,7462375.0,143.64,143.8,39.86,-0.38,-0.17,0.0,140.19
2022-01-21,141.22,142.26,140.06,140.19,9169392.0,142.59,143.55,37.57,-0.63,-0.26,0.0,140.2
2022-01-24,139.07,140.53,137.31,140.2,9570458.0,141.61,143.32,37.6,-0.82,-0.38,0.0,137.15
2022-01-25,139.99,140.37,136.81,137.15,9826478.0,140.54,142.94,36.78,-1.2,-0.54,0.0,135.75
2022-01-26,137.34,138.79,135.16,135.75,8728497.0,138.9,142.51,27.09,-1.6,-0.75,0.0,135.84
2022-01-27,136.92,139.08,135.37,135.84,9261266.0,137.83,142.14,28.08,-1.88,-0.98,0.09,137.52
2022-01-28,136.0,137.57,133.95,137.52,8377341.0,137.29,141.9,29.33,-1.95,-1.17,0.06,139.81
2022-01-31,137.09,140.04,136.7,139.81,6731158.0,137.21,141.8,37.9,-1.8,-1.3,0.21,140.91
2022-02-01,139.21,141.15,138.99,140.91,6774366.0,137.97,141.61,41.99,-1.57,-1.35,0.68,140.85
2022-02-02,141.0,141.64,140.15,140.85,6049927.0,138.99,141.55,43.47,-1.38,-1.36,-0.23,140.99
2022-02-03,140.26,141.99,139.77,140.99,6913734.0,140.02,141.4,37.51,-1.2,-1.33,0.34,139.33
2022-02-04,140.89,141.0,138.35,139.33,7345507.0,140.38,141.19,35.07,-1.18,-1.3,0.44,137.96
2022-02-07,140.06,140.07,137.61,137.96,6670120.0,140.01,140.85,37.35,-1.26,-1.29,-0.03,137.99
2022-02-08,138.32,139.24,137.51,137.99,6486293.0,139.42,140.52,32.11,-1.31,-1.29,-0.41,137.69
2022-02-09,138.5,138.79,137.47,137.69,7157923.0,138.79,140.19,37.58,-1.36,-1.31,0.51,136.08
2022-02-10,136.55,137.01,135.46,136.08,9270199.0,137.81,139.82,36.11,-1.5,-1.35,-0.53,135.33
2022-02-11,136.82,137.18,134.16,135.33,7911135.0,137.01,139.32,34.32,-1.66,-1.41,-0.33,133.95
2022-02-14,135.33,135.96,132.71,133.95,9787836.0,136.21,138.76,38.46,-1.88,-1.5,0.12,134.37
2022-02-15,134.74,135.67,133.79,134.37,7282849.0,135.48,138.35,44.64,-1.99,-1.6,0.13,133.53
2022-02-16,134.33,134.88,132.7,133.53,9496862.0,134.65,137.83,41.53,-2.13,-1.71,0.34,138.88
2022-02-17,134.0,139.47,133.78,138.88,17943846.0,135.21,137.72,53.93,-1.78,-1.72,0.34,137.99
2022-02-18,138.1,139.59,137.16,137.99,10367817.0,135.74,137.61,44.28,-1.56,-1.69,0.46,136.45
2022-02-22,137.77,138.24,135.94,136.45,8439117.0,136.24,137.42,36.35,-1.49,-1.65,0.48,135.05
2022-02-23,136.86,137.19,134.84,135.05,7010313.0,136.38,137.31,33.6,-1.53,-1.63,0.13,134.53
2022-02-24,133.91,135.01,132.01,134.53,10572482.0,136.58,137.25,32.12,-1.59,-1.62,-0.49,136.38
2022-02-25,134.81,136.78,134.09,136.38,8332590.0,136.08,137.28,41.92,-1.47,-1.59,-0.05,135.16
2022-02-28,135.0,136.07,133.77,135.16,8762227.0,135.51,137.16,42.27,-1.45,-1.56,0.57,135.99
2022-03-01,135.87,137.89,135.02,135.99,8008347.0,135.42,136.97,44.71,-1.36,-1.52,-0.03,136.16
2022-03-02,135.66,136.83,135.18,136.16,7954751.0,135.64,136.73,45.92,-1.26,-1.47,-0.31,139.29
2022-03-03,137.29,140.47,136.55,139.29,9961736.0,136.6,136.66,57.91,-0.91,-1.36,-0.14,142.82
2022-03-04,137.81,142.94,137.59,142.82,11860222.0,137.88,136.75,66.23,-0.35,-1.16,-0.47,141.67
2022-03-07,141.3,143.63,140.45,141.67,15290027.0,139.19,136.86,66.9,0.0,-0.92,0.34,138.74
2022-03-08,141.5,142.46,138.58,138.74,9435176.0,139.74,136.9,58.62,0.04,-0.73,0.43,139.46
2022-03-09,140.0,140.24,138.14,139.46,7374312.0,140.4,136.98,61.75,0.13,-0.56,0.21,142.63
2022-03-10,139.49,143.0,139.01,142.63,9170929.0,141.06,137.22,58.13,0.46,-0.36,0.31,142.07
2022-03-11,142.3,144.05,141.88,142.07,6387420.0,140.91,137.52,58.98,0.66,-0.15,0.42,144.05
2022-03-14,142.02,144.85,141.99,144.05,7548765.0,141.39,137.96,66.41,0.97,0.07,0.05,145.78
2022-03-15,144.53,146.15,143.85,145.78,7624161.0,142.8,138.55,72.84,1.34,0.33,0.15,145.35
2022-03-16,145.39,146.94,143.7,145.35,8205319.0,143.98,139.1,73.12,1.58,0.58,-0.41,145.01
2022-03-17,144.45,145.3,142.65,145.01,6341006.0,144.45,139.67,69.71,1.72,0.81,-0.32,145.44
2022-03-18,145.18,145.57,144.11,145.44,10084781.0,145.13,140.0,74.36,1.85,1.01,-0.28,144.23
