company,headline,sentiment
Microsoft Corporation,"Tom's Hardware
Microsoft says the undeletable 8.63GB cache in Windows 11 24H2 is “a reporting error” — space is freed by Disk Cleanup
Microsoft says that the undeletable 8.63GB cache is actually freed up already; the reason it appears on the Disk Cleanup app is a ""reporting error.""
.
15 Oct 2024",0.6597
Microsoft Corporation,"GlobeNewswire
Microsoft Corporation Investors: Company Investigated by the Portnoy Law Firm
LOS ANGELES, July 24, 2024 (GLOBE NEWSWIRE) -- The Portnoy Law Firm advises Microsoft Corporation (""Microsoft"" or the ""Company"") (NASDAQ: MSFT) investors that...
.
24 Jul 2024",0.0
Microsoft Corporation,"Microsoft
CDW rolls out Microsoft 365 Copilot to 10,000 employees, reporting 85% productivity gains
Technology solutions provider CDW Corporation (CDW) is embracing generative AI to power employee productivity and accelerate customers' AI journeys.
.
23 Oct 2024",0.4767
Microsoft Corporation,"UW-Milwaukee
UWM to House Nation’s First Microsoft AI Lab Focused on Manufacturing – Lubar College of Business
The lab will strengthen UWM's education and research mission while connecting Wisconsin manufacturers and other companies with Microsoft's artificial...
.
15 May 2024",0.5994
Microsoft Corporation,"Reuters
Microsoft to invest $1.7 billion in cloud, AI in Indonesia, CEO says
Microsoft will invest $1.7 billion over the next four years into expanding cloud services and artificial intelligence in Indonesia, including building data...
.
29 Apr 2024",0.4767
Microsoft Corporation,"Microsoft
Microsoft Appoints Rodrigo Kede Lima as new President for Asia
As President for Microsoft Asia, Rodrigo Kede Lima will lead a business that comprises 20 countries and a diverse team of 30000 employees.
.
5 Sept 2024",0.0
Microsoft Corporation,"The American Prospect
Defense Department Submits to Microsoft’s Profit-Taking
Even though Microsoft is the original Big Tech monopoly and still holds the title as the largest corporation in the world by market capitalization,...
.
11 Jun 2024",0.6124
Microsoft Corporation,"Microsoft
Microsoft announces AI skilling opportunities for 2.5 million people in the ASEAN region by 2025
Microsoft announced a commitment to equip 2.5 million people in member states of the Association of Southeast Asian Nations (ASEAN) with AI skills by 2025.
.
30 Apr 2024",0.6369
Microsoft Corporation,"GeekWire
Congressional hearing pits Microsoft’s actions vs. words in public grilling over security failures
Microsoft President Brad Smith will testify Thursday before the U.S. House Committee on Homeland Security after a series of breaches.
.
13 Jun 2024",0.2023
Microsoft Corporation,"Palantir
Palantir IR
DENVER--(BUSINESS WIRE)-- Palantir Technologies Inc. (NYSE: PLTR) and Microsoft Corporation (NASDAQ: MSFT) announce today a significant advancement in their...
.
8 Aug 2024",0.2023
Microsoft Corporation,"Investing.com
Microsoft: The Enduring Tech Superstar
Microsoft is the US's second-largest company by market cap and has made a tremendous impact on the world. Discover more Microsoft facts here.
.
31 Oct 2024",0.0
Microsoft Corporation,"The New York Times
F.T.C. Launches Antitrust Investigation Into Microsoft
The Federal Trade Commission has opened an investigation into whether Microsoft has violated antitrust law in multiple segments of its wide-ranging business.
.
27 Nov 2024",-0.5267
Microsoft Corporation,"Yahoo Finance
Microsoft Corporation (MSFT) Unveils Azure AI Foundry to Help Businesses Build Custom AI Agents and Applications
We recently compiled a list of the 15 AI Stocks That Are Dominating Headlines. In this article, we are going to take a look at where Microsoft Corporation...
.
22 Nov 2024",0.128
Microsoft Corporation,"Business Wire
Topcon Healthcare Inc. (THI) Partners with Microsoft to Deliver AI-Powered ‘Healthcare from the Eye’ Through a Connected Healthcare Platform
Topcon Healthcare Inc. (THI) announces a partnership with Microsoft Corporation to deliver AI-powered 'Healthcare from the Eye' solutions to improve...
.
9 May 2024",0.1779
Microsoft Corporation,"Elets Technomedia
NCVET and Microsoft Corporation India Pvt. Ltd. Sign Agreement for Awarding Body Recognition
This agreement grants NCVET recognition to Microsoft Corporation India Pvt. Ltd. as an Awarding Body (AB – Standard).
.
11 Jul 2024",0.9201
Microsoft Corporation,"Mint
Microsoft Q3 Results: Company basks in AI glory, revenue up 17% to $61.9 billion, Azure up 31%, beats analysts estimates
Microsoft Corp announced on April 25 that its third-quarter revenue soared to $61.9 billion, marking a 17% increase, for the quarter that ended on March 31.
.
26 Apr 2024",0.7003
