company,headline,sentiment,date
IBM,"IBM Newsroom
UNDP and IBM Launch New Tools to Forecast Energy Access and Model Energy Equity
UNDP and IBM developed two new interactive models for UNDP's Data Futures Exchange's GeoHub: the AI model Electricity Access Forecasting and the statistical...
.
17 Sept 2024",0.4939,2024-09-17
IBM,"IBM Newsroom
IBM Introduces New Generative AI-Powered Cybersecurity Assistant for Threat Detection and Response Services
The new IBM Consulting Cybersecurity Assistant is designed to accelerate and improve the identification, investigation and response to critical security...
.
5 Aug 2024",-0.4215,2024-08-05
IBM,"Free Malaysia Today
IBM targets growth as Malaysia’s tech boom fuels expansion
New York-based hybrid cloud and artificial intelligence (AI) provider International Business Machines Corporation (IBM) sees strong growth potential in...
.
15 Aug 2024",0.9313,2024-08-15
IBM,"Yahoo Finance
Is There An Opportunity With International Business Machines Corporation's (NYSE:IBM) 33% Undervaluation?
Key Insights · The projected fair value for International Business Machines is US$320 based on 2 Stage Free Cash Flow to Equity · International Business...
.
12 Nov 2024",0.8689,2024-11-12
IBM,"CRN Magazine
IBM Research Hails ‘Co-Packaged Optics’ As Breakthrough Chip Technology For AI Tasks
IBM's research wing is calling co-packaged optics a breakthrough in chip assembly for better efficiency for AI data centers.
.
9 Dec 2024",0.6597,2024-12-09
IBM,"Yahoo Finance
International Business Machines Corporation's (NYSE:IBM) institutional investors lost 9.4% last week but have benefitted from longer-term gains
Key Insights. Institutions' substantial holdings in International Business Machines implies that they have significant influence over the company's share...
.
30 Oct 2024",0.8555,2024-10-30
IBM,"Yahoo Finance
IBM Stock Tumbles 6% Following Morgan Stanley's Price Target Cut
International Business Machines (IBM, Financial) saw its stock shed 6% of its value during the mid-day trade on Thursday after Morgan Stanley downgraded its...
.
25 Oct 2024",0.0772,2024-10-25
IBM,"Simply Wall Street
International Business Machines Corporation Just Beat Analyst Forecasts, And Analysts Have Been Updating Their Predictions
The quarterly results for International Business Machines Corporation ( NYSE:IBM ) were released last week, making it a...
.
1 Aug 2024",0.0,2024-08-01
IBM,"Technology Magazine
IBM watsonx: New Technology Powers Sustainability Progress
By Amber Jackson. June 07, 2024. 5 mins. Share. IBM currently holds 21 goals for sustainability that addresses the company's intersection with the...
.
7 Jun 2024",0.6124,2024-06-07
IBM,"IBM
What Is NLP (Natural Language Processing)?
Natural language processing (NLP) is a subfield of artificial intelligence (AI) that uses machine learning to help computers communicate with human...
.
1 Dec 2024",0.8074,2024-12-01
IBM,"TechRepublic
IBM Acquires HashiCorp for $6.4 Billion, Expanding Hybrid Cloud Offerings
The deal is intended to strengthen IBM's hybrid and multicloud offerings and generative AI deployment.
.
29 Apr 2024",0.3182,2024-04-29
IBM,"TechCrunch
IBM Cloud to offer Intel’s Gaudi 3 AI chips next year
Intel has found its first — and perhaps only — cloud customer for its Gaudi 3 AI accelerator chips: IBM Cloud.
.
29 Aug 2024",0.0,2024-08-29
IBM,"Fortune
Nvidia is carrying the S&P 500 like no company since possibly IBM four decades ago, expert says: ‘It’s unheard of’
Shares of Nvidia, Microsoft, Apple, Meta, Google, Amazon, and Broadcom have on average soared by 25.3%, while the remaining 493 companies have grown by just 2....
.
21 Jun 2024",0.4939,2024-06-21
IBM,"Forbes
IBM’s Qiskit Takes Lead In Quantum Computing Software Development
IBM recently announced that its Qiskit SDK has firmly established itself as the leader among quantum software development kits.
.
24 Sept 2024",0.0,2024-09-24
IBM,"ESG Today
IBM Adds CSRD Sustainability Reporting Capabilities to ESG Data Platform
IBM announced that it has expanded the capabilities of its ESG data collection, analysis and reporting platform IBM Envizi.
.
1 May 2024",0.0,2024-05-01
IBM,"Times of India
IBM CEO Arvind Krishna's salary jumps 23% to $20 million
BENGALURU: IBM chairman and CEO Arvind Krishna's compensation jumped 23% to $20 million in 2023 from $16.5 million in the year-ago period, the company's...
.
16 Mar 2024",0.0,2024-03-16
IBM,"PR Newswire
IBM Unveils Next Chapter of watsonx with Open Source, Product & Ecosystem Innovations to Drive Enterprise AI at Scale
Releases a family of IBM Granite models into open source, including its most capable and efficient Code LLMs that can out-perform larger code models on many...
.
21 May 2024",0.7146,2024-05-21
IBM,"SiliconANGLE
IBM expands hybrid cloud portfolio with $6.4B acquisition of HashiCorp
IBM Corp. today announced that it has entered into a definitive agreement to acquire infrastructure management provider HashiCorp Inc. for $35 per share in...
.
24 Apr 2024",0.7003,2024-04-24
IBM,"Nasdaq
Top Stock Reports for IBM, Lowe's & Arista Networks
Monday, October 14, 2024The Zacks Research Daily presents the best research output of our analyst team. Today's Research Daily features new research reports...
.
14 Oct 2024",0.7184,2024-10-14
IBM,"IBM
E.ON + IBM Quantum
E.ON is exploring quantum computing with IBM. Quantum computers offer an entirely new approach to solving complex problems.
.
16 Nov 2024",-0.0772,2024-11-16
IBM,"IBM Newsroom
IBM to Acquire Accelalpha, Leading Oracle Consultancy
IBM announced its intent to acquire Accelalpha, a global Oracle services provider with deep expertise helping clients digitize core business operations and...
.
9 Sept 2024",0.296,2024-09-09
IBM,"Technology Magazine
IBM's Commitment to Data Governance for Positive AI Impact
Tech giant IBM's co-created Data Provenance Standards aim to improve transparency across the data ecosystem, prompting a safer foundation for AI growth.
.
11 Jul 2024",0.926,2024-07-11
IBM,"IBM
British Sugar
British Sugar partnered with IBM Consulting AI & Analytics and IBM Research to reduce its reliance on senior staff members and mitigate the risk of...
.
5 Dec 2024",-0.2732,2024-12-05
IBM,"Yahoo Finance
Are IONQ, FORM, and IBM Stocks Buys Ahead of the Quantum Revolution?
Quantum computing promises to revolutionize the way we process information by leveraging the principles of quantum mechanics. It will offer unprecedented...
.
27 Nov 2024",0.3818,2024-11-27
IBM,"Yahoo Finance
IBM Collaborates with AMD to Launch AI Accelerator Services on IBM Cloud
IBM plans to offer AMD Instinct MI300X accelerators as a service on IBM Cloud, available in the first half of 2025.
.
18 Nov 2024",0.0,2024-11-18
IBM,"plansponsor
DOL Supports Retirees’ Appeal to Revive Lawsuit Against IBM
The Department of Labor is urging the U.S. 2nd Circuit Court of Appeals to reopen a lawsuit filed against IBM Corp. and its plan administrator committee in...
.
29 Aug 2024",0.2732,2024-08-29
IBM,"SiliconANGLE
IBM brings its most powerful Granite AI models to Amazon’s cloud
With its latest Granite 3.0 models, available now in Amazon Bedrock and Amazon SageMaker, the company says it's offering access to some of the industry's most...
.
25 Nov 2024",0.6697,2024-11-25
IBM,"IBM Newsroom
IBM Receives FedRAMP Authorization for its Envizi ESG Data Capture, Analysis and Reporting Solution
IBM announced that its Envizi environmental, social, and governance (ESG) Suite received Federal Risk and Authorization Management Program (FedRAMP)...
.
24 Oct 2024",0.0516,2024-10-24
IBM,"IBM Newsroom
IBM Advances Secure AI, Quantum Safe Technology with IBM Guardium Data Security Center
IBM Guardium Data Security Center provides unified, SaaS-first data security capabilities amid hybrid cloud, AI, and quantum transformation.
.
22 Oct 2024",0.9201,2024-10-22
IBM,"The Register
IBM dream to gobble up HashiCorp challenged in court
HashiCorp and its executives have been sued by an investor who claims the public company's agreement to be acquired by IBM is designed to enrich corporate...
.
11 Jun 2024",0.5859,2024-06-11
IBM,"PR Newswire
Rensselaer Polytechnic Institute and IBM unveil the world's first IBM Quantum System One on a university campus
PRNewswire/ -- Today, Rensselaer Polytechnic Institute (RPI) and IBM (NYSE: IBM) officially unveiled the world's first-ever IBM quantum computer on a...
.
5 Apr 2024",0.0,2024-04-05
IBM,"Times of India
The 7-minute meeting where IBM employees at two divisions were laid off
Jonathan Adashek, Chief Communications Officer at IBM, disclosed job cuts within the company's marketing and communications units, during a 7-minute session.
.
28 Mar 2024",-0.296,2024-03-28
IBM,"SHRM
How IBM Incorporates Artificial Intelligence into Strategic Workforce Planning
IBM needed a robust, skill-based people strategy that would dramatically shift our workforce skill profile to meet business objectives and ensure success in...
.
22 Feb 2024",0.8957,2024-02-22
IBM,"SiliconANGLE
IBM misses on revenues but foresees rapid growth from HashiCorp purchase
As the first major information technology provider to report earnings in most quarters, IBM Corp. results are often seen as a bellwether for the industry's...
.
24 Apr 2024",0.4497,2024-04-24
