company,headline,sentiment,date
JPM,"Yahoo Finance
Wall Street Analysts Think JPMorgan Chase & Co. (JPM) Is a Good Investment: Is It?
According to the average brokerage recommendation (ABR), one should invest in JPMorgan Chase & Co. (JPM). It is debatable whether this highly sought-after...
.
18 Dec 2024",0.4404,2024-12-18
JPM,"Yahoo Finance
JPMorgan Chase & Co. (NYSE:JPM) is a favorite amongst institutional investors who own 74%
Key Insights Institutions' substantial holdings in JPMorgan Chase implies that they have significant influence over the...
.
15 Dec 2024",0.6808,2024-12-15
JPM,"The New York Times
1 Person Is Killed After Gas Explosion Rips Facade Off Ohio Building
A natural gas explosion ripped the facade off a building in downtown Youngstown, Ohio, on Tuesday afternoon, killing a 27-year-old man and injuring at least...
.
28 May 2024",-0.8126,2024-05-28
JPM,"BNN Bloomberg
JPMorgan Hires German Retail Head as It Prepares Chase Start
JPMorgan Chase & Co. has hired Daniel Llano Manibardo as head of consumer banking for Germany as it forges ahead with plans to launch a digital retail offering...
.
6 Sept 2024",0.0,
JPM,"Reuters
Exclusive: JPMorgan payments chief Georgakopoulos to leave, according to memo
JPMorgan Chase's global head of payments, Takis Georgakopoulos, is leaving to pursue other opportunities, prompting the bank to install new leaders atop one...
.
3 Jun 2024",0.4404,2024-06-03
JPM,"The Architect’s Newspaper
Debunking Foster + Partners’s claim that its JPMorgan Chase headquarters is highly sustainable
JPMorgan Chase and Foster + Partners claim that the new building is highly sustainable. Specifically, they state, in identical statements on their websites,...
.
3 Sept 2024",0.0,
JPM,"USA Today
JPMorgan CEO Jamie Dimon has no plans to join Trump administration, source says
JPMorgan Chase JPM.N CEO Jamie Dimon will remain at the bank and has no plans to join Donald Trump's administration despite questions about whether he would...
.
6 Nov 2024",0.0,2024-11-06
JPM,"CNBC
JPMorgan Chase is giving its employees an AI assistant powered by ChatGPT maker OpenAI
JPMorgan Chase is giving its employees an AI assistant powered by ChatGPT maker OpenAI ... JPMorgan Chase has rolled out a generative artificial intelligence...
.
9 Aug 2024",0.5859,2024-08-09
JPM,"Fox Business
JPMorgan Warns Customers: Prepare to Pay for Checking Accounts
Head of Chase says bank customers stand to lose out if Washington enacts new rules and it means your plain vanilla checking account may cost you more.
.
5 Jul 2024",-0.5423,2024-07-05
JPM,"Reuters
JPMorgan rehires scientist Sarah Kapnick in climate push, memo shows
JPMorgan Chase has rehired scientist Sarah Kapnick to advise its corporate and investment banking clients, according to an internal memo seen by Reuters on...
.
21 Oct 2024",0.0,2024-10-21
JPM,"Payments Dive
Top JPMorgan payments executive exits
Takis Georgakopoulos, a 17-year veteran at the bank, will be replaced by two colleagues being promoted to co-head roles.
.
4 Jun 2024",0.5574,2024-06-04
JPM,"J.P. Morgan
Outlook 2025: Building On Strength | Key Takeaways
Easing global monetary policy and increasing capital investment have the potential to drive growth in 2025. Read more here.
.
18 Nov 2024",0.7783,2024-11-18
JPM,"CIO Dive
JPMorgan Chase leads banking sector in AI adoption: report
The three largest US players, JPMorgan, Capital One and Wells Fargo, employ 17.5% of banking's AI talent pool, the analysis found.
.
17 Oct 2024",0.5859,2024-10-17
