company,headline,sentiment,date
V,"Digital Transactions
Visa Marks 10 Billion Tokens Since Launching the Technology a Decade Ago
Visa Inc. says the 10 billion tokens it's issued since 2014 are just the tipping point, as it expects Visa's tokenized transactions to grow exponentially over...
.
4 Jun 2024",0.0,2024-06-04
V,"Insider Monkey
Why Visa Inc. (V) Is the Best Beginner Stock to Invest in Now
The company's strong ecosystem and financial network make it one of the best stocks for beginners to invest in right now.
.
6 Dec 2024",0.9136,2024-12-06
V,"StopFake
Fake: The Visa Payment System is Returning to the Russian Market
Renewal of the trademark by the company does not prove that Visa is returning to Russia. Such an act by the company would be a direct violation of sanctions...
.
26 Sept 2024",-0.743,
V,"Bloomberg.com
Visa Shares Reverse Earlier Gains After Report of 1,400 Job Cuts
Visa Inc. shares reversed earlier gains after a report that the company plans to eliminate 1400 jobs and streamline its international business.
.
29 Oct 2024",0.7184,2024-10-29
V,"HR Katha
Visa is letting go 100s from workforce in Bay Area
Two senior vice presidents, five vice presidents, 29 senior directors and 23 directors are amongst the employees laid off by Visa in the Bay Area.
.
28 Nov 2024",0.0,2024-11-28
V,"Business Wire
V Investors Have Opportunity to Lead Visa Inc. Securities Fraud Lawsuit with the Schall Law Firm
The Schall Law Firm, a national shareholder rights litigation firm, reminds investors of a class action lawsuit against Visa Inc.
.
21 Nov 2024",-0.5267,2024-11-21
V,"PYMNTS.com
Visa Says European Antitrust Watchdog Investigating Its Acquirer Fees
Visa says European regulators are investigating the fees it charges retailers. The company revealed the European Commission's (EC) preliminary probe in its...
.
14 Nov 2024",-0.2732,2024-11-14
V,"GlobeNewswire
ROSEN, A TOP-RANKED LAW FIRM, Encourages Visa Inc.
NEW YORK, Dec. 20, 2024 (GLOBE NEWSWIRE) -- WHY: Rosen Law Firm, a global investor rights law firm, reminds purchasers of securities of Visa Inc....
.
20 Dec 2024",0.6249,2024-12-20
V,"Insider Monkey
Here’s Qualivian Investment Partners’ Thoughts on Visa (V)
Qualivian Investment Partners highlighted stocks like Visa Inc. (NYSE:V) in the third quarter 2024 investor letter.
.
17 Dec 2024",0.3612,2024-12-17
V,"Newsweek
DOJ Readies Major Antitrust Case Against Visa's Debit Empire
The US Department of Justice (DOJ) is poised to launch a significant antitrust lawsuit against Visa Inc., accusing the payment card services giant of illegally...
.
23 Sept 2024",0.5574,
V,"KRON4
Visa cutting over 200 Bay Area jobs just ahead of holidays
SAN FRANCISCO (KRON) — With the holiday season upon us, Visa is the latest Bay Area-based company to announce it will be cutting jobs.
.
26 Nov 2024",0.5106,2024-11-26
V,"Simply Wall Street
Visa Inc. (NYSE:V) Just Released Its Third-Quarter Results And Analysts Are Updating Their Estimates
Last week, you might have seen that Visa Inc. ( NYSE:V ) released its third-quarter result to the market. The early...
.
25 Jul 2024",0.0,2024-07-25
V,"Business Wire
V Investor Reminder: Kessler Topaz Meltzer & Check, LLP Reminds Investors of Deadline in Securities Fraud Class Action Lawsuit Filed Against Visa Inc.
The law firm of Kessler Topaz Meltzer & Check, LLP (www.ktmc.com) informs investors that a securities class action lawsuit has been filed against.
.
22 Nov 2024",-0.4939,2024-11-22
V,"Insider Monkey
Is Visa Inc. (V) the Most Held Stock by Hedge Funds?
We recently published a list of 12 Stocks Most Held by Hedge Funds. In this article, we are going to look at where Visa Inc. (NYSE:V) stands against other...
.
17 Dec 2024",0.0,2024-12-17
V,"The Business Journals
Visa and criminals both turn to AI in battle over fraud
Visa saw a tripling in suspected fraudulent transactions in the holiday shopping period from Black Friday to Cyber Monday.
.
20 Dec 2024",-0.91,2024-12-20
V,"GlobeNewswire
$170+ Bn Payment Gateway Global Market Opportunities and
This report describes and explains the payment gateway market and covers 2018-2023, termed the historic period, and 2023-2028, 2033F termed the forecast period.
.
22 Nov 2024",0.3818,2024-11-22
V,"YouTube · CNBC-TV18
The Indian Fintechs Have Opened Our Minds To QR Code Payments: Visa CEO Ryan Mcinerney | CNBC TV18
The CEO of Visa Inc has announced plans for investment in both the Generative AI sector and local fintechs. This strategic move aims to enhance curated...
.
25 Mar 2024",0.0,2024-03-25
V,"Bloomberg Law News
Airbnb Settles Antitrust Claims With Visa in Swipe Fee Case (1)
Airbnb Inc. has settled claims against Visa Inc. in multidistrict litigation brought by merchants that accuse the credit card giant of colluding on swipe fees.
.
30 Jul 2024",-0.296,2024-07-30
V,"The Acquirer's Multiple
Visa Inc (V) DCF Valuation: Is The Stock Undervalued?
Based on the DCF valuation, the stock is overvalued. The DCF value of $208.82 share is lower than the current market price of $273.79. The Margin of Safety is -...
.
17 Oct 2024",0.6369,2024-10-17
V,"Forbes
Mastercard Outpaces Visa In Growth With Low Volatility Risk
The credit card company is strong in emerging markets, with a rich but fair valuation.
.
13 Sept 2024",0.7845,
V,"PR Newswire
SHAREHOLDER ALERT: Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Visa Inc. of Class Action Lawsuit and Upcoming Deadlines - V
Pomerantz LLP announces that a class action lawsuit has been filed against Visa Inc. (Visa or the Company) (NYSE: V).
.
9 Dec 2024",-0.3751,2024-12-09
V,"Fox Business
Nancy Pelosi's husband sold more than $500K in Visa stock ahead of DOJ action
Paul Pelosi, the husband of former House speaker and current Rep. Nancy Pelosi, D-Calif., sold 2000 shares of Visa a few months before the company was sued...
.
25 Sept 2024",0.296,
V,"Sustainable Brands
Sustainable Brands Announces Appointment of Douglas Sabo, former Visa Chief Sustainability Officer, as Sustainable Living Executive-in-Residence | Sustainable Brands
Douglas Sabo, former Visa Chief Sustainability Officer, to support organization's initiatives to help make sustainable living more attractive, rewarding an.
.
8 Jul 2024",0.9056,2024-07-08
V,"Reuters
Visa launches flexible payments feature in US, UAE
Visa said on Tuesday it was rolling out a flexible payments feature in the U.S. and the United Arab Emirates, as it looks to capitalize on the growing...
.
12 Nov 2024",0.6808,2024-11-12
V,"KSNT 27 News
Investors who lost money on Visa Inc. should contact Levi & Korsinsky about an ongoing investigation - V
NEW YORK, NY / ACCESSWIRE / September 29, 2024 / Levi & Korsinsky notifies investors that it has commenced an investigation of Visa Inc. (""Visa Inc."")...
.
29 Sept 2024",-0.3182,
V,"Yahoo Finance
Here's Why Visa (V) is a Strong Growth Stock
The Zacks Style Scores offers investors a way to easily find top-rated stocks based on their investing style. Here's why you should take advantage.
.
5 Dec 2024",0.8519,2024-12-05
V,"GlobeNewswire
Visa Inc. Investors: Company Investigated by the Portnoy Law Firm
The Portnoy Law Firm advises Visa Inc. (Visa or the Company) (NYSE: V) investors that the firm has initiated an investigation into possible securities fraud.
.
4 Nov 2024",-0.3818,2024-11-04
V,"KOIN.com
Visa Inc. (V) Investors: January 21, 2025 Filing Deadline in Securities Class Action - Contact Kessler Topaz Meltzer & Check, LLP
Radnor, PA, December 7, 2024 - The law firm of Kessler Topaz Meltzer & Check, LLP (www.ktmc.com) informs investors that a securities class action lawsuit...
.
7 Dec 2024",0.5267,2024-12-07
V,"The Motley Fool
Is Visa Stock a Buy?
This perennial market-beater has faded a bit over the past few months, but that likely won't last. Payment processing network Visa (V -2.65%) continues to...
.
29 Jul 2024",-0.2382,2024-07-29
V,"Bloomberg.com
Visa, Coinbase Offer Real-Time Crypto Purchases Via Debit Cards
Visa Inc. customers with eligible debit cards will be able to deposit funds into their Coinbase Global Inc. accounts — sometimes instantly — via a...
.
29 Oct 2024",0.0,2024-10-29
V,"BNN Bloomberg
Visa Shares Reverse Earlier Gains After Report of 1,400 Job Cuts
Visa Inc. shares reversed earlier gains after a report that the company plans to eliminate 1400 jobs and streamline its international business.
.
29 Oct 2024",0.7184,2024-10-29
V,"Inc.com
Here’s Why Visa Is Reaching Out to Creators With New Payment Options
Visa explained that “creators can easily and securely pay and be paid with Visa's financial tools, resources and products made available to small businesses...
.
12 Nov 2024",0.6369,2024-11-12
V,"BNN Bloomberg
Visa Sued by US DOJ Over Antitrust Matter in Federal Court
The US Justice Department sued Visa Inc. over an antitrust matter, according to a filing in federal court in Manhattan.
.
24 Sept 2024",0.5574,
V,"The New York Times
Visa Faces an Antitrust Lawsuit by the Justice Dept.
The agency plans to argue that the company illegally penalizes customers that try to use rival payment processors.
.
23 Sept 2024",0.0258,
V,"Bloomberg.com
Visa (V) Profit Climbs on Stronger Payments Volume, Beats Estimates
Visa Inc., the world's biggest payments network, posted a fiscal fourth-quarter profit that beat Wall Street expectations as cross-border transactions...
.
29 Oct 2024",0.8126,2024-10-29
V,"Insider Monkey
Is Visa Inc. (V) the Best Safe Stock To Invest In For The Long Term in 2024?
In this article, we will look at where Visa Inc. (NYSE:V) ranks among 10 Safe Stocks To Invest In For The Long Term in 2024.
.
12 Oct 2024",0.875,2024-10-12
V,"Yahoo Finance
Shareholder Alert for Visa Inc. (NYSE:V)
According to the complaint, Visa intentionally misrepresented information in its financial statements submitted to the U.S. SEC (Securities and Exchange...
.
8 Dec 2024",0.0,2024-12-08
