company,headline,sentiment,date
3M Corporation,"Fierce Biotech News & Reports
Mystery solved: 3M unveils Solventum as name of planned healthcare spinoff
3M appears to have chosen the latter, with its upcoming healthcare company now being dubbed Solventum, according to an announcement Thursday.
.
17 Nov 2023",0.2732,2023-11-17
3M Corporation,"The Sydney Morning Herald
$58 billion day of reckoning looms for 3M over toxic ‘forever chemicals’
The chemical giant will be accused of deceiving the public about the risks of PFAS chemicals that have contaminated up to 98 per cent of the population.
.
8 Feb 2023",-0.743,2023-02-08
3M Corporation,"MN Dept. of Health
Oakdale and 3M Work Together to Remove Perfluorochemicals
A complete list of feature stories can be found on the Waterline webpage. Filters at the Oakdale Water Plant. A treatment plant using granular-activated...
.
13 Sept 2023",0.0,
3M Corporation,"The Healthcare Technology Report.
3M Unveils “Solventum” as Name for Independent Health Care Company Post Spin-Off
3M has unveiled the name “Solventum” for its upcoming independent health care company. The name, derived from the words “solving” and “momentum,” captures the...
.
27 Nov 2023",0.7506,2023-11-27
3M Corporation,"Healthcare Radius
3M India focuses on combo business model
3M India, in collaboration with 3M Company, have announced that it would continue with its combo business model that includes 'licensed manufacturer and...
.
15 Nov 2023",0.0,2023-11-15
3M Corporation,"Toxic-Free Future
What EPA must do now that 3M announced it will no longer make PFAS “forever chemicals”
When 3M announced last month that it would end sales and use of PFAS chemicals by the end of 2025, we cautiously applauded the move. While the company is...
.
27 Jan 2023",0.0772,2023-01-27
3M Corporation,"Yahoo Finance
The lasting damage 'forever chemicals' could do to American companies
""Forever"" chemicals are proving to be extremely costly to the companies that produced them. 3M (MMM) and Dupont (DD) have agreed to pay more than $15...
.
4 Sept 2023",-0.4927,
3M Corporation,"Pioneer Press
Business People: 3M names finance executive for its Health Care group
3M Co., Maplewood, announced Wayde McMillan as chief financial officer for the company's Health Care Business Group, effective Nov. 1.
.
5 Nov 2023",0.8591,2023-11-05
3M Corporation,"Toxic-Free Future
3M announces it will stop making PFAS “forever chemicals” by 2025
3M Statement follows increasing numbers of corporate commitments by major retailers and growing restrictions in state policies nationwide to ban toxic PFAS.
.
20 Dec 2022",-0.5574,2022-12-20
3M Corporation,"The Business Journals
3M will lay off 1,100 employees from headquarters
3M Co. will lay off about 1100 employees from its corporate headquarters. Previously the company said its Minnesota job cuts would be about 600.
.
2 May 2023",-0.296,2023-05-02
3M Corporation,"Alabama Political Reporter
3M to stop making PFAS chemicals that contaminate North Alabama water supply
3M will stop manufacturing toxic “forever chemicals” by 2025, the company announced in a statement days before Christmas.
.
6 Feb 2023",-0.5267,2023-02-06
3M Corporation,"Law Street Media
Analytics Reveal Firms at the Heart of Massive 3M Earplugs Lawsuits
3M is a giant manufacturing conglomerate involved in the fields of industry, worker safety, healthcare, and consumer goods. The litigation against them in...
.
29 Aug 2023",0.1027,2023-08-29
3M Corporation,"Fierce Biotech
3M rolls out skin-sticking adhesive allowing wearable monitors to last up to 4 weeks
3M has developed a new medical product with major staying power. The newest addition to the company's line of adhesives is designed to stay in place for up...
.
7 Feb 2023",0.0,2023-02-07
3M Corporation,"MPR News
3M to stop making 'forever chemicals' by end of 2025
Maplewood-based 3M says it will stop manufacturing PFAS, known as forever chemicals, by the end of 2025. In a news release Tuesday morning, the company said...
.
20 Dec 2022",-0.5267,2022-12-20
3M Corporation,"WSJ
3M Tries to Contain Legal Battles Over ‘Forever Chemicals,’ Earplugs
Manufacturer aims to blunt impact of liability claims with settlement deals and legal maneuvers.
.
3 Jan 2023",-0.34,2023-01-03
3M Corporation,"Bloomberg.com
3M Multibillion-Dollar Settlement Is Bad News for Its Dividend
3M announced a deal to pay as much as $12.5 billion over 13 years to resolve lawsuits from US cities that contend their drinking water supplies were polluted.
.
26 Jun 2023",-0.6908,2023-06-26
