company,headline,sentiment
American Express Company,"CNBC
American Express to buy restaurant booking platform Tock for $400 million
The credit card giant said it would buy the reservation, waitlist, and table management service in cash.
.
21 Jun 2024",0.3818
American Express Company,"The Points Guy
The complete guide to American Express Membership Rewards
With an American Express card that earns lucrative Membership Rewards points, cardholders can redeem points through Amex Travel for hotels (including vacation...
.
12 Aug 2024",0.7351
American Express Company,"Insider Monkey
American Express Company (AXP): Among the Best Fintech Stocks to Buy in 2024
The leadership position in providing payment products and services, strong growth momentum, and increased scale rank the firm among the 10 best fintech stocks...
.
14 Sept 2024",0.9468
American Express Company,"Eater
As American Express Acquires Tock, Who’s Winning the Reservation Wars?
The reservations system founded by restaurateur Nick Kokonas in 2014 has been acquired by American Express for $400 million.
.
21 Jun 2024",-0.0516
American Express Company,"The Points Guy
10 cards that compete with the Amex Platinum
Reconsidering your American Express Platinum Card due to the high annual fee? Consider applying for one of these travel rewards credit cards.
.
7 Nov 2024",0.6908
American Express Company,"Fortune
Have The Platinum Card® from American Express? Do these 4 things now or risk losing $649
Jasmin Baron's daughter is getting a Staub baking dish set for Christmas, thanks to American Express. Another one of her children got the same gift last...
.
20 Dec 2024",0.2732
American Express Company,"Reuters
AmEx to buy restaurant booking platform Tock for $400 mln
American Express is buying Squarespace-owned restaurant booking platform Tock for $400 million to expand its foothold in the dining industry,...
.
21 Jun 2024",0.3182
American Express Company,"Bankrate
Should you get the new Hilton Honors American Express Business Card?
The Hilton Honors American Express Business Card now comes with a $240 annual credit on eligible Hilton purchases. That's more than enough to offset the $195...
.
31 May 2024",0.8481
American Express Company,"Financial Post
Documenting the history of American Express as an in-house historian
NEW YORK (AP) — Ira Galtman is part of a small community of corporate archivists. They are historians, cataloguers and documentarians for large companies.
.
1 Jul 2024",0.0
American Express Company,"Business Wire
American Express Travel® Announces 2025 Trending Destinations
Today, American Express Travel revealed the next installment of its Trending Destinations list, highlighting the top ten must-visit places for 2025 wi.
.
3 Oct 2024",0.2023
American Express Company,"Simply Wall Street
Investor Optimism Abounds American Express Company (NYSE:AXP) But Growth Is Lacking
American Express Company's ( NYSE:AXP ) price-to-earnings (or ""P/E"") ratio of 21.6x might make it look like a sell...
.
23 Dec 2024",0.836
American Express Company,"FinTech Magazine
Top 100 Companies in FinTech 2024: American Express - No.5
FinTech Magazine's Top 100 Companies in FinTech honours American Express at Number 5 for 2024. Embracing the innovative nature of the fintech industry.
.
13 Nov 2024",0.8402
American Express Company,"PYMNTS.com
American Express Forms Data Sharing Partnership With MX
American Express has formed a deal with financial data company MX Technologies, providing financial management capabilities.
.
7 Nov 2024",0.4215
American Express Company,"American Express
5 brand-building tips from THE ICONIC Co-Founder Adam Jacobs
Adam Jacobs, Co-Founder of THE ICONIC and employment platform Hatch, shared a range of essential strategies for building a powerful brand that resonates deeply...
.
5 Sept 2024",0.6369
American Express Company,"CNBC TV18
American Express Gold Credit Card gets a makeover: Check revised fees and new benefits
The American Express Gold Card has undergone a major upgrade, offering enhanced rewards and a higher annual fee. New features include a welcome gift of 4000...
.
27 Jul 2024",0.9217
American Express Company,"American Express
15 NYC Restaurants for Your Next Visit
Explore our New York City travel guide for expert tips on where to eat, plus the elevated benefits that eligible Card Members enjoy when booking through...
.
29 Aug 2024",0.7003
American Express Company,"The Points Guy
How to use the Amex Platinum digital entertainment credit
The Platinum Card® from American Express is a top-tier premium travel rewards card with a $695 annual fee (see rates and fees).
.
18 Nov 2024",0.8176
American Express Company,"AP News
Cardmember spending drives American Express second-quarter profits soaring 39%
American Express said Friday second-quarter profits jumped 39% as the credit card company benefitted again from a broad increase in cardmember spending as...
.
19 Jul 2024",0.9081
American Express Company,"Yahoo Finance
Should You Buy American Express Stock Before 2025 Kicks Off?
Global integrated payments company American Express Company AXP shares have surged 62.1% so far this year, outperforming the industry and the S&P 500 Index.
.
17 Dec 2024",0.296
American Express Company,"Mint
American Express Platinum Travel vs. Marriott Bonvoy HDFC Card: Which hotel credit card wins?
American Express Platinum Travel Credit Card provides 48000 reward points and a Rs. 10000 Taj Stays voucher for Rs. 4 lakhs annual spends.
.
16 Dec 2024",0.9118
American Express Company,"The Points Guy
How to use your American Express Uber credits for rides and meals
The Uber credit on both the Amex Platinum and Amex Gold is one of the simplest to use for many cardholders, as it can be applied to Uber rides and Uber Eats...
.
9 Aug 2024",0.6894
American Express Company,"Business Wire
American Express and Boost Payment Solutions Bring Optimized Virtual Card Payments to Suppliers
As part of its ongoing investment in its B2B (business-to-business) network and in enhancing buyer and supplier capabilities, American Express (NYSE:
.
1 Oct 2024",0.7506
American Express Company,"Business Insider
American Express Transfer Partners: A Comprehensive Guide
Transfer American Express Membership Rewards points to airline and hotel partners with our comprehensive guide for maximum value from your rewards.
.
18 Jul 2024",0.891
American Express Company,"Yahoo Finance
American Express (AXP): 61% YTD Growth – What’s Fueling Its Continued Success?
In this article, we are going to take a look at where American Express Company (NYSE:AXP) stands against the other top performing dividend stocks in 2024.
.
26 Dec 2024",0.7964
American Express Company,"YouTube · Bloomberg Live
Bank of America, Kroger & American Express on Optimizing Customer Service With AI
Hari Gopalkrishnan, Chief Information Officer and Head of Consumer, Business & Wealth Management Technology, Bank of America; Jody Kalmbach,...
.
14 Nov 2024",0.7351
American Express Company,"The Motley Fool
Better Warren Buffett Stock: Visa vs. American Express
Warren Buffett watchers know that American Express (AXP -0.48%) is one the investing legend's favorite stocks. It's been a part of the Berkshire Hathaway...
.
13 Dec 2024",0.4588
American Express Company,"Stock Titan
American Express Sets Q4 2024 and Q1 2025 Earnings Release Dates: Key Financial Updates Coming
American Express (NYSE: AXP) has announced plans to host two live audio webcasts for its upcoming earnings releases. The first webcast, scheduled for...
.
13 Dec 2024",0.0
American Express Company,"TheStreet
American Express stock analyst flags growing problem
This is what could happen next to American Express shares.
.
22 Aug 2024",0.0516
American Express Company,"Bankrate
eBay Bans American Express cards In Latest Flash Point Over Fees
Retailers love to hate credit card processing fees, but they receive many benefits from accepting cards.
.
14 Jun 2024",0.8338
American Express Company,"Business Standard
Perks galore: Amex Platinum Card gets luxe upgrade, fees hiked to Rs 77,880
American Express India on Tuesday unveiled a revamped suite of benefits for its Consumer Platinum Card, offering cardholders an enhanced premium experience.
.
8 Oct 2024",0.3818
American Express Company,"American Express
Monique Herena Recognized with Top Honor by the National Academy of Human Resources
The National Academy of Human Resources (NAHR) recently inducted Monique Herena, American Express Chief Colleague Experience Officer, as a 2024 Fellow.
.
3 Dec 2024",0.6124
American Express Company,"The Paypers
Guavapay partners with American Express for payment acceptance options
MyGuava Business merchants and partners using online payment gateways and POS terminals will have the possibility to offer their customers the option to pay...
.
21 Nov 2024",0.4588
American Express Company,"The Points Guy
Who should (and shouldn’t) get the American Express Platinum?
It's easy to make the case that the Platinum Card from American Express pays for itself over time, but that doesn't necessarily mean it's right for you.
.
26 Nov 2024",0.2382
American Express Company,"Bankrate
Best Ways To Spend American Express Points
In most cases, your best value for American Express Membership Rewards points is redeeming them for travel. Amex offers a calculator that can help you...
.
24 Oct 2024",0.9506
American Express Company,"Forbes
American Express Platinum Card: Car Rental and Insurance Benefits
The cost of renting a car has increased dramatically since before the pandemic. While vehicle inventories are improving after many rental car companies...
.
26 Aug 2024",0.7579
American Express Company,"Business Insider
How to Maximize American Express Rewards: Benefits of Earning and Redeeming Amex Points
Unlock the full potential of American Express Membership Rewards by learning how to earn, redeem, and maximize points for travel, shopping, and more.
.
25 Jul 2024",0.8316
American Express Company,"Tekedia
American Express debuts credit card in Nigeria in partnership with O3 Capital
American Express Co. has made its debut in the Nigerian market, introducing its inaugural business credit card in collaboration with local neobank O3 Capital.
.
10 May 2024",0.6369
American Express Company,"Bankrate
American Express Membership Rewards vs. Chase Ultimate Rewards
Amex Membership Rewards and Chase Ultimate Rewards can both help you save on travel redemptions. Here's how to decide between them.
.
8 May 2024",0.9538
American Express Company,"AP News
Online marketplace eBay to drop American Express, citing fees, and says customers have other options
Online marketplace behemoth eBay said it plans to no longer accept American Express, citing what the company says are “unacceptably high fees” and that...
.
5 Jun 2024",-0.1779
American Express Company,"Ashurst
ASIC v AMEX Court orders first penalty under DDO regime of 8 million dollars
The Federal Court has issued its first pecuniary penalty for contraventions of the Design and Distribution Obligations regime by American Express.
.
24 Jul 2024",-0.7184
American Express Company,"PR Newswire
American Express India Unveils Enhanced Platinum Card®, Offering Consumers New Travel and Lifestyle Benefits
PRNewswire/ -- American Express India today announced a refreshed suite of benefits for its Consumer Platinum Card®, offering Card Members an enhanced blend...
.
8 Oct 2024",0.6369
American Express Company,"Yahoo Finance
Amex Platinum vs. Chase Sapphire Reserve: Elite travel cards with competing perks
The Platinum Card® from American Express and the Chase Sapphire Reserve® are among the most expensive credit cards on the market.
.
15 Aug 2024",0.4364
American Express Company,"BNN Bloomberg
Monzo Takes On Amex in Push to Bank More Small Businesses
Monzo Bank Ltd. will begin rolling out expense cards to small businesses across the UK in a push that has the upstart challenging the credit-card behemoth...
.
16 Oct 2024",0.1531
American Express Company,"The Points Guy
Everything you need to know about American Express’s baggage insurance plan
When you buy airfare with many American Express cards, your checked and carry-on baggage is automatically protected by Amex's baggage insurance plan.
.
18 Nov 2024",0.4404
American Express Company,"The Motley Fool
Is American Express Stock a Buy?
American Express' brand targets a more affluent cardholder base. The company expects to grow revenue and earnings by double digits this year.
.
14 Oct 2024",-0.4404
