company,headline,sentiment,date
Boeing Corporation,"Reuters Striking Boeing machinists' union in indirect talks with company, helped by US government A union representing striking machinists at Boeing said on Friday it is ""actively engaged in indirect discussions"" with the planemaker that are being... . 18 Oct 2024",0.6124,2024-10-18
Boeing Corporation,"Yahoo Finance Boeing (BA) Stock Trades Down, Here Is Why Shares of aerospace and defense company Boeing (NYSE:BA) fell 5.9% in the morning session after South Korea plans to inspect all Boeing 737-800 jets... . 30 Dec 2024",0.4019,2024-12-30
Boeing Corporation,"The New York Times Boeing’s New C.E.O. Calls for ‘Culture Change’ as Strike Vote Looms As Kelly Ortberg presented his strategic vision, more than 33000 striking employees of the aerospace manufacturer were expected to vote on a new contract. . 23 Oct 2024",-0.0258,2024-10-23
Boeing Corporation,"YouTube · KOMO News Boeing's new CEO visits Renton factory and seeks trust from company as new leader A new chief executive takes over at Boeing on Thursday, and he plans to walk the floor of the factory near Seattle that has become the heart of the... . 9 Aug 2024",0.5106,2024-08-09
Boeing Corporation,"ARY News Boeing company team arrives in Pakistan A team from the aircraft manufacturer giant Boeing has arrived in Pakistan, ARY News reported on Sunday, citing sources. . 4 Aug 2024",0.0,2024-08-04
Boeing Corporation,CBS News Boeing accepts plea deal stemming from 737 Max crashes The Justice Department and Boeing say the aerospace giant will plead guilty to criminal fraud involving two crashes of 737 Max jetliners that killed 346... . 8 Jul 2024,-0.8689,2024-07-08
Boeing Corporation,AeroTime Spirit AeroSystems CEO says new Boeing company will be ‘faster and more nimble’ Spirit AeroSystems CEO says new Boeing company will be 'faster and more nimble' ... Spirit AeroSystems CEO Pat Shanahan has said that the new Boeing company will... . 2 Jul 2024,0.4767,2024-07-02
Boeing Corporation,"Fox Business Boeing to layoff hundreds in Washington state as company-wide cuts continue Boeing is laying off 396 employees at locations in Washington state, Reuters reported on Monday. The move is part of a 10% global workforce cut. . 10 Dec 2024",-0.5106,2024-12-10
Boeing Corporation,"Reuters Boeing defense's business is 'core', but struggles abound for new CEO Boeing CEO Kelly Ortberg anticipates the planemaker's defense business will continue to struggle under the weight of budget-busting older contracts. . 23 Oct 2024",-0.6652,2024-10-23
Boeing Corporation,"Manufacturing.net Boeing Company Reveals Renderings for New X-Plane The company released renderings of the vertical lift concept, which depict a scalable technology for airborne logistics and personnel recovery missions in... . 17 Oct 2024",0.0,2024-10-17
Boeing Corporation,"Fast Company The top qualities Boeing’s next CEO needs most? Courage and humility “Boeing's next CEO needs to make very difficult decisions that will get push back,” says Bill George, executive fellow at Harvard Business School, former CEO of... . 3 Jul 2024",0.3612,2024-07-03
Boeing Corporation,"Fast Company Spirit’s CEO is in the spotlight as Boeing searches for new leadership Several potential candidates have emerged, including Patrick Shanahan, who has been running Spirit AeroSystems for the past nine months. Other candidates... . 2 Jul 2024",0.1779,2024-07-02
