company,headline,sentiment,date
Caterpillar Inc.,"Caterpillar Inc
Caterpillar Hosts First-Ever Dealer Technician Challenge
This hands-on, skills-based competition will test the technicians' agility, resilience and versatility,” said Caterpillar Global Service Vice President Henry...
.
12 Aug 2024",0.0772,24-08-12
Caterpillar Inc.,"Event Marketer
Digging Deep into Tech: How Brands Showcased Heavy Equipment at MINExpo 2024
The world's largest mining event, MINExpo International 2024, more than doubled attendance since its last rendition in 2021, bringing about 45000.
.
20 Oct 2024",0.0,24-10-20
Caterpillar Inc.,"International Mining
Caterpillar reports better price realisation, continued autonomy growth & electrification progress
Caterpillar Inc has released its 2023 Annual Report, Sustainability Report, Diversity & Inclusion Report and Lobbying Report. Starting with the full annual...
.
8 May 2024",0.7906,24-05-08
Caterpillar Inc.,"Middle East Eye
Norway's largest pension fund divests stake in Caterpillar over Israeli settler expansion
KLP cites company's involvement in Israeli rights abuses against Palestinians in the West Bank for divestment decision. A Caterpillar Inc. 777 mining haul...
.
26 Jun 2024",-0.5574,24-06-26
Caterpillar Inc.,"https://www.wibw.com
Wamego Caterpillar plant listed for sale
The Pottawatomie...
.
20 Nov 2024",0.0,24-11-20
Caterpillar Inc.,"PR Newswire
Caterpillar Inc. Maintains Dividend
The Board of Directors of Caterpillar Inc. (NYSE: CAT) voted today to maintain the quarterly dividend of one dollar and forty-one cents ($1.41) per share of...
.
10 Dec 2024",0.296,24-12-10
Caterpillar Inc.,"Forbes
Ex-Dividend Reminder: Caterpillar, Graco And Costamare
On 10/21/24, Caterpillar, Graco and Costamare will all trade ex-dividend for their respective upcoming dividends.
.
17 Oct 2024",0.4215,24-10-17
Caterpillar Inc.,"Campus Reform
The New School Students for Justice in Palestine demands divestment over usage of Caterpillar machinery
The New School Students for Justice in Palestine have criticized their institution for alleged connections to Caterpillar Inc., claiming Israel uses...
.
17 Nov 2024",0.6486,24-11-17
Caterpillar Inc.,"Fox Business
Caterpillar makes policy changes in yet another corporate DEI rollback
Caterpillar is rolling back some of its DEI policies following an internal review, with senior leaders required to approve participation in external surveys...
.
20 Sept 2024",0.0,
Caterpillar Inc.,"https://www.wibw.com
City of Wamego weighs in on Caterpillar Inc‘s decision to close Wamego facility
631 SW Commerce Pl....
.
7 Jun 2024",0.0,24-06-07
Caterpillar Inc.,"HR Grapevine
Mothballed | Caterpillar changes stance on DEI policies
Heavy plant manufacturer Caterpillar, has seemingly become the latest company to succumb to pressure from social media activist Robby Starbuck,...
.
23 Sept 2024",-0.296,
Caterpillar Inc.,"U.S. Department of Labor (.gov)
Caterpillar to pay $800K to resolve racial hiring discrimination at Decatur, Illinois, facility alleged in federal compliance review
DECATUR, IL – The U.S. Department of Labor has entered into a conciliation agreement with Caterpillar Inc. to resolve alleged systemic hiring discrimination...
.
21 May 2024",0.7906,24-05-21
Caterpillar Inc.,"The Malaysian Reserve
Caterpillar and Trimble Extend Long-Standing Joint Venture to Accelerate Grade Control Innovation and Customer Adoption Across the Construction Sector
Renewed agreement enhances grade control solutions and expanded distribution options IRVING, Texas and WESTMINSTER, Colo., Oct. 2, 2024 /PRNewswire/ --
.
2 Oct 2024",0.802,24-10-02
Caterpillar Inc.,"Canadian Mining Journal
Caterpillar, Vale testing electric and ethanol-powered trucks
Caterpillar and Vale have agreed to test battery electric haul trucks and energy transfer systems, s well as conduct studies on ethanol-powered trucks.
.
30 Apr 2024",0.6486,24-04-30
Caterpillar Inc.,"Al Jazeera
Norwegian pension fund dumps Caterpillar over Gaza war risks
KLP sold $69m stake over fears bulldozers contributing to 'human rights abuses' against Palestinians.
.
26 Jun 2024",-0.9337,24-06-26
Caterpillar Inc.,"KCLY Radio
Caterpillar, Inc. To Close Its Wamego Facility in 2025
Caterpillar, Inc. announced that it will close its Wamego facility next year. The closure will occur in mid-2025 according to a company spokesperson.
.
7 Jun 2024",0.0,24-06-07
Caterpillar Inc.,"International Mining
Caterpillar expands its tech capacity in Bangalore
Caterpillar Inc. has inaugurated a new office in the suburb of Whitefield, Bangalore (Bengaluru) in Karnataka state to expand its digital capabilities.
.
18 Dec 2024",0.4019,24-12-18
Caterpillar Inc.,"Reuters
BHP to test Caterpillar's new energy transfer system on its mining trucks
BHP Group said on Thursday it plans to test U.S.-based equipment manufacturer Caterpillar's new technology, which transfers energy to diesel-electric and...
.
26 Sept 2024",0.4939,
Caterpillar Inc.,"Kidscreen
Blippi scoops up new content partners
Blippi's 10th birthday bash continues to grow, with new partners Formula 1, Caterpillar and actor/entrepreneur Amanda Seyfried joining the party.
.
23 Aug 2024",0.4019,24-08-23
Caterpillar Inc.,"Power Progress
Caterpillar hybrid microgrid power solution for telecom towers
Caterpillar Inc. has introduced an integrated microgrid power system for telecommunications towers that it said is capable of reducing diesel fuel...
.
20 Sept 2024",0.7717,
Caterpillar Inc.,"San Antonio Express-News
Texas oil field company blames litigation with Holt Cat, others for bankruptcy
Holt Cat denies the allegations made against it by Oryx Oilfield Services Inc. and affiliated companies that filed for bankruptcy this month.
.
24 Jul 2024",-0.743,24-07-24
Caterpillar Inc.,"Al Jazeera
As Norway’s largest private pension fund, we are divesting from Caterpillar
There is no excuse to be silent over the role of companies linked to Israel's illegal actions in the occupied Palestinian territory and its war in Gaza.
.
26 Jun 2024",-0.8555,24-06-26
Caterpillar Inc.,"Electrek
Caterpillar is putting MASSIVE 240-ton electric haul truck to work in Vale mine
Mining company Vale is turning to Caterpillar to provide this massive, 240-ton electric haul truck in a bid to slash carbon emissions.
.
18 May 2024",-0.2732,24-05-18
Caterpillar Inc.,"Yahoo Finance
Is the Options Market Predicting a Spike in Caterpillar (CAT) Stock?
Investors in Caterpillar Inc. CAT need to pay close attention to the stock based on moves in the options market lately. That is because the Jan.
.
17 Dec 2024",-0.1027,24-12-17
Caterpillar Inc.,"Construction Equipment
Operators from 40 Countries Compete in Caterpillar's Global Operator Challenge
The challenge marks the company's third.
.
9 Dec 2024",0.1531,24-12-09
Caterpillar Inc.,"Yahoo Finance
Why Is Caterpillar Inc. (CAT) Among Ken Fisher’s Top Stock Picks Heading Into 2025?
In this article, we are going to take a look at where Caterpillar Inc. (NYSE:CAT) stands against Ken Fisher's other top stock picks.
.
2 Dec 2024",0.3818,24-12-02
Caterpillar Inc.,"Nasdaq
Caterpillar Stock: Analyst Estimates & Ratings
Caterpillar Inc. (CAT), based in Irving, Texas, is a leading manufacturer of construction and mining equipment, off-highway diesel and natural gas engines,...
.
18 Nov 2024",0.3612,24-11-18
Caterpillar Inc.,"Construction Equipment
Caterpillar Touts Mining Technology Prior to MINExpo
Cat Precision Mining is designed to improve and streamline every step of the mining process, from extraction to processing.
.
23 Sept 2024",0.4215,
Caterpillar Inc.,"Global Mining Review
Caterpillar launches autonomous off-highway truck at Luck Stone Quarry
Caterpillar Inc. has announced it has successfully demonstrated the fully autonomous operation of its Cat 777 off-highway truck.
.
8 Nov 2024",0.7351,24-11-08
Caterpillar Inc.,"Benzinga
Earnings Season Countdown: 4 Stocks Poised for Growth - Caterpillar (NYSE:CAT), Amazon.com (NASDAQ:AMZN)
Investors are about 10 days from the start of the third quarter earnings season. This can be volatile for stocks as companies provide their financial data...
.
30 Sept 2024",0.5574,
Caterpillar Inc.,"Scriptype
Ohio CAT expands footprint with acquisition/demolition
by Dan Holland. Broadview Heights city officials joined with employees of Ohio CAT, located at 3993 E. Royalton Rd., for a demolition event of The Atrium...
.
19 Jun 2024",0.1027,24-06-19
Caterpillar Inc.,"Hargreaves Lansdown
Caterpillar: Q3 misses as equipment demand slows | HL
Full-year guidance was given a tweak as a slowdown in machinery demand caused Caterpillar to miss expectations over the third quarter.
.
29 Oct 2024",-0.5423,24-10-29
Caterpillar Inc.,"The Motley Fool
Caterpillar Stock: Buy, Sell, or Hold?
Analyzing the investment case for the high-quality industrial company.
.
5 May 2024",-0.4404,24-05-05
Caterpillar Inc.,"Reuters
Caterpillar beats profit estimates as strong pricing cushions easing demand
Caterpillar beat Wall Street estimates for second-quarter profit on Tuesday, as higher prices and easing manufacturing costs countered moderating demand for...
.
6 Aug 2024",0.8779,24-08-06
Caterpillar Inc.,"FXStreet
Caterpillar Inc. (CAT) Elliott Wave technical analysis [Video]
CAT Elliott Wave technical analysis – One-hour chart. The 1-hour chart reveals a sideways wave iv that is showing a corrective pattern, nicely alternating with...
.
30 Oct 2024",0.4404,24-10-30
Caterpillar Inc.,"MarketWatch
Caterpillar’s stock bounces back after another profit beat offset a revenue miss
Shares of Caterpillar Inc. bounced off a six-month low Tuesday, after the construction- and mining-equipment company reported another quarterly adjusted profit...
.
6 Aug 2024",0.34,24-08-06
Caterpillar Inc.,"International Mining
Caterpillar launches ‘Pathways To Sustainability’ – an energy transition program
Caterpillar Inc has announced the formation of a new educational program designed to support mining, quarry and aggregate industry customers on their energy...
.
21 May 2024",0.5859,24-05-21
Caterpillar Inc.,"The HR Digest
Discrimination at Decatur—Caterpillar Hiring Case Settled
The U.S. Department of Labor has concluded the Caterpillar hiring discrimination lawsuit with an agreement that states the manufacturing company will pay...
.
3 Jun 2024",0.3182,24-06-03
Caterpillar Inc.,"San Antonio Express-News
Comal County doles out tax breaks to Caterpillar Inc. for 25 new jobs, factory expansion
Comal County doles out tax breaks to Caterpillar Inc. for 25 new jobs, factory expansion.
.
29 Apr 2024",0.0,24-04-29
Caterpillar Inc.,"Seeking Alpha
Caterpillar Q3: There Are More Pressing Issues Than The Earnings Miss (NYSE:CAT)
Caterpillar Inc.'s Q3 results were mixed, with some positives, but stretched valuations warrant caution for long-term investors. Read more about CAT stock...
.
30 Oct 2024",0.2263,24-10-30
Caterpillar Inc.,"Peoria Journal Star
Four deaths since 2021: Timeline of accidents at Caterpillar facilities near Peoria
Justin Perry, a 36-year-old subcontractor from Michigan, was killed Aug. 7 after he got stuck underneath an electrical box at the company's proving ground...
.
13 Aug 2024",-0.8316,24-08-13
Caterpillar Inc.,"Reuters
Caterpillar to pay $800,000 to resolve racial discrimination case, says Labor Dept
Heavy equipment company Caterpillar has agreed to pay $800000 to resolve allegations of systemic hiring discrimination against Black applicants at an...
.
21 May 2024",0.6705,24-05-21
Caterpillar Inc.,"Transport Topics
Caterpillar Volumes Slip From Year-Ago Levels
Caterpillar Inc. reported first-quarter results that showed machinery sales slipping from a year earlier and warned that the trend is expected to continue...
.
25 Apr 2024",-0.2732,24-04-25
Caterpillar Inc.,"Barron's
Caterpillar Stock Is Digging Out of the Mining Malaise. Why It’s Time to Buy.
The construction business is strong. The real growth for the company will come from a rebound in the mining sector, fueled by demand from China and...
.
26 Sept 2024",0.6597,
Caterpillar Inc.,"Reuters
Caterpillar forecast hit by lower N. America stockpiling, weak Europe, Asia/Pacific
Caterpillar on Wednesday trimmed its annual revenue forecast again on weakness in Europe and Asia/Pacific and lower equipment stocking by independent...
.
30 Oct 2024",-0.8442,24-10-30
Caterpillar Inc.,"For Construction Pros
Caterpillar Releases CG260 Gas Generator Set with Hydrogen Capabilities From: Caterpillar - Cat
Designed for 50 or 60 Hz applications, the 12- and 16-cylinder versions of the Cat CG260 are approved to operate on gas containing up to 25% hydrogen by volume.
.
21 Jun 2024",0.4215,24-06-21
Caterpillar Inc.,"Construction Equipment Guide
H.O. Penn Machinery Talks Cat Rebuilds at Subway Series : CEG
H.O. Penn Machinery hosted a Cat Certified Rebuild event at a Mets-Yankees game, showcasing benefits to customers. Program features updates, new parts,...
.
25 Jul 2024",0.3818,24-07-25
Caterpillar Inc.,"KMPH
Fresno resident competes at Caterpillar's first global challenge for dealer technicians
Fresno Mechanic Jerrod Hood got the chance to display his agility, resilience, and versatility at Caterpillar's inaugural Global Dealer Technician Challenge in...
.
12 Dec 2024",0.3818,24-12-12
Caterpillar Inc.,"Stock Titan
Kennametal Earns Elite Supplier Status from Caterpillar, Showcases Manufacturing Excellence
Kennametal secures top supplier recognition from Caterpillar Inc., highlighting innovative solutions and important support for C27B and C32 cylinder head...
.
13 Nov 2024",0.936,24-11-13
Caterpillar Inc.,"Nasdaq
What to Expect From Caterpillar's Next Quarterly Earnings Report
Caterpillar is all set to announce its third-quarter results later this month, with analysts predicting a single-digit decline in the company's earnings.
.
16 Oct 2024",0.0,24-10-16
Caterpillar Inc.,"Seguin Today
Caterpillar to invest millions here in Guadalupe County
Caterpillar Inc. recently announced a $90 million investment to prepare its facilities in Schertz and Seguin to produce the new diesel engine.
.
21 May 2024",0.0,24-05-21
Caterpillar Inc.,"StockNews
CAT: Does Caterpillar's Performance Make It a Good Investment?
Caterpillar Inc.(NYSE:CAT): Caterpillar (CAT)'s first quarter results exceeded analysts' expectations with a strong bottom-line performance.
.
27 Jun 2024",0.7351,24-06-27
Caterpillar Inc.,"Caterpillar Inc
Caterpillar Reports Third-Quarter 2024 Results
Caterpillar Inc. announced third-quarter 2024 sales and revenues.
.
30 Oct 2024",0.0,24-10-30
Caterpillar Inc.,"KABB
Caterpillar brings $90M to Schertz and Seguin facilities
Caterpillar Inc. recently announced a $90 million investment to prepare its facilities in Schertz and Seguin to produce the all-new Cat C13D industrial engine.
.
19 May 2024",0.0,24-05-19
Caterpillar Inc.,"GuruFocus
Caterpillar Inc. Q2 2024 Earnings: GAAP EPS of $5.48, Adjusted E
Caterpillar Inc. Q2 2024 Earnings: GAAP EPS of $5.48, Adjusted EPS of $5.99, Revenue of $16.7 Billion Exceeds Estimates. Second Quarter 2024 Earnings Overview.
.
6 Aug 2024",0.0,24-08-06
Caterpillar Inc.,"World Socialist Web Site
“You can’t replace a human”: Anger erupts over death of Caterpillar worker killed by molten iron in Illinois foundry
Workers have responded with anger to the death of 28-year-old Caterpillar worker Daulton Simmers at the foundry in Mapleton, Illinois.
.
9 Jun 2024",-0.967,24-06-09
Caterpillar Inc.,"Seeking Alpha
Caterpillar: 4 Major CATalysts (NYSE:CAT)
Central bank rate cuts and China's significant stimulus package are expected to boost economic activity and CAT's revenue growth. Explore more details here.
.
23 Oct 2024",0.5994,24-10-23
Caterpillar Inc.,"YouTube · KSAT 12
Caterpillar investing $90 million into Seguin and Schertz facilities, should create more jobs
Caterpillar Inc. is investing millions of dollars to create a new industrial engine, so more job opportunities could be coming to South Central Texas.
.
7 Jun 2024",0.7463,24-06-07
Caterpillar Inc.,"IndustryWeek
Caterpillar, ABB, L3Harris: How Industry Leaders Are Scaling Sustainability
Here's an analysis of how initiatives in each of these areas contributes to sustainability programs and their impact.
.
4 Jun 2024",0.0,24-06-04
Caterpillar Inc.,"Al Jazeera
Biden (maybe) wants Israel to stop using US bulldozers for ethnic cleansing
But the outgoing US president's support for all other aspects of Israel's genocide remains ironclad.
.
12 Nov 2024",0.6956,24-11-12
Caterpillar Inc.,"Investing.com
Caterpillar director Daniel Dickinson sells $543,400 in shares
Daniel M. Dickinson, a director at Caterpillar Inc. (NYSE:CAT), recently sold 1,300 shares of the company's common stock, according to a filing with the...
.
7 Nov 2024",0.5267,24-11-07
Caterpillar Inc.,"Caterpillar Inc
Caterpillar Inc. to Announce Third-Quarter 2024 Financial Results
Caterpillar Inc. (NYSE: CAT) will release third-quarter 2024 financial results at 5:30 am CDT on Wednesday, Oct. 30.
.
16 Oct 2024",0.0,24-10-16
Caterpillar Inc.,"Caterpillar Inc
Caterpillar Inc. Increases Dividend and Increases Share Repurchase Authorization
The Board of Directors of Caterpillar Inc. (NYSE: CAT) voted today to raise the quarterly dividend by eleven cents, an 8% increase, to one dollar and forty-one...
.
12 Jun 2024",0.5423,24-06-12
Caterpillar Inc.,"Modern Materials Handling
60 Seconds with Denise Johnson of Caterpillar Inc.
From the June 2024 Issue of. Modern Materials Handling · Group president of Resource Industries at Caterpillar Inc. · Irving, Texas · Thirty years in...
.
4 Jun 2024",0.0,24-06-04
Caterpillar Inc.,"Caterpillar Inc
Caterpillar Launches ‘Pathways to Sustainability’ – an Energy Transition Program
FOR IMMEDIATE RELEASE. IRVING, Texas, May 20, 2024 – Caterpillar Inc. (NYSE: CAT) announced the formation of a new educational program designed to support...
.
20 May 2024",0.2732,24-05-20
Caterpillar Inc.,"The Globe and Mail
Caterpillar dealer Finning International’s stock needs to push past a barrier
Finning International Inc. Vancouver. Revenue (2023) $9.5 billion. Profit (2023) $523 million. Three-year share price gain 20%. P/E ratio (trailing) 11.3.
.
22 Apr 2024",0.7906,24-04-22
Caterpillar Inc.,"Insider Monkey
10 Best Heavy Equipment and Industrial Machinery Stocks to Buy
Caterpillar Inc. (NYSE:CAT) is engaged in manufacturing and selling construction and mining equipment, off-highway diesel and natural gas engines, industrial...
.
21 Dec 2024",0.8555,24-12-21
Caterpillar Inc.,"International Mining
First Early Learner Cat 793 XE battery-electric truck arrives at Newmont Cripple Creek and Victor
Newmont Corporation has announced the commissioning of its first battery-electric large mining truck at the Cripple Creek and Victor (CC&V) mine in Teller...
.
30 Oct 2024",0.0,24-10-30
Caterpillar Inc.,"Engineering.com
Caterpillar, Trimble Extend Long-Standing Joint Venture
Caterpillar Inc. and Trimble announced the extension of their long-standing joint venture. The agreement includes expanded distribution of grade control...
.
16 Oct 2024",0.5994,24-10-16
Caterpillar Inc.,"African Review
Hybrid microgrid transforms telecom power
Caterpillar Inc. has introduced an innovative integrated microgrid power system designed for telecommunications towers. This system is capable of reducing...
.
12 Sept 2024",0.6705,
Caterpillar Inc.,"The Arkansas Democrat-Gazette
Caterpillar’s North Little Rock facility celebrates production of 15,000th machine
The Caterpillar Inc. North Little Rock facility celebrated a milestone Thursday with the completion of its 15000th machine.
.
8 Aug 2024",0.7828,24-08-08
Caterpillar Inc.,"Mining Digital
Top 10: Mining Equipment Manufacturers
Mining Digital highlights the top 10 mining equipment manufacturers that are at the forefront of innovation and sustainability.
.
8 Aug 2024",0.6369,24-08-08
Caterpillar Inc.,"MarketWatch
Caterpillar’s stock falls after new bear calls out ‘mounting risks’ to earnings
Shares of Caterpillar Inc. pulled back from a record level on Monday, after an analyst's warning to sell ahead of earnings, citing valuation and signs of...
.
14 Oct 2024",-0.0516,24-10-14
Caterpillar Inc.,"Yahoo Finance
Caterpillar (CAT) Registers a Bigger Fall Than the Market: Important Facts to Note
In the latest trading session, Caterpillar (CAT) closed at $375.76, marking a -0.84% move from the previous day.
.
17 Dec 2024",0.2023,24-12-17
Caterpillar Inc.,"The Business Journals
Caterpillar investing $90M to upgrade production capabilities in Schertz, Seguin
It's the second expansion at the Schertz facility in two years for Irving-based Caterpillar Inc. Caterpillar has the largest market cap of any publicly...
.
23 May 2024",0.0,24-05-23
Caterpillar Inc.,"Investing.com
Barclays reaffirms Equalweight on Caterpillar stock, sees copper as smaller but growing segment
On Wednesday, Barclays (LON:BARC) maintained its Equalweight rating on Caterpillar Inc. (NYSE:NYSE:CAT), with a steady price target of $45.00.
.
13 Nov 2024",0.2617,24-11-13
Caterpillar Inc.,"Daily Maverick
Saudi Arabian Firm in Talks to Buy South Africa’s Barloworld
Saudi Arabia's Zahid Group is in talks to acquire an African distributer of Caterpillar Inc.'s equipment, according to people with knowledge of the matter.
.
6 Aug 2024",0.0258,24-08-06
Caterpillar Inc.,"Brunel University
Optimising global transportation networks
Optimisation saves Caterpillar Inc. over $1,12bn across the global supply chain.
.
8 Jul 2024",0.6486,24-07-08
Caterpillar Inc.,"Schaeffer's Investment Research
Bear Note Weighs on Outperforming Caterpillar Stock
Shares of construction-equipment maker Caterpillar Inc. (NYSE:CAT) are 3.5% lower at $387.97 this morning, after suffering a bear note from Morgan Stanley.
.
14 Oct 2024",-0.4767,24-10-14
Caterpillar Inc.,"Yahoo Finance
Is Caterpillar Inc. (CAT) Among The Best Heavy Equipment and Industrial Machinery Stocks to Buy?
In this article, we are going to take a look at where Caterpillar Inc. (NYSE:CAT) stands against the other heavy equipment and industrial machinery stocks.
.
23 Dec 2024",0.6369,24-12-23
Caterpillar Inc.,"International Mining
Caterpillar makes ore sensing move with IMA Engineering alliance
Caterpillar Inc has announced a new alliance with IMA Engineering to enhance Caterpillar's innovative Cat® Precision Mining initiative.
.
7 Oct 2024",0.4404,24-10-07
Caterpillar Inc.,"Engineering.com
Caterpillar, Trimble Expand Partnership
Caterpillar Inc. and Trimble announced the extension of their long-standing joint venture. The agreement includes expanded distribution of grade control...
.
3 Oct 2024",0.6705,24-10-03
Caterpillar Inc.,"Forbes
Which Industrial Sector Heavyweight Looks Better: Deere Or Caterpillar?
We believe Deere stock (NYSE: DE) is a better pick than its peer, Caterpillar stock (NYSE: CAT) for the next three years.
.
3 Sept 2024",0.7003,
Caterpillar Inc.,"PR Newswire
The Future Starts Today at MINExpo 2024 as Caterpillar Unveils the Latest Technologies, Services and Customized Solutions for Mining Customers Globally
PRNewswire/ -- Caterpillar Inc. (NYSE: CAT) will immerse visitors in the mine site of the future at MINExpo 2024, featuring industry-leading technologies,.
.
24 Sept 2024",0.1779,
Caterpillar Inc.,"Power Progress
Caterpillar breaks ground on large engine campus expansion
Caterpillar Inc. announced last week that it has broken ground on a major expansion at its Lafayette, Ind. large engine facility.
.
19 Aug 2024",-0.0772,24-08-19
Caterpillar Inc.,"WEEK | 25 News Now | Peoria, IL
Caterpillar confirms temporary employee layoff in East Peoria
PEORIA (25News Now) - A ...
.
25 Jul 2024",0.0,24-07-25
