company,headline,sentiment,date
Chevron,"Fox Business Chevron oil drilling efforts in Venezuela blasted as 'stupidity,’ nonsensical Chevron oil drilling efforts in Venezuela blasted as 'stupidity,' nonsensical · Biden administration scrambles to keep energy costs low as Chevron gets green... . 28 Nov 2022",0.0,2022-11-28
Chevron,"The Motley Fool Prediction: Given Its History, Chevron Will Buy This High-Yield Dividend Stock Next Key Data Points ... Hess currently owns a 37.8% interest in Hess Midstream, which Chevron will acquire when it closes the deal. Private equity giant Global... . 27 Oct 2023",0.0258,2023-10-27
Chevron,"WSJ Chevron, Waiting It Out in Venezuela, Tells U.S. Now Is the Time to Pump Oil Trump Reverses Course on Venezuela, Revoking Chevron Oil License ... The move appears to end the U.S. company's work in the oil-rich country and was prompted by... . 22 Mar 2022",0.0,2022-03-22
Chevron,E&E News by POLITICO How SCOTUS gutting Chevron could haunt Republicans The Supreme Court's move to hobble agencies like EPA could undercut the Biden administration's climate agenda — and GOP presidents who might seek to unwind it. . 16 May 2023,0.5267,2023-05-16
Chevron,"MarketWatch Chevron to move to Texas from California amid another tough quarter for its refining business Referenced Symbols ... Shares of Chevron Corp. dropped toward a five-month low on Friday, after the oil and gas giant reported second-quarter revenue that beat... . 2 Aug 2024",-0.1027,2024-08-02
Chevron,"Offshore-Energy.biz Is Chevron going back to the drawing board for gas development off Cyprus? Chevron Cyprus Limited, a subsidiary of the US-headquartered oil major Chevron, and its partners will need to engage in further talks with the country's... . 28 Aug 2023",0.128,2023-08-28
Chevron,"Atlantic Council Chevron deference is dead—and US climate action hangs in the balance In a seismic ruling, the US Supreme Court overturned the long-standing “Chevron deference” in its decision for Loper Bright Enterprises v. Raimondo. . 11 Jul 2024",0.7579,2024-07-11
Chevron,"Reuters Chevron readies new oil drilling push in Venezuela to boost output Chevron's production target of reaching 200,000 bpd by the end of next year could go far to helping Venezuela achieve its aim to surpass 1 million bpd, from an... . 25 Sept 2023",0.6908,
Chevron,"Broadcast Law Blog What Does the Supreme Court’s Review of the Chevron Doctrine Mean for Media Companies Challenging Decisions of the FCC and Other Government Agencies? The “Chevron Doctrine,” says that the courts will defer to the decision of an administrative agency interpreting an ambiguous Congressional statute. . 8 Feb 2024",0.4588,2024-02-08
Chevron,Fox Business Chevron to acquire Hess in $53 billion deal Chevron to acquire Hess in $53 billion deal · John Hess to join Chevron Board of Directors in deal expected to close in early 2024 · Investors need to prepare... . 23 Oct 2023,0.296,2023-10-23
Chevron,"WSJ Opinion | Biden, Chevron’s Oil, and Venezuela Chevron's production is generating more than $100 million a month in income to the Maduro regime. We don't usually say this, but Mr. Biden might listen to... . 30 Sept 2024",0.0,
Chevron,"LPGA Lilia Vu Statement on Chevron Championship Withdrawal “I am so sorry to have to withdraw from The Chevron Championship, as I was really looking forward to defending my first major title. I have been dealing with a... . 18 Apr 2024",0.632,2024-04-18
Chevron,Reuters Chevron says natgas flow resumes through Israel-Egypt pipeline Chevron (CVX.N) said on Tuesday that natural gas flows through the East Mediterranean Gas (EMG) pipeline from Israel to Egypt had resumed after a month-long... . 14 Nov 2023,0.3612,2023-11-14
Chevron,"Chevron Chevron and JERA to explore CCUS in the U.S. & Australia JERA and Chevron have worked together to bring stable and reliable LNG to our customers over the years, and this CCS collaboration further demonstrates our... . 7 Mar 2023",0.296,2023-03-07
Chevron,"The Motley Fool Chevron's CEO Says No More U.S. Oil Refineries. What Should Energy Investors Do? How to invest in the refining boom. The U.S. hasn't built a new refinery in decades. Given the current environment, it likely won't build another one anytime... . 5 Jun 2022",-0.4588,2022-06-05
Chevron,"WSJ Chevron Sells Global Headquarters, Pares Back in California Amid Texas Expansion Chevron closed the sale Wednesday of its Chevron Park campus in San Ramon, Calif., its global headquarters for two decades. . 28 Sept 2022",0.0,
Chevron,"The Oxford Eagle City commission grants plat for new Chevron station but tables special exception Midstates Petroleum, LLC. plans to locate a Chevron gas station on the southwest corner of FD Buddy East Parkway and Highway 6. . 11 May 2022",0.6124,2022-05-11
Chevron,"World Oil Chevron exits Myanmar’s Yadana natural gas field following amidst humanitarian crisis Chevron has officially exited the Yadana natural has field in Myanmar. In stead of selling it's 41.1% stake in the gas field, Chevron redistributed it's stake... . 9 Apr 2024",-0.0258,2024-04-09
Chevron,WKRG Sink Your Teeth In takes you to Satsuma Chevron for the Breakfast Gumbo! We've never done a breakfast episode of Sink Your Teeth In so we felt is was about time that we took a trip up to Satsuma. There is a Chevron gas station... . 17 Aug 2022,0.0,2022-08-17
Chevron,"NBA New Orleans Pelicans team up with Chevron to host 2023 STEM Fest Signing Day “STEM Fest connects young minds' love of sports to STEM, fosters their passion for learning, and lays the foundation for their future success. Chevron is proud... . 7 Mar 2023",0.8979,2023-03-07
Chevron,"Water Technology Online Pilot Water Solutions, Chevron finalize a produced water agreement in the Permian Basin Pilot Water Solutions, announced that it has entered a long-term contract with Chevron USA Inc. for water management in the Permian Basin. . 1 Jun 2023",0.6808,2023-06-01
Chevron,Chevron Going where few drones have gone before going where few drones have gone before ... A worker is pictured operating a drone in the U.S. Gulf of Mexico. Chevron now deploys sensor-affixed drones to detect... . 10 Nov 2022,0.0,2022-11-10
