company,headline,sentiment,date
Cisco Systems Inc.,"Fenwick & West LLP Fenwick Represents Cisco Investments in Groq’s $640M Series D Funding Fenwick represented Cisco Investments, a corporate venture arm of Cisco Systems, Inc. (NASDAQ: CSCO), in Groq's $640 million Series D Funding. The round… . 5 Aug 2024",0.0,2024-08-05
Cisco Systems Inc.,SiliconANGLE Cisco simplifies its product portfolio with new Cisco Networking Cloud platform Cisco Systems Inc. today introduced a new platform that will enable customers to manage its networking products through a common interface. . 6 Jun 2023,0.0,2023-06-06
Cisco Systems Inc.,"CRN Magazine Cisco To Invest In Hot AI Startup CoreWeave: Report Cisco Systems is reportedly investing in cloud AI upstart CoreWeave, an emerging player that's currently valued at $23 billion. . 4 Oct 2024",0.4404,2024-10-04
Cisco Systems Inc.,"Wion Cisco reveals security breach, warns of government network espionage The company revealed the breach in a blog post, identifying the perpetrators as a ""sophisticated state-sponsored actor"" known as ""UAT4356."" . 25 Apr 2024",0.5574,2024-04-25
Cisco Systems Inc.,"Forbes Will Splunk And Network Recovery Drive Cisco’s Q4 Results? Cisco Systems Inc (NASDAQ: CSCO) stock has underperformed this year, falling by about 2% since early January. In comparison, Palo Alto Networks stock has... . 2 Aug 2024",-0.1531,2024-08-02
Cisco Systems Inc.,PR Newswire Cisco Showcases Vision to Simplify Networking and Securely Connect the World News Summary: The company's vision for Cisco Networking Cloud will create a simpler network management platform experience to help customers easily access... . 6 Jun 2023,0.891,2023-06-06
Cisco Systems Inc.,"The Business Journals Tech giant Cisco renews large suburban office lease A renewal of more than 100,000 square feet is notable given the lack of demand for office space in the tech industry post-pandemic. Cisco Systems Inc. has... . 18 Nov 2024",-0.4215,2024-11-18
Cisco Systems Inc.,Sustainability Magazine Cisco: Driving Sustainability for Itself & Customers Global Head of Sustainability for Industries Sielen Namdar shares how Cisco innovations lead the charge towards supporting a more sustainable future. . 31 May 2024,0.6249,2024-05-31
Cisco Systems Inc.,Hotel Management Network Cisco and MGM Resorts sign multi-year technology agreement Cisco technology will help provide reliable service and security for the round-the-clock operations at MGM Resorts' destinations. Credit: Cisco Systems / PR... . 19 Nov 2024,0.872,2024-11-19
Cisco Systems Inc.,"Hackread Intel Broker Claims Cisco Breach, Selling Stolen Data from Major Firms Intel Broker claims a major data breach at Cisco, allegedly stealing source codes, confidential documents, and credentials from global firms. . 14 Oct 2024",-0.7845,2024-10-14
Cisco Systems Inc.,Bloomberg Cisco (CSCO) Sells $13.5 Billion of Bonds to Help Fund Splunk Deal Cisco Systems Inc. sold $13.5 billion of bonds in the US investment-grade debt market to partly finance its proposed $28 billion acquisition of Splunk Inc. . 21 Feb 2024,0.0516,2024-02-21
Cisco Systems Inc.,"Yahoo Finance Cisco Systems, Inc. (CSCO) Expands Partnership with LTIMindtree to Provide AI-Powered Secure Access Solution for Hybrid Workforce Protection Cisco Systems, Inc. (CSCO) expands partnership with LTIMindtree to provide AI-powered secure access solution for hybrid workforce protection. . 14 Nov 2024",0.8481,2024-11-14
Cisco Systems Inc.,Cisco Newsroom Cisco and Splunk Announce Integrated Full-Stack Observability Experience for the Enterprise Cisco and Splunk enable unparalleled visibility and real-time insights to standardize observability in one solution. . 5 Jun 2024,0.3182,2024-06-05
Cisco Systems Inc.,"Reuters Layoffs pile up in US, Canada as companies uncertain of economy [1/4]A sign bearing the logo for communications and security tech giant Cisco Systems Inc is seen outside one of its offices in San Jose, California,... . 9 Feb 2024",0.0516,2024-02-09
Cisco Systems Inc.,"Yahoo Finance Is Most-Watched Stock Cisco Systems, Inc. (CSCO) Worth Betting on Now? Cisco Systems (CSCO) has recently been on Zacks.com's list of the most searched stocks. Therefore, you might want to consider some of the key factors that... . 2 Dec 2024",0.296,2024-12-02
Cisco Systems Inc.,"Amazon Web Services (AWS) Reducing Operational Overhead and Increasing Reliability Using Amazon MSK with Cisco | Case Study By migrating from a self-managed observability stack to Amazon MSK, Cisco Systems Inc. boosted productivity, increased the scalability and reliability of... . 18 May 2024",0.7717,2024-05-18
Cisco Systems Inc.,"Reuters Exclusive: Cisco to cut thousands of jobs as it seeks to focus on high growth areas Network giant Cisco is planning to restructure its business which will include laying off thousands of employees, as it seeks to focus on high-growth areas,... . 10 Feb 2024",0.25,2024-02-10
Cisco Systems Inc.,"Nasdaq Cisco Systems Q2 24 Earnings Conference Call At 4:30 PM ET (RTTNews) - Cisco Systems Inc. (CSCO) will host a conference call at 4:30 PM ET on February 14, 2024, to discuss Q2 24 earnings results. . 14 Feb 2024",0.0,2024-02-14
Cisco Systems Inc.,Fox Business Cisco to cut 5% of global workforce Cisco is planning to cut 5% of its global workforce as part of a restructuring plan. The company announced in a regulatory filing Wednesday that it is cutting... . 15 Feb 2024,-0.4939,2024-02-15
Cisco Systems Inc.,Cisco Cisco Reimagines Security for Data Centers and Clouds in Era of AI Cisco Hypershield Brings Power of Hyperscaler Security and Connectivity to the Enterprise. News Summary: Cisco is powering and protecting the engine of the... . 18 Apr 2024,0.5859,2024-04-18
Cisco Systems Inc.,Morningstar Nvidia 2023 vs Cisco 1999: Will History Repeat? There are real similarities (and differences) between two dominant technology companies whose shares have both experienced massive rallies. . 14 Dec 2023,0.296,2023-12-14
Cisco Systems Inc.,"Simply Wall Street Do These 3 Checks Before Buying Cisco Systems, Inc. (NASDAQ:CSCO) For Its Upcoming Dividend The company's upcoming dividend is US$0.40 a share, following on from the last 12 months, when the company distributed a total of US$1.60 per share to... . 28 Sept 2024",0.5267,
Cisco Systems Inc.,"Simply Wall Street Those who invested in Cisco Systems (NASDAQ:CSCO) five years ago are up 36% Cisco Systems, Inc. (NASDAQ:CSCO) has fallen short of that second goal, with a share price rise of 16% over five years, which is below the market return. . 12 Oct 2024",-0.0772,2024-10-12
Cisco Systems Inc.,"Cisco Cisco Appoints Ekta Singh-Bushell to Board of Directors Cisco (NASDAQ: CSCO) today announced the appointment of Ekta Singh-Bushell to its board of directors effective June 14, 2024. ""I am thrilled to welcome Ekta... . 14 Jun 2024",0.8402,2024-06-14
Cisco Systems Inc.,Reuters Cisco defeats Centripetal patent case that led to $2.75 bln award A federal judge in Virginia has rejected cybersecurity company Centripetal Networks' patent infringement claims against Cisco Systems in a... . 12 Dec 2023,-0.6369,2023-12-12
Cisco Systems Inc.,"CNN Cisco to cut 7% of its global workforce Cisco Systems said Wednesday it was cutting 7% of its global workforce as it shifts focus to high-growth areas. The San Jose, California-based company... . 14 Aug 2024",-0.3818,2024-08-14
Cisco Systems Inc.,"CSRwire Cisco: Sustainability 101 - How Hybrid Work Can Advance Sustainability in the Workforce by Luca Ferraro. Published 08-14-24. Submitted by Cisco Systems, Inc. Facebook · Twitter · Linkedin. Woman looking at a laptop computer. . 14 Aug 2024",0.0,2024-08-14
Cisco Systems Inc.,Securities.io Artificial Intelligence a Billion Dollar Play for Cisco Systems Inc. CISCO Geared Up with Proposed Investment Amounting to US$1 Billion in AI Startups. Cisco's investment plan is quite specific and targeted. It will invest in... . 10 Jun 2024,0.6705,2024-06-10
Cisco Systems Inc.,"TipRanks Cisco Systems Anticipates Board Shift as Director Steps Down Ekta Singh-Bushell has decided not to seek re-election as a director at Cisco Systems, Inc., but will continue to serve in her role until the company's 2024... . 11 Oct 2024",0.0,2024-10-11
Cisco Systems Inc.,"SiliconANGLE Cisco could reportedly let go 4,000+ workers in new round of job cuts Cisco Systems Inc. is gearing up for a new round of layoffs that could hit more than 4,000 workers, Reuters reported today. . 9 Aug 2024",-0.296,2024-08-09
Cisco Systems Inc.,"Cybernews Cisco investigating data breach: what we know so far A well-known data broker says that he's stolen copious amounts of data from Cisco, including the company's business customer data. . 15 Oct 2024",-0.4939,2024-10-15
Cisco Systems Inc.,"Cisco Newsroom Cisco NVIDIA AI Collaboration News Summary. Companies to offer enterprises simplified cloud-based and on-premises AI infrastructure, networking and software, including infrastructure... . 6 Feb 2024",0.0,2024-02-06
Cisco Systems Inc.,"Reuters Cisco taps new M&A firm Tidal for $28 billion Splunk deal Item 1 of 2 A sign bearing the logo for communications and security tech giant Cisco Systems Inc is seen outside one of its offices in San Jose, California,... . 21 Sept 2023",0.34,
Cisco Systems Inc.,markets.businessinsider.com Cisco Systems Q3 Preview: Analysts Anticipate 'Stabilizing Core Business Trends' Cisco Systems Inc (NASDAQ:CSCO) last month announced the launch of Hypershield for increasing the security of data centers and clouds. . 14 May 2024,0.34,2024-05-14
Cisco Systems Inc.,"Yahoo Finance Billionaire Asness Sold Cisco Systems (CSCO) and Bought Eli Lilly and Company (LLY) In this article, we are going to take a look at where Eli Lilly and Company (NYSE:LLY) stands against the other stocks that are dominating a billionaire quant'... . 7 Dec 2024",-0.296,2024-12-07
Cisco Systems Inc.,"Cisco Cisco Completes Acquisition of Splunk Cisco (NASDAQ: CSCO) today announced it completed the acquisition of Splunk, setting the foundation for delivering unparalleled visibility and insights. . 18 Mar 2024",0.0,2024-03-18
Cisco Systems Inc.,"AP News Cisco Systems to lay off more than 4,000 workers in latest sign of tighter times in tech Internet networking pioneer Cisco Systems is jettisoning more than 4000 employees. It's the latest to join the parade of technology companies in a... . 14 Feb 2024",0.296,2024-02-14
Cisco Systems Inc.,"Bloomberg.com Nvidia, Cisco to Help Companies Build In-House AI Computing Nvidia Corp. and Cisco Systems Inc. are teaming up to make it easier for corporations to build their own AI computing infrastructure, an attempt to push the... . 6 Feb 2024",0.6705,2024-02-06
Cisco Systems Inc.,Cisco Cisco Unveils Next-Gen Solutions that Empower Security and Productivity with Generative AI News Summary: Powerful new generative AI features across Cisco's Collaboration and Security portfolios will drive productivity and simplicity across the... . 7 Jun 2023,0.8074,2023-06-07
Cisco Systems Inc.,"GlobeNewswire Former Cisco Systems Technology Executive Appointed to Tyson Foods Board of Directors Tyson Foods, Inc. (NYSE: TSN) today announced the appointment of Maria N. Martinez as a new independent director, effective June 10. . 12 Jun 2024",0.4767,2024-06-12
Cisco Systems Inc.,"MarketWatch Opinion: By buying Splunk, Cisco is closer to becoming a software company With Cisco Systems Inc.'s pending acquisition of Splunk Inc., the networking giant is making another major step toward becoming a software company. . 21 Sept 2023",0.0,
Cisco Systems Inc.,"Schaeffer's Investment Research Cisco Stock Lower Despite Beat-and-Raise, Bull Notes Cisco Systems Inc (NASDAQ:CSCO) beat fiscal third-quarter earnings and revenue expectations, and also issued strong 2024 and fourth-quarter revenue... . 16 May 2024",0.2732,2024-05-16
Cisco Systems Inc.,"SiliconANGLE Cisco advances intelligent networking and security as it announces $1B AI investment fund Cisco Systems Inc. is doubling down on its artificial intelligence push with a host of new AI-powered products and services, plus various other initiatives... . 4 Jun 2024",0.8176,2024-06-04
Cisco Systems Inc.,"Benzinga Cisco, PayPal, Citizens Financial And More On CNBC's 'Final Trades' On CNBC's “Halftime Report Final Trades,” Josh Brown of Ritholtz Wealth Management said PayPal Holdings, Inc. PYPL+1.19%. Get Free Report. . 25 Sept 2024",0.7579,
Cisco Systems Inc.,"Insider Monkey Is Cisco Systems, Inc. (CSCO) The Best Dividend Paying Stock To Buy According to Quant Hedge Fund AQR? Cisco Systems, Inc. (NASDAQ:CSCO) offers a quarterly dividend of $0.40 per share and has a dividend yield of 3.17%, as of August 22. It is one of the best... . 28 Aug 2024",0.7506,2024-08-28
Cisco Systems Inc.,"Reuters Networking startup Nile raises $175 million to challenge Cisco Nile, a networking startup co-founded by former Cisco Systems executives John Chambers and Pankaj Patel, has raised $175 million in a new round to fund its... . 1 Aug 2023",0.0772,2023-08-01
Cisco Systems Inc.,"Yahoo Finance The Zacks Analyst Blog Highlights Goldman Sachs, Chevron, International Business Machines and Cisco Chicago, IL – December 19, 2024 – Zacks.com announces the list of stocks featured in the Analyst Blog. Every day the Zacks Equity Research analysts discuss... . 19 Dec 2024",0.0,2024-12-19
Cisco Systems Inc.,"MarketWatch Cisco Systems’ $28 billion acquisition of Splunk ‘went much faster than we thought’ Cisco Systems Inc. on Monday completed its $28 billion acquisition of Splunk Inc. “much faster than we thought,” Cisco Chief Financial Officer Scott Herren... . 18 Mar 2024",0.0,2024-03-18
Cisco Systems Inc.,"Nasdaq Cisco Systems a Top 25 Dividend Giant With 2.73% Yield (CSCO) Cisco Systems Inc (Symbol: CSCO) has been named as a Top 25 ''Dividend Giant'' by ETF Channel, with a staggering $44.88B worth of stock held by ETFs,... . 23 Dec 2024",0.5423,2024-12-23
Cisco Systems Inc.,PR Newswire Cisco Announces December 2024 Events with the Financial Community PRNewswire/ -- Cisco today announced that it will host and/or participate in the following events with the financial community in December: No new financial... . 25 Nov 2024,-0.296,2024-11-25
Cisco Systems Inc.,"Yahoo Finance Cisco (CSCO) Up 1.6% Since Last Earnings Report: Can It Continue? A month has gone by since the last earnings report for Cisco Systems (CSCO). Shares have added about 1.6% in that time frame, underperforming the S&P 500. . 13 Dec 2024",0.296,2024-12-13
Cisco Systems Inc.,"Insider Monkey JPMorgan Upgrades Cisco Systems, Inc. (CSCO) to ‘Overweight’ with $66 Price Target, Citing Strong Enterprise Networking Demand In this article, we are going to take a look at where Cisco Systems, Inc. (NASDAQ:CSCO) stands against the other AI stocks that should not be ignored. . 12 Nov 2024",0.5806,2024-11-12
Cisco Systems Inc.,Morningstar Nvidia 2023 vs. Cisco 1999: Will History Repeat? Cutting-edge products riding a wave of transformative technology. Staggering growth and a sky-high profit margin. Stock price rocketing to the moon. . 7 Dec 2023,0.6705,2023-12-07
Cisco Systems Inc.,SiliconANGLE Cisco reveals plan to cut thousands of jobs as it beats earnings forecast Shares of Cisco Systems Inc. rose in extended trading today after the networking company said it's cutting 7% of its global workforce and reported quarterly... . 14 Aug 2024,-0.1027,2024-08-14
Cisco Systems Inc.,"MarketWatch Cisco’s stock could surge more than 20% on these three drivers, says BofA A BofA Securities analyst sees three big catalysts ahead for Cisco Systems Inc.'s stock that could drive it more than 20% higher. . 15 Apr 2024",0.296,2024-04-15
Cisco Systems Inc.,"Reuters Cisco's AI push in focus as shares fall on tepid networking gear demand A sign bearing the logo for communications and security tech giant Cisco Systems Inc is seen outside one of its offices in San Jose, California,... . 15 Feb 2024",0.4767,2024-02-15
Cisco Systems Inc.,"Yahoo Finance Instacart, L'Oréal, Cisco Systems: 3 Stocks In Focus Jefferies initiated coverage on Instacart — which operates as Maplebear, Inc. (CART) — with a Hold rating and $45 per share price target. . 16 Oct 2024",0.296,2024-10-16
Cisco Systems Inc.,Investopedia Cisco Systems Completes Its $28 Billion Purchase of Splunk Cisco Systems said it completed its $28 billion or $157 per share takeover of cybersecurity firm Splunk. . 18 Mar 2024,0.296,2024-03-18
Cisco Systems Inc.,Cisco Cisco Collaborates with Microsoft and Samsung to Deliver Superior Meeting Room Experiences Integrated video solutions for seamless and inclusive hybrid meetings that are easy to use and deploy at scale News Summary: New integrated video... . 30 Jan 2024,0.7964,2024-01-30
Cisco Systems Inc.,"Benzinga Cisco Set For Technical Breakout As Golden Cross Signals Strength: Analyst Predicts Stock Will 'Quietly' Climb Higher While Cisco Systems Inc. CSCO-1.16%. Get Free Report. may not be making loud headlines, it's quietly setting the stage for a strong technical breakout. . 30 Sept 2024",0.8689,
Cisco Systems Inc.,"Simply Wall Street Some Investors May Be Willing To Look Past Cisco Systems' (NASDAQ:CSCO) Soft Earnings Soft earnings didn't appear to concern Cisco Systems, Inc.'s ( NASDAQ:CSCO ) shareholders over the last week. Our... . 20 Nov 2024",0.0,2024-11-20
Cisco Systems Inc.,Cisco Cisco Becomes Official Partner of the LA28 Olympic & Paralympic Games and Team USA Cisco (NASDAQ: CSCO) – the worldwide leader in secure networking technology – today announced a partnership with the LA28 Olympic and Paralympic Games and... . 20 Jun 2024,0.34,2024-06-20
Cisco Systems Inc.,"Insider Monkey Cisco Systems, Inc. (CSCO) Expands AI Data Center Portfolio with New GPU Servers and AI PODs, Enabling Simplified, Scalable AI Infrastructure for Enterprises Cisco Systems, Inc. (NASDAQ:CSCO) is an American multinational digital communications technology conglomerate that provides information technology and... . 31 Oct 2024",0.1027,2024-10-31
Cisco Systems Inc.,"SiliconANGLE What to expect at Cisco Live 2024 edition The annual Cisco Live 2024, to be held June 2-6 in Las Vegas, will boast Elton John as the music artist performing at the Wednesday night celebration event. . 31 May 2024",0.0,2024-05-31
Cisco Systems Inc.,"Zacks Investment Research Cisco Rises 11% in 3 Months: Buy, Sell or Hold the CSCO Stock? Cisco Systems ( CSCO Quick Quote CSCO - Free Report) shares have returned 11% in the past three months, underperforming the Zacks Computer & Technology sector'... . 17 Sept 2024",0.6705,
Cisco Systems Inc.,Reuters Cisco says hackers subverted its security devices to spy on governments Technology firm Cisco Systems said that hackers have subverted some of its digital security devices to break in to government networks globally. . 24 Apr 2024,0.5859,2024-04-24
Cisco Systems Inc.,"MarketScreener Cisco set to invest in Coreweave at $23 billion valuation, Bloomberg News reports -October 03, 2024 at 06:03 pm EDT Cisco Systems is set to invest in Coreweave, valuing the cloud services provider at $23 billion, according to a Bloomberg News report on Thursday,... . 3 Oct 2024",0.34,2024-10-03
Cisco Systems Inc.,"Yahoo Finance Is Cisco Systems (CSCO) An Undervalued Cybersecurity Stock to Buy? In this article, we are going to take a look at where Cisco Systems, Inc. (NASDAQ:CSCO) stands against the other undervalued cybersecurity stocks. . 24 Nov 2024",0.0,2024-11-24
Cisco Systems Inc.,"Fortune Cisco leaps forward in Fortune 500—’I see us clearly as a leader in AI,’ CFO says CFO Scott Herren discusses the company's position on networking, security, and AI. . 4 Jun 2024",0.6249,2024-06-04
Cisco Systems Inc.,"Santa Clara University Cisco Senior Executive, Tara Seracka, Joins Ethics Center Advisory Board The Markkula Center for Applied Ethics welcomes Tara Seracka to the Ethics Center Advisory Board, a collection of distinguished professionals in the off-campus... . 24 Sept 2024",0.4019,
Cisco Systems Inc.,"PR Newswire Cisco Enhances Partner Program to Drive Partner Differentiation and Profitability News Summary: Cisco Partner Incentive to reward partners on all Cisco software, hardware, and services, and drive incremental growth and customer value.... . 8 Nov 2023",0.872,2023-11-08
Cisco Systems Inc.,"CNBC Cisco makes largest ever acquisition, buying cybersecurity company Splunk for $28 billion in cash Cisco said it was acquiring cybersecurity software company Splunk for $157 a share in a cash deal worth about $28 billion. . 21 Sept 2023",0.4767,
Cisco Systems Inc.,Cisco Newsroom Cisco Intends to Acquire Splunk The combination of these two innovative leaders makes them well positioned to lead in security and observability in the age of AI. . 21 Sept 2023,0.7506,
Cisco Systems Inc.,"Yahoo News UK Cisco Systems (CSCO) Stock Moves -0.78%: What You Should Know Cisco Systems (CSCO) closed at $51.11 in the latest trading session, marking a -0.78% move from the prior day. . 6 Jul 2023",0.0,2023-07-06
Cisco Systems Inc.,"Forbes Is Cisco Undervalued At $46, Amid Network Recovery And Splunk Revenue Upside? Cisco Systems Inc (NASDAQ: CSCO) stock has underperformed this year, falling by about 9% since early January. Cisco's product sales have seen a slowdown as... . 21 Jun 2024",-0.1531,2024-06-21
Cisco Systems Inc.,"Industry Leaders Magazine AI Demand Fuels Cisco’s Q1, but Revenue Dip Leads to Stock Drop Cisco Systems Inc. reported solid fiscal Q1 financial results that came in ahead of expectations and raised its 2025 full-year revenue forecast. . 14 Nov 2024",-0.25,2024-11-14
Cisco Systems Inc.,"Cisco Newsroom Bhaskar Jayakrishnan Bhaskar Jayakrishnan is Senior Vice President of Engineering, Customer Experience at Cisco where he leads a global engineering organization. . 14 Aug 2024",0.0,2024-08-14
Cisco Systems Inc.,"Morningstar Cisco Should Rise In Line With Campus and Enterprise Networking, and Generates Wide-Moat Profits We view Cisco Systems as the dominant force in enterprise networking and expect it to retain its strength in both legacy and future networks. . 14 Aug 2024",0.7269,2024-08-14
Cisco Systems Inc.,"Simply Wall Street At US$47.09, Is It Time To Put Cisco Systems, Inc. (NASDAQ:CSCO) On Your Watch List? Let's talk about the popular Cisco Systems, Inc. ( NASDAQ:CSCO ). The company's shares maintained its current share... . 4 Jul 2024",0.6124,2024-07-04
Cisco Systems Inc.,SiliconANGLE Five thoughts from Cisco Live 2024 The show was certainly filled with news – everything from security updates to the Splunk integration to Webex innovation and more. . 11 Jun 2024,0.7506,2024-06-11
Cisco Systems Inc.,"Bloomberg Cisco Must Face Suit Linking Its Tech to Chinese Human Rights Abuse, Court Rules Cisco Systems Inc. can be sued over allegations the company used its technology to help Chinese authorities perpetrate religious persecution of Falun Gong... . 10 Jul 2023",-0.3612,2023-07-10
Cisco Systems Inc.,"Cisco Cisco and Ford Motor Company Rollout Webex App for Productivity on the Move At Enterprise Connect today, Cisco (NASDAQ: CSCO) and Ford Motor Company (NYSE: F) announced that the Webex app by Cisco for conferencing and collaboration... . 26 Mar 2024",0.0,2024-03-26
Cisco Systems Inc.,"IPWatchdog.com CAFC Says Cisco’s Bid to Dismiss Appeal Due to Settlement is Improper Use of Judicial System The U.S. Court of Appeals for the Federal Circuit (CAFC) issued a short precedential order yesterday denying a request by Cisco Systems, Inc. and Hewlett... . 20 Nov 2024",-0.34,2024-11-20
Cisco Systems Inc.,"Cisco BBVA and Cisco Strengthen its Strategic Partnership to Accelerate Digital Transformation and Foster Innovation Cisco (NASDAQ: CSCO) and BBVA today announced the companies have deepened their strategic alliance and signed a Strategic Whole Portfolio Agreement (WPA),... . 7 Mar 2024",0.7964,2024-03-07
Cisco Systems Inc.,"Insider Monkey Is Cisco Systems (CSCO) One of the Best Edge Computing Stocks to Invest in According to Analysts? We recently published a list of 12 Best Edge Computing Stocks to Invest in According to Analysts. In this article, we are going to take a look at where... . 22 Dec 2024",0.8555,2024-12-22
Cisco Systems Inc.,"Simply Wall Street Cisco Systems, Inc. (NASDAQ:CSCO) Investors Are Less Pessimistic Than Expected We've established that Cisco Systems currently trades on a much higher than expected P/E since its forecast growth is lower than the wider market. Right now we... . 28 Oct 2024",-0.204,2024-10-28
Cisco Systems Inc.,"Forbes Cisco Data Leaked By Hacker On Dec. 16, a hacker known as ""IntelBroker"" leaked 2.9 gigabytes of files from Cisco's DevHub platform onto BreachForums, a dark web marketplace. . 18 Dec 2024",-0.5574,2024-12-18
Cisco Systems Inc.,"CybersecurityNews Threat Actors Claim to Sell Data Allegedly Stolen from Cisco A group of threat actors, led by the notorious hacker known as IntelBroker, has claimed responsibility for a significant data breach at Cisco Systems, Inc. . 15 Oct 2024",-0.9022,2024-10-15
Cisco Systems Inc.,"GuruFocus Cisco Systems (CSCO) Announces Results of Annual Stockholders Me Cisco Systems, Inc. (CSCO) recently held its Annual Meeting of Stockholders on December 9, 2024. During this meeting, several significant proposals were put... . 12 Dec 2024",0.2023,2024-12-12
Cisco Systems Inc.,"CRN Magazine Cisco’s Revamped Leadership To Pave The Way Toward Becoming A 'Meaningfully Different' Company: Exec Jeetu Patel, formerly Cisco's executive vice president and general manager of security and collaboration, was promoted to chief product officer. . 7 Nov 2024",0.6369,2024-11-07
Cisco Systems Inc.,"Reuters Cisco launches new AI networking chips to compete with Broadcom, Marvell Cisco Systems on Tuesday launched networking chips for AI supercomputers that would compete with offerings from Broadcom and Marvell Technology . . 20 Jun 2023",0.128,2023-06-20
Cisco Systems Inc.,"ACCESS Newswire Cisco’s FY24 Purpose Report: Looking Back While Looking Ahead NORTHAMPTON, MA / ACCESSWIRE / December 18, 2024 / Cisco Systems Inc. By: Francine Katsoudas. As the world enters the intelligent age and Cisco enters its... . 18 Dec 2024",0.4588,2024-12-18
Cisco Systems Inc.,"Automation.com NEMA Welcomes Cisco—a World Leader in Technology—as a New Member NEMA has welcomed Cisco as a new Manufacturing Member company. Cisco Systems is a leader in accelerating digital-ready infrastructure, reliable connected... . 15 Oct 2024",0.6249,2024-10-15
Cisco Systems Inc.,"CSRwire Cisco: Three Years of Progress on the Pathway to Net Zero By Kelsi Doran, Natalie Stubb. Published 09-26-24. Submitted by Cisco Systems, Inc. Facebook · Twitter · Linkedin. Sky-ward view through a tunnel of windows... . 26 Sept 2024",0.4215,
Cisco Systems Inc.,"Reuters Cisco wins US court order barring sale of counterfeit equipment A sign bearing the logo for communications and security tech giant Cisco Systems Inc is seen outside one of its offices in San Jose, California, U.S. August... . 4 Oct 2023",0.7269,2023-10-04
Cisco Systems Inc.,"Benzinga Cisco Gains Ahead Of Q1 Earnings As JPMorgan Projects Networking Market Recovery In 2025 Shares of Cisco Systems Inc. CSCO+0.40%. Get Free Report. climbed on Monday, with its rally expected to carry through year-end as the company prepares to... . 11 Nov 2024",0.7845,2024-11-11
Cisco Systems Inc.,"CRN Magazine Cisco Hypershield: 5 Things To Know About The Tech Giant’s Most ‘Consequential’ Security Release Cisco Systems this week introduced Hypershield, a brand-new approach to security architecture for the protection of AI workloads in data center and cloud... . 19 Apr 2024",0.6222,2024-04-19
Cisco Systems Inc.,"Los Angeles Times Lawsuit alleging California tech giant aided Chinese torture may proceed, 9th Circuit says A lawsuit alleging San Jose-based technology giant Cisco Systems Inc. and two former executives aided the Chinese government in tracking and torturing adherents . 7 Jul 2023",-0.8934,2023-07-07
Cisco Systems Inc.,"CSRwire Cisco’s Vision for an Inclusive Future By Brian Tippens. Published 11-01-24. Submitted by Cisco Systems, Inc. Facebook · Twitter · Linkedin. A group seated against a white brick wall. . 1 Nov 2024",0.25,2024-11-01
Cisco Systems Inc.,"CSRwire Recognizing Women Driving Innovation By Meredith Phillips. Published 09-19-24. Submitted by Cisco Systems, Inc. Facebook · Twitter · Linkedin. A person working with wires. . 19 Sept 2024",0.3818,
Cisco Systems Inc.,"Yahoo Finance CSCO Falls Despite Q1 Earnings Beat: Buy, Sell or Hold the Stock? Cisco Systems CSCO reported first-quarter fiscal 2025 non-GAAP earnings of 91 cents per share, which beat the Zacks Consensus Estimate by 4.6%. . 14 Nov 2024",0.296,2024-11-14
Cisco Systems Inc.,"GuruFocus The Art of Valuation: Discovering Cisco Systems Inc's Intrinsic Value In this article, we will take a look into Cisco Systems Inc's (CSCO) DCF analysis, a reliable and data-driven approach to estimating its intrinsic value. . 24 Dec 2024",0.5859,2024-12-24
Cisco Systems Inc.,"MarketWatch Opinion: Why Cisco is looking at investing in CoreWeave, a hot AI startup Cisco Systems Inc. is reportedly looking at making a big investment in CoreWeave, one of the hotter artificial-intelligence startup companies,... . 4 Oct 2024",0.0,2024-10-04
Cisco Systems Inc.,"Spiceworks Cisco to Layoff 7% of Global Workforce to Focus on AI and Security Cisco Systems, Inc. announced in August 2024 that it will layoff approximately 7 percent of its global workforce. . 15 Aug 2024",0.34,2024-08-15
Cisco Systems Inc.,"Reuters Cisco's Splunk deal set to win unconditional EU antitrust OK, sources say Cisco Systems is set to secure unconditional EU antitrust approval for its $28 billion bid for cybersecurity firm Splunk , two people with direct knowledge... . 5 Mar 2024",0.9049,2024-03-05
Cisco Systems Inc.,"Cisco Newsroom Cisco Introduces Intelligent, Secure and Assured Wi-Fi 7 to Transform Employee and Customer Experiences Introducing new intelligent, secure & assured wireless innovations, with Wi-Fi 7 access points & unified licensing that can enable smart spaces... . 12 Nov 2024",0.959,2024-11-12
