company,headline,sentiment
DuPont de Nemours Inc,"Westmeath Independent
Major investment by owners of Athlone facility
There are hopes of a future jobs boost at OxyMem in Athlone following the announcement of a significant multimillion-euro investment by its owners DuPont Water...
.
8 Mar 2022",0.743
DuPont de Nemours Inc,"Reuters
DuPont raises full-year forecasts on strong electronics, AI-tech demand
Industrial materials maker DuPont de Nemours raised its full-year forecasts on Wednesday, benefiting from strong demand for its products used in making...
.
31 Jul 2024",0.6808
DuPont de Nemours Inc,"DuPont
DuPont Demonstrates Solutions for the Hydrogen Value Chain at FCVC 2024
DuPont (NYSE:DD) will participate at the International Hydrogen and Fuel Cell Vehicle Congress & Exhibition 2024 (FCVC 2024), June 4th to 6th, Jiading,...
.
4 Jun 2024",0.4767
DuPont de Nemours Inc,"The Straits Times
DuPont to split into 3 companies as CEO steps back
DuPont de Nemours plans to split into three publicly traded companies, joining a list of industrial conglomerates seeking to boost returns.
.
23 May 2024",0.4019
DuPont de Nemours Inc,"DuPont
DuPont Supports Semiconductor Workforce Development through Sponsorship of SEMICON Taiwan
DuPont is honored to be part of SEMICON Taiwan 2024 by participating in sessions related to thought leadership and workforce development.
.
29 Aug 2024",0.743
DuPont de Nemours Inc,"Bloomberg Law News
DuPont $1.18 Billion PFAS Settlement Gets Final Court Approval
DuPont de Nemours Inc., Chemours Co., and Corteva Inc. gained approval of a settlement with towns, cities, and local water agencies across the US to resolve...
.
9 Feb 2024",0.8316
DuPont de Nemours Inc,"Stock Titan
DuPont Launches Great Stuff™ Wide Spray Foam Sealant
DuPont unveils Great Stuff™ Wide Spray Foam Sealant for efficient air sealing. Discover how this versatile, Class-A Fire Rated product tackles large gaps...
.
17 Sept 2024",0.8625
DuPont de Nemours Inc,"DuPont
DuPont Acquires Nanowire Technology and Business Assets from C3Nano Inc.
On August 1, DuPont completed the acquisition of assets from C3Nano Inc., a materials company specialized in silver nanowire technology and formulations based...
.
13 Aug 2024",0.34
DuPont de Nemours Inc,"DuPont
DuPont Interconnect Solutions Advances Toward Sustainability Goal
As part of DuPont's Electronics & Industrial business, Interconnect Solutions (ICS)—a leading total solutions and systems design partner addressing signal...
.
20 Apr 2023",0.4767
DuPont de Nemours Inc,"Yahoo Finance
Is DuPont de Nemours Inc. (DD) the Best Hydrogen and Fuel Cell Stock to Buy for 2025?
In this article, we are going to take a look at where DuPont de Nemours Inc. (NYSE:DD) stands against the other hydrogen and fuel cell stocks.
.
27 Dec 2024",0.6369
DuPont de Nemours Inc,"Manufacturing Dive
DuPont, Corteva and Chemours reach $110M PFAS settlement with Ohio
Chemical giants DuPont de Nemours, Corteva and Chemours reached a $110 million settlement with the state of Ohio late last month over PFAS contamination claims.
.
7 Dec 2023",0.128
DuPont de Nemours Inc,"DuPont
DuPont Earns Great Place to Work Certification™ in Korea
DuPont announced today that it has been Certified™ by Great Place to Work® (GPTW) Korea and has earned special recognitions as the “Best Workplace for...
.
2 Dec 2024",0.8979
DuPont de Nemours Inc,"Port City Daily
Superior Court rules in favor of AG Stein’s suit to put DuPont’s subsidiaries on the hook for PFAS damages
A superior court judge put forward an order Wednesday to make DuPont's subsidiaries liable for PFAS contamination caused by the original company.
.
8 Feb 2024",0.8442
DuPont de Nemours Inc,"Reuters
Judge greenlights North Carolina PFAS class action against DuPont, Chemours
A federal judge has allowed more than 100000 North Carolina residents and property owners to bring claims over toxic water pollution against E.I. du Pont de...
.
5 Oct 2023",0.0
DuPont de Nemours Inc,"Reuters
Connecticut firefighters sue DuPont, 3M, Honeywell over allegedly contaminated gear
Item 1 of 3 The logo for DuPont de Nemours, Inc. is seen on the trading floor at the New York Stock Exchange (NYSE) in Manhattan, New York City, U.S.,...
.
26 Jun 2024",0.0
DuPont de Nemours Inc,"Dallas Express
DuPont responds to accusations by anti-PFAS activist Diane Cotter regarding product safety
DuPont de Nemours has never manufactured PFOA, PFOS, or firefighting foam. While we don't comment on pending litigation matters, we believe these complaints...
.
3 Aug 2024",-0.0516
DuPont de Nemours Inc,"Lake and McHenry County Scanner
Attorney general sues 3M, other chemical companies alleging they contaminated water in Lake County, rest of Illinois
The Illinois attorney general has filed a lawsuit against 3M and 13 other large chemical companies that make “forever chemicals,” alleging they contaminated...
.
6 Feb 2023",-0.2263
DuPont de Nemours Inc,"Inside Climate News
Chemours and DuPont Knew About Risks But Kept Making Toxic PFAS Chemicals, UN Human Rights Advisors Conclude
A UN human rights panel calls on the UN Environment Assembly to take on “forever chemicals” at a meeting in Nairobi, citing a North Carolina PFAS plant as...
.
26 Feb 2024",-0.1406
DuPont de Nemours Inc,"RTL Today
'Unacceptable and undignified': Unpaid wages reported at DuPont companies
Since autumn 2023, DuPont companies based in Luxembourg have accumulated significant wage arrears, according to recent reports.
.
6 Feb 2024",-0.296
DuPont de Nemours Inc,"Seeking Alpha
DuPont De Nemours' Monumental Development Opens Doors For Monumental Growth
DuPont de Nemours plans to spin off into 3 public companies, aiming to improve financial performance and focus on industrial products.
.
24 May 2024",0.6705
DuPont de Nemours Inc,"Stock Titan
DuPont Commits to Net-Zero Emissions by 2050
DuPont (NYSE: DD) has committed to achieving net-zero carbon emissions by 2050, aligning with the Science Based Targets initiative (SBTi) and the Paris...
.
19 Sept 2024",0.296
DuPont de Nemours Inc,"DuPont
single-use biopharma processing solutions for fluid transport at INTERPHEX 2023
WILMINGTON, Del., April 20, 2023 – DuPont (NYSE:DD) today announced that it will showcase DuPont™ Liveo™ single-use biopharma processing solutions for...
.
20 Apr 2023",0.34
DuPont de Nemours Inc,"Luxembourg Times
DuPont Teijin failing to save Luxembourg jobs, unions say
Dupont Teijin Films (DTF) is pressing ahead with a cull of 160 staff at its plant in Luxembourg and is ignoring calls for a social plan to protect jobs.
.
10 Mar 2023",-0.0516
DuPont de Nemours Inc,"Nasdaq
Here's Why You Should Hold Onto DuPont's Stock for Now
DuPont de Nemours, Inc. DD is expected to gain from its innovation-driven investment, productivity actions and the acquisitions of the Spectrum Plastics...
.
17 Dec 2024",0.5267
DuPont de Nemours Inc,"Agro Spectrum India
Corteva Agriscience subsidiary to change its name to EIDP, Inc.
The change has been effective from January 1, 2023. E. I. du Pont de Nemours and Company is a wholly owned subsidiary of Corteva, Inc.
.
3 Jan 2023",0.4767
