company,headline,sentiment,date
Exxon Mobil Corporation,"Oil & Gas Journal ExxonMobil reveals mixed plan to shed, shutter French refining, chemical assets Esso Societe Anonyme Francaise (SAF)—a majority owned subsidiary of ExxonMobil Corp. (82.89%)—has entered formal discussions for the sale of its... .",0.1779,2024-04-11
Exxon Mobil Corporation,"BusinessToday Is ExxonMobil Selling Malaysia Oil And Gas Assets To Petronas? Exxon Mobil Corp has agreed to sell its Malaysian oil and gas assets to state energy firm Petronas, exiting the country's upstream sector where it used to... .",0.6808,2024-07-19
Exxon Mobil Corporation,"Yahoo Finance Is Exxon Mobil (XOM) the Top Oil and Gas Stock to Invest in According to Hedge Funds? In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other oil and gas stocks to invest in according to... .",0.2023,2024-12-23
Exxon Mobil Corporation,Exxon Mobil Corporation | ExxonMobil Direct air capture (DAC) technology & applications Learn how Direct air capture (DAC) removes CO2 from the atmosphere and supports net-zero goals as a key emissions reduction technology. .,0.3612,
Exxon Mobil Corporation,"Exxon Mobil Corporation | ExxonMobil Making a big impact with small gestures For Nabilah, vice-president of finance at ExxonMobil Exploration and Production Malaysia Inc, giving back to the community doesn't have to cause a big splash. .",0.5106,2024-11-22
Exxon Mobil Corporation,Exxon Mobil Corporation | ExxonMobil Red tape is driving investment out of Europe – and threatening the energy transition ExxonMobil Europe president Philippe Ducom addresses the need for policy change and increased investment across the EU – to achieve decarbonization and... .,-0.0516,2024-11-09
Exxon Mobil Corporation,"Exxon Mobil Corporation | ExxonMobil ExxonMobil elects Maria Jelescu Dreyfus to Board of Directors SPRING, Texas--(BUSINESS WIRE)-- Exxon Mobil Corporation (NYSE: XOM) announced today that Maria Jelescu Dreyfus has joined its board of…... .",0.0,2024-05-07
Exxon Mobil Corporation,"Exxon Mobil Corporation Advanced recycling technology The advanced recycling process converts plastic waste back into its molecular building blocks, which then become the raw material for making new plastics. .",-0.1779,2024-05-16
Exxon Mobil Corporation,"Reuters Highlighting Exxon suit, investors urge firms to keep shareholder spats out of court A group of around 40 large European and American institutional investors on Tuesday urged companies to refrain from taking shareholders to court over... .",0.0,2024-05-28
Exxon Mobil Corporation,"Yahoo Finance Why Exxon Mobil Corporation (XOM) Is the Best Crude Oil Stock to Buy Right Now In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against the other best crude oil stocks to buy right now. .",0.25,2024-12-01
Exxon Mobil Corporation,"Yahoo Finance Is Exxon Mobil Corp. (XOM) a Cheap NYSE Stock to Invest in Now? In this article, we are going to take a look at where Exxon Mobil Corp. (NYSE:XOM) stands against other cheap NYSE stocks to invest in now. .",0.0,2024-12-20
Exxon Mobil Corporation,"Yahoo Finance Exxon Mobil’s (XOM) 2030 Plan: Ambitious Goals and Strategies for a Stronger Future In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against the other best gas stocks to buy. .",0.872,2024-12-27
Exxon Mobil Corporation,"Exxon Mobil Corporation ExxonMobil and LG Chem Sign MOU for 100,000 Tons of Lithium Carbonate to Boost U.S. Critical Mineral Supply Chain Spring, TX and Seoul, SK – Exxon Mobil Corporation (NYSE: XOM) and LG Chem have signed a non-binding memorandum of understanding (MOU) for a multiyear... .",0.5622,2024-11-20
Exxon Mobil Corporation,AlphaStreet Key highlights from Exxon Mobil Corporation’s (XOM) Q3 2024 earnings results Exxon Mobil Corporation (NYSE: XOM) reported its third quarter 2024 earnings results today. Total revenues and other income remained relatively flat at $90... .,0.0,2024-11-01
Exxon Mobil Corporation,"Offshore magazine Tenaz strikes deal with Shell, ExxonMobil for NAM Offshore Tenaz Energy Corp. has an agreement with Nederlandse Aardolie Maatschappij (NAM), the joint venture in the Netherlands between Shell and ExxonMobil Corp.,... .",0.4215,2024-07-19
Exxon Mobil Corporation,The Guardian ExxonMobil accused of ‘greenwashing’ over carbon capture plan it failed to invest in Investigation reveals project oil giant promoted may never leave drawing board and has received no licence or government support. .,-0.2621,2024-03-31
Exxon Mobil Corporation,Exxon Mobil Corporation | ExxonMobil Can ships run on biofuel? ExxonMobil biofuels are helping reduce emissions across the hard-to-decarbonize shipping industry. Learn more about them and the work ExxonMobil is doing in... .,0.296,2024-05-30
Exxon Mobil Corporation,"Exxon Mobil Corporation ExxonMobil Announces First-Quarter 2024 Results Exxon Mobil Corporation today announced first-quarter 2024 earnings of $8.2 billion, or $2.06 per share assuming dilution. .",0.296,2024-04-26
Exxon Mobil Corporation,"Business Wire ExxonMobil elects Maria Jelescu Dreyfus to Board of Directors Exxon Mobil Corporation (NYSE: XOM) announced today that Maria Jelescu Dreyfus has joined its board of directors, effective May 3, 2024. Ms. Dreyfus i. .",0.4767,2024-05-07
