company,headline,sentiment,date
Home Depot Inc.,"StockNews HD: 3 High-Potential Dividend Growth Stocks for 2024 The Home Depot, Inc.(NYSE:HD): In times of market volatility, driven by geopolitical risks and political uncertainty, dividend growth stocks offer stability... .",0.1779,
Home Depot Inc.,"WFAA SRS Distribution agrees to $18B Home Depot buyout SRS Distribution Inc., a McKinney-based building materials company, has struck a deal to be acquired by The Home Depot for about $18.25 billion, including debt. .",-0.4019,
Home Depot Inc.,"The Motley Fool Why Pool Corp., Home Depot, and Lowe's Took a Dive Today Pool Corp. lowered full-year guidance on Monday. New pool construction could be down 15% to 20%, which doesn't bode well for the home improvement sector... .",-0.2991,
Home Depot Inc.,"Simply Wall Street Here's Why Home Depot (NYSE:HD) Can Manage Its Debt Responsibly Warren Buffett famously said, 'Volatility is far from synonymous with risk.' When we think about how risky a company is, we always like to look at its use... .",-0.2023,
Home Depot Inc.,As You Sow The Home Depot Inc: Sustainable Packaging Policies The Home Depot Inc: Sustainable Packaging Policies · Quantify the weight of total plastic packaging used by the Company; · Set a time-bound goal to make all its... .,0.0,
Home Depot Inc.,Bloomberg.com Home Depot Raises Outlook on Hurricane-Fueled Demand Home Depot Inc. lifted its forecast for a key sales metric after adverse weather propped up demand for home-improvement materials in the latest quarter. .,-0.5423,
Home Depot Inc.,Investopedia Home Depot Strikes Deal with NCAA Ahead of 'March Madness' Start Home Depot Inc. struck a three-year agreement to be an official corporate sponsor of the NCAA right before its signature college basketball championship... .,-0.4939,
Home Depot Inc.,"Class Action Lawsuits Home Depot class action claims advertises fake discounts Who: Plaintiffs Kevin Culbertson, Maria Gonzalez and Grace Condon filed a class action lawsuit against Home Depot U.S.A. Inc. Why: The plaintiffs claim that... .",-0.4215,
Home Depot Inc.,"Simply Wall Street Is There Now An Opportunity In The Home Depot, Inc. (NYSE:HD)? Today we will analyse the most recent data on Home Depot's outlook and valuation to see if the opportunity still exists. .",0.6808,
Home Depot Inc.,"Digital Commerce 360 The Home Depot’s Orange Apron retail media network adds new self-service platform Orange Apron's new platform, Orange Access, will enable new controls and campaign analytics visibility for The Home Depot's advertisers. .",0.0,
Home Depot Inc.,"Bloomberg.com Home Depot (HD) Narrows Guidance for Full Year Profit, Revenue Home Depot Inc. narrowed its guidance for a decline in this year's profit and revenue as home-improvement demand wanes. .",0.6486,
Home Depot Inc.,"24/7 Wall St. Home Depot (HD) Stock Price Prediction in 2030: Bull, Base and Bear Forecasts Founded by the iconic entrepreneur Arthur Blank, The Home Depot, Inc. (NYSE: HD) has grown to become the largest retailer in the home improvement sector. .",0.4588,
Home Depot Inc.,The Business Journals Home Depot names new customer satisfaction chief - Atlanta Business Chronicle Jordan Broggi is The Home Depot Inc.'s new executive vice president of customer experience and remains president of online operations. .,0.4404,
Home Depot Inc.,Digital Commerce 360 Home Depot explains plans for SRS Distribution acquisition The Home Depot Inc. announced it had agreed to acquire SRS Distribution for $18.25 billion on March 28. .,0.2732,
Home Depot Inc.,"The Business Journals Home Depot CFO hints at where new stores will pop up in major expansion Home Depot is planning to open new stores for the first time in years. In an exclusive interview, the chief financial officer told us a hint to map where... .",0.128,
Home Depot Inc.,"Pensions & Investments Appeals court rules for Home Depot in 401(k) lawsuit, also rebuffs DOL A federal appeals court ruled in favor of Home Depot in a lawsuit alleging mismanaging of its 401(k) plan while also rebuffing a petition by the Labor... .",-0.0258,
Home Depot Inc.,Fox Business Home Depot exec warns about violent threats workers face amid rise of retail theft Home Depot executive Scott Glenn testified before a congressional panel that the company and its workers are having to deal with a rise in violent organized... .,-0.9001,
Home Depot Inc.,Inc.com Home Depot’s Purchase of SRS Distribution Poses Limited Threat to Smaller DIY Retailers Home Depot is acquiring construction supplies network SRS Distribution may present more modest-size hardware companies with less cause for concern than normal. .,-0.6486,
Home Depot Inc.,"Entrepreneur Home Depot snaps up SRS in $18.25 billion deal To enhance Home Depot's offerings to professional tradespeople, the company has acquired SRS Distribution Inc. The world's largest home improvement retailer... .",0.4588,
Home Depot Inc.,Door and Window Market Magazine Report Accuses Jeld-Wen and Home Depot of Contributing to ‘Forest Crimes’ A report produced by the nonprofit Environmental Investigation Agency (EIA) accuses Jeld-Wen and The Home Depot Inc. of illegal deforestation. .,-0.8126,
Home Depot Inc.,"MarketScreener The Home Depot proves resilient -May 15, 2024 at 12:08 pm EDT Sales were down 2.3% on the first three months of the previous year, and earnings per share down 5%. Management is forecasting a stable 2024,... .",0.5267,
Home Depot Inc.,Bloomberg.com Home Depot to Buy Pro Supplier SRS for About $18.25 Billion Home Depot Inc. is making its biggest acquisition ever to win over more professional contractors as the company looks beyond its do-it-yourself roots to... .,0.5859,
Home Depot Inc.,"Hackread Alleged Home Depot Data Breach: IntelBroker Leaks 22,000 Employee Data The IntelBroker hacker has announced to have breached The Home Depot, Inc., and leak data of 22000 employees on Breach Forums. .",-0.34,
Home Depot Inc.,"Bloomberg Law News Weil, Latham Aid Home Depot's Plan to Buy SRS for $18.25 Billion Home Depot Inc. leaned on Weil, Gotshal & Manges for advice in its acquisition of building materials supplier SRS Distribution Inc. for $18.25 billion. .",0.0,
Home Depot Inc.,The Business Journals What Home Depot's CEO learned when he asked students about remote work Home Depot CEO Ted Decker speaks on navigating hybrid work schedules. .,0.0,
Home Depot Inc.,WSJ Home Depot’s Chief Information Officer on the Role of Tech After Pandemic Sales Boost The home-improvement retailer aims to increase and better serve its professional customers amid a pullback in consumer DIY projects. .,0.7845,
Home Depot Inc.,The Home Depot The Home Depot Announces 2023 Innovation Award Winners The Home Depot recognized innovations in home improvement that make tackling projects easier and more efficient for the Pro and DIYer at its annual 2023... .,0.9524,
Home Depot Inc.,planadviser 11th Circuit Appeals Court Rules With Home Depot on 401(k) Fee Suit The US 11th Circuit Court of Appeals affirmed the decision of a district court in a 401(k) excessive fee lawsuit against The Home Depot Inc. .,-0.2263,
Home Depot Inc.,Law360 Home Depot Reaches $20M Class Deal In False Blind-Ad Suit Home Depot has reached a roughly $20 million proposed class settlement to resolve allegations that it falsely advertised window treatments as discounted on... .,0.5267,
Home Depot Inc.,"Supply Chain Brain Home Depot to Open 4 New Distribution Centers in Appeal to Pro Customers The Home Depot, Inc. is opening four new distribution centers in North American cities, in a bid to attract more contractors and home-building professionals. .",0.3612,
Home Depot Inc.,Seeking Alpha Home Depot Q2: Efforts To Navigate Weak Demand Environment (NYSE:HD) Home Depot faces challenges with declining sales but is implementing strategies to adapt and recover. Read why I reiterate a Buy rating for HD stock. .,-0.2617,
