company,headline,sentiment,date
Johnson Johnson Corporation,"| Governance Intelligence
Johnson & Johnson names successor to veteran general counsel
Elizabeth Forminard will take over as general counsel at Johnson & Johnson in October this year. She will succeed Michael Ullmann.
.
20 Jul 2022",0.802,22-07-20
Johnson Johnson Corporation,"The Coca-Cola Company
Marie Quintero-Johnson
Marie D. Quintero-Johnson is vice president and head of corporate development for The Coca-Cola Company. She manages a team responsible for evaluating and...
.
24 Jun 2023",0.3182,23-06-24
Johnson Johnson Corporation,"Business Model Analyst
Johnson & Johnson SWOT Analysis (2025)
This Johnson & Johnson SWOT analysis will explore the corporation's internal strengths and weaknesses and the external opportunities and threats that could...
.
3 Dec 2024",0.0,24-12-03
Johnson Johnson Corporation,"Fierce Pharma
After Kenvue spinoff, J&J says it's 'uniting' Janssen and medtech segments under one brand
Alongside a new logo reveal Thursday, Johnson & Johnson unveiled some major changes to its corporate persona.
.
14 Sept 2023",0.0,
Johnson Johnson Corporation,"Chicago Sun-Times
Johnson chooses former Daley buildings commissioner to serve as corporation counsel
Mary Richardson-Lowry, a teacher's daughter, served as Chicago building commissioner, then school board president under former Mayor Richard M. Daley. Now, she...
.
1 Jun 2023",0.0,23-06-01
Johnson Johnson Corporation,"Mesothelioma Center
J&J Offers Its Former Talc Suppliers a $505M Settlement
Johnson & Johnson is offering Imerys Talc America and Cyprus Mines Corporation a multi-million dollar settlement of ongoing legal disputes.
.
23 Jul 2024",-0.1531,24-07-23
Johnson Johnson Corporation,"POLITICO.eu
BBC cancels primetime Boris Johnson interview after journalist gaffe
Corporation said the error made the program promoting Johnson's book “untenable.”
.
3 Oct 2024",-0.2732,24-10-03
Johnson Johnson Corporation,"Atlantic Council
Ten years on, Yezidi cases expose a lack of corporate accountability in US genocide law
The Genocide Accountability Act remains poorly equipped to handle cases of genocide in general, let alone to prosecute corporations specifically.
.
24 Jul 2024",-0.765,24-07-24
Johnson Johnson Corporation,"Johnson & Johnson
Johnson & Johnson Announces Collaborative Effort with USAID to Strengthen the Health Workforce Across Latin America and the Caribbean
Washington, D.C. (October 2, 2024) – Johnson & Johnson (NYSE: JNJ) today announced a collaborative effort with the U.S. Agency for International Development...
.
2 Oct 2024",0.3182,24-10-02
Johnson Johnson Corporation,"MedTech Dive
J&J appoints Shawn Millerick to lead vision care unit in the Americas
Johnson & Johnson named Shawn Millerick as the new president of its vision care unit in North and Latin America, the company said last week.
.
2 Dec 2024",0.8555,24-12-02
Johnson Johnson Corporation,"MSF Access Campaign
India must reject Johnson & Johnson’s attempt to extend monopoly on lifesaving TB drug bedaquiline
Ahead of the final hearing on a patent challenge by two TB survivors, MSF urges the Indian Patent Office to reject Johnson & Johnson's secondary patent...
.
16 Jan 2023",-0.5267,23-01-16
Johnson Johnson Corporation,"Johnson Controls
Johnson Controls Earns Top Score in Human Rights Campaign Foundation’s 2023-2024 Corporate Equality Index
These critical non-discrimination protections cover 21 million employees in the U.S. and around the globe. Johnson Controls' efforts in satisfying all the CEI's...
.
15 Dec 2023",0.3612,23-12-15
Johnson Johnson Corporation,"Sustainability Magazine
Johnson & Johnson on Balancing People, Planet & Profit
Global pharmaceutical giant Johnson & Johnson's 2023 Health for Humanity Report shows a balance of carbon-cutting, healthcare and driving profitability.
.
26 Jun 2024",0.6124,24-06-26
