company,headline,sentiment,date
Merck Co. Inc.,"Reuters
US FDA declines to approve Merck-Daiichi's 'guided missile' cancer drug
The U.S. Food and Drug Administration declined to approve Merck and Japan-based Daiichi Sankyo's lung cancer treatment, which belongs to a lucrative class...
.
27 Jun 2024",-0.8689,24-06-27
Merck Co. Inc.,"Fierce Pharma
Formulated Solutions inks deal to buy former Merck, Bayer manufacturing facility
Formulated Solutions, a Florida CDMO focused on consumer healthcare solutions, reached an agreement to purchase the former Merck & Co. and Bayer...
.
20 Dec 2022",0.8519,22-12-20
Merck Co. Inc.,"Merck KGaA
Agreement with Inspirna for Ompenaclid | Merck
Merck has entered a licensing agreement with Inspirna, Inc. for ompenaclid (RGX-202), in development for advanced colorectal cancer.
.
4 Jan 2024",0.4588,24-01-04
Merck Co. Inc.,"Merck KGaA
Merck Completes Acquisition of the Chemical Business of Mecaro
Merck announced the closing of the transaction to acquire M Chemicals Inc., the company recently incorporated by Mecaro Co. Ltd. to operate its chemical...
.
2 Jan 2023",0.0,23-01-02
Merck Co. Inc.,"Delaware Valley University
DelVal Alumna Accepts Scientist Position at Merck & Co, Inc.
Merck & Co., Inc. is a global pharmaceutical company headquartered in Rahway, New Jersey, that works to tackle some of the world's most unmet medical needs.
.
31 May 2023",0.3182,23-05-31
Merck Co. Inc.,"Business Wire
Merck Announces Pivotal Phase 3 ZENITH Trial Evaluating WINREVAIR™ (sotatercept-csrk) Met Primary Endpoint at Interim Analysis
WINREVAIR met primary endpoint of time to first morbidity or mortality event for the treatment of patients with pulmonary arterial hypertension (PAH)...
.
25 Nov 2024",0.0,24-11-25
Merck Co. Inc.,"Yahoo Finance
Merck & Co., Inc. (MRK): Among the Best Low Volatility Stocks to Invest In Now
The labor market shows resilience despite a slowdown in job gains and an uptick in the unemployment rate to 4.1%. Inflation has cooled significantly, nearing...
.
9 Nov 2024",0.3818,24-11-09
Merck Co. Inc.,"CSRwire
Merck: Supporting Colleagues Working With Cancer
There are so many unknowns after a cancer diagnosis — whether or not you receive support at work shouldn't be one of them. Published 05-04-23.
.
4 May 2023",-0.8465,23-05-04
Merck Co. Inc.,"Merck.com
How Merck scientists are driving next-generation cancer research
Our scientists are accelerating research by looking to improve anti-tumor immune response, targeting specific cancer cells and helping inhibit cancer growth.
.
3 Apr 2024",-0.836,24-04-03
Merck Co. Inc.,"Yahoo Finance
Is Merck & Co., Inc. (NYSE:MRK) the Most Undervalued Value Stock to Buy According to Analysts?
IN_THIS_ARTICLE: ... We recently compiled a list of the 8 Most Undervalued Value Stocks To Buy According To Analysts. In this article, we are going to take a look...
.
23 Oct 2024",0.6549,24-10-23
Merck Co. Inc.,"Yahoo Finance
Merck & Co Inc (MRK) Q3 2024 Earnings Call Highlights: Strong Oncology and Animal Health ...
Merck & Co Inc (NYSE:MRK) reported a 4% increase in revenues for the quarter, or 7% on a constant currency basis, driven by strong performance in key areas like...
.
1 Nov 2024",0.836,24-11-01
Merck Co. Inc.,"Pharmaceutical Technology
Merck completes acquisition of Harpoon Therapeutics
Harpoon will function as a wholly owned subsidiary of MSD. Credit: Copyright © 2024 Merck & Co., Inc., Rahway, NJ, USA and its affiliates.
.
12 Mar 2024",0.3818,24-03-12
Merck Co. Inc.,"Yahoo Finance
Is Merck & Co., Inc. (MRK) the Best Weight Loss Stock to Buy Now According to Hedge Funds?
The most recent, Ozempic and Mounjaro, offer significant advantages over previous products and have accelerated class growth,” “Indeed, the newest generations...
.
17 Dec 2024",0.7351,24-12-17
Merck Co. Inc.,"The Fiji Times
US plans shift of Merck COVID treatment to commercial market
(Reuters) - The U.S. government will stop distributing free doses of Merck & Co's COVID-19 antiviral treatment molnupiravir by the middle of next month and...
.
5 Oct 2023",0.2732,23-10-05
Merck Co. Inc.,"CSRwire
MSD Latin America President Sarah Aiosa
We're proud to celebrate Sarah M. Aiosa, SVP and president, Latin America, for being recognized as one of The Association of Latino Professionals for Americas'...
.
25 Oct 2023",0.7783,23-10-25
Merck Co. Inc.,"Reuters
Merck in talks to buy Harpoon Therapeutics for around $700 mln - Bloomberg News
Merck & Co is in advanced talks to buy cancer drugmaker Harpoon Therapeutics Inc for around $700 million, Bloomberg News reported on Sunday, citing people...
.
7 Jan 2024",-0.5267,24-01-07
Merck Co. Inc.,"Forbes
Is MRK Stock Undervalued At $100?
Merck (NYSE: MRK) recently reported its Q3 results, with revenues and earnings exceeding the street estimates.
.
7 Nov 2024",0.0,24-11-07
Merck Co. Inc.,"Insider Monkey
Is Merck & Co., Inc. (MRK) the Best Cheap Beginner Stock to Invest In?
Overall MRK ranks 2nd on our list of the cheap beginner stocks to invest in. While we acknowledge the potential of MRK as an investment, our conviction lies in...
.
26 Sept 2024",0.34,
Merck Co. Inc.,"Business Wire
Merck and Moderna Initiate Phase 3 Trial Evaluating Adjuvant V940 (mRNA-4157) in Combination with KEYTRUDA® (pembrolizumab) After Neoadjuvant KEYTRUDA and Chemotherapy in Patients With Certain Types of Non-Small Cell Lung Cancer (NSCLC
Merck (NYSE: MRK), known as MSD outside of the United States and Canada, and Moderna, Inc. (Nasdaq: MRNA), today announced the initiation of INTerpath.
.
28 Oct 2024",-0.128,24-10-28
Merck Co. Inc.,"Merck.com
Welcome home: Celebrating our new global headquarters
Colleagues across our company celebrated our “homecoming” and ushered in a new era of collaboration for patients around the world with a ribbon-cutting at...
.
29 Jun 2023",0.886,23-06-29
Merck Co. Inc.,"Amazon Web Services (AWS)
MSD Builds HawkAVI Platform on AWS to Reduce Product Reject Rates
Blog is guest authored by Nitin Kaul and Guglielmo Iozzia of Merck & Co., Inc. Improving the productivity of manufacturing operations is vital for...
.
23 Nov 2022",0.4588,22-11-23
Merck Co. Inc.,"FOX40
Merck Facing Two New Wrongful Death Suits From Mothers Of 10- And 12-Year-Old Girls Who Died After Receiving Gardasil
The deaths of these two young girls brings home the seriousness of the allegations against Merck: they exaggerated Gardasil's benefits and ignored the risks...
.
16 Feb 2024",-0.8316,24-02-16
Merck Co. Inc.,"CSRwire
Merck & Co. Named as a 2022 Best Place to Work for LGBTQ+ Equality
We are honored to be recognized by The Human Rights Campaign Foundation as a 2022 “Best Place to Work for LGBTQ+ Equality.
.
4 Mar 2022",0.8402,22-03-04
Merck Co. Inc.,"Seeking Alpha
Merck: A Low-Hanging Fruit To Pick (NYSE:MRK)
Merck, a leading global pharmaceutical company that produces a range of medicines, vaccines, and animal healthcare products, is now a $258 billion (by...
.
23 Dec 2024",0.0,24-12-23
Merck Co. Inc.,"Reuters
Moderna, Merck begin late-stage study for mRNA cancer therapy
Moderna and Merck & Co said on Monday they have started a late-stage trial of their experimental personalized mRNA cancer treatment in combination with...
.
11 Dec 2023",-0.8689,23-12-11
Merck Co. Inc.,"Pharmaceutical Technology
Merck reports 2% increase in worldwide sales in Q4 2022
Merck's GAAP EPS from continuing operations was $1.18, indicating a 22% decline. Credit: Copyright © 2023 Merck & Co., Inc., Rahway, NJ,...
.
3 Feb 2023",0.5994,23-02-03
Merck Co. Inc.,"Business Wire
Merck Announces Third-Quarter 2024 Financial Results
Total Worldwide Sales Were $16.7 Billion, an Increase of 4% From Third Quarter 2023; Excluding the Impact of Foreign Exchange, Growth Was 7%.
.
31 Oct 2024",0.5994,24-10-31
Merck Co. Inc.,"Insider Monkey
Merck & Co. Inc. (MRK): A Strong Investment as KEYTRUDA Sales Drive Revenue Growth
We recently published a list of 10 Best Major Stocks to Invest In According to Analysts. In this article, we are going to take a look at where Merck & Co.
.
30 Sept 2024",0.8779,
Merck Co. Inc.,"Reuters
Merck-Eisai's endometrial cancer therapy combo fails first-line treatment trial
Merck said on Friday a combination therapy being developed with partner Eisai failed a late-stage trial testing it as a first-line treatment for a type of...
.
8 Dec 2023",-0.8885,23-12-08
Merck Co. Inc.,"GovCon Wire
Who Are the Merck & Co., Inc Leaders and Executives?
Rob Davis was named Merck's Chief Executive Officer and President in July 2021. He previously served as the president of Merck's operating divisions.
.
24 Oct 2022",-0.5574,22-10-24
Merck Co. Inc.,"PR Newswire
Merck Animal Health's Fourth Veterinary Wellbeing Study Indicates Progress in Addressing Mental Health Challenges Among Veterinary Teams
PRNewswire/ -- Merck Animal Health, known as MSD Animal Health outside the United States and Canada, a division of Merck & Co., Inc., Rahway, N.J., USA...
.
15 Jan 2024",0.7096,24-01-15
Merck Co. Inc.,"MarketWatch
Merck & Co. Inc. stock falls Monday, underperforms market
Shares of Merck & Co. Inc. MRK. -0.53%. sank 0.91% to $88.53 Monday, on what proved to be an all-around grim trading session for the stock market,...
.
1 Aug 2022",-0.3612,22-08-01
Merck Co. Inc.,"Forbes
Should You Pick Merck Stock At $115 After A Q2 Beat?
Merck (NYSE: MRK) recently reported its Q2 results, with revenues and earnings exceeding our estimates. The company garnered $16.1 billion in revenue and...
.
1 Aug 2024",0.0,24-08-01
Merck Co. Inc.,"Contract Pharma
Merck
We aspire to be the premier research-intensive biopharmaceutical company. We're at the forefront of research to deliver innovative health solutions.
.
21 Dec 2024",0.5574,24-12-21
Merck Co. Inc.,"BioSpace
Gardasil Chinese Distribution Issue Still a Mystery to Analysts
After Merck noted the issue in its Q2 earnings call without providing specifics, analysts are left in the dark about the HPV vaccine's future in China.
.
7 Aug 2024",0.0,24-08-07
Merck Co. Inc.,"Yahoo Finance
Why Is Merck & Co., Inc. (MRK) Among the Best Dividend Stocks to Invest In?
In this article, we are going to take a look at where Merck & Co., Inc. (NYSE:MRK) stands against the other dividend stocks.
.
19 Dec 2024",0.6369,24-12-19
Merck Co. Inc.,"Pharmaceutical Technology
Merck’s net income for Q1 2024 increases by 69% to $4.76bn
Merck & Co Inc (MSD) has reported a significant increase in net income attributable to shareholders, reaching $4.76bn in the first quarter (Q1) of 2024.
.
26 Apr 2024",0.5994,24-04-26
Merck Co. Inc.,"Nasdaq
Merck (MRK) Up 17% YTD on Keytruda Strength: Should You Buy?
Merck's MRK stock has risen 17.5% so far this year, underperforming an increase of 24.2% for the industry, as seen in the chart below.
.
16 Jul 2024",0.6705,24-07-16
Merck Co. Inc.,"Reuters
Merck pursuing next-generation breaks in cardiometabolic drugs
Merck is focused on second- and third-generation opportunities in the cardiometabolic drugs market, which includes weight-loss treatments, the company said...
.
11 Jun 2024",0.6369,24-06-11
Merck Co. Inc.,"BNN Bloomberg
Merck Snags Chinese Cancer Drug For Up to $3.3 Billion
Merck & Co. will buy Prometheus Biosciences Inc. for about $10.8 billion to bolster its research pipeline and strengthen its portfolio of autoimmune drugs.
.
14 Nov 2024",-0.4767,24-11-14
Merck Co. Inc.,"Reuters
Germany's Merck raises 2024 forecast on healthcare, electronics units' performance
The maker of pharmaceuticals, lab gear and specialty chemicals now expects net sales to be between 20.7 billion euros ($22.49 billion) and 22.1 billion euros...
.
26 Jul 2024",0.0,24-07-26
Merck Co. Inc.,"Forbes
Why Did Merck Stock Rise 65%?
Investors have rewarded MRK stock thanks to the massive uptick for its blockbuster drug – Keytruda.
.
6 Sept 2024",0.875,
Merck Co. Inc.,"CNBC
Merck results beat expectations as top drugs Keytruda, Gardasil post strong sales
Merck reported fourth-quarter revenue and adjusted earnings that topped estimates as it saw strong demand for its blockbuster cancer drug Keytruda and HPV...
.
1 Feb 2024",0.7506,24-02-01
Merck Co. Inc.,"citybiz
Merck Animal Health to Acquire Vence
MADISON, N.J.–(BUSINESS WIRE)–Merck Animal Health, known as MSD Animal Health outside of the United States and Canada, a division of Merck & Co., Inc.,...
.
22 Sept 2022",0.4215,
Merck Co. Inc.,"Reuters
Merck stops testing combo drug for skin cancer as more patients discontinue
Merck said on Monday it had discontinued an experimental combination treatment testing a new type of immunotherapy in patients with a severe form of skin...
.
13 May 2024",-0.8225,24-05-13
Merck Co. Inc.,"Business Wire
CDC’S ACIP Recommends Merck’s CAPVAXIVE™ (Pneumococcal 21-valent Conjugate Vaccine) for Pneumococcal Vaccination in Adults 50 Years of Age and Older
CDC'S ACIP Recommends Merck's CAPVAXIVE™ (Pneumococcal 21-valent Conjugate Vaccine) for Pneumococcal Vaccination in Adults 50 Years of Age and Older.
.
23 Oct 2024",0.4215,24-10-23
Merck Co. Inc.,"Simply Wall Street
Market Still Lacking Some Conviction On Merck & Co., Inc. (NYSE:MRK)
There wouldn't be many who think Merck & Co., Inc.'s ( NYSE:MRK ) price-to-earnings (or ""P/E"") ratio of 20.2x is worth...
.
15 Oct 2024",0.0,24-10-15
Merck Co. Inc.,"GlobeNewswire
Unnatural Products, Inc. Enters Research Collaboration with Merck
Santa Cruz, Calif., Jan. 23, 2024 (GLOBE NEWSWIRE) -- Unnatural Products, Inc. (UNP), a biotech company pairing AI with chemistry to enable the next...
.
23 Jan 2024",0.0,24-01-23
Merck Co. Inc.,"Business Wire
Merck’s WELIREG® (belzutifan) Approved in China for the Treatment of Adult Patients With Certain Types of Von Hippel-Lindau (VHL) Disease-Associated Tumors
Merck's WELIREG Approved in China for the Treatment of Adult Patients With Certain Types of Von Hippel-Lindau (VHL) Disease-Associated Tumors.
.
22 Nov 2024",0.8316,24-11-22
Merck Co. Inc.,"Stock Titan
Career on Purpose (Episode 1): Merck's Skills-First Program
Discover Merck's innovative 'Skills-First' program, attracting talent without four-year degrees. Learn how this biopharmaceutical leader is reshaping career...
.
4 Oct 2024",0.8316,24-10-04
Merck Co. Inc.,"Reuters
Merck to discontinue drug for bacterial infection
Merck will discontinue its drug for a bacterial infection that can lead to fatal diarrhea, the U.S. Food and Drug Administration's website showed on Monday.
.
23 Dec 2024",-0.5423,24-12-23
Merck Co. Inc.,"Reuters
Merck raises 2024 profit forecast on surging sales of cancer drug Keytruda
Merck & Co on Thursday raised its annual profit and revenue forecasts on the back of double-digit growth for its blockbuster cancer drug Keytruda,...
.
25 Apr 2024",0.3612,24-04-25
