company,headline,sentiment,date
Nike Inc.,About Nike How Nike Is Improving Communities’ Climate Resilience Nike launched the Community Climate Resilience Program to help provide access to urban green spaces and parks and increase sports participation. .,0.8074,2023-10-26
Nike Inc.,"GuruFocus Decoding Nike Inc (NKE): A Strategic SWOT Insight This financial overview sets the stage for a deeper SWOT analysis of Nike Inc, as we explore the strengths, weaknesses, opportunities, and threats. .",0.0,2024-10-08
Nike Inc.,Financial Times Nike shares jump after sportswear maker replaces chief executive Shares in Nike jumped almost 10 per cent on Friday after the struggling sportswear maker replaced chief executive John Donahoe with retired executive Elliott... .,0.1531,
Nike Inc.,"About Nike A Look at What Team USA Will Wear This Summer Ahead of Paris, each member of Team USA will receive an exclusive Nike Athlete Bag, complete with apparel and footwear to help support them through every... .",0.7096,2024-07-17
Nike Inc.,About Nike U.S. Women’s Soccer Team Wins Olympic Gold in Paris The victory marks their seventh Olympic medal — and fifth gold — as they've made it to the medal podium in every Olympic Games except one since women's... .,0.872,2024-08-10
Nike Inc.,"About Nike Introducing the Nike Jam, the First Shoe Created for Breaking — NIKE, Inc. Nike is introducing a footwear and apparel collection for breaking ahead of the sport's arrival on the world's greatest stage. The Nike Jam, the first shoe... .",0.7351,2024-07-15
Nike Inc.,"Sneaker Bar Detroit Nike Air Force 1 Low ""Nike Inc"" Releases September 2024 The Nike Air Force 1 Low “Nike Inc” is a limited-edition release that adds a playful twist to the iconic silhouette. .",-0.0772,2024-08-22
Nike Inc.,"GuruFocus Nike Inc (NKE) Q2 Earnings: EPS of $0.78 Beats Estimates, Revenue Hits $12.4 Billion Key Insights from Nike's Latest Earnings Report · Revenue: $12.4 billion, slightly above the estimated $12.13 billion, but down 8% year-over-year. · Earnings... .",0.0,2024-12-19
Nike Inc.,"About Nike FY23 NIKE, Inc. Impact Report — Our $142.7 million community investment (or 2.1 percent of our pretax income) in FY23 reflects our support of equitable access to sport and inclusive... .",0.4019,2024-03-12
Nike Inc.,"Fitt Insider NIKE, Inc. Signs Historic Partnership Extension with NBA, WNBA and NBA G League Through 2037 Collaborating to enhance player, coach and program development opportunities across Nike Elite Youth Basketball League (EYBL) through expanded leadership,... .",0.3818,2024-11-12
Nike Inc.,"Bloomberg Nike Tumbles on Sales Warning as Rival Adidas Pushes Ahead Nike Inc. shares sank after the sneaker company's full-year outlook missed expectations, stoking investor concerns about waning demand and competition from... .",-0.4404,2024-06-28
