company,headline,sentiment,date
Procter Gamble,"Procter & Gamble
How 3 Strategic Partners Help Tampax “Flow It Forward” | P&G
Tampax works with its national network of partners — United Negro College Fund (UNCF), Period Education Project (PEP), and Black Women's Health Imperative (BWHI)...
.
17 May 2024",0.6705,24-05-17
Procter Gamble,"3BL Media
P&G Unveils New Strategy To Help Address Global Water Crisis
P&G's strategy aims to help build a water positive future by reducing water use in manufacturing, responding to water challenges through innovation and...
.
10 Jun 2022",0.7783,
Procter Gamble,"Dailynewsegypt
El-Khatib discusses Procter & Gamble’s projects, investment plans in Egypt
El-Khatib stressed the ministry's keenness to support Procter & Gamble – Egypt, to continue and expand in the Egyptian market, and increase its contribution to...
.
29 Oct 2024",0.743,
Procter Gamble,"Procter & Gamble
P&G recognizes accessibility champions on Global Accessibility Day
Meet Thibault Trancart: A True Accessibility Champion at P&G. Thibault Trancart was born sighted. Although cancer led to his loss of sight, he wouldn't change...
.
18 May 2022",0.5267,22-05-18
Procter Gamble,"THISDAYLIVE
Following GSK’s Exit, P&G Moves to Leave Nigeria
The Procter & Gamble (P&G), another multinational firm, has taken a decision to shut down its production lines and commence the exportation of its products...
.
7 Dec 2023",-0.0516,
Procter Gamble,"Procter & Gamble
P&G at the 2023 Deutsche Bank Global Consumer Conference
Jon Moeller, Chairman, President and Chief Executive Officer and Andre Schulten, Chief Financial Officer spoke with investors and analysts at the Deutsche Bank...
.
9 Jun 2023",0.0,
Procter Gamble,"Національне агентство з питань запобігання корупції
Procter & Gamble is recognized as an international sponsor of the war
Despite this, P&G's business still operates and develops in Russia. In particular, the household chemicals plant, which is the world's largest producer of...
.
2 Feb 2023",-0.5994,
Procter Gamble,"The Business Journals
P&G poised to settle class action lawsuit over benzene in deodorant products
Cincinnati-based Procter & Gamble is poised to settle a class action lawsuit over the presence of benzene in some products.
.
11 May 2022",0.0516,22-05-11
Procter Gamble,"Procter & Gamble
P&G Unveils New Strategy to Help Address Global Water Crisis
P&G's strategy aims to help build a water positive future by reducing water use in manufacturing, responding to water challenges through innovation and...
.
9 Jun 2022",0.7783,
Procter Gamble,"Cache Valley Daily
Procter & Gamble expanding in Box Elder County
The Procter & Gamble plant, located at 5000 Iowa String Road in Corinne, will be expanding over the next 20 years adding at least 100 jobs.
.
10 Feb 2023",0.0,
