company,headline,sentiment
Proctor Gamble Corporation,"NRDC
P&G Shareholders Signal Discontent Over Forest Failures
At P&G's October 10th annual shareholder meeting, shareholders with tens of billions of dollars' worth of shares voted against company leadership over its...
.
23 Oct 2023",0.0258
Proctor Gamble Corporation,"Insider Monkey
Is The Procter & Gamble Company (PG) the Best Stock to Buy According to Billionaire Ray Dalio?
Ranking 3rd in our list of the 10 best stocks to buy according to billionaire Ray Dalio is The Procter & Gamble Company (NYSE:PG). In Q2 2024, The Procter &...
.
5 Oct 2024",0.8555
Proctor Gamble Corporation,"Ad Age
How Procter & Gamble is re-investing in radio to find TV audiences
Procter & Gamble Co. invented soap operas on the radio nearly a century ago, but it moved the soaps and its budgets to TV in the 1950s, and for decades...
.
15 Mar 2023",0.0
Proctor Gamble Corporation,"Financial Times
Procter & Gamble counters ‘greedflation’ claims after margins rise
Procter & Gamble has lifted profit margins for the first time in two years after the world's largest maker of household goods pushed up prices for consumers.
.
21 Apr 2023",0.4404
Proctor Gamble Corporation,"Yahoo Finance
The Procter & Gamble Company's (NYSE:PG) Stock Has Been Sliding But Fundamentals Look Strong: Is The Market Wrong?
Procter & Gamble (NYSE:PG) has had a rough month with its share price down 3.7%. However, a closer look at its sound...
.
15 Nov 2024",0.4767
Proctor Gamble Corporation,"Beauty Packaging
Procter & Gamble is #4 on our Top Global Beauty Companies 2022 Report
P&G saw its overall net sales increase 7% to $76.1 billion in 2021—here are its major brands, acquisitions, key beauty executives & more...
.
24 Oct 2022",0.9382
Proctor Gamble Corporation,"BeautyMatter
| BeautyMatter
In less than two months, Procter & Gamble (P&G) has made its third prestige beauty acquisition, snapping up Tula Skincare. WHO: Co-founded in 2014 by Dr.
.
7 Jan 2022",0.5859
Proctor Gamble Corporation,"International Brotherhood of Teamsters
Teamsters Protest at Procter & Gamble Headquarters, Call on Company to Demand Supplier Monosol End Forced Labor
(CINCINNATI, Ohio) – Today, members of Teamsters Local 135 at MonoSol protested outside Procter & Gamble headquarters in Cincinnati, calling on the company...
.
7 Dec 2022",-0.7184
Proctor Gamble Corporation,"Global Cosmetics News
Procter & Gamble Company Profile
Procter & Gamble – United States of America. Brands: Aussie, Hair Food, Head & Shoulders, Herbal Essences, Pantene, Rejoice, VS, My Black is Beautiful, First...
.
9 Oct 2022",0.8625
Proctor Gamble Corporation,"Fibre2Fashion
US' Procter & Gamble reports 3% sales increase to $21.4 bn in Q2 FY24
American multinational consumer goods corporation Procter & Gamble (P&G) has reported a 3 per cent increase in net sales for the second quarter of fiscal...
.
24 Jan 2024",0.5574
Proctor Gamble Corporation,"Cybernews
Procter & Gamble confirm breach
Procter & Gamble (P&G), a US consumer goods behemoth, confirmed one of its companies was affected by Fortra's GoAnywhere vulnerability.
.
28 Mar 2023",-0.3612
Proctor Gamble Corporation,"St. Louis Economic Development Partnership
Proctor & Gamble Opens New Expansion in North St. Louis
Procter & Gamble Manufacturing Co. (P&G) opened its new $180 million expansion in North St. Louis on Friday, Sept. 13. The property improvements and new...
.
27 Sept 2024",0.3182
Proctor Gamble Corporation,"WCPO 9 Cincinnati
Procter and Gamble were progressive, but were they also abolitionists?
GLENDALE, Ohio — A hilltop farm in Glendale was a stop on the Underground Railroad. Decades later, it was purchased by a granddaughter of William Procter,...
.
20 Jul 2023",-0.4215
Proctor Gamble Corporation,"The New York Times
Procter & Gamble Sales Fall for First Time in Years as Inflation Squeezes Shoppers (Published 2023)
Procter & Gamble's sales fell for the first time in more than five years last quarter, the company reported on Thursday, as shoppers pulled back in the face of...
.
19 Jan 2023",0.0
Proctor Gamble Corporation,"Reuters
Focus: P&G drops forest pledge, drawing ire of green groups, investors
Global consumer products maker Procter & Gamble dropped its pledge from a corporate policy to not buy wood pulp from degraded forests, a company executive...
.
26 Jul 2023",-0.4215
Proctor Gamble Corporation,"Yahoo Finance
The Procter & Gamble Company (PG): Steady Sales Growth and Market Leadership
Despite challenges, the consumer staples sector has consistently outperformed other sectors, making it a popular choice for defensive investment strategies. The...
.
7 Nov 2024",0.646
Proctor Gamble Corporation,"ResearchGate
(PDF) How can a company increase its market share? The case of Procter & Gamble
This paper seeks to show, by examining P&G's course of action, that there is room for improvement and achievement (even in saturated industries such as the...
.
22 Oct 2024",0.7579
Proctor Gamble Corporation,"Newstalk KZRG
Procter & Gamble expansion creates jobs, investment in St. Louis
Procter & Gamble Company, a global leader in the manufacturing of a wide variety of consumer goods products, has expanded in St. Louis, investing $180 million...
.
27 Sept 2024",0.2732
Proctor Gamble Corporation,"PYMNTS.com
Procter & Gamble CFO Sees ‘Right Price Levels’ in US Market Amid Global Challenges
Recent challenges in key markets, particularly China and the Middle East, have significantly impacted sales for major corporations like Procter & Gamble,...
.
18 Oct 2024",0.4767
Proctor Gamble Corporation,"Yahoo Finance
Jim Cramer Says The Procter & Gamble Company (PG)’s ‘Got Insight In Everything From China To Raw Costs To Tariffs… I Love It’
“So let me give you the bottom line: Even though the post-Trump rally hangover has been vicious, it still hasn't taken most of the market down to levels where I...
.
20 Nov 2024",0.4019
Proctor Gamble Corporation,"ABC15 Arizona
Procter & Gamble lands major site plan approval for manufacturing plant
Procter & Gamble Co. is moving forward with infrastructure work for its future manufacturing campus in Arizona, but it has yet to announce a construction...
.
18 Nov 2024",0.2617
Proctor Gamble Corporation,"Fortune
From Tide Pods to Coach bags, how Fortune 500 companies use museums of their hits and misses to drive success
The “unit-dose” detergent pods became one of the biggest-ever hits for consumer products giant Procter & Gamble not long after their 2012 debut.
.
4 Jun 2024",0.4215
Proctor Gamble Corporation,"Національне агентство з питань запобігання корупції
Procter & Gamble is recognized as an international sponsor of the war
The National Agency on Corruption Prevention (NACP) included the American corporation Procter & Gamble (P&G) in the list of international sponsors of the war.
.
2 Feb 2023",-0.8316
Proctor Gamble Corporation,"The Business Journals
Cincinnati Bengals add Procter & Gamble as an official corporate partner
The Cincinnati Bengals have added Procter & Gamble as an official corporate partner. Here's what P&G gets in the deal.
.
22 Oct 2024",0.0
Proctor Gamble Corporation,"GlobeNewswire
North America Hand Sanitizer Market, Forecast to 2029:
Analyzing the Projected $2.58 Billion Market by Type (Alcohol-based, Non-Alcoholic), Product (Gel, Liquid, Foam, Spray, Others), Distribution Channel...
.
2 Dec 2024",0.4939
Proctor Gamble Corporation,"The Business Journals
Procter & Gamble unveils plans for $500 million manufacturing facility in Arizona
Cincinnati-based consumer goods giant Procter & Gamble Co. unveiled plans to build a massive fabric care manufacturing plant across more than 400 acres in...
.
11 Nov 2022",0.4939
Proctor Gamble Corporation,"MarketBeat
Procter & Gamble (NYSE:PG) Shares Up 0.1% - Here's Why
The Procter & Gamble Company (NYSE:PG - Get Free Report)'s share price traded up 0.1% on Tuesday. The company traded as high as $179.01 and last traded at $177...
.
26 Nov 2024",0.7717
Proctor Gamble Corporation,"ResearchGate
(PDF) Financial Performance Analysis of Procter & Gamble: Insights from Liquidity, Leverage, and Profitability Ratios
PDF | This report aims to analyze the financial performance of the major consumer goods-producing company Proctor & Gamble (P&G). Ratios including.
.
8 Oct 2024",0.2732
Proctor Gamble Corporation,"The New York Times
Double-Digit Price Increases Bolster Profits at Procter & Gamble (Published 2023)
The company raised prices 10 percent across its consumer brands for a second straight quarter and said its profit margin had widened.
.
21 Apr 2023",0.7717
Proctor Gamble Corporation,"TipRanks
Eli Lilly & Co Appoints Procter & Gamble CEO to Board
Eli Lilly & Co Appoints Procter & Gamble CEO to Board ... and never miss an update about LLY stock! An update from Eli Lilly & Co ( (LLY) ) is now available. Eli...
.
19 Nov 2024",0.1867
Proctor Gamble Corporation,"The Motley Fool
3 Reasons to Buy Procter & Gamble Stock Like There's No Tomorrow
It's never going to be a high-growth name, but what P&G lacks in growth it more than makes up for in other ways.
.
30 Mar 2024",0.3818
