company,headline,sentiment,date
Raytheon Technologies Corporation,"Society of Women Engineers Individuals in Engineering and Technology Recognized for STEM Achievements & Community Contributions SWE award recipients include professionals and collegiates from influential businesses, corporations, and universities across the globe. . 28 Aug 2023",0.7506,2023-08-28
Raytheon Technologies Corporation,"Technology Magazine Top 10 military technology companies putting AI into action From processing data to combat simulation, AI can be used in many military applications. We look at 10 of the top companies leading the way. . 7 Mar 2023",0.0516,2023-03-07
Raytheon Technologies Corporation,"Yahoo Finance Jim Cramer Wants You To Consider Raytheon Technologies Corp. (RTX) ‘If You’re Interested In Aerospace’ Jim Cramer noticed a strange pattern during the recent winning streak last week. According to Cramer, when a company reported earnings that were better than... . 26 Aug 2024",0.802,2024-08-26
Raytheon Technologies Corporation,"Reuters RTX CEO does not see 'transformative' deals, open to pruning business RTX is open to pruning and pairing its existing businesses rather than pursuing ""transformative"" mergers and acquisitions, the aerospace giant's CEO said on... . 11 Sept 2024",0.0,
Raytheon Technologies Corporation,HII Frank R. Jimenez Frank R. Jimenez is an attorney who is the vice president and general counsel of GE Healthcare and who served as the 21st General Counsel of the US Department... . 3 Apr 2023,0.0,2023-04-03
Raytheon Technologies Corporation,GovCon Wire Raytheon Receives $147M Navy Contract to Update Coyote UAS Design Raytheon Technologies (NYSE: RTX) has secured a $146.7 million contract from the US Navy to update the Coyote unmanned aircraft system. . 26 May 2023,0.4019,2023-05-26
Raytheon Technologies Corporation,PR Newswire Raytheon Technologies and SpiderOak Collaborate to Secure Satellite Communications in Proliferated Low-Earth Orbit PRNewswire/ -- Raytheon Technologies' (NYSE: RTX) BBN division and SpiderOak announced a strategic partnership to develop and field a new generation of... . 11 Apr 2023,0.34,2023-04-11
Raytheon Technologies Corporation,"Legal Dive RTX to pay $950M in bribery, fraud settlement: DOJ The Securities and Exchange Commission alleged that last decade RTX, formerly known as Raytheon, used bogus subcontracts with a supplier to pay bribes of... . 18 Oct 2024",-0.4404,2024-10-18
Raytheon Technologies Corporation,Military Aerospace Army asks RTX Raytheon to provide tactical networking for artillery fire command and control in Latvia IFATDS is the U.S. military export version of the Army's Advanced Field Artillery Tactical Data System (AFATDS) for artillery fire command and control. . 20 Sept 2024,-0.4215,
Raytheon Technologies Corporation,"Military Aerospace Navy asks RTX Raytheon for infrared-guided air-to-air missiles compatible with helmet-mounted displays PATUXENT RIVER NAS, Md. – U.S. Navy aerial warfare experts are asking RTX Corp. to build more than 1,200 AIM-9X precision short-range infrared-guided... . 4 Nov 2024",-0.296,2024-11-04
Raytheon Technologies Corporation,Washington Technology Raytheon Technologies shows more of its new alignment The aerospace-and-defense giant is moving several pieces of its portfolio around in a push to unlock more synergies. . 25 Apr 2023,0.0,2023-04-25
Raytheon Technologies Corporation,Action on Armed Violence - AOAV US arms giant Raytheon agrees to pay nearly $1 billion in fines for defrauding DoD and bribing Qatari official Raytheon Technologies Corporation (RTX) has agreed to pay over $950 million in fines after being accused of defrauding the US Department of Defense (DoD) and... . 18 Oct 2024,-0.5719,2024-10-18
Raytheon Technologies Corporation,"Military Aerospace Navy taps RTX Raytheon for critical radar hardware for missile defense aboard Burke-class surface warships WASHINGTON – Shipboard radar experts at RTX Corp. will build hardware for the new AN/SPY-6(V) Air and Missile Defense Radar (AMDR), which will be integrated... . 12 Jun 2024",-0.1779,2024-06-12
Raytheon Technologies Corporation,"CoStar News | Raytheon offloads Dallas plant, paving way for Porsche hub A subsidiary of Asbury Automotive Group, one of the largest automotive retailers in the United States, has purchased the site of a vacant manufacturing... . 13 Dec 2024",0.4215,2024-12-13
Raytheon Technologies Corporation,Defense Daily Kremer Tapped To Lead Raytheon Segment As Raytheon Technologies Settles Large Realignment Shifts Long-time executive Wes Kremer will lead the company's new Raytheon segment when it stands up in July as part of a reorganization of the company into three... . 25 Apr 2023,0.128,2023-04-25
Raytheon Technologies Corporation,"Nasdaq Lockheed Martin Vs. Raytheon Technologies: Which Is The Better Buy Post Q4 Earnings? Lockheed Martin Corp (NYSE:LMT) and RTX Corp (NYSE:RTX), aka Raytheon Technologies Corporation, are both significant players in the aerospace and defense... . 23 Jan 2024",0.5719,2024-01-23
Raytheon Technologies Corporation,CT Insider Pratt expansion efforts in the South should concern CT officials Aircraft engine maker Pratt & Whitney has more than 11000 Connecticut employees and manufacturing plants in East Hartford and Middletown. . 23 Jun 2023,0.0,2023-06-23
Raytheon Technologies Corporation,Investopedia RTX Gets a Boost From a Rise in Air Travel Demand and Military Spending RTX (RTX) shares surged close to 6% in intraday trading Tuesday after the aerospace and defense contractor posted better-than-expected results. . 23 Jan 2024,0.5994,2024-01-23
Raytheon Technologies Corporation,Statista Raytheon Technologies - net sales by segment 2022 Raytheon Technologies Corporation formed after the merger of United Technologies Corporation (UTC) and Raytheon Company in April 2020. . 1 Dec 2023,0.4215,2023-12-01
Raytheon Technologies Corporation,"Reuters RTX shares tumble on Pratt & Whitney airliner engine problem Pratt & Whitney on Tuesday hit fresh turbulence over a problem-plagued engine model, prompting a 10% drop in shares of parent RTX as it said more than 1000... . 25 Jul 2023",0.2263,2023-07-25
Raytheon Technologies Corporation,"Business Roundtable Season One, Episode Three: U.S. Competitiveness The CEOs of Raytheon Technologies Corporation, Union Pacific Railroad, Gap Inc. and Dow explain how tax increases on U.S. businesses would undermine the... . 8 May 2024",-0.296,2024-05-08
