company,headline,sentiment,date
UnitedHealth Group Inc.,"BreakingNews.ie | Irish News | Breaking News from Ireland
Gunman who killed UnitedHealthcare chief ‘left message on ammunition’
The masked gunman who stalked and killed the leader of one of the largest US health insurance companies on a Manhattan sidewalk used ammunition.
.
5 Dec 2024",-0.875,2024-12-05
UnitedHealth Group Inc.,"Seeking Alpha
UnitedHealth: Don't Let The Market Fool You
Dec. 25, 2024 8:30 AM ETUnitedHealth Group Incorporated (UNH) StockPFE, PFE:CA, UNH:CA, XLV, UNH28 Comments. JR Research · Investing Group Leader.
.
25 Dec 2024",-0.4404,2024-12-25
UnitedHealth Group Inc.,"CBS News
Health care providers struggle as cyberattack on UnitedHealth Group's subsidiary takes toll
It's being called the biggest cybersecurity attack on America's health care system. Hackers shut down a UnitedHealth Group medical payment processor three...
.
14 Mar 2024",0.25,2024-03-14
UnitedHealth Group Inc.,"MarketScreener
Insurer stocks fall after Trump says 'we're going to knock out the middleman' -December 16, 2024 at 03:44 pm EST
Shares of health insurers operating pharmacy benefit managers fell on Monday after US President-elect Donald Trump called them middlemen who drive up costs.
.
16 Dec 2024",0.6369,2024-12-16
UnitedHealth Group Inc.,"Reuters
UnitedHealth, Amedisys extend deadline to close $3.3 billion deal
UnitedHealth and Amedisys have agreed to extend the deadline to close their $3.3 billion merger agreement to next year, a filing showed on Friday,...
.
27 Dec 2024",0.7717,2024-12-27
UnitedHealth Group Inc.,"CBS News
UnitedHealth Group, in new statement, hopes arrest brings solace to slain CEO's family and friends
UnitedHealth Group is hoping Monday's arrest of a suspect in the killing of Brian Thompson, CEO of its insurance wing, will bring some comfort to those who...
.
10 Dec 2024",-0.0516,2024-12-10
UnitedHealth Group Inc.,"Hindustan Times
Chilling photos shows suspect aiming gun at UnitedHealthcare CEO Brian Thompson before deadly shooting
Law enforcement has released surveillance images of the suspect, and the investigation is ongoing. The company canceled its investor meeting, mourning the...
.
4 Dec 2024",-0.8316,2024-12-04
UnitedHealth Group Inc.,"MarketScreener
UnitedHealth Group confirms targets -July 16, 2024 at 09:28 am EDT
UnitedHealth Group has published its results for the second quarter of 2024, slightly better than expected, showing growth in its Optum and UnitedHealthcare...
.
16 Jul 2024",0.6378,2024-07-16
UnitedHealth Group Inc.,"NBC New York
What to know about UnitedHealthcare CEO Brian Thompson, shot and killed in NYC Wednesday
Thompson was set to speak at UnitedHealthcare's annual investor meeting at a midtown Manhattan hotel, before he was shot outside in what police are...
.
4 Dec 2024",-0.6705,2024-12-04
UnitedHealth Group Inc.,"Yahoo Finance
Invest with Confidence: Intrinsic Value Unveiled of UnitedHealth Group Inc
In this article, we will take a look into UnitedHealth Group Inc's (NYSE:UNH) DCF analysis, a reliable and data-driven approach to estimating its intrinsic...
.
9 Dec 2024",0.6908,2024-12-09
UnitedHealth Group Inc.,"Bloomberg.com
UnitedHealth Emails Reveal Tension Over Cuts to Doctor Pay
UnitedHealth Group Inc. systematically cut what it paid for emergency room visits and mental health care to doctors outside of its network.
.
5 Nov 2024",-0.6597,2024-11-05
UnitedHealth Group Inc.,"Insurance Journal
Grief, Then Confusion: Questions of Motive Emerge in UnitedHealthcare CEO’s Killing
Brian Thompson, a UnitedHealth Group Inc. executive, was fatally shot in midtown Manhattan in what authorities described as a targeted attack.
.
5 Dec 2024",-0.9524,2024-12-05
UnitedHealth Group Inc.,"MassLive
Brian Thompson, the CEO of UnitedHealthcare, fatally shot, AP source says
Brian Thompson, the CEO of UnitedHealthcare, was fatally shot outside a hotel in midtown Manhattan on Wednesday morning, according to a person briefed on the...
.
4 Dec 2024",-0.8555,2024-12-04
UnitedHealth Group Inc.,"Yahoo Finance
UnitedHealth, Amedisys waive right to terminate merger pact
In a regulatory filing, Amedisys (AMED) stated, “As previously disclosed, on June 26, 2023, Amedisys, UnitedHealth Group (UNH), and Aurora Holdings Merger...
.
28 Dec 2024",0.0,2024-12-28
UnitedHealth Group Inc.,"Simply Wall Street
Is It Worth Considering UnitedHealth Group Incorporated (NYSE:UNH) For Its Upcoming Dividend?
It looks like UnitedHealth Group Incorporated ( NYSE:UNH ) is about to go ex-dividend in the next 3 days. The...
.
5 Dec 2024",0.5267,2024-12-05
UnitedHealth Group Inc.,"Investopedia
UnitedHealth Stock Slides as Cyberattack Continues To Affect Outlook
Shares of UnitedHealth Group tumbled Tuesday as the company lowered its full-year outlook to reflect the impact of a February cyberattack against its Change...
.
15 Oct 2024",0.1779,2024-10-15
UnitedHealth Group Inc.,"PYMNTS.com
AI Opportunities, Cyber Vulnerabilities Define UnitedHealth’s Latest Earnings
In February, UnitedHealth Group Inc.'s Change Healthcare unit suffered a far-reaching cyberattack. Per remarks by UnitedHealth's executives on Tuesday's...
.
16 Jul 2024",-0.296,2024-07-16
UnitedHealth Group Inc.,"Forbes
UnitedHealth Group Profits Eclipse $6 Billion As Cyberattack Costs Subside
UnitedHealth Group reported $6 billion in third quarter earnings thanks to its diversified portfolio of health insurance and medical care provider services.
.
15 Oct 2024",0.8402,2024-10-15
UnitedHealth Group Inc.,"Dallas News
Who is Brian Thompson, the UnitedHealth exec killed in New York
Brian Thompson, who was 50, ran the insurance arm of the giant UnitedHealth Group Inc. since 2021 and had worked at the company for 20 years.
.
4 Dec 2024",-0.6705,2024-12-04
UnitedHealth Group Inc.,"Bloomberg.com
Police Arrest Person of Interest in NY Shooting of Insurance CEO
A 26-year-old man named as a person of interest in the fatal shooting of UnitedHealth Group Inc. executive Brian Thompson was arrested in Pennsylvania on...
.
9 Dec 2024",-0.4588,2024-12-09
