company,headline,sentiment,date
Verizon Communications Inc.,"MarketBeat Verizon Communications (NYSE:VZ) Issues FY 2024 Earnings Guidance Verizon Communications (NYSE:VZ) updated its FY 2024 earnings guidance. The company provided EPS guidance of 4.500-4.700 for the period, compared to the... .",0.0,2024-10-30
Verizon Communications Inc.,Hargreaves Lansdown Verizon: full-year guidance unchanged after flat Q3 revenue Verizon's third-quarter revenue was flat despite solid progress in the emerging fixed wireless division. .,-0.4168,2024-10-21
Verizon Communications Inc.,"Benzinga T-Mobile Hit By Chinese Hackers After Rivals AT&T, Verizon Suffer Breach: Report A major cyber-espionage operation linked to Chinese intelligence has reportedly infiltrated T-Mobile US Inc. TMUS+1.46%. Get Free Report. .",0.4404,2024-11-15
Verizon Communications Inc.,USA Today Verizon to buy Frontier Communications in $20 billion deal to boost fiber network Verizon announced Thursday it had entered into an agreement to acquire Frontier Communications in a deal valued at $20 billion. .,0.8316,
Verizon Communications Inc.,"Law.com A Growing Type of Fraud Has Put Verizon in the Hot Seat in Federal Court New York-based Verizon Communications Inc. has been hit with a suit claiming one of its technicians helped hackers pull off a $67,000 cryptocurrency fraud... .",-0.4767,2023-11-14
Verizon Communications Inc.,Law360 Verizon Hit With $847M Patent Verdict In EDTX An Eastern District of Texas federal jury on Friday said Verizon should pay $847 million for infringing two General Access Solutions wireless network patents. .,0.2263,2024-06-28
Verizon Communications Inc.,"Morningstar After Earnings, Is Verizon Stock a Buy, a Sell, or Fairly Valued? With soft cash flow and slowing phone upgrade trends, here's what we think of Verizon's results. .",0.4404,2024-07-31
Verizon Communications Inc.,"Yahoo Finance Is Verizon Communications (VZ) One of the Best Stocks to Buy and Hold for 3 Years? In this article, we are going to take a look at where Verizon Communications Inc. (NYSE:VZ) stands against the other best stocks to buy and hold for 3 years. .",0.8555,2024-12-23
Verizon Communications Inc.,"Pensions & Investments Verizon dials up annuities to transfer $5.9 billion in pension liabilities Verizon Communications Inc., New York, purchased group annuity contracts from Prudential Insurance Co. of America and RGA Reinsurance to transfer about $5.9... .",-0.2023,2024-03-06
Verizon Communications Inc.,Benzinga What's Going On With Verizon Stock? - Verizon Communications (NYSE:VZ) Shares are trading lower by 3.84% to $41.31 during Wednesday's session after a WSJ report indicated the company is in advanced discussions to acquire Frontier... .,0.25,
Verizon Communications Inc.,AlphaStreet VZ Earnings: Highlights of Verizon’s Q3 2023 financial results Verizon Communications Inc. (NYSE: VZ) on Tuesday reported lower revenues and adjusted earnings for the third quarter of 2023. .,-0.296,2023-10-24
Verizon Communications Inc.,"Seeking Alpha Verizon: The Final Frontier (NYSE:VZ) Sep. 09, 2024 11:01 AM ETVerizon Communications Inc. (VZ) Stock, VZ:CA StockFYBR, VZ, VZ:CA27 Comments 2 Likes. Quad 7 Capital · Investing Group Leader. .",0.4215,
Verizon Communications Inc.,"Insider Monkey Why Verizon Communications (VZ) Is Among the Best Long-Term Dividend Stocks to Invest in Right Now We recently compiled a list of the 12 Best Long-Term Dividend Stocks to Invest in Right Now. In this article, we are going to take a look at where Verizon... .",0.8555,2024-12-12
Verizon Communications Inc.,"GlobeNewswire Verizon, ForgiveCo launch $3M Veteran Debt Relief Program to alleviate hardships for veterans this holiday season Verizon and ForgiveCo are proud to announce a transformative partnership to eliminate $3 million in consumer debt for veterans across Michigan, Missouri, and... .",0.6514,2024-11-11
Verizon Communications Inc.,"Yahoo Finance Verizon Communications Inc. (VZ): Close to Becoming a Dividend Aristocrat In this article, we are going to take a look at where Verizon Communications Inc. (NYSE:VZ) stands against the other stocks that are close to becoming dividend... .",0.0,2024-12-03
Verizon Communications Inc.,MarketBeat Verizon Communications (NYSE:VZ) Trading Down 0% - Time to Sell? Verizon Communications Inc. (NYSE:VZ - Get Free Report)'s stock price fell 0% during trading on Monday. The stock traded as low as $41.32 and last traded at $... .,0.296,2024-11-04
Verizon Communications Inc.,Bloomberg.com Verizon (VZ) Reports Profit Beat and Boost in Wireless Subscribers Verizon Communications Inc. shares dropped on Monday after the company reported continued customer losses and lagging revenue. .,0.4588,2024-04-22
Verizon Communications Inc.,Irish Examiner Verizon's Irish unit sees profit drop The directors of Verizon Services Ireland Ltd state that future developments include establishing the new global centre of excellence in Limerick. .,0.7096,2024-08-19
Verizon Communications Inc.,"Seeking Alpha Verizon Is Headed For Perpetual Debt Unless The Dividend Is Cut (Rating Upgrade) (NYSE:VZ) Verizon's financial challenges and substantial debt raise concerns, impacting future projections despite positive aspects like free cash flow. .",-0.6941,2024-01-24
Verizon Communications Inc.,"BNN Bloomberg Verizon to Buy $1 Billion in Spectrum From US Cellular Verizon Communications Inc., the biggest wireless carrier in the US, will buy some of US Cellular Corp.'s spectrum licenses for $1 billion as the tower... .",0.0,2024-10-18
Verizon Communications Inc.,"IDA Ireland Verizon to expand into the Mid-West with a Global Centre of Excellence in Limerick City Verizon Communications Inc. (Verizon), one of the world's leading providers of enterprise and consumer communications and technology services has announced... .",0.7506,2023-12-11
Verizon Communications Inc.,"MarketBeat Charles Schwab Investment Management Inc. Boosts Stock Holdings in Verizon Communications Inc. (NYSE:VZ) Verizon Communications Stock Performance. Shares of VZ stock traded up $0.34 on Thursday, hitting $42.57. The company had a trading volume of 9,169,229 shares,... .",0.5423,2024-11-21
Verizon Communications Inc.,MarketBeat Zacks Research Issues Pessimistic Forecast for VZ Earnings Verizon Communications Inc. (NYSE:VZ - Free Report) - Stock analysts at Zacks Research dropped their FY2025 earnings per share estimates for Verizon... .,0.4588,2024-12-19
Verizon Communications Inc.,"Bloomberg.com Verizon’s $9.6 Billion Bid for Frontier Expands Broadband Verizon Communications Inc., the largest US phone company, agreed to buy rival telecommunications operator Frontier Communications Parent Inc. for about... .",0.3612,
Verizon Communications Inc.,"StockNews VZ: 3 High-Yield Dividend Stocks to Boost Your Portfolio Verizon Communications Inc.(NYSE:VZ): Even though inflation appears to be cooling down, it still remains above the Fed's 2% target. .",0.4019,2024-06-11
Verizon Communications Inc.,Reuters US reaches $31.5 million settlement with T-Mobile over data breaches T-Mobile has reached a $31.5 million settlement to resolve a probe by the Federal Communications Commission into significant data breaches over three years... .,0.6124,
Verizon Communications Inc.,"Insider Monkey What Makes Verizon Communications (VZ) a Lucrative Investment? Aristotle Capital Management, LLC, an investment management company, released its “Value Equity Strategy” third quarter 2024 investor letter. .",0.0,2024-10-14
Verizon Communications Inc.,"Seeking Alpha Verizon Stock: A Deep Value Play (NYSE:VZ) Verizon's Q2 performance is promising for investors, with strong operating metrics, growth in EBITDA, and undervalued stock potential. See why VZ stock is a... .",0.9081,2024-08-19
Verizon Communications Inc.,"Tennessee Titans Tennessee Titans Announce Verizon as Exclusive Wireless Telecommunications Provider and First Cornerstone Partner in New Nissan Stadium Verizon will provide state-of-the-art technology and wireless solutions, keeping fans connected in the new building, which is scheduled to open in 2027. .",0.296,2024-01-30
Verizon Communications Inc.,"Monumental Sports Verizon Business partners with Monumental Sports & Entertainment to maintain its best-in-class, tech-forward leadership at Capital One Arena Capital One Arena partners with Verizon Business to add to current service and provide: Rapid Response Retainer (RRR) services Managed Security Information... .",0.6369,
Verizon Communications Inc.,"Reuters US EPA plans to hold meetings with AT&T, Verizon on lead telecom cables The U.S. Environmental Protection Agency (EPA) said on Thursday it is seeking meetings this month with AT&T and Verizon as it continues to closely review... .",0.0,2024-01-11
Verizon Communications Inc.,"Bloomberg Law News Verizon Faces Suit Over Pension Risk Transfer to Prudential, RGA Verizon Communications Inc. was hit with a proposed class action Monday by retirees who say it improperly shifted pension benefit responsibilities to “risky”... .",0.2263,2024-12-30
Verizon Communications Inc.,Law360 Wireless Group Backs Verizon In Fight Over FCC Privacy Fine A major wireless industry group has urged the Second Circuit to deep-six the Federal Communications Commission's nearly $47 million fine against Verizon for... .,-0.0516,2024-11-12
Verizon Communications Inc.,BNN Bloomberg Verizon Lines Up $10 Billion in Debt for Frontier Acquisition Verizon Communications Inc. has lined up $10 billion of short-term bank funding to help fund its purchase of Frontier Communications Parent Inc. .,0.0516,2024-10-08
Verizon Communications Inc.,"Seeking Alpha Verizon: Strong Growth Ahead (NYSE:VZ) Verizon's Q2 FY2024 results showed growth in wireless service revenue, EBITDA, and free cash flow. Learn why VZ stock is a Buy. .",0.8957,
Verizon Communications Inc.,"The National Law Review Phishing Subpoenas – A New Privacy Threat? A new lawsuit against Verizon Communications, Inc. alleges in a North Carolina federal court complaint that the company violated federal privacy law. .",-0.872,2024-08-26
Verizon Communications Inc.,Computer Weekly Verizon and Skylo team for satellite-based IoT and messaging Verizon has announced a collaboration with non-terrestrial network (NTN) communications company Skylo to launch a commercial direct-to-device messaging service... .,0.0,
Verizon Communications Inc.,"Forbes Verizon Named ‘Top Dividend Stock Of The Dow’ With 6.5% Yield Verizon Communications has been named as the ''Top Dividend Stock of the Dow'', according to Dividend Channel, which published its most recent ''DividendRank''... .",0.0,2024-10-23
Verizon Communications Inc.,"Yahoo Finance Why Is Verizon Communications Inc. (VZ) Among the Best Dividend Stocks to Invest In? In this article, we are going to take a look at where Verizon Communications Inc. (NYSE:VZ) stands against the other dividend stocks. .",0.6369,2024-12-19
Verizon Communications Inc.,"MarketBeat Verizon Communications Inc. (NYSE:VZ) Shares Sold by Martingale Asset Management L P Verizon Communications Inc. has a 52-week low of $36.46 and a 52-week high of $45.36. The stock has a market cap of $186.65 billion, a price-to-earnings ratio... .",0.3818,2024-11-29
Verizon Communications Inc.,"Seeking Alpha Verizon: Frustrations Mount (NYSE:VZ) Verizon's financial performance remains weak despite a recent dividend hike, with Q3'24 revenues down 0.1%. Read why I remain neutral on VZ stock. .",-0.7096,2024-10-27
Verizon Communications Inc.,"PR Newswire Verizon Launches Siyata SD7 As Part of Its Stocked Handset Portfolio PRNewswire/ -- Verizon, in collaboration with Siyata Mobile Inc., is proud to announce the launch of the Siyata SD7, a purpose-built, mission-critical... .",0.4767,2024-07-26
Verizon Communications Inc.,"MarketWatch Verizon Communications Inc. stock underperforms Friday when compared to competitors Referenced Symbols ... Shares of Verizon Communications Inc. ... rising 0.35% to 38,654.42. Verizon Communications Inc. closed $1.08 short of its 52-week high ($... .",0.296,2024-02-02
Verizon Communications Inc.,"Nasdaq Is Wall Street Bullish or Bearish on Verizon Communications Stock? New York-based Verizon Communications Inc. (VZ) provides communications, technology, information, and entertainment products and services to consumers,... .",0.4215,2024-11-06
Verizon Communications Inc.,"WSJ Verizon Stock Falls After Revenue Misses Expectations Verizon Communications' revenue rose slightly last quarter, but fell short of expectations, as the company lost fewer postpaid phone connections than expected. .",-0.5267,2024-04-22
Verizon Communications Inc.,"Hindustan Times How Elon Musk's Starlink may face license delay in India due to Verizon case Elon Musk's Starlink may be facing a delay while entering India due to the problems faced by the government in the part with Verizon, says a report. .",-0.743,2024-01-29
Verizon Communications Inc.,"New Jersey Business Magazine Verizon to Acquire Frontier for $20B Verizon Communications Inc. and Frontier Communications Parent, Inc. have entered into a definitive agreement for Verizon to acquire Frontier. .",0.4939,
Verizon Communications Inc.,"Proactive financial news Verizon Q3 revenue misses estimates despite wireless gains Verizon Communications Inc (NYSE:VZ, ETR:BAC) posted a revenue miss for the third quarter, sending its shares lower. Revenue for the period was $33.33... .",-0.1867,2024-10-22
Verizon Communications Inc.,Seeking Alpha Verizon says services restored after outage impacted more than 100k users (NYSE:VZ) Verizon (NYSE:VZ) late on Monday said it restored services back to normal after a sizable outage affected many users across the country. The telecom company... .,0.4939,2024-10-01
Verizon Communications Inc.,"Bloomberg.com Verizon Lines Up $10 Billion in Debt for Frontier Acquisition Verizon Communications Inc. has lined up $10 billion of short-term bank funding to help fund its purchase of Frontier Communications Parent Inc.,... .",0.0516,2024-10-08
Verizon Communications Inc.,"Seeking Alpha Verizon: Rally Isn't Over Yet - Be Patient (NYSE:VZ) Verizon Communications Inc. (VZ) Stock, VZ:CA Stock AAPL, AAPL:CA, FYBR 26 Comments JR Research Investing Group Leader Follow Play (9min) .",0.34,2024-12-08
Verizon Communications Inc.,Seeking Alpha Verizon: A New Chapter In Telecom History Verizon's strategic acquisition of Frontier Communications for $20B aims to expand its fiber broadband footprint. See why I continue to rate VZ stock a buy. .,0.3182,2024-10-15
Verizon Communications Inc.,"GlobeNewswire In Preparation for Hurricane Milton Landfall, Verizon Offers Relief to Impacted Customers Call/Text/Data usage incurred by customers in Florida's hardest hit counties will be waived from Oct. 9th-Oct. ... .",0.4767,2024-10-08
Verizon Communications Inc.,"GlobeNewswire Verizon Frontline Crisis Response Team supports 800+ agencies during 2024 emergency responses What you need to know: The Verizon Frontline Crisis Response Team deployed nearly 900 times in 2024, supporting first responders in nearly every state and. .",-0.7506,2024-12-18
Verizon Communications Inc.,markets.businessinsider.com Verizon Stock Before Q2 Earnings: To Buy or Not to Buy? Verizon Communications Inc. (NYSE: VZ) is scheduled to report second-quarter 2024 earnings on Jul 22. The Zacks Consensus Estimate for second-quar... .,0.0,2024-07-17
Verizon Communications Inc.,"Fast Company Verizon customers report major outage on mobile network Tens of thousands of Verizon users reported outages for the wireless carrier's services across the US on Monday, with Chicago and Indianapolis among the... .",0.0,
Verizon Communications Inc.,"Business Wire Office Depot Announces a New Agreement with Verizon for Select Retail Locations Office Depot, an operating company of The ODP Corporation and a leading omnichannel retailer dedicated to helping its small business, home office,... .",0.8126,2024-12-04
Verizon Communications Inc.,GlobeNewswire Verizon redefines clear connections on-the-go with the launch of Enhanced Video Calling Enhanced Video Calling is a new technology feature allowing Verizon's gold-standard network to intelligently adapt and manage data from video communication... .,0.6808,2024-12-11
Verizon Communications Inc.,"Dallas News Verizon in talks to buy Dallas-based Frontier Communications Verizon Communications Inc. is in advanced talks to acquire rival telecommunications operator Frontier Communications Parent Inc., according to a person... .",0.25,
Verizon Communications Inc.,Seeking Alpha Verizon Communications: High-Quality Business Trading At An Attractive Discount To Intrinsic Value We believe Verizon's current stock translates to an attractive discount to intrinsic value. Click here for our investment thesis on VZ stock. .,0.8625,2024-10-16
Verizon Communications Inc.,"Yahoo Finance Verizon Communications Inc. (NYSE:VZ) is largely controlled by institutional shareholders who own 65% of the company Hedge funds don't have many shares in Verizon Communications. The Vanguard Group, Inc. is currently the largest shareholder, with 8.5% of shares outstanding. .",0.3013,2024-12-29
Verizon Communications Inc.,"Morningstar Wireless Remains the Driving Force at Verizon Despite Broadband Expansion Verizon Communications is primarily focused on the wireless business, where it has taken steps to ensure it remains well positioned. .",0.743,2024-10-22
Verizon Communications Inc.,The New York Times Verizon Is Restoring Service After Outages Reported Across the U.S. Verizon said its engineers were restoring service on Monday evening after thousands of users across the United States reported outages on Monday morning. .,0.7351,
Verizon Communications Inc.,"MarketWatch Verizon puts price tag on buyouts and says nearly 5,000 employees are leaving Verizon Communications Inc. said Thursday it expects charges of up to $1.9 billion in its third quarter in connection with employee buyouts. .",-0.2732,
Verizon Communications Inc.,"MarketBeat UBS Group Issues Positive Forecast for Verizon Communications (NYSE:VZ) Stock Price UBS Group upped their price objective on Verizon Communications from $44.00 to $45.00 and gave the company a ""neutral"" rating in a report on Friday. .",0.5574,2024-12-20
Verizon Communications Inc.,"StockNews VZ: 3 High-Dividend Yield Stocks to Buy Before September Ends Verizon Communications Inc.(NYSE:VZ): As economic sentiments fluctuate, high-dividend stocks are the only ones that provide cushion regardless of the... .",0.0,
Verizon Communications Inc.,BNN Bloomberg Verizon Says Engineers Have Solved Wireless Service Issue Verizon Communications Inc. said Monday its engineers resolved a network problem that interrupted service for a number of customers. .,-0.2023,
Verizon Communications Inc.,GlobeNewswire Verizon Frontline Crisis Response Team introduces two new deployable assets Verizon Frontline today announced the launch of two new deployable asset prototypes designed to support the mission-critical communications needs of first... .,0.2023,2024-10-23
Verizon Communications Inc.,"Bloomberg Law News Wall Street Law Firms Steer Verizon's $9.6 Billion Frontier Buy Lawyers from Debevoise & Plimpton, Cravath Swaine & Moore, and Paul Weiss Rifkind Wharton & Garrison guided Verizon Communications Inc.'s $9.59 billion... .",0.0,
Verizon Communications Inc.,Fox Business Verizon $100M class-action settlement: How to submit your claim Eligible Verizon customers have a short amount of time left to claim a portion of the $100 million settlement the wireless carrier reached in a case over... .,0.1027,2024-04-15
Verizon Communications Inc.,ESG Dive Verizon allocates $1B green bond proceeds to renewable energy projects The telecommunications provider's investment builds on its goal to achieve net-zero emissions across its operations by 2035. .,0.2732,2024-02-21
Verizon Communications Inc.,"Wireless Estimator Verizon to acquire Frontier Communications in $20 billion deal, expanding fiber network across 31 states Verizon Communications Inc. announced its agreement to acquire Frontier Communications Parent, Inc. in an all-cash transaction valued at $20 billion this... .",0.7269,
Verizon Communications Inc.,"GlobeNewswire 5G Services Market Skyrockets to $3,244.40 Billion by 2031 Dominated by Tech Giants - Verizon Communications Inc, Huawei Technologies Co Ltd and Telefonaktiebolaget LM Ericsson | The Insight Partners The global 5G services market is set for explosive growth, with projections indicating a surge to $3244.40 Billion by 2031. This remarkable expansion,... .",0.7351,2024-11-28
Verizon Communications Inc.,CNN Verizon confirms service is back online after a major outage Verizon has confirmed that its cell service is back online following a massive outage affecting some of its mobile phone customers. .,0.0,
Verizon Communications Inc.,MarketBeat Verizon Communications (NYSE:VZ) Stock Price Down 0% - Time to Sell? Verizon Communications Inc. (NYSE:VZ - Get Free Report) traded down 0% during mid-day trading on Monday. The stock traded as low as $40.44 and last traded at $... .,0.296,2024-11-11
Verizon Communications Inc.,"Reuters Verizon in $3.3 bln mobile tower deal with infrastructure firm Vertical Bridge Verizon Communications will give infrastructure firm Vertical Bridge rights to lease, operate and manage thousands of mobile phone towers for $3.3 billion,... .",0.0,
Verizon Communications Inc.,Firehouse.com Verizon Frontline Crisis Response Team Introduces Two New Deployable Assets Verizon Frontline today announced the launch of two new deployable asset prototypes designed to support the mission-critical communications needs of first... .,0.2023,2024-10-22
Verizon Communications Inc.,Bloomberg Verizon to Take Quarterly Charge of Up to $1.9 Billion for Severance Verizon Communications Inc. will take a pre-tax charge of as much as $1.9 billion in the third quarter tied to 4800 planned job cuts. .,-0.296,
Verizon Communications Inc.,"Nasdaq Verizon Communications Stock: Is VZ Underperforming the Communication Services Sector? With a market cap of $184.6 billion, Verizon Communications Inc. (VZ) is a leading global communication, technology, and entertainment provider. .",0.4215,2024-12-04
Verizon Communications Inc.,Nasdaq Verizon Enhances Mass Transit in Portland: Will the Stock Gain? Verizon Communications Inc. VZ recently activated more than 740 new Fixed Wireless Access (FWA) lines with the Tri-County Metropolitan Transportation District... .,0.5267,2024-11-12
Verizon Communications Inc.,"SC Media Internal Verizon breach exposed personal data of 63K employees More than 63,000 Verizon employees — about half the company's workforce — were victims of a data breach resulting from a staff member gaining unauthorized... .",0.0516,2024-02-07
Verizon Communications Inc.,Financial Times Verizon-Frontier deal goes to the wire as investors demand higher price Verizon's $20bn acquisition of Frontier Communications faces a nail-biting showdown at an investor meeting next week. .,-0.128,2024-11-08
Verizon Communications Inc.,WSJ Verizon Strikes $9.6 Billion Deal for Frontier Purchase would help Verizon recapture some of Fios fiber lines it sold nearly a decade ago. .,0.0516,
Verizon Communications Inc.,"Insider Monkey Is Verizon Communications Inc. (VZ) the Best Telecom Stock to Invest In Now? Overall VZ ranks 3rd on our list of the best telecom stocks to invest in now. While we acknowledge the potential of VZ as an investment, our conviction lies in... .",0.765,2024-12-13
Verizon Communications Inc.,"Pensions & Investments Verizon acquisition of Frontier would create firm with almost $50 billion in retirement plan assets Verizon Communications Inc., New York, will acquire rival telecommunications firm Frontier Communications Parent Inc., Dallas, creating a combined firm with... .",0.6124,
Verizon Communications Inc.,Benzinga Verizon Q3 Earnings Preview: 'Slow And Steady Comeback' Of Telecom Could Be Evident Tuesday Telecommunications company Verizon Communications. VZ+0.44%. Get Free Report. is one of several Dow Jones Industrial Average companies reporting financial... .,0.5106,2024-10-21
