company,headline,sentiment,date
Walgreens Boots Alliance Inc.,PBS California to end $54 million Walgreens contract after abortion pill dispute California Gov. Gavin Newsom on Wednesday withdrew a $54 million contract with Walgreens after the pharmacy giant indicated it would not sell an abortion... .,-0.4019,
Walgreens Boots Alliance Inc.,"MarketScreener Walgreens Boots Alliance Files Definitive Proxy Statement with SEC -December 13, 2024 at 07:01 am EST On December 13, 2024, Walgreens Boots Alliance filed a definitive proxy statement soliciting proxies and urging the shareholders to vote against a shareholder... .",0.0,
Walgreens Boots Alliance Inc.,"EL PAÍS English Walgreens CEO exits less than 3 years after taking over drug store chain The CEO of Walgreens Boots has stepped down after less than three years at the helm of the drug store chain that is undergoing a sizeable transformation,... .",0.0,
Walgreens Boots Alliance Inc.,"Reuters Walgreens cuts profit view, to shut more stores on spending hit Walgreens Boots Alliance cut its profit forecast for fiscal 2024 and said it would close underperforming U.S. stores as weak consumer spending hurts retail... .",-0.5423,
Walgreens Boots Alliance Inc.,"Schaeffer's Investment Research Walgreens Boots Alliance Stock Pops on Upgrade Deutsche Bank upgraded Walgreens Boots Alliance Inc (NASDAQ:WBA) to ""buy"" from ""hold"" this morning, and raised its price target to $50 from $41. .",0.0,
Walgreens Boots Alliance Inc.,"Crain's Chicago Business Walgreens explores $4 billion-plus sale of specialty pharmacy business Walgreens Boots Alliance Inc., the troubled drug-store chain in turnaround mode, is exploring options including a sale of Shields Health Solutions,... .",-0.4588,
Walgreens Boots Alliance Inc.,"Walgreens Boots Alliance Walgreens Boots Alliance Reports Fiscal Year 2024 Earnings Walgreens Boots Alliance, Inc. (Nasdaq: WBA) today announced financial results for the fiscal year and fourth quarter that ended Aug. 31, 2024. .",0.0,
Walgreens Boots Alliance Inc.,"Fox Business Walgreens could 'aggressively' cut costs if privately owned, analyst says If Walgreens Boots Alliance Inc. is bought by private equity firm Sycamore Partners, it would have more flexibility to aggressively reduce costs. .",-0.2431,
Walgreens Boots Alliance Inc.,"GuruFocus Walgreens Boots Alliance (WBA) Receives Preliminary Court Approval for Shareholder Settlement Walgreens Boots Alliance (WBA) has announced that on November 25, 2024, the court granted preliminary approval for a settlement in the shareholder... .",0.802,
Walgreens Boots Alliance Inc.,"Walgreens Boots Alliance Tim Wentworth BOARD OF DIRECTORS AND EXECUTIVE COMMITTEE - U.S.-BASED. Tim Wentworth. Chief Executive Officer, Walgreens Boots Alliance, Inc. Tim Wentworth headshot. .",0.0,
