,Open,High,Low,Close,Volume
2022-01-03,117.42,119.69,117.29,119.26,10721647.0
2022-01-04,119.95,121.98,119.66,121.43,16413082.0
2022-01-05,122.24,123.84,122.07,122.22,15487063.0
2022-01-06,123.62,124.32,121.64,123.26,13318510.0
2022-01-07,123.55,125.54,122.95,125.03,14164604.0
2022-01-10,125.15,125.69,123.86,125.11,12626136.0
2022-01-11,125.86,128.0,124.83,127.97,14345991.0
2022-01-12,127.99,128.4275,126.47,127.33,12469166.0
2022-01-13,127.14,128.1,126.45,126.8,9691264.0
2022-01-14,126.76,129.2,126.76,128.96,13281014.0
2022-01-18,129.69,130.0,127.87,129.38,12783540.0
2022-01-19,129.95,130.15,128.5369,128.91,11664605.0
2022-01-20,128.27,130.86,127.88,128.45,11370408.0
2022-01-21,127.76,128.4,126.229,126.91,13055711.0
2022-01-24,124.45,127.73,122.84,127.18,19532204.0
2022-01-25,127.12,132.74,125.27,132.59,19984517.0
2022-01-26,132.9,134.71,131.59,132.69,17266510.0
2022-01-27,134.45,137.0,133.59,135.37,20654130.0
2022-01-28,130.0,132.06,128.07,130.61,24817826.0
2022-01-31,130.19,131.8559,129.3301,131.33,16401779.0
2022-02-01,130.83,135.74,130.5144,134.79,16169726.0
2022-02-02,134.35,135.8,132.8,135.41,10906716.0
2022-02-03,134.85,135.35,133.19,134.2,9447690.0
2022-02-04,135.01,137.0,135.01,135.88,13034732.0
2022-02-07,135.34,139.43,134.83,138.55,18422548.0
2022-02-08,138.18,138.43,135.01,136.44,11021577.0
2022-02-09,136.715,138.34,136.1,137.79,10140782.0
2022-02-10,137.56,138.79,135.39,136.04,11012720.0
2022-02-11,136.86,139.44,136.28,138.81,12821226.0
2022-02-14,137.94,138.05,135.05,136.67,15944961.0
2022-02-15,133.08,134.84,132.18,134.26,11751999.0
2022-02-16,134.945,136.16,133.76,134.3,11348840.0
2022-02-17,134.17,134.583,132.45,133.61,10073937.0
2022-02-18,132.82,133.9087,132.05,133.42,10691818.0
2022-02-22,137.0,137.0,130.52,132.4,19328990.0
2022-02-23,132.93,136.08,132.56,135.55,16134237.0
2022-02-24,137.93,138.23,131.721,134.85,22108907.0
2022-02-25,135.96,140.5,135.43,140.38,28028029.0
2022-02-28,139.27,144.0,138.65,144.0,24394290.0
2022-03-01,145.01,149.96,144.7,149.72,31159890.0
2022-03-02,150.2,155.75,150.05,154.14,31329537.0
2022-03-03,152.26,157.12,151.75,156.22,22492887.0
2022-03-04,155.79,159.95,155.09,158.65,29053440.0
2022-03-07,159.9,162.1,155.72,162.04,34824671.0
2022-03-08,164.31,174.0,164.1,170.53,57231027.0
2022-03-09,162.77,169.77,161.2125,166.27,43429994.0
2022-03-10,168.74,174.76,168.29,170.82,34913612.0
2022-03-11,165.89,172.98,165.88,170.9,28423555.0
2022-03-14,166.21,168.35,164.3009,166.72,25156193.0
2022-03-15,159.114,160.189,155.26,158.28,28534397.0
2022-03-16,158.79,160.5,156.21,157.71,22299742.0
2022-03-17,159.95,160.99,157.92,160.44,15750666.0
2022-03-18,160.89,161.73,158.78,161.73,22623197.0
2022-03-21,163.02,165.58,162.72,164.64,13075385.0
2022-03-22,163.69,165.26,162.5804,164.09,11034860.0
2022-03-23,166.0,167.3463,164.94,165.86,10754998.0
2022-03-24,166.43,167.4001,165.0,166.3,9024821.0
2022-03-25,165.22,169.69,165.16,169.31,10152095.0
2022-03-28,165.9,166.63,165.13,166.35,9992000.0
2022-03-29,163.51,164.48,160.5,164.32,15102586.0
2022-03-30,165.24,166.35,163.66,165.48,9905997.0
2022-03-31,163.47,166.16,162.72,162.83,10395918.0
2022-04-01,162.78,165.95,162.33,164.22,8795255.0
2022-04-04,165.0,165.45,163.0,164.37,8723834.0
2022-04-05,165.03,167.7228,163.1,163.36,9514376.0
2022-04-06,164.83,167.01,164.33,164.81,9268988.0
2022-04-07,165.1,167.7,163.42,167.1,8018385.0
2022-04-08,167.05,171.095,167.02,169.93,10801182.0
2022-04-11,168.57,168.78,164.9101,165.56,10206072.0
2022-04-12,168.97,172.68,168.15,169.01,9528372.0
2022-04-13,170.93,172.08,168.29,171.67,7330690.0
2022-04-14,170.69,172.94,170.56,171.59,9421052.0
2022-04-18,173.0,174.54,171.87,173.89,7639045.0
2022-04-19,173.08,173.685,171.03,171.83,6970194.0
2022-04-20,171.62,173.58,171.4632,172.53,7426801.0
2022-04-21,171.74,172.44,163.83,164.58,14594792.0
2022-04-22,164.38,165.47,160.86,160.95,12160115.0
2022-04-25,155.73,158.36,151.36,157.49,15449845.0
2022-04-26,158.82,160.37,156.39,156.53,9747255.0
2022-04-27,157.08,157.92,154.52,156.24,10396640.0
2022-04-28,157.45,163.0,154.93,161.79,9366444.0
2022-04-29,161.28,162.44,156.29,156.67,14713218.0
2022-05-02,156.31,160.0,155.15,159.75,11559035.0
2022-05-03,159.57,163.43,159.26,162.49,8827214.0
2022-05-04,164.97,167.89,163.47,167.59,9137348.0
2022-05-05,169.26,169.5,162.65,166.26,9807618.0
2022-05-06,168.27,170.97,165.42,170.69,10418069.0
2022-05-09,167.75,167.75,158.475,159.25,14110669.0
2022-05-10,162.21,164.19,157.87,160.78,11635989.0
2022-05-11,163.58,167.46,162.51,163.16,9105510.0
2022-05-12,163.22,164.85,158.86,164.71,8936447.0
2022-05-13,166.5,168.79,164.88,167.87,9229903.0
2022-05-16,169.0,174.97,168.855,173.01,13296287.0
2022-05-17,174.84,175.65,172.61,174.03,12827565.0
2022-05-18,174.12,174.13,165.79,168.06,13107484.0
2022-05-19,164.63,169.635,162.83,166.86,10958664.0
2022-05-20,168.88,171.04,164.09,167.82,9615014.0
2022-05-23,169.43,172.96,169.11,171.72,10216368.0
2022-05-24,170.69,173.58,169.81,172.64,9782746.0
2022-05-25,173.14,175.99,172.97,175.41,10174492.0
2022-05-26,176.49,177.93,175.01,176.59,11213897.0
2022-05-27,176.52,178.35,175.69,178.28,10512286.0
2022-05-31,179.96,180.96,173.47,174.66,20547567.0
2022-06-01,176.73,178.13,174.94,176.32,8824083.0
2022-06-02,174.74,176.51,174.1,176.0,7441942.0
2022-06-03,176.0,178.25,176.0,177.6,8435276.0
2022-06-06,177.9,178.0,175.5103,176.83,6734222.0
2022-06-07,177.47,180.66,176.92,180.2,9668277.0
2022-06-08,180.95,182.4,180.25,181.13,8715219.0
2022-06-09,180.03,180.64,177.39,177.52,9767334.0
2022-06-10,176.37,178.57,173.65,175.4,9531887.0
2022-06-13,171.61,172.0,164.06,167.33,14614909.0
2022-06-14,169.37,172.29,165.84,167.55,10269314.0
2022-06-15,166.78,167.85,161.94,164.26,11565259.0
2022-06-16,159.94,160.54,153.75,155.48,18125946.0
2022-06-17,154.88,155.47,145.79,148.38,35575072.0
