,Open,High,Low,Close,Volume
2022-01-03,81.04,82.25,80.56,80.66,2420427.0
2022-01-04,81.07,82.885,80.93,82.54,2702920.0
2022-01-05,82.59,83.71,81.73,81.79,2346481.0
2022-01-06,82.76,82.97,81.24,81.99,1666872.0
2022-01-07,82.41,83.63,81.98,83.19,3086079.0
2022-01-10,82.19,83.46,81.13,81.97,2269311.0
2022-01-11,82.06,83.09,81.5,83.03,1976793.0
2022-01-12,83.16,83.865,82.67,83.72,2137743.0
2022-01-13,83.8,84.96,83.7,84.01,1898153.0
2022-01-14,82.9,85.16,82.29,84.97,2544307.0
2022-01-18,84.46,84.46,83.25,83.77,4316940.0
2022-01-19,83.91,83.91,81.48,81.58,3341674.0
2022-01-20,81.77,81.84,79.02,79.18,3676812.0
2022-01-21,78.43,78.9,76.92,77.47,3068352.0
2022-01-24,76.03,77.46,74.19,77.15,3807785.0
2022-01-25,76.0,77.48,74.4,76.83,2628976.0
2022-01-26,77.23,78.3231,75.8,76.74,2384183.0
2022-01-27,77.92,78.73,75.56,76.49,2356049.0
2022-01-28,76.11,76.18,74.19,76.07,2201086.0
2022-01-31,75.36,76.62,74.585,76.6,4477077.0
2022-02-01,76.88,78.21,76.41,77.89,2985185.0
2022-02-02,78.05,79.37,77.3,79.15,2632743.0
2022-02-03,78.48,79.08,77.66,77.72,2295836.0
2022-02-04,76.99,77.68,75.91,76.06,3252124.0
2022-02-07,76.03,76.49,75.26,75.37,3582597.0
2022-02-08,77.92,80.465,76.86,80.13,4903592.0
2022-02-09,80.69,82.02,80.48,81.49,2889173.0
2022-02-10,80.85,82.53,80.065,80.33,3303398.0
2022-02-11,80.53,81.54,78.93,79.28,3852662.0
2022-02-14,79.04,80.21,78.87,79.32,1967580.0
2022-02-15,79.84,81.72,79.75,81.67,1804179.0
2022-02-16,81.41,82.52,81.2,82.12,2646207.0
2022-02-17,81.0,81.33,79.25,79.73,1801368.0
2022-02-18,83.07,84.08,78.425,78.77,5488791.0
2022-02-22,78.25,78.89,76.9609,77.96,3827142.0
2022-02-23,78.45,78.46,74.74,75.05,4773731.0
2022-02-24,72.95,76.02,72.11,75.57,5051583.0
2022-02-25,75.91,78.64,75.88,78.07,3135469.0
2022-02-28,76.75,78.18,76.4,77.37,4246639.0
2022-03-01,77.48,77.62,74.66,75.62,5270249.0
2022-03-02,76.24,77.9,75.37,77.1,3755612.0
2022-03-03,77.65,78.235,76.04,76.89,2132433.0
2022-03-04,75.53,75.54,73.84,74.39,3619416.0
2022-03-07,73.65,73.88,69.01,69.07,5419037.0
2022-03-08,69.44,70.805,67.55,68.81,4166959.0
2022-03-09,71.01,73.819,70.55,72.49,3915734.0
2022-03-10,71.14,72.62,70.97,72.08,2885629.0
2022-03-11,72.6,73.83,72.26,72.49,3720303.0
2022-03-14,73.16,73.46,71.44,71.74,3013745.0
2022-03-15,72.1,72.76,70.435,71.87,2567405.0
2022-03-16,72.805,75.375,72.755,74.24,2904569.0
2022-03-17,73.02,75.81,73.02,75.81,3061927.0
2022-03-18,75.67,76.81,74.69,76.71,5329678.0
2022-03-21,77.0,77.5,75.87,76.75,2522868.0
2022-03-22,77.45,77.86,76.56,77.03,2252899.0
2022-03-23,76.57,76.71,75.3,75.94,2125353.0
2022-03-24,76.25,76.45,75.54,76.3,1999056.0
2022-03-25,76.57,77.15,76.075,77.09,1224656.0
2022-03-28,76.46,76.6,75.24,76.34,1857199.0
2022-03-29,77.54,78.98,77.47,78.0,2087297.0
2022-03-30,77.78,78.015,76.25,76.54,1998029.0
2022-03-31,75.83,76.215,73.55,73.58,2992056.0
2022-04-01,74.12,74.94,72.935,74.75,2747965.0
2022-04-04,74.58,75.3308,74.02,74.88,2693678.0
2022-04-05,74.36,75.055,72.83,73.0,2238653.0
2022-04-06,72.03,72.13,69.03,70.18,4492884.0
2022-04-07,70.02,70.17,67.49,69.71,3656377.0
2022-04-08,70.24,70.44,68.64,68.84,3113012.0
2022-04-11,68.5,70.12,68.01,68.48,2446007.0
2022-04-12,68.65,69.82,68.05,68.46,2225704.0
2022-04-13,68.43,69.05,68.2001,68.97,1866354.0
2022-04-14,68.98,69.77,68.5,68.7,2698396.0
2022-04-18,68.42,69.255,68.13,68.6,1991707.0
2022-04-19,68.45,69.86,68.39,69.27,1759055.0
2022-04-20,69.83,71.46,69.775,70.56,1987174.0
2022-04-21,71.815,71.96,69.5,69.67,1637110.0
2022-04-22,68.98,69.28,67.23,67.29,2481175.0
2022-04-25,66.84,67.98,65.56,67.8,3120946.0
2022-04-26,67.47,68.22,66.15,66.17,2108532.0
2022-04-27,66.44,67.245,65.68,66.19,3181398.0
2022-04-28,66.81,67.58,65.41,67.58,2784091.0
2022-04-29,67.3,68.345,65.65,65.93,2604973.0
2022-05-02,65.68,66.2083,64.35,65.9,3804993.0
2022-05-03,66.25,67.55,64.94,66.38,3474766.0
2022-05-04,67.22,68.94,65.55,68.78,2616191.0
2022-05-05,67.73,68.14,65.43,66.14,3273010.0
2022-05-06,65.96,66.46,64.795,65.42,3510317.0
2022-05-09,63.98,65.62,63.96,64.33,3583378.0
2022-05-10,65.12,65.66,62.21,63.32,3738327.0
2022-05-11,63.12,65.45,63.04,63.38,2701874.0
2022-05-12,63.23,64.03,62.1,63.25,2697488.0
2022-05-13,63.99,65.1904,63.7,64.14,2736909.0
2022-05-16,63.27,64.85,62.62,64.13,2336381.0
2022-05-17,65.44,66.74,64.8,66.41,2760896.0
2022-05-18,65.59,66.0699,64.065,64.28,3100505.0
2022-05-19,63.76,65.34,63.3,64.32,3551902.0
2022-05-20,64.54,64.87,62.11,63.85,3877367.0
2022-05-23,64.81,65.78,64.0525,65.47,2933035.0
2022-05-24,65.24,65.27,63.58,64.64,2313055.0
2022-05-25,64.65,65.9558,63.95,65.41,2467502.0
2022-05-26,66.15,67.71,66.11,67.37,2790687.0
2022-05-27,67.38,68.46,67.02,68.36,2833525.0
2022-05-31,67.65,68.915,66.96,67.85,10260806.0
2022-06-01,68.77,68.93,66.43,67.42,2725108.0
2022-06-02,68.0,68.85,67.62,68.82,2399827.0
2022-06-03,68.13,68.42,66.57,66.92,2481361.0
2022-06-06,67.4899,68.54,67.06,67.67,2362117.0
2022-06-07,66.78,68.0,66.32,67.97,1930370.0
2022-06-08,67.24,68.28,67.1733,67.64,2103088.0
2022-06-09,67.09,67.68,66.11,66.12,1681903.0
2022-06-10,64.63,64.7,63.25,63.53,2629830.0
2022-06-13,61.8,62.27,60.45,60.87,2448324.0
2022-06-14,60.825,61.06,59.71,60.37,2305107.0
2022-06-15,61.23,61.78,59.48,60.35,2253811.0
2022-06-16,58.05,58.131,56.01,56.78,4423306.0
2022-06-17,56.62,56.92,55.18,56.29,4679177.0
2022-06-21,57.46,57.505,56.25,56.86,2891497.0
2022-06-22,55.08,56.64,55.04,55.91,2731483.0
2022-06-23,55.71,56.48,54.59,55.35,2844641.0
2022-06-24,55.79,58.57,55.79,58.55,10846796.0
2022-06-27,58.46,58.55,57.28,57.57,3582245.0
2022-06-28,58.01,58.84,57.09,57.33,2569621.0
2022-06-29,57.19,57.22,55.56,56.33,2483069.0
2022-06-30,55.3,56.19,54.625,55.58,2465959.0
2022-07-01,55.16,55.51,53.365,54.75,4960484.0
2022-07-05,53.5,54.335,52.565,54.18,6226024.0
2022-07-06,54.57,55.295,53.81,54.98,2950573.0
2022-07-07,55.87,56.63,55.42,56.36,3353059.0
2022-07-08,56.23,56.4,54.995,55.44,2160434.0
2022-07-11,54.8,55.265,54.5,54.89,1973059.0
2022-07-12,54.75,56.51,54.75,55.54,2390021.0
2022-07-13,54.39,55.19,53.82,54.86,2118316.0
2022-07-14,53.93,54.08,52.81,53.49,2519135.0
2022-07-15,54.77,54.83,53.525,54.6,2959878.0
2022-07-18,55.2,55.96,54.075,54.36,2294503.0
2022-07-19,55.24,56.67,55.12,56.56,2755668.0
2022-07-20,56.32,57.425,56.07,57.11,2521820.0
2022-07-21,56.79,57.74,56.2675,57.74,1876867.0
2022-07-22,58.11,58.345,56.75,57.26,1446508.0
2022-07-25,57.42,58.13,57.11,58.03,1761541.0
2022-07-26,57.74,58.25,57.26,57.68,1979649.0
2022-07-27,57.66,59.53,57.35,59.43,3354091.0
2022-07-28,59.4,60.15,59.0,60.13,1923541.0
2022-07-29,60.36,61.67,60.23,61.23,2550190.0
2022-08-01,60.45,60.59,59.475,60.2,2976622.0
2022-08-02,59.46,60.08,58.46,58.57,3575725.0
2022-08-03,58.81,58.89,57.2,58.15,4762170.0
2022-08-04,58.22,59.17,57.5,58.57,2843663.0
2022-08-05,58.0,59.375,57.84,58.88,1941394.0
2022-08-08,59.63,60.18,58.74,59.33,3185891.0
2022-08-09,59.03,59.16,58.35,58.64,3275365.0
2022-08-10,60.02,61.61,60.02,60.74,3106103.0
2022-08-11,61.56,63.31,61.47,62.18,3442354.0
2022-08-12,62.67,63.0,62.1751,62.7,2186848.0
2022-08-15,61.88,62.93,61.85,62.7,1419703.0
2022-08-16,62.26,63.22,62.15,62.68,1839790.0
2022-08-17,61.76,62.09,61.23,61.95,2580207.0
2022-08-18,61.92,62.155,61.38,61.95,2096211.0
2022-08-19,61.5,61.855,60.11,60.48,1927776.0
2022-08-22,59.24,59.31,58.1,58.26,2952979.0
2022-08-23,58.37,59.88,58.37,59.37,2217878.0
2022-08-24,59.58,59.74,59.03,59.34,1422169.0
2022-08-25,59.85,60.62,59.41,60.59,1860681.0
2022-08-26,60.88,61.2,57.79,57.82,2537891.0
2022-08-29,57.27,58.17,56.9,57.94,2081630.0
2022-08-30,58.43,58.8,56.86,57.1,1849024.0
2022-08-31,57.21,57.21,55.62,55.64,3901853.0
2022-09-01,55.23,55.41,54.14,55.23,3153865.0
2022-09-02,56.39,56.39,54.39,54.76,2316163.0
2022-09-06,55.27,55.68,53.9,54.25,2414491.0
2022-09-07,54.23,56.41,53.99,56.26,2974598.0
2022-09-08,55.53,57.48,55.19,57.43,3111411.0
2022-09-09,58.19,58.8,57.92,58.39,2698949.0
2022-09-12,58.91,59.79,58.5526,59.55,4625986.0
2022-09-13,57.57,58.28,56.28,56.65,2903354.0
2022-09-14,56.55,56.55,55.05,55.81,3620604.0
2022-09-15,55.84,56.57,54.915,55.13,2777096.0
2022-09-16,54.08,55.03,53.05,53.98,6278937.0
2022-09-19,53.55,55.67,53.42,55.33,4020208.0
2022-09-20,54.55,54.7,53.69,54.25,2303837.0
2022-09-21,54.85,54.95,53.11,53.15,2408860.0
2022-09-22,53.44,53.56,52.21,52.49,2414155.0
2022-09-23,51.43,51.68,49.86,50.74,3439131.0
2022-09-26,50.3,51.45,49.8,50.05,3038040.0
2022-09-27,50.55,50.89,49.52,50.09,3188336.0
2022-09-28,50.42,51.45,49.965,51.25,2685275.0
2022-09-29,50.5,50.74,49.841,50.65,3385697.0
2022-09-30,50.51,51.4,50.27,50.4,3571406.0
2022-10-03,51.49,53.22,51.1,52.43,4314498.0
2022-10-04,53.4,54.79,53.37,54.72,3439618.0
2022-10-05,53.88,54.88,53.45,54.46,2249864.0
2022-10-06,53.84,54.47,53.0802,53.18,2326583.0
2022-10-07,52.48,53.23,51.98,52.36,4026558.0
2022-10-10,52.76,52.81,51.4704,51.73,2046808.0
2022-10-11,51.15,52.68,50.585,51.8,2853490.0
2022-10-12,51.69,52.11,51.25,51.58,2307118.0
2022-10-13,50.68,53.85,50.2,53.31,3824947.0
2022-10-14,53.83,54.05,51.96,52.1,2445597.0
2022-10-17,53.48,54.26,52.86,53.22,2712054.0
2022-10-18,54.62,55.305,54.05,55.17,3264570.0
2022-10-19,54.78,55.29,53.87,54.1,2367876.0
2022-10-20,54.12,55.26,53.51,53.76,2187529.0
2022-10-21,53.77,55.695,53.62,55.58,2568464.0
2022-10-24,56.0,56.28,55.04,56.01,2097337.0
2022-10-25,55.72,56.98,55.72,56.96,3798267.0
2022-10-26,57.48,57.85,56.72,57.09,3029706.0
2022-10-27,57.3,57.605,56.32,56.77,2473751.0
2022-10-28,56.97,57.68,56.77,57.56,2215704.0
2022-10-31,57.36,57.74,56.83,57.2,2939816.0
2022-11-01,59.0,59.465,57.87,58.7,4271378.0
2022-11-02,62.32,64.26,60.43,60.54,8869443.0
2022-11-03,59.62,60.99,59.3383,59.61,5127916.0
2022-11-04,61.44,62.68,60.47,61.93,4761906.0
2022-11-07,62.06,62.24,60.84,61.74,4363391.0
2022-11-08,65.96,68.45,64.97,66.28,7849757.0
2022-11-09,66.12,67.48,65.85,67.03,5945689.0
2022-11-10,68.88,71.225,68.6,69.65,5980935.0
2022-11-11,69.92,71.66,69.36,70.81,4495750.0
2022-11-14,70.25,72.24,70.17,70.57,3255649.0
2022-11-15,71.26,71.5829,69.9601,70.67,3187338.0
2022-11-16,70.62,70.98,69.08,69.13,2837228.0
2022-11-17,68.19,69.37,66.85,69.34,3570668.0
2022-11-18,70.21,70.29,68.6,69.38,2835213.0
2022-11-21,68.76,70.265,68.5,69.77,2200794.0
2022-11-22,70.1,71.18,70.1,71.14,2119950.0
2022-11-23,71.14,71.9,70.91,71.81,1497036.0
2022-11-25,71.47,72.12,71.08,71.25,1051073.0
2022-11-28,70.15,70.74,69.06,69.35,2707790.0
2022-11-29,69.22,70.09,69.035,69.46,2533987.0
2022-11-30,69.44,70.54,68.42,70.51,3808490.0
2022-12-01,70.35,70.8,69.625,70.42,4646184.0
2022-12-02,69.6,71.62,69.25,71.56,2501622.0
2022-12-05,70.66,71.22,70.29,70.42,1934564.0
2022-12-06,70.71,71.02,69.305,69.97,2034871.0
2022-12-07,69.84,70.75,69.44,69.7,2321629.0
2022-12-08,70.36,70.7,69.56,69.85,1923921.0
2022-12-09,69.69,70.0882,68.82,68.89,1688159.0
2022-12-12,68.82,69.895,68.66,69.87,2387477.0
2022-12-13,71.7,71.85,70.27,70.86,2489336.0
2022-12-14,70.55,71.34,69.0,69.64,2703243.0
2022-12-15,68.67,68.77,67.54,67.81,3225845.0
2022-12-16,67.34,68.72,66.98,67.91,4639233.0
2022-12-19,67.74,68.28,67.07,67.56,4296476.0
2022-12-20,67.86,68.54,67.48,67.51,2135801.0
2022-12-21,68.22,68.67,68.13,68.32,2040298.0
2022-12-22,67.48,67.59,66.31,67.55,2487197.0
2022-12-23,67.46,68.785,67.4,68.73,1509375.0
2022-12-27,68.75,69.33,68.65,68.78,1470165.0
2022-12-28,68.99,69.25,67.74,67.8,1278407.0
2022-12-29,68.0,69.08,68.0,68.58,1151637.0
2022-12-30,68.05,68.66,67.93,68.63,1439845.0
2023-01-03,69.05,69.57,68.22,68.86,1776168.0
2023-01-04,69.68,70.98,69.425,70.53,2558113.0
2023-01-05,69.6,70.92,69.24,70.87,2590537.0
2023-01-06,71.78,72.82,71.0,72.47,3387647.0
2023-01-09,72.83,74.17,72.69,73.48,3273564.0
2023-01-10,73.35,74.03,72.84,73.92,1788362.0
2023-01-11,74.49,75.01,74.07,74.9,2250727.0
2023-01-12,74.6,75.38,74.07,74.75,2602578.0
2023-01-13,73.89,75.38,73.6803,75.2,3434162.0
2023-01-17,74.32,74.7,73.96,74.33,3498047.0
2023-01-18,74.85,75.17,73.03,73.18,7485229.0
2023-01-19,72.78,72.96,71.96,72.8,3681691.0
2023-01-20,72.87,74.02,72.34,73.97,3700108.0
2023-01-23,73.83,75.34,73.44,75.3,2117458.0
2023-01-24,74.21,75.11,73.99,74.94,3067044.0
2023-01-25,73.79,74.18,72.98,73.53,3193241.0
2023-01-26,73.17,73.79,72.1,73.73,3134559.0
2023-01-27,73.06,74.19,73.06,73.55,2171268.0
2023-01-30,73.1,73.555,72.4546,72.65,2542057.0
2023-01-31,72.91,74.0,72.27,73.95,2736005.0
2023-02-01,73.54,74.79,72.86,74.14,3593877.0
2023-02-02,74.21,74.71,73.23,74.54,2880919.0
2023-02-03,73.51,74.19,72.84,72.98,2836356.0
2023-02-06,72.64,72.74,71.81,72.36,3070346.0
2023-02-07,75.3,77.79,75.29,77.79,7899306.0
2023-02-08,77.21,77.59,76.75,76.9,3254232.0
2023-02-09,77.84,78.4,75.271,75.76,3399280.0
2023-02-10,75.4,75.89,74.89,75.81,1980970.0
