,Open,High,Low,Close,Volume
2022-01-03,58.82,59.31,58.375,59.3,20188377.0
2022-01-04,59.73,60.535,59.59,60.29,26141584.0
2022-01-05,60.09,61.195,60.05,60.79,22507262.0
2022-01-06,60.465,61.115,60.435,60.47,17902345.0
2022-01-07,60.275,60.72,60.06,60.33,12307896.0
2022-01-10,60.55,60.82,60.18,60.43,20954345.0
2022-01-11,60.43,60.49,59.84,60.45,17591613.0
2022-01-12,60.53,60.685,60.19,60.54,15753809.0
2022-01-13,60.54,61.04,60.385,60.9,14317992.0
2022-01-14,60.94,61.45,60.36,61.39,19729632.0
2022-01-18,61.06,61.19,60.45,60.9,20616874.0
2022-01-19,60.66,61.18,60.555,61.0,18072085.0
2022-01-20,61.0,61.44,60.72,60.75,23002353.0
2022-01-21,61.08,61.3,60.3982,60.45,26643161.0
2022-01-24,59.9,60.35,58.57,59.96,30207455.0
2022-01-25,59.36,60.045,58.69,59.82,19027109.0
2022-01-26,59.79,60.345,59.21,59.6,19190239.0
2022-01-27,59.88,60.925,59.5,59.65,18898682.0
2022-01-28,59.39,60.89,58.94,60.84,19101494.0
2022-01-31,60.3,61.14,60.15,61.01,22045321.0
2022-02-01,60.91,61.14,60.16,60.56,20841657.0
2022-02-02,60.62,61.27,60.56,61.18,20225579.0
2022-02-03,60.94,61.78,60.585,61.61,19440490.0
2022-02-04,61.49,61.68,60.57,60.96,17403729.0
2022-02-07,61.38,61.72,60.86,61.6,17846411.0
2022-02-08,61.83,62.325,61.74,62.0,18771748.0
2022-02-09,62.17,62.32,60.9,61.04,23595558.0
2022-02-10,60.36,62.3,60.2,61.38,23561530.0
2022-02-11,61.77,61.98,60.15,60.29,22781387.0
2022-02-14,60.16,60.79,59.28,60.68,23641310.0
2022-02-15,60.955,61.78,60.63,60.91,13409343.0
2022-02-16,60.86,61.395,60.555,60.9,15484660.0
2022-02-17,60.55,62.275,60.405,62.12,21468724.0
2022-02-18,62.12,62.82,61.99,62.54,21975023.0
2022-02-22,62.43,62.64,61.72,62.28,21521498.0
2022-02-23,62.24,62.33,61.34,61.59,19248474.0
2022-02-24,59.97,60.62,59.22,60.51,27207444.0
2022-02-25,60.94,62.895,60.92,62.85,21487796.0
2022-02-28,61.65,62.335,61.41,62.24,25879116.0
2022-03-01,62.14,62.75,61.51,61.97,15871088.0
2022-03-02,62.23,62.88,61.78,62.43,17319120.0
2022-03-03,62.61,63.02,62.285,62.47,21262797.0
2022-03-04,61.46,62.59,61.2,62.57,17164633.0
2022-03-07,62.01,62.07,60.72,61.08,29151418.0
2022-03-08,61.45,61.54,58.59,58.66,30242133.0
2022-03-09,59.82,59.84,58.66,58.96,23022696.0
2022-03-10,58.48,58.66,57.5,57.88,20887284.0
2022-03-11,57.96,58.85,57.86,57.92,19855646.0
2022-03-14,57.97,59.035,57.97,58.54,17799380.0
2022-03-15,59.08,59.89,58.98,59.62,18607191.0
