,Open,High,Low,Close,Volume
2022-01-03,178.32,179.09,175.84,177.74,1930957.0
2022-01-04,178.48,181.26,178.025,180.23,2522194.0
2022-01-05,177.13,181.78,177.0,179.49,2952404.0
2022-01-06,180.88,181.28,177.54,178.0,2505540.0
2022-01-07,178.13,180.49,177.22,179.95,2800232.0
2022-01-10,179.45,179.83,176.78,177.41,2317980.0
2022-01-11,178.0,179.55,176.42,178.98,2259038.0
2022-01-12,179.0,180.01,178.59,179.42,1728455.0
2022-01-13,179.88,181.34,179.03,181.02,2094693.0
2022-01-14,180.86,180.86,177.67,178.74,2286143.0
2022-01-18,178.18,178.55,176.17,178.28,2400098.0
2022-01-19,179.83,180.87,177.63,178.48,1945301.0
2022-01-20,178.58,179.2191,173.31,173.57,2817298.0
2022-01-21,173.4,176.02,172.56,172.65,3479056.0
2022-01-24,171.86,173.21,168.83,172.8,4713659.0
2022-01-25,173.53,174.5599,168.01,173.75,5051122.0
2022-01-26,174.28,175.25,168.2,169.3,4409950.0
2022-01-27,169.1,172.12,168.44,170.16,2783567.0
2022-01-28,168.39,168.75,160.5371,163.1,6221557.0
2022-01-31,162.7,166.29,161.59,166.02,5090398.0
2022-02-01,165.59,167.96,164.76,167.43,2988055.0
2022-02-02,167.8,169.25,165.8,166.66,3191335.0
2022-02-03,166.26,166.73,164.1,164.39,2608683.0
2022-02-04,163.79,164.74,160.1,160.73,4046463.0
2022-02-07,160.75,162.31,160.01,161.17,2441131.0
2022-02-08,161.43,163.11,160.32,162.41,2373928.0
2022-02-09,163.55,164.26,161.93,163.64,2143632.0
2022-02-10,162.01,162.79,159.02,159.74,3633165.0
2022-02-11,160.16,161.6,158.8,159.54,3632727.0
2022-02-14,159.35,159.59,155.36,158.01,4634377.0
2022-02-15,158.72,159.08,156.25,157.34,3336453.0
2022-02-16,157.0,158.0,154.11,155.63,4470039.0
2022-02-17,150.85,151.47,148.4786,148.64,6207686.0
2022-02-18,148.2,149.71,147.24,147.62,5018786.0
2022-02-22,148.2,148.51,145.88,146.75,4504580.0
2022-02-23,146.75,147.33,144.13,144.38,3846644.0
2022-02-24,142.1,143.89,139.74,143.7,6107081.0
2022-02-25,144.41,151.755,144.35,150.51,6732652.0
2022-02-28,149.29,149.63,146.75,148.65,4215262.0
2022-03-01,148.58,149.02,144.15,144.75,3313911.0
2022-03-02,145.61,148.37,144.92,147.22,3734597.0
2022-03-03,148.52,149.99,147.52,148.3,3804163.0
2022-03-04,146.16,147.69,145.74,146.73,3235378.0
2022-03-07,145.74,145.74,142.57,143.28,4553995.0
2022-03-08,145.24,149.47,143.26,145.4,4605285.0
2022-03-09,147.86,149.26,146.49,146.6,3337263.0
2022-03-10,145.344,145.96,143.33,143.93,3794041.0
2022-03-11,143.47,144.48,140.83,140.96,4149412.0
2022-03-14,141.45,145.29,141.45,143.48,3910123.0
2022-03-15,144.87,145.48,142.59,144.31,3337321.0
2022-03-16,144.76,146.2699,142.84,145.51,3814018.0
2022-03-17,145.31,147.71,144.15,147.69,2786929.0
2022-03-18,147.07,148.45,145.22,148.32,7692611.0
2022-03-21,148.69,149.74,147.4,148.58,4513562.0
2022-03-22,149.45,150.84,148.5,149.94,4250846.0
2022-03-23,149.69,149.78,147.56,147.68,2637203.0
2022-03-24,148.12,149.23,147.4,148.98,2028114.0
2022-03-25,149.27,151.18,148.91,150.46,2240622.0
2022-03-28,149.93,150.13,147.19,149.47,2680123.0
2022-03-29,151.0,152.92,150.04,152.08,2693238.0
2022-03-30,151.33,153.26,150.77,151.43,2395334.0
2022-03-31,150.45,151.25,148.8,148.88,3194048.0
2022-04-01,149.63,149.86,146.85,149.69,2196606.0
2022-04-04,149.06,150.01,146.08,149.53,2632929.0
2022-04-05,148.65,150.63,148.51,148.9,2144791.0
2022-04-06,147.33,150.39,147.0514,150.3,2705516.0
2022-04-07,149.39,150.47,147.56,149.95,2198961.0
2022-04-08,151.0,151.65,149.38,149.81,2790528.0
2022-04-11,150.45,152.22,149.96,150.12,2478764.0
2022-04-12,151.34,151.53,148.09,148.58,2613072.0
2022-04-13,148.52,149.17,147.57,148.66,1992148.0
2022-04-14,148.645,149.59,147.205,147.38,2331068.0
2022-04-18,147.45,148.33,145.75,146.18,1775838.0
2022-04-19,146.85,150.59,146.85,150.1,2296031.0
2022-04-20,150.81,152.5,150.53,150.59,1930718.0
2022-04-21,151.98,153.1,151.31,151.77,2337396.0
2022-04-22,150.8,150.99,148.235,149.17,3157404.0
2022-04-25,148.71,149.03,145.88,148.6,3432186.0
2022-04-26,145.41,146.98,142.87,144.22,4800387.0
2022-04-27,144.78,146.08,143.73,144.21,3124401.0
2022-04-28,144.75,147.73,144.12,147.14,2538992.0
2022-04-29,147.3,148.56,143.87,144.22,4152261.0
2022-05-02,144.51,147.5,143.78,145.91,3717302.0
2022-05-03,146.21,148.85,145.92,148.08,2508713.0
2022-05-04,149.0,154.66,147.88,154.23,3667131.0
2022-05-05,153.17,153.65,148.23,149.46,3315935.0
2022-05-06,149.27,149.77,146.69,149.53,2470297.0
2022-05-09,148.44,153.77,147.94,152.38,4163133.0
2022-05-10,154.0,154.04,148.135,149.12,3503463.0
2022-05-11,149.99,150.13,146.17,146.41,2748214.0
2022-05-12,146.59,149.62,146.01,149.59,2819049.0
2022-05-13,150.21,150.35,147.97,149.3,2753460.0
2022-05-16,149.22,150.83,146.305,150.5,2713786.0
2022-05-17,151.99,152.5,150.52,152.34,2106776.0
2022-05-18,151.59,151.71,148.47,148.93,2958657.0
2022-05-19,146.2,148.9,144.11,146.96,2746664.0
2022-05-20,147.54,147.94,141.09,143.83,4195356.0
2022-05-23,144.58,145.97,144.01,144.38,2836070.0
2022-05-24,144.35,146.22,141.0,145.75,2639024.0
2022-05-25,145.43,146.155,143.55,145.79,1876869.0
2022-05-26,146.74,148.81,146.7,147.04,2127269.0
2022-05-27,148.21,149.52,147.87,149.51,1776677.0
2022-05-31,148.27,149.84,145.93,149.29,4144021.0
2022-06-01,149.33,149.49,145.6,146.42,2410422.0
2022-06-02,147.52,148.29,144.5,148.18,1901516.0
2022-06-03,147.0,147.47,145.32,145.97,1876404.0
2022-06-06,146.39,147.3,145.65,146.21,1575658.0
2022-06-07,145.44,146.989,143.82,146.87,1805338.0
2022-06-08,145.56,146.6101,144.29,145.42,1711433.0
2022-06-09,145.51,147.19,144.14,144.18,2168307.0
2022-06-10,142.0,142.47,137.58,137.65,5884846.0
2022-06-13,136.73,138.34,135.62,136.37,4115993.0
2022-06-14,136.68,138.35,134.3999,135.25,2675159.0
2022-06-15,135.76,136.68,133.06,134.33,3271129.0
2022-06-16,132.55,132.55,130.33,130.94,3728204.0
2022-06-17,130.77,131.88,128.72,129.84,7181134.0
2022-06-21,130.34,131.0767,129.27,130.01,3728407.0
2022-06-22,128.77,131.585,128.19,130.4,2901347.0
2022-06-23,130.21,131.07,128.5,130.15,2241021.0
2022-06-24,131.53,134.55,131.24,134.33,3659357.0
2022-06-27,134.41,134.672,132.2901,132.8,2388626.0
2022-06-28,133.86,134.57,130.15,130.33,2411676.0
2022-06-29,130.0,130.34,128.81,129.77,2821141.0
2022-06-30,128.71,130.21,127.299,129.41,3341148.0
2022-07-01,129.41,129.83,126.61,128.49,3720829.0
2022-07-05,126.98,129.44,125.6,129.21,3905522.0
2022-07-06,129.5,130.99,127.96,129.84,3031590.0
2022-07-07,130.13,130.31,127.57,130.05,3449723.0
