,Open,High,Low,Close,Volume
2022-01-03,167.53,167.91,163.31,164.67,5671928.0
2022-01-04,165.88,167.18,165.0,166.39,6064160.0
2022-01-05,166.49,167.01,162.095,162.25,5020982.0
2022-01-06,162.09,163.19,159.06,161.04,4144691.0
2022-01-07,160.77,161.14,156.86,156.97,5107978.0
2022-01-10,150.52,151.33,148.775,150.44,10439022.0
2022-01-11,150.48,150.84,147.6,150.3,8099230.0
2022-01-12,152.13,153.46,150.74,152.21,6351196.0
2022-01-13,153.2,153.6,149.02,149.59,4990890.0
2022-01-14,148.39,148.84,146.8538,148.18,6030546.0
2022-01-18,148.06,148.83,146.3,146.95,6644678.0
2022-01-19,147.76,149.1,145.02,145.11,4818253.0
2022-01-20,145.46,147.3802,142.5,142.73,5366458.0
2022-01-21,144.32,146.359,142.85,142.95,7553373.0
2022-01-24,140.81,146.31,139.56,146.0,9757308.0
2022-01-25,144.97,147.96,142.515,145.48,8195354.0
2022-01-26,147.78,148.97,142.73,143.99,7444563.0
2022-01-27,144.99,147.35,143.58,144.64,6397336.0
2022-01-28,144.12,146.03,140.61,145.91,6130224.0
2022-01-31,146.27,148.18,145.22,148.07,6932237.0
2022-02-01,149.5,149.68,146.8,148.22,6694995.0
2022-02-02,148.35,149.46,147.53,148.71,5491706.0
2022-02-03,147.4,148.46,144.9701,145.31,5240222.0
2022-02-04,145.37,146.48,143.64,145.39,4313382.0
2022-02-07,145.3,146.12,144.215,145.14,3877540.0
2022-02-08,144.74,145.5,142.3,143.53,5829362.0
2022-02-09,146.11,147.36,145.67,146.26,4551008.0
2022-02-10,143.96,147.54,143.85,144.82,5142578.0
2022-02-11,144.76,145.055,139.56,140.18,6710525.0
2022-02-14,140.08,143.21,139.79,141.59,6841153.0
2022-02-15,144.22,146.32,144.1,145.58,7820539.0
2022-02-16,145.024,146.95,144.61,146.49,4817452.0
2022-02-17,145.54,146.91,142.6401,142.8,5202282.0
2022-02-18,143.37,143.94,141.81,142.95,5177403.0
2022-02-22,141.59,141.64,136.16,138.19,9110109.0
2022-02-23,139.66,140.97,136.51,136.83,7636623.0
2022-02-24,133.0,137.42,130.932,137.17,8417400.0
2022-02-25,138.13,139.22,136.19,138.8,5424604.0
2022-02-28,137.06,138.38,135.04,136.55,6613321.0
