,Open,High,Low,Close,Volume
2022-01-03,161.69,162.94,159.88,162.9,9317892.0
2022-01-04,162.29,164.39,162.18,163.47,9253754.0
2022-01-05,163.44,165.32,163.4,164.21,9330245.0
2022-01-06,164.34,165.2,162.61,162.83,7555999.0
2022-01-07,163.13,163.53,161.95,162.74,6098455.0
2022-01-10,162.51,163.12,160.17,160.52,8054984.0
2022-01-11,160.22,160.22,156.91,158.66,11085911.0
2022-01-12,158.26,159.36,157.83,159.01,7126650.0
2022-01-13,159.31,159.45,157.7819,158.29,6551083.0
2022-01-14,158.07,160.49,157.56,159.81,10708197.0
2022-01-18,158.53,158.53,156.04,156.73,10934298.0
2022-01-19,157.61,164.19,156.97,162.0,13959794.0
2022-01-20,160.12,164.33,160.12,162.0,10799065.0
2022-01-21,163.0,165.35,162.1,162.62,10900398.0
2022-01-24,163.43,164.12,158.72,161.3,14846686.0
2022-01-25,160.45,161.3,157.885,159.54,9369589.0
2022-01-26,157.34,159.57,156.38,158.15,10707105.0
2022-01-27,158.73,161.345,158.58,159.13,9084347.0
2022-01-28,158.61,160.95,157.32,160.5,9494403.0
2022-01-31,159.35,160.65,158.87,160.45,8950094.0
2022-02-01,160.79,161.3,157.73,159.74,6284069.0
2022-02-02,160.14,162.84,159.47,162.6,7558750.0
2022-02-03,161.98,164.98,161.62,164.14,10474542.0
2022-02-04,163.13,164.49,161.41,161.53,8960135.0
2022-02-07,161.87,162.265,159.67,160.32,6430488.0
2022-02-08,161.12,161.27,159.65,159.96,5048797.0
2022-02-09,160.36,160.635,159.27,159.6,8077550.0
2022-02-10,159.09,159.5,156.6513,157.17,7032976.0
2022-02-11,158.01,158.5798,155.58,156.29,9341436.0
2022-02-14,156.14,157.06,153.3589,156.74,9472171.0
2022-02-15,157.77,159.32,156.11,156.82,6659367.0
2022-02-16,156.83,158.78,156.27,158.01,9315668.0
2022-02-17,158.38,160.375,157.35,159.82,7925454.0
2022-02-18,159.5,161.06,158.82,159.9,8063159.0
2022-02-22,160.11,160.88,156.66,157.93,7891928.0
2022-02-23,158.3,158.6,155.6,155.96,6273013.0
2022-02-24,155.64,155.98,150.56,151.76,13145073.0
2022-02-25,152.33,158.94,152.25,158.24,8866983.0
2022-02-28,156.29,157.19,153.82,155.89,8669154.0
2022-03-01,154.31,155.4,152.34,153.31,8311984.0
2022-03-02,152.96,155.08,152.6,153.79,6111319.0
2022-03-03,153.77,155.86,153.77,154.36,7451233.0
2022-03-04,153.12,155.345,152.55,155.14,8639712.0
2022-03-07,154.49,154.52,151.135,152.84,8374459.0
2022-03-08,152.18,152.95,146.58,146.79,9517238.0
2022-03-09,148.83,150.47,147.81,148.77,7044122.0
2022-03-10,147.8,148.28,143.94,144.94,9221108.0
2022-03-11,145.4,146.16,143.03,143.22,7086146.0
2022-03-14,144.45,146.04,143.355,145.05,7964794.0
2022-03-15,147.01,150.54,146.89,150.27,9868370.0
2022-03-16,150.625,151.785,148.04,149.76,6908879.0
2022-03-17,149.99,150.47,148.5,150.23,6003952.0
2022-03-18,150.87,150.87,148.24,150.15,15293589.0
2022-03-21,150.44,151.42,149.235,150.72,6932117.0
2022-03-22,153.43,153.6022,150.52,151.88,7192054.0
2022-03-23,152.2,153.01,150.69,150.82,5531995.0
2022-03-24,150.89,151.56,150.1601,151.08,4203133.0
2022-03-25,151.63,153.92,151.51,152.83,5024358.0
2022-03-28,153.64,153.9,152.63,153.88,4234012.0
2022-03-29,155.37,156.47,154.02,155.46,5643428.0
2022-03-30,152.5,154.43,151.94,154.39,5779503.0
2022-03-31,154.1,154.34,152.4,152.8,7538629.0
2022-04-01,153.52,155.46,152.06,155.09,5742629.0
2022-04-04,153.81,154.35,151.26,154.08,5992017.0
2022-04-05,153.61,157.37,153.54,154.62,7637807.0
2022-04-06,154.415,157.29,153.935,156.83,8884737.0
2022-04-07,157.87,159.39,156.97,158.86,6889726.0
2022-04-08,159.7,160.53,158.92,160.1,6045430.0
2022-04-11,159.95,161.21,158.63,159.49,6158360.0
2022-04-12,159.31,160.63,158.7,159.01,7221479.0
2022-04-13,159.08,160.41,158.71,159.46,5247722.0
2022-04-14,159.98,160.3,158.45,158.57,7806452.0
2022-04-18,158.48,158.98,156.53,157.06,6034506.0
2022-04-19,156.77,160.03,156.3,159.41,7897048.0
2022-04-20,160.5,164.48,160.0,163.65,9996458.0
2022-04-21,163.82,164.9,162.43,162.61,9365701.0
2022-04-22,163.24,163.52,160.91,161.25,9394646.0
2022-04-25,161.7,163.29,159.8,162.55,6986760.0
2022-04-26,162.68,163.64,159.75,159.79,7746603.0
2022-04-27,160.21,161.45,159.11,159.36,6754947.0
2022-04-28,160.54,163.71,159.27,163.41,9308388.0
2022-04-29,162.47,162.95,160.2,160.55,10637046.0
2022-05-02,161.6,162.0,156.19,158.38,10351637.0
2022-05-03,158.22,158.99,155.01,156.21,10344012.0
2022-05-04,155.83,157.55,155.15,157.36,7750538.0
2022-05-05,156.3,157.295,153.14,154.46,8217145.0
2022-05-06,154.77,156.24,153.87,156.0,7304756.0
2022-05-09,153.96,156.76,152.75,155.61,8540760.0
2022-05-10,155.55,156.62,153.94,154.79,7447352.0
2022-05-11,154.03,155.9,152.35,152.61,7692196.0
2022-05-12,153.52,153.61,149.88,151.99,9600841.0
2022-05-13,152.58,153.73,150.42,153.62,5675512.0
2022-05-16,153.47,155.9,152.03,155.12,5970990.0
2022-05-17,155.13,156.75,153.07,154.68,6509118.0
2022-05-18,154.67,154.76,144.545,145.04,9670680.0
2022-05-19,143.41,143.42,140.6,141.7,9694141.0
2022-05-20,142.15,142.45,139.18,141.79,7786869.0
2022-05-23,142.84,145.63,142.08,145.05,7134483.0
2022-05-24,144.89,147.94,144.82,147.63,7207400.0
2022-05-25,147.11,147.14,143.5,145.21,8217750.0
2022-05-26,146.48,147.38,145.04,146.48,5702555.0
2022-05-27,146.97,148.72,146.63,148.72,6028846.0
2022-05-31,147.29,148.9899,146.1606,147.88,12416917.0
2022-06-01,148.0,148.12,144.71,145.64,7036042.0
2022-06-02,145.97,147.26,142.63,147.21,6480034.0
2022-06-03,146.36,147.21,145.119,145.89,4720680.0
2022-06-06,147.37,147.64,144.59,145.32,4751096.0
2022-06-07,143.67,147.18,143.43,146.94,4918620.0
2022-06-08,146.3,146.4297,144.99,145.11,4369642.0
2022-06-09,145.41,146.89,142.34,142.49,4626787.0
2022-06-10,140.89,143.15,139.45,141.95,6632052.0
