,Open,High,Low,Close,Volume
2022-01-03,86.08,87.14,86.07,86.97,5169898.0
2022-01-04,87.87,90.0729,87.7,90.02,6044182.0
2022-01-05,90.2,91.53,89.4,89.57,6833572.0
2022-01-06,90.4,90.93,89.61,90.06,5559230.0
2022-01-07,90.26,91.365,90.09,90.44,4835353.0
2022-01-10,90.68,90.79,89.24,89.73,4884232.0
2022-01-11,89.74,90.84,89.27,90.72,4489022.0
2022-01-12,91.0,91.545,90.84,91.07,4613135.0
2022-01-13,91.38,92.46,90.9601,91.56,5026361.0
2022-01-14,91.05,92.48,90.72,92.33,4987361.0
2022-01-18,91.33,91.9,90.28,90.75,5650930.0
2022-01-19,90.73,91.34,89.58,89.7,4723982.0
2022-01-20,89.96,90.8341,88.25,88.36,5354651.0
2022-01-21,88.52,88.81,86.82,87.21,5846460.0
2022-01-24,85.77,88.3,84.8,88.12,8850470.0
2022-01-25,85.0,91.29,85.0,90.31,10377382.0
2022-01-26,89.98,91.52,87.47,88.98,9829055.0
2022-01-27,89.92,91.479,88.4,89.28,6998955.0
2022-01-28,88.97,90.37,87.48,90.33,5877612.0
2022-01-31,89.61,90.41,89.01,90.19,6419710.0
2022-02-01,90.1,90.935,89.27,90.73,6558402.0
2022-02-02,90.3,92.69,90.25,92.54,5978631.0
2022-02-03,92.15,92.985,91.6221,92.81,7171744.0
2022-02-04,92.36,93.9,92.11,93.01,6321395.0
2022-02-07,93.46,94.73,93.01,94.03,4932676.0
2022-02-08,93.83,95.315,92.87,95.07,8173420.0
2022-02-09,96.03,96.32,95.48,96.0,5394904.0
2022-02-10,95.32,96.96,94.55,95.06,6534377.0
2022-02-11,95.25,96.05,94.08,95.27,6532903.0
2022-02-14,95.51,95.6,92.89,93.57,6419230.0
2022-02-15,93.59,94.9,93.57,94.04,4616345.0
2022-02-16,94.01,95.27,93.92,94.75,4560945.0
2022-02-17,93.97,95.17,93.4405,94.36,5753359.0
2022-02-18,94.14,95.01,92.99,93.37,6544820.0
2022-02-22,93.62,94.74,92.79,93.54,5827115.0
2022-02-23,94.3,94.53,92.05,92.24,6903341.0
2022-02-24,93.0,94.65,89.31,94.25,9698541.0
2022-02-25,94.39,98.2737,94.2,98.12,8692294.0
2022-02-28,99.02,102.96,98.4,102.7,16726086.0
2022-03-01,102.77,104.34,102.18,102.73,12340886.0
2022-03-02,102.2,102.51,99.78,100.74,12834567.0
2022-03-03,101.06,101.35,98.63,99.83,8613520.0
2022-03-04,99.95,99.95,98.23,99.59,8716773.0
2022-03-07,101.29,103.095,98.12,98.19,12758958.0
2022-03-08,98.01,98.3999,94.69,94.85,9410601.0
2022-03-09,95.25,99.075,95.25,98.52,7100516.0
2022-03-10,98.17,99.8,97.66,98.51,5118396.0
2022-03-11,98.78,99.75,96.8,96.92,4354304.0
2022-03-14,97.17,97.66,95.41,97.04,5581735.0
2022-03-15,97.88,98.1,96.57,97.62,5417571.0
2022-03-16,97.04,97.635,94.07,95.8,8813039.0
2022-03-17,96.6,97.785,95.83,97.75,6537188.0
2022-03-18,98.0,98.28,96.33,97.52,10061121.0
2022-03-21,97.84,100.8218,97.8,99.94,6622974.0
2022-03-22,99.8,101.63,98.91,101.38,6046154.0
2022-03-23,101.16,102.48,101.11,101.23,4471787.0
2022-03-24,101.66,102.2,101.13,101.71,3894569.0
2022-03-25,102.0,102.97,101.92,102.43,3481761.0
2022-03-28,101.67,102.16,100.9202,101.59,4053285.0
2022-03-29,100.85,101.4,99.371,101.08,5038156.0
2022-03-30,101.63,102.375,99.76,100.83,5168126.0
2022-03-31,99.28,100.9075,99.0,99.07,5505576.0
2022-04-01,99.76,100.4494,98.98,100.17,3608615.0
2022-04-04,100.12,100.4,98.56,99.3,3812667.0
2022-04-05,99.48,100.51,98.61,98.81,3797576.0
2022-04-06,98.32,99.28,98.13,98.46,5260837.0
2022-04-07,98.25,101.27,97.9,100.98,6151470.0
2022-04-08,101.98,102.74,100.07,100.4,4811372.0
2022-04-11,100.64,102.95,100.64,102.11,5707645.0
2022-04-12,102.18,103.975,102.07,102.6,4839172.0
2022-04-13,103.32,104.45,102.64,103.37,5351910.0
2022-04-14,103.89,104.98,103.67,104.27,4027391.0
2022-04-18,104.26,105.46,103.91,104.3,3873266.0
2022-04-19,104.44,105.66,104.16,104.55,4572842.0
2022-04-20,105.68,106.02,104.28,104.97,4201085.0
2022-04-21,105.85,106.02,101.4,101.73,5795338.0
2022-04-22,101.45,102.5607,100.371,100.49,4683302.0
2022-04-25,99.85,99.915,97.57,99.61,5612503.0
2022-04-26,96.9,100.95,96.78,99.19,7188811.0
2022-04-27,99.22,99.91,97.6,98.84,6632051.0
2022-04-28,99.0,99.26,96.9,98.08,6546631.0
2022-04-29,98.47,98.89,94.61,94.91,5882973.0
2022-05-02,94.51,95.33,92.3968,94.22,7870601.0
2022-05-03,95.18,96.127,94.32,95.4,5612229.0
2022-05-04,94.99,98.02,94.95,97.76,6148736.0
2022-05-05,97.8,98.2,95.41,96.32,5906488.0
2022-05-06,95.71,96.05,93.72,95.3,5294959.0
2022-05-09,94.53,94.79,91.25,91.75,6071863.0
2022-05-10,92.44,93.86,91.36,91.69,7526334.0
2022-05-11,91.27,94.1319,90.81,91.0,6493885.0
